Name:  Plate Window Glass
Type:  Manmade materials
Class:  General Construction Materials
Subclass:  Glass
Particle Size: Solid
Sample No.: 0796UUUGLS
Owner:  National Photographic Interpretation Center 
Wavelength Range:  All
Origin: Spectra obtained from the Noncoventional Exploitation Factors 
Data System of the National Photographic Interpretation Center.
Description:  Unweathered, transparent construction plate window 
glass.




Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.3
Last X Value:  14
Number of X Values:  551
Additional Information:  None

0.3	5.82
0.302	5.79
0.304	5.77
0.306	5.75
0.308	5.74
0.31	5.74
0.312	5.74
0.314	5.74
0.316	5.75
0.318	5.78
0.32	5.81
0.322	5.84
0.324	5.89
0.326	5.98
0.328	6.1
0.33	6.28
0.332	6.52
0.334	6.83
0.336	7.2
0.338	7.62
0.34	8.07
0.342	8.54
0.344	9.01
0.346	9.46
0.348	9.89
0.35	10.27
0.352	10.61
0.354	10.92
0.356	11.18
0.358	11.4
0.36	11.59
0.362	11.74
0.364	11.85
0.366	11.91
0.368	11.95
0.37	11.93
0.372	11.87
0.374	11.77
0.376	11.66
0.378	11.55
0.38	11.52
0.382	11.56
0.384	11.65
0.386	11.76
0.388	11.87
0.39	11.96
0.392	12.03
0.394	12.07
0.396	12.11
0.398	12.12
0.4	12.13
0.402	12.12
0.404	12.1
0.406	12.07
0.408	12.04
0.41	12.01
0.412	11.97
0.414	11.94
0.416	11.91
0.418	11.89
0.42	11.87
0.422	11.85
0.424	11.84
0.426	11.82
0.428	11.81
0.43	11.79
0.432	11.77
0.434	11.75
0.436	11.74
0.438	11.73
0.44	11.72
0.442	11.72
0.444	11.72
0.446	11.72
0.448	11.72
0.45	11.73
0.452	11.73
0.454	11.74
0.456	11.74
0.458	11.74
0.46	11.75
0.462	11.75
0.464	11.75
0.466	11.75
0.468	11.74
0.47	11.74
0.472	11.73
0.474	11.73
0.476	11.72
0.478	11.72
0.48	11.71
0.482	11.71
0.484	11.7
0.486	11.69
0.488	11.68
0.49	11.67
0.492	11.66
0.494	11.65
0.496	11.64
0.498	11.63
0.5	11.63
0.502	11.62
0.504	11.62
0.506	11.61
0.508	11.61
0.51	11.6
0.512	11.59
0.514	11.58
0.516	11.57
0.518	11.56
0.52	11.55
0.522	11.54
0.524	11.53
0.526	11.52
0.528	11.51
0.53	11.5
0.532	11.49
0.534	11.48
0.536	11.47
0.538	11.46
0.54	11.44
0.542	11.43
0.544	11.42
0.546	11.41
0.548	11.4
0.55	11.39
0.552	11.37
0.554	11.36
0.556	11.34
0.558	11.33
0.56	11.32
0.562	11.3
0.564	11.29
0.566	11.27
0.568	11.26
0.57	11.24
0.572	11.22
0.574	11.21
0.576	11.19
0.578	11.17
0.58	11.15
0.582	11.13
0.584	11.12
0.586	11.1
0.588	11.08
0.59	11.07
0.592	11.05
0.594	11.03
0.596	11.01
0.598	11
0.6	10.98
0.602	10.96
0.604	10.94
0.606	10.92
0.608	10.9
0.61	10.88
0.612	10.86
0.614	10.84
0.616	10.82
0.618	10.8
0.62	10.78
0.622	10.76
0.624	10.74
0.626	10.72
0.628	10.7
0.63	10.68
0.632	10.65
0.634	10.64
0.636	10.61
0.638	10.59
0.64	10.57
0.642	10.55
0.644	10.53
0.646	10.51
0.648	10.49
0.65	10.47
0.652	10.45
0.654	10.43
0.656	10.41
0.658	10.39
0.66	10.37
0.662	10.35
0.664	10.33
0.666	10.31
0.668	10.29
0.67	10.27
0.672	10.25
0.674	10.23
0.676	10.21
0.678	10.18
0.68	10.16
0.682	10.14
0.684	10.11
0.686	10.09
0.688	10.07
0.69	10.04
0.692	10.02
0.694	10
0.696	9.98
0.698	9.96
0.7	9.94
0.702	9.91
0.704	9.9
0.706	9.87
0.708	9.85
0.71	9.82
0.712	9.8
0.714	9.78
0.716	9.76
0.718	9.73
0.72	9.71
0.722	9.69
0.724	9.66
0.726	9.65
0.728	9.62
0.73	9.6
0.732	9.58
0.734	9.56
0.736	9.53
0.738	9.51
0.74	9.49
0.742	9.47
0.744	9.45
0.746	9.43
0.748	9.41
0.75	9.38
0.752	9.36
0.754	9.34
0.756	9.32
0.758	9.3
0.76	9.28
0.762	9.25
0.764	9.24
0.766	9.21
0.768	9.19
0.77	9.18
0.772	9.15
0.774	9.13
0.776	9.12
0.778	9.1
0.78	9.08
0.782	9.06
0.784	9.04
0.786	9.01
0.788	9
0.79	8.98
0.792	8.97
0.794	8.95
0.796	8.94
0.798	8.92
0.8	8.9
0.82	8.73
0.84	8.59
0.86	8.46
0.88	8.42
0.9	8.4
0.92	8.19
0.94	7.86
0.96	7.73
0.98	7.72
1	7.69
1.02	7.66
1.04	7.64
1.06	7.64
1.08	7.65
1.1	7.64
1.12	7.64
1.14	7.64
1.16	7.65
1.18	7.69
1.2	7.69
1.22	7.71
1.24	7.74
1.26	7.77
1.28	7.82
1.3	7.86
1.32	7.91
1.34	7.98
1.36	7.98
1.38	8.05
1.4	8.11
1.42	8.18
1.44	8.28
1.46	8.35
1.48	8.46
1.5	8.51
1.52	8.58
1.54	8.65
1.56	8.71
1.58	8.76
1.6	8.79
1.62	8.79
1.64	8.82
1.66	8.86
1.68	8.83
1.7	8.89
1.72	8.9
1.74	8.88
1.76	8.85
1.78	8.85
1.8	8.86
1.82	8.81
1.84	8.76
1.86	8.68
1.88	8.69
1.9	8.69
1.92	8.68
1.94	8.66
1.96	8.7
1.98	8.68
2	8.7
2.02	8.63
2.04	8.67
2.06	8.59
2.08	8.59
2.1	8.62
2.12	8.62
2.14	8.65
2.16	8.6
2.18	8.58
2.2	8.44
2.22	8.47
2.24	8.45
2.26	8.4575
2.28	7.8107
2.3	8.4977
2.32	8.5598
2.34	8.467
2.36	8.3839
2.38	8.2994
2.4	8.7093
2.42	8.3268
2.44	8.2047
2.46	8.2277
2.48	8.3425
2.5	8.386
2.52	8.2243
2.54	8.2021
2.56	8.0975
2.58	8.1437
2.6	8.1136
2.62	7.9166
2.64	7.9338
2.66	7.8388
2.68	7.5083
2.7	6.9942
2.72	5.8339
2.74	4.6964
2.76	4.1633
2.78	4.0307
2.8	3.7978
2.82	3.8089
2.84	3.8268
2.86	3.7072
2.88	3.8729
2.9	3.7235
2.92	3.8434
2.94	3.8231
2.96	4.222
2.98	3.9017
3	3.7307
3.02	3.6042
3.04	3.8956
3.06	4.0557
3.08	3.9253
3.1	4.0159
3.12	4.1405
3.14	3.9683
3.16	3.8721
3.18	3.9699
3.2	3.985
3.22	4.1242
3.24	4.0252
3.26	3.9341
3.28	3.9036
3.3	3.796
3.32	3.7719
