Name:  ALHA 77216
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  L3
Particle Size:  0-75 micrometers
Sample No.:  ALHA 77216
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1977.  Smithsonian sample No. USNM 
 ALHA 77216.00.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

25.044	0.87740
24.924	1.0186
24.805	0.95090
24.686	0.97750
24.569	0.96440
24.454	0.95120
24.339	0.96850
24.225	1.1121
24.112	1.0610
24.001	1.0459
23.890	1.0298
23.781	0.93040
23.672	0.88180
23.564	0.88820
23.458	0.82230
23.352	0.78030
23.247	0.78300
23.144	0.79370
23.041	0.73120
22.939	0.58960
22.838	0.58940
22.738	0.65800
22.638	0.75440
22.540	0.78150
22.442	0.74290
22.345	0.68580
22.250	0.71310
22.154	0.67160
22.060	0.67260
21.967	0.57320
21.874	0.53100
21.782	0.62600
21.691	0.78740
21.601	0.76440
21.511	0.69700
21.422	0.75340
21.334	0.74800
21.247	0.70750
21.160	0.66260
21.074	0.68260
20.988	0.71290
20.904	0.68330
20.820	0.74410
20.737	0.83500
20.654	0.81050
20.572	0.77540
20.491	0.81910
20.410	0.84180
20.330	0.87300
20.251	0.89010
20.172	0.85990
20.094	0.87600
20.016	0.91720
19.939	0.88230
19.863	0.86600
19.787	0.94650
19.712	0.92870
19.637	0.87620
19.563	0.90700
19.489	0.88720
19.416	0.88500
19.344	0.92650
19.272	0.86720
19.201	0.84060
19.130	0.91720
19.059	0.89720
18.990	0.86350
18.920	0.88670
18.851	0.87790
18.783	0.83690
18.715	0.83150
18.648	0.81420
18.581	0.83370
18.515	0.85940
18.449	0.82980
18.384	0.82670
18.319	0.79050
18.254	0.77810
18.190	0.77950
18.126	0.77050
18.063	0.76170
18.001	0.76270
17.938	0.75100
17.876	0.72660
17.815	0.71730
17.754	0.71530
17.693	0.76150
17.633	0.76150
17.573	0.75000
17.514	0.74660
17.455	0.76510
17.396	0.79420
17.338	0.76200
17.280	0.74730
17.223	0.77250
17.166	0.76510
17.109	0.73270
17.053	0.74630
16.997	0.72190
16.942	0.68090
16.886	0.65890
16.832	0.62620
16.777	0.61960
16.723	0.65190
16.669	0.66190
16.616	0.64110
16.563	0.61790
16.510	0.65920
16.458	0.66210
16.406	0.63770
16.354	0.63260
16.302	0.62960
16.251	0.63350
16.200	0.64280
16.150	0.66630
16.100	0.65840
16.050	0.67040
16.000	0.70020
15.951	0.70630
15.902	0.67110
