Name:  ALH 83108
Type:  Stony Meteorites
Class:  Carbonaceous chondrite
Subclass:  CO
Particle Size:  0-75 micrometers
Sample No.:  ALH 83108
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1983..  Sample supplied by Tom Jones.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

25.044	0.43290
24.924	0.39380
24.805	0.36400
24.686	0.34770
24.569	0.34670
24.454	0.36080
24.339	0.38670
24.225	0.41990
24.112	0.45410
24.001	0.48270
23.890	0.50020
23.781	0.50270
23.672	0.48900
23.564	0.46040
23.458	0.42070
23.352	0.37550
23.247	0.33150
23.144	0.29540
23.041	0.27250
22.939	0.26540
22.838	0.27440
22.738	0.29740
22.638	0.33010
22.540	0.36670
22.442	0.40190
22.345	0.43090
22.250	0.45040
22.154	0.46020
22.060	0.46040
21.967	0.45360
21.874	0.44260
21.782	0.43040
21.691	0.41940
21.601	0.41190
21.511	0.40890
21.422	0.41110
21.334	0.41800
21.247	0.42850
21.160	0.44160
21.074	0.45580
20.988	0.46950
20.904	0.48140
20.820	0.49050
20.737	0.49610
20.654	0.49780
20.572	0.49540
20.491	0.48950
20.410	0.48070
20.330	0.46970
20.251	0.45780
20.172	0.44630
20.094	0.43600
20.016	0.42820
19.939	0.42330
19.863	0.42110
19.787	0.42190
19.712	0.42530
19.637	0.43120
19.563	0.43870
19.489	0.44750
19.416	0.45680
19.344	0.46560
19.272	0.47270
19.201	0.47680
19.130	0.47800
19.059	0.47630
18.990	0.47220
18.920	0.46680
18.851	0.46140
18.783	0.45730
18.715	0.45390
18.648	0.45140
18.581	0.44870
18.515	0.44510
18.449	0.43950
18.384	0.43160
18.319	0.42190
18.254	0.41060
18.190	0.39870
18.126	0.38700
18.063	0.37570
18.001	0.36620
17.938	0.35840
17.876	0.35300
17.815	0.35030
17.754	0.34990
17.693	0.35130
17.633	0.35400
17.573	0.35690
17.514	0.35890
17.455	0.35960
17.396	0.35820
17.338	0.35470
17.280	0.34960
17.223	0.34370
17.166	0.33740
17.109	0.33150
17.053	0.32640
16.997	0.32230
16.942	0.31910
16.886	0.31690
16.832	0.31520
16.777	0.31370
16.723	0.31250
16.669	0.31130
16.616	0.31050
16.563	0.31010
16.510	0.31010
16.458	0.31080
16.406	0.31180
16.354	0.31320
16.302	0.31490
16.251	0.31660
16.200	0.31880
16.150	0.32130
16.100	0.32420
16.050	0.32710
16.000	0.33010
15.951	0.33280
15.902	0.33450
15.854	0.33500
15.805	0.33420
15.757	0.33300
15.710	0.33130
15.662	0.33010
15.615	0.33010
15.568	0.33150
15.521	0.33470
15.475	0.33860
15.429	0.34370
15.383	0.34890
15.338	0.35380
15.292	0.35840
15.248	0.36250
15.203	0.36620
15.158	0.36990
15.114	0.37330
15.070	0.37650
15.027	0.38010
14.983	0.38400
14.940	0.38840
14.897	0.39360
14.854	0.39970
14.812	0.40700
14.770	0.41500
14.728	0.42380
14.686	0.43330
14.645	0.44360
14.603	0.45410
14.562	0.46530
14.521	0.47700
14.481	0.48880
14.441	0.50070
14.400	0.51270
14.361	0.52440
14.321	0.53610
14.281	0.54790
14.242	0.55930
14.203	0.57060
14.164	0.58180
14.126	0.59230
14.087	0.60200
14.049	0.61060
14.011	0.61770
13.973	0.62380
13.936	0.62910
13.899	0.63450
13.861	0.64040
13.824	0.64750
13.788	0.65600
13.751	0.66630
13.715	0.67800
13.679	0.69120
13.643	0.70580
13.607	0.72170
13.571	0.73900
13.536	0.75810
13.500	0.77880
13.465	0.80100
13.430	0.82450
13.396	0.84810
13.361	0.87130
13.327	0.89330
13.293	0.91380
13.259	0.93240
13.225	0.94950
13.191	0.96560
13.158	0.98100
13.124	0.99630
13.091	1.0117
13.058	1.0271
13.026	1.0422
12.993	1.0564
12.960	1.0691
12.928	1.0798
12.896	1.0881
12.864	1.0940
12.832	1.0979
12.800	1.1001
12.769	1.1013
12.737	1.1016
12.706	1.1013
12.675	1.1006
12.644	1.0989
12.614	1.0957
12.583	1.0908
12.552	1.0837
12.522	1.0749
12.492	1.0640
12.462	1.0510
12.432	1.0364
12.402	1.0200
12.373	1.0020
12.343	0.98170
12.314	0.95900
12.285	0.93330
12.256	0.90480
12.227	0.87230
12.198	0.83670
12.169	0.79760
12.141	0.75610
12.113	0.71310
12.084	0.67020
12.056	0.62940
12.028	0.59250
12.000	0.56180
11.973	0.53830
11.945	0.52340
11.918	0.51640
11.890	0.51640
11.863	0.52150
11.836	0.52980
11.809	0.53910
11.782	0.54760
11.755	0.55470
11.729	0.55980
11.702	0.56350
11.676	0.56590
11.650	0.56760
11.624	0.56860
11.598	0.56880
11.572	0.56840
11.546	0.56690
11.520	0.56490
11.495	0.56300
11.469	0.56230
11.444	0.56270
11.419	0.56490
11.394	0.56760
11.369	0.57030
