Name:  Allende1
Type:  Stony Meteorites
Class:  Carbonaceous Chondrite
Subclass:  CV3
Particle Size:  0-75 micrometers
Sample No.:  Allende1
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in Mexico in 1969.  Smithsonian sample No. USNM 
3529.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

25.044	0.41020
24.924	0.42630
24.805	0.43480
24.686	0.43590
24.569	0.43180
24.454	0.42540
24.339	0.41930
24.225	0.41430
24.112	0.41020
24.001	0.40580
23.890	0.40040
23.781	0.39450
23.672	0.38930
23.564	0.38610
23.458	0.38560
23.352	0.38720
23.247	0.38890
23.144	0.38830
23.041	0.38400
22.939	0.37610
22.838	0.36660
22.738	0.35840
22.638	0.35460
22.540	0.35690
22.442	0.36520
22.345	0.37780
22.250	0.39170
22.154	0.40430
22.060	0.41360
21.967	0.41890
21.874	0.42070
21.782	0.41990
21.691	0.41820
21.601	0.41650
21.511	0.41580
21.422	0.41590
21.334	0.41710
21.247	0.41890
21.160	0.42090
21.074	0.42290
20.988	0.42410
20.904	0.42440
20.820	0.42330
20.737	0.42070
20.654	0.41660
20.572	0.41160
20.491	0.40650
20.410	0.40220
20.330	0.39940
20.251	0.39840
20.172	0.39940
20.094	0.40140
20.016	0.40360
19.939	0.40550
19.863	0.40700
19.787	0.40830
19.712	0.41030
19.637	0.41380
19.563	0.41920
19.489	0.42580
19.416	0.43260
19.344	0.43820
19.272	0.44120
19.201	0.44070
19.130	0.43650
19.059	0.42960
18.990	0.42110
18.920	0.41220
18.851	0.40410
18.783	0.39700
18.715	0.39100
18.648	0.38550
18.581	0.38010
18.515	0.37440
18.449	0.36790
18.384	0.36100
18.319	0.35400
18.254	0.34750
18.190	0.34200
18.126	0.33830
18.063	0.33630
18.001	0.33620
17.938	0.33760
17.876	0.34010
17.815	0.34310
17.754	0.34610
17.693	0.34850
17.633	0.35010
17.573	0.35080
17.514	0.35050
17.455	0.34940
17.396	0.34730
17.338	0.34440
17.280	0.34070
17.223	0.33630
17.166	0.33130
17.109	0.32560
17.053	0.31970
16.997	0.31400
16.942	0.30860
16.886	0.30430
16.832	0.30110
16.777	0.29930
16.723	0.29850
16.669	0.29830
16.616	0.29860
16.563	0.29880
16.510	0.29920
16.458	0.29970
16.406	0.30100
16.354	0.30330
16.302	0.30700
16.251	0.31210
16.200	0.31840
16.150	0.32540
16.100	0.33300
16.050	0.34080
16.000	0.34860
15.951	0.35630
15.902	0.36390
15.854	0.37160
15.805	0.37910
15.757	0.38680
15.710	0.39430
15.662	0.40160
15.615	0.40870
15.568	0.41590
15.521	0.42330
15.475	0.43120
15.429	0.43960
15.383	0.44860
15.338	0.45780
15.292	0.46640
15.248	0.47390
15.203	0.47940
15.158	0.48290
15.114	0.48450
15.070	0.48510
15.027	0.48550
14.983	0.48680
14.940	0.48990
14.897	0.49490
14.854	0.50170
14.812	0.51000
14.770	0.51920
14.728	0.52840
14.686	0.53760
14.645	0.54640
14.603	0.55480
14.562	0.56300
14.521	0.57130
14.481	0.57960
14.441	0.58810
14.400	0.59670
14.361	0.60510
14.321	0.61300
14.281	0.62050
14.242	0.62770
14.203	0.63490
14.164	0.64280
14.126	0.65160
14.087	0.66150
14.049	0.67240
14.011	0.68400
13.973	0.69570
13.936	0.70700
13.899	0.71780
13.861	0.72800
13.824	0.73790
13.788	0.74790
13.751	0.75830
13.715	0.76950
13.679	0.78190
13.643	0.79540
13.607	0.81030
13.571	0.82630
13.536	0.84330
13.500	0.86080
13.465	0.87840
13.430	0.89560
13.396	0.91210
13.361	0.92760
13.327	0.94230
13.293	0.95620
13.259	0.96960
13.225	0.98290
13.191	0.99610
13.158	1.0093
13.124	1.0223
13.091	1.0350
13.058	1.0475
13.026	1.0593
12.993	1.0707
12.960	1.0815
12.928	1.0915
12.896	1.1007
12.864	1.1088
12.832	1.1154
12.800	1.1205
12.769	1.1241
12.737	1.1261
12.706	1.1265
12.675	1.1254
12.644	1.1229
12.614	1.1193
12.583	1.1147
12.552	1.1091
12.522	1.1025
12.492	1.0942
12.462	1.0839
12.432	1.0707
12.402	1.0542
12.373	1.0342
12.343	1.0105
12.314	0.98320
12.285	0.95240
12.256	0.91820
12.227	0.88050
12.198	0.83960
12.169	0.79530
12.141	0.74850
12.113	0.70030
12.084	0.65280
12.056	0.60850
12.028	0.57020
12.000	0.54030
11.973	0.52030
11.945	0.51050
11.918	0.50950
11.890	0.51530
11.863	0.52450
11.836	0.53450
11.809	0.54320
11.782	0.54940
11.755	0.55300
11.729	0.55440
11.702	0.55490
11.676	0.55580
11.650	0.55790
11.624	0.56160
11.598	0.56740
11.572	0.57510
11.546	0.58390
11.520	0.59330
11.495	0.60250
11.469	0.61080
11.444	0.61760
11.419	0.62230
11.394	0.62490
