Name:  Dingo Pup Donga
Type:  Stony Meteorites
Class:  Achondrite
Subclass:  Urelite
Particle Size:  0-75 micrometers
Sample No.:  Dingo Pup Donga
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Australia in 1965.  Smithsonian sample No. USNM 
3447.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

25.044	1.3015
24.924	1.2686
24.805	1.2405
24.686	1.2229
24.569	1.2051
24.454	1.1985
24.339	1.2209
24.225	1.2671
24.112	1.3125
24.001	1.3430
23.890	1.3533
23.781	1.3384
23.672	1.3020
23.564	1.2664
23.458	1.2505
23.352	1.2439
23.247	1.2300
23.144	1.2107
23.041	1.1887
22.939	1.1606
22.838	1.1265
22.738	1.0903
22.638	1.0566
22.540	1.0215
22.442	0.98660
22.345	0.96440
22.250	0.96070
22.154	0.96830
22.060	0.97920
21.967	0.98800
21.874	0.99020
21.782	0.98120
21.691	0.96090
21.601	0.93970
21.511	0.92970
21.422	0.93210
21.334	0.94630
21.247	0.96950
21.160	0.99410
21.074	1.0061
20.988	0.99880
20.904	0.97880
20.820	0.95310
20.737	0.92500
20.654	0.90430
20.572	0.90010
20.491	0.91260
20.410	0.93850
20.330	0.97660
20.251	1.0256
20.172	1.0769
20.094	1.1208
20.016	1.1560
19.939	1.1816
19.863	1.1990
19.787	1.2129
19.712	1.2256
19.637	1.2405
19.563	1.2566
19.489	1.2695
19.416	1.2778
19.344	1.2805
19.272	1.2803
19.201	1.2766
19.130	1.2695
19.059	1.2610
18.990	1.2485
18.920	1.2317
18.851	1.2095
18.783	1.1804
18.715	1.1479
18.648	1.1133
18.581	1.0793
18.515	1.0530
18.449	1.0359
18.384	1.0264
18.319	1.0203
18.254	1.0127
18.190	1.0029
18.126	0.98830
18.063	0.97090
18.001	0.95700
17.938	0.94850
17.876	0.94190
17.815	0.93600
17.754	0.93040
17.693	0.92410
17.633	0.91480
17.573	0.90330
17.514	0.88940
17.455	0.87400
17.396	0.85860
17.338	0.84520
17.280	0.83540
17.223	0.83010
17.166	0.82790
17.109	0.82760
17.053	0.82450
16.997	0.81960
16.942	0.81370
16.886	0.80420
16.832	0.79270
16.777	0.78250
16.723	0.77590
16.669	0.77100
16.616	0.76610
16.563	0.76460
16.510	0.76760
16.458	0.76950
16.406	0.76930
16.354	0.76760
16.302	0.76370
16.251	0.75490
16.200	0.74220
16.150	0.73120
16.100	0.72340
16.050	0.71660
16.000	0.70850
15.951	0.69950
15.902	0.69020
15.854	0.67920
15.805	0.66630
15.757	0.65190
15.710	0.63720
15.662	0.62130
15.615	0.60450
15.568	0.58980
15.521	0.57930
15.475	0.57130
15.429	0.56490
15.383	0.56080
15.338	0.55830
15.292	0.55540
15.248	0.55130
15.203	0.54790
15.158	0.54640
15.114	0.54710
15.070	0.55270
15.027	0.56420
14.983	0.57960
14.940	0.59470
14.897	0.60740
14.854	0.61520
14.812	0.61840
14.770	0.61840
14.728	0.61890
14.686	0.62180
14.645	0.63110
14.603	0.64790
14.562	0.66970
14.521	0.69290
