Name:  Happy Canyon
Type:  Stony Meteorites
Class:  Enstatite Chondrite
Subclass:  E6
Particle Size:  0-75 micrometers
Sample No.:  Happy Canyon
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in 1971.  Smithsonian sample No. USNM 5820.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

25.044	0.83180
24.924	0.84860
24.805	0.83540
24.686	0.78930
24.569	0.74100
24.454	0.70140
24.339	0.66260
24.225	0.63210
24.112	0.61380
24.001	0.59810
23.890	0.57740
23.781	0.55810
23.672	0.55130
23.564	0.55660
23.458	0.57640
23.352	0.61600
23.247	0.66240
23.144	0.69650
23.041	0.71390
22.939	0.71750
22.838	0.71360
22.738	0.71120
22.638	0.71750
22.540	0.73070
22.442	0.74190
22.345	0.74560
22.250	0.74170
22.154	0.73220
22.060	0.72440
21.967	0.72390
21.874	0.72560
21.782	0.72410
21.691	0.71780
21.601	0.70920
21.511	0.69580
21.422	0.67580
21.334	0.65500
21.247	0.63890
21.160	0.62550
21.074	0.62080
20.988	0.63040
20.904	0.65190
20.820	0.67380
20.737	0.69260
20.654	0.71170
20.572	0.73270
20.491	0.75120
20.410	0.77170
20.330	0.79570
20.251	0.81590
20.172	0.82860
20.094	0.83810
20.016	0.85030
19.939	0.86790
19.863	0.88770
19.787	0.90820
19.712	0.92480
19.637	0.93110
19.563	0.92720
19.489	0.91700
19.416	0.90280
19.344	0.88840
19.272	0.87160
19.201	0.84990
19.130	0.82030
19.059	0.78390
18.990	0.74680
18.920	0.71290
18.851	0.68630
18.783	0.67140
18.715	0.66630
18.648	0.66670
18.581	0.66920
18.515	0.67280
18.449	0.67900
18.384	0.68580
18.319	0.69340
18.254	0.70170
18.190	0.70780
18.126	0.70950
18.063	0.70390
18.001	0.69090
17.938	0.67240
17.876	0.64970
17.815	0.62550
17.754	0.60520
17.693	0.59330
17.633	0.59280
17.573	0.60200
17.514	0.61890
17.455	0.63990
17.396	0.65940
17.338	0.67140
17.280	0.67630
17.223	0.67500
17.166	0.67020
17.109	0.66260
17.053	0.65410
16.997	0.64750
16.942	0.64280
16.886	0.63820
16.832	0.63310
16.777	0.62840
16.723	0.62430
16.669	0.61820
16.616	0.60860
16.563	0.59810
16.510	0.58760
16.458	0.57590
16.406	0.56230
16.354	0.54740
16.302	0.53170
16.251	0.51240
