Name:  Karoonda3
Type:  Stony Meteorites
Class:  Carbonaceous Chondrite
Subclass:  C4 (CV/CO)
Particle Size:  0-75 micrometers
Sample No.:  Karoonda3
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in Australia in 1930.  Smithsonian sample No. 
USNM 5936 obtained via Tom Jones.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

25.044	0.83860
24.924	0.86770
24.805	0.83910
24.686	0.89380
24.569	0.87550
24.454	0.84160
24.339	0.85230
24.225	0.85500
24.112	0.78710
24.001	0.72660
23.890	0.74760
23.781	0.74270
23.672	0.67700
23.564	0.66820
23.458	0.65700
23.352	0.60400
23.247	0.58840
23.144	0.59670
23.041	0.50780
22.939	0.33640
22.838	0.40500
22.738	0.48900
22.638	0.46190
22.540	0.44070
22.442	0.45210
22.345	0.50170
22.250	0.51610
22.154	0.49340
22.060	0.47780
21.967	0.51100
21.874	0.52000
21.782	0.52220
21.691	0.50730
21.601	0.52510
21.511	0.54170
21.422	0.52730
21.334	0.49830
21.247	0.50590
21.160	0.54100
21.074	0.54810
20.988	0.54320
20.904	0.58720
20.820	0.63770
20.737	0.63720
20.654	0.61550
20.572	0.63920
20.491	0.67500
20.410	0.67310
20.330	0.67580
20.251	0.67850
20.172	0.66600
20.094	0.65800
20.016	0.65010
19.939	0.64620
19.863	0.63820
19.787	0.67210
19.712	0.68210
19.637	0.66870
19.563	0.68600
19.489	0.70190
19.416	0.70900
19.344	0.72560
19.272	0.72530
19.201	0.72460
19.130	0.72120
19.059	0.72460
18.990	0.72490
18.920	0.72340
18.851	0.72780
18.783	0.71970
18.715	0.72270
18.648	0.73050
18.581	0.73000
18.515	0.73170
18.449	0.72970
18.384	0.71800
18.319	0.67920
18.254	0.65990
18.190	0.67600
18.126	0.66550
18.063	0.64180
18.001	0.63820
17.938	0.62770
17.876	0.61330
17.815	0.60990
17.754	0.60720
17.693	0.61060
17.633	0.60080
17.573	0.59470
17.514	0.59640
17.455	0.58540
17.396	0.58080
17.338	0.57400
17.280	0.56740
17.223	0.56490
17.166	0.55320
17.109	0.54810
17.053	0.54910
16.997	0.55790
16.942	0.55690
16.886	0.55690
16.832	0.54000
16.777	0.53590
16.723	0.54930
16.669	0.54930
16.616	0.55030
16.563	0.56050
16.510	0.57400
16.458	0.57180
16.406	0.56640
16.354	0.57690
16.302	0.58060
16.251	0.58200
16.200	0.58790
16.150	0.59130
16.100	0.59010
16.050	0.59010
16.000	0.60450
15.951	0.58890
15.902	0.57300
15.854	0.58200
15.805	0.57670
15.757	0.56350
15.710	0.56130
15.662	0.56490
15.615	0.56230
15.568	0.56420
15.521	0.57100
15.475	0.57810
15.429	0.59590
15.383	0.60350
15.338	0.60470
15.292	0.61180
15.248	0.62620
15.203	0.64110
15.158	0.65360
15.114	0.65770
15.070	0.65650
15.027	0.66600
14.983	0.67630
14.940	0.68210
14.897	0.68600
14.854	0.69580
14.812	0.70360
14.770	0.72190
14.728	0.74830
14.686	0.77390
14.645	0.79440
14.603	0.80910
14.562	0.81050
14.521	0.82470
14.481	0.84840
14.441	0.86380
14.400	0.87720
14.361	0.89570
14.321	0.91670
14.281	0.94090
14.242	0.95170
14.203	0.96290
14.164	0.97750
14.126	0.99730
14.087	1.0129
14.049	1.0300
14.011	1.0420
13.973	1.0491
13.936	1.0615
13.899	1.0742
13.861	1.0891
13.824	1.0952
13.788	1.0984
13.751	1.1135
13.715	1.1240
13.679	1.1338
13.643	1.1543
13.607	1.1624
13.571	1.1677
13.536	1.1882
13.500	1.2058
13.465	1.2078
13.430	1.2117
13.396	1.2222
13.361	1.2336
13.327	1.2344
13.293	1.2351
13.259	1.2361
13.225	1.2400
13.191	1.2466
13.158	1.2541
13.124	1.2595
13.091	1.2607
13.058	1.2725
13.026	1.2849
12.993	1.2927
12.960	1.2949
12.928	1.2969
12.896	1.3003
12.864	1.3064
12.832	1.3052
12.800	1.3042
12.769	1.3059
12.737	1.3010
12.706	1.2935
12.675	1.2856
12.644	1.2754
12.614	1.2747
12.583	1.2732
12.552	1.2620
12.522	1.2432
12.492	1.2253
12.462	1.2107
12.432	1.1936
12.402	1.1685
12.373	1.1462
12.343	1.1226
12.314	1.0979
12.285	1.0762
12.256	1.0422
12.227	1.0012
12.198	0.97270
12.169	0.94240
12.141	0.89530
12.113	0.85740
12.084	0.83030
12.056	0.79780
12.028	0.76590
12.000	0.73850
11.973	0.71000
11.945	0.67990
11.918	0.66240
11.890	0.67280
11.863	0.68950
11.836	0.70730
11.809	0.72780
11.782	0.74900
11.755	0.76030
11.729	0.76460
11.702	0.77390
11.676	0.78540
11.650	0.79860
11.624	0.81250
11.598	0.83250
11.572	0.85960
11.546	0.89090
11.520	0.93140
11.495	0.96900
11.469	0.98680
11.444	0.99360
