Name:  Lance2
Type:  Stony Meteorites
Class:  Carbonaceous Chondrite
Subclass:  CO
Particle Size:  0-75 micrometers
Sample No.:  Lance2
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in France in 1872.  Museum National d'Histoire 
Naturelle sample No. 1481 obtained via Tom Jones.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

25.044	0.76270
24.924	0.76510
24.805	0.76100
24.686	0.75490
24.569	0.75170
24.454	0.75460
24.339	0.76270
24.225	0.77120
24.112	0.77270
24.001	0.76560
23.890	0.75240
23.781	0.73680
23.672	0.72310
23.564	0.71460
23.458	0.71070
23.352	0.70630
23.247	0.69850
23.144	0.69140
23.041	0.69070
22.939	0.69870
22.838	0.71410
22.738	0.73240
22.638	0.74660
22.540	0.75020
22.442	0.74340
22.345	0.73140
22.250	0.72070
22.154	0.71480
22.060	0.71360
21.967	0.71530
21.874	0.71800
21.782	0.71920
21.691	0.72000
21.601	0.72190
21.511	0.72580
21.422	0.73220
21.334	0.74070
21.247	0.75100
21.160	0.76150
21.074	0.77100
20.988	0.77860
20.904	0.78200
20.820	0.77980
20.737	0.77170
20.654	0.76000
20.572	0.74780
20.491	0.73930
20.410	0.73730
20.330	0.74370
20.251	0.75660
20.172	0.77250
20.094	0.78660
20.016	0.79610
19.939	0.80150
19.863	0.80440
19.787	0.80830
19.712	0.81620
19.637	0.82790
19.563	0.84180
19.489	0.85400
19.416	0.86160
19.344	0.86380
19.272	0.86080
19.201	0.85420
19.130	0.84550
19.059	0.83540
18.990	0.82520
18.920	0.81450
18.851	0.80470
18.783	0.79610
18.715	0.78880
18.648	0.78250
18.581	0.77560
18.515	0.76760
18.449	0.75760
18.384	0.74680
18.319	0.73710
18.254	0.72850
18.190	0.72050
18.126	0.71190
18.063	0.70170
18.001	0.68850
17.938	0.67360
17.876	0.65970
17.815	0.64970
17.754	0.64430
17.693	0.64330
17.633	0.64530
17.573	0.64700
17.514	0.64650
17.455	0.64280
17.396	0.63670
17.338	0.62910
17.280	0.62130
17.223	0.61450
17.166	0.60840
17.109	0.60300
17.053	0.59790
16.997	0.59300
16.942	0.58890
16.886	0.58540
16.832	0.58280
16.777	0.58010
16.723	0.57670
16.669	0.57200
16.616	0.56660
16.563	0.56130
16.510	0.55810
16.458	0.55740
16.406	0.55960
16.354	0.56370
16.302	0.56930
16.251	0.57450
16.200	0.57840
16.150	0.58110
16.100	0.58300
16.050	0.58350
16.000	0.58370
15.951	0.58420
15.902	0.58520
15.854	0.58670
15.805	0.58890
15.757	0.59130
15.710	0.59300
15.662	0.59350
15.615	0.59200
15.568	0.58960
15.521	0.58640
15.475	0.58420
15.429	0.58500
15.383	0.58910
15.338	0.59670
15.292	0.60640
15.248	0.61670
15.203	0.62570
15.158	0.63330
15.114	0.63960
15.070	0.64580
15.027	0.65280
14.983	0.66110
14.940	0.67070
14.897	0.68020
14.854	0.68850
14.812	0.69480
14.770	0.69970
14.728	0.70390
14.686	0.70850
14.645	0.71510
14.603	0.72460
14.562	0.73660
14.521	0.75050
14.481	0.76490
14.441	0.77930
14.400	0.79270
14.361	0.80520
14.321	0.81760
14.281	0.83080
14.242	0.84570
14.203	0.86230
14.164	0.88010
14.126	0.89770
14.087	0.91330
14.049	0.92530
14.011	0.93330
13.973	0.93750
13.936	0.93870
13.899	0.93920
13.861	0.94070
13.824	0.94480
13.788	0.95170
13.751	0.96120
13.715	0.97310
13.679	0.98680
13.643	1.0027
13.607	1.0212
13.571	1.0430
13.536	1.0681
13.500	1.0962
13.465	1.1260
13.430	1.1562
13.396	1.1858
13.361	1.2139
13.327	1.2402
13.293	1.2651
13.259	1.2886
13.225	1.3115
13.191	1.3340
13.158	1.3560
13.124	1.3774
13.091	1.3989
13.058	1.4202
13.026	1.4407
12.993	1.4604
12.960	1.4783
12.928	1.4939
12.896	1.5063
12.864	1.5156
12.832	1.5222
12.800	1.5276
12.769	1.5322
12.737	1.5359
12.706	1.5386
12.675	1.5393
12.644	1.5371
12.614	1.5320
12.583	1.5247
12.552	1.5159
12.522	1.5063
12.492	1.4961
12.462	1.4844
12.432	1.4709
12.402	1.4546
12.373	1.4351
12.343	1.4121
12.314	1.3862
12.285	1.3577
12.256	1.3259
12.227	1.2908
12.198	1.2517
12.169	1.2085
12.141	1.1599
12.113	1.1069
12.084	1.0505
12.056	0.99410
12.028	0.94140
12.000	0.89750
11.973	0.86670
11.945	0.85110
11.918	0.84940
11.890	0.85820
11.863	0.87180
11.836	0.88550
11.809	0.89530
11.782	0.90040
11.755	0.90160
11.729	0.90060
11.702	0.89990
11.676	0.90060
11.650	0.90330
11.624	0.90700
11.598	0.91090
11.572	0.91380
11.546	0.91500
11.520	0.91410
11.495	0.91160
11.469	0.90840
11.444	0.90530
11.419	0.90230
