Name:  Millen2
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  H4
Particle Size:  0-75 micrometers
Sample No.:  Millen 5823
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in 1975.  Smithsonian sample No USNM 5823.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

25.044	0.94700
24.924	0.93480
24.805	0.93630
24.686	0.95460
24.569	1.0110
24.454	1.0806
24.339	1.1150
24.225	1.0969
24.112	1.0466
24.001	0.98560
23.890	0.92160
23.781	0.87520
23.672	0.85790
23.564	0.85790
23.458	0.86430
23.352	0.87400
23.247	0.88820
23.144	0.90380
23.041	0.91500
22.939	0.91870
22.838	0.91160
22.738	0.89820
22.638	0.88740
22.540	0.88500
22.442	0.89230
22.345	0.90430
22.250	0.91160
22.154	0.90360
22.060	0.88010
21.967	0.85010
21.874	0.82250
21.782	0.80790
21.691	0.81100
21.601	0.82370
21.511	0.83620
21.422	0.84110
21.334	0.83790
21.247	0.82670
21.160	0.81350
21.074	0.80960
20.988	0.81740
20.904	0.83250
20.820	0.85250
20.737	0.87520
20.654	0.89700
20.572	0.91360
20.491	0.92650
20.410	0.93970
20.330	0.95260
20.251	0.96340
20.172	0.97340
20.094	0.98240
20.016	0.98930
19.939	0.99220
19.863	0.99360
19.787	0.99760
19.712	1.0046
19.637	1.0129
19.563	1.0244
19.489	1.0371
19.416	1.0439
19.344	1.0388
19.272	1.0183
19.201	0.98580
19.130	0.94580
19.059	0.90410
18.990	0.87110
18.920	0.85180
18.851	0.84570
18.783	0.84740
18.715	0.85060
18.648	0.85420
18.581	0.85740
18.515	0.85890
18.449	0.86130
18.384	0.86570
18.319	0.87080
18.254	0.87300
18.190	0.86870
18.126	0.85790
18.063	0.84180
18.001	0.82180
17.938	0.80180
17.876	0.78660
17.815	0.77810
17.754	0.77560
17.693	0.77950
17.633	0.78640
17.573	0.79350
17.514	0.79760
17.455	0.79780
17.396	0.79490
17.338	0.79080
17.280	0.78660
17.223	0.78610
17.166	0.78810
17.109	0.79100
17.053	0.79370
16.997	0.79300
16.942	0.78880
16.886	0.78250
16.832	0.77470
16.777	0.76760
16.723	0.76100
16.669	0.75510
16.616	0.74980
16.563	0.74170
16.510	0.73220
16.458	0.72390
16.406	0.71780
16.354	0.71530
16.302	0.71440
16.251	0.71530
16.200	0.71530
16.150	0.71120
16.100	0.70580
16.050	0.70240
16.000	0.70140
15.951	0.70070
15.902	0.69780
15.854	0.69120
15.805	0.67920
