Name:  New Concord
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  L6
Particle Size:  0-75 micrometers
Sample No.:  Murray
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in 1960.  Smithsonian sample without a catalog 
number.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

25.044	1.0276
24.924	1.0703
24.805	1.1045
24.686	1.1462
24.569	1.2012
24.454	1.2415
24.339	1.2537
24.225	1.2490
24.112	1.2273
24.001	1.1846
23.890	1.1306
23.781	1.0847
23.672	1.0581
23.564	1.0464
23.458	1.0496
23.352	1.0579
23.247	1.0620
23.144	1.0564
23.041	1.0359
22.939	1.0066
22.838	0.97880
22.738	0.95310
22.638	0.93410
22.540	0.92210
22.442	0.91990
22.345	0.92090
22.250	0.91380
22.154	0.90210
22.060	0.88330
21.967	0.85280
21.874	0.82450
21.782	0.80980
21.691	0.80740
21.601	0.80590
21.511	0.80220
21.422	0.80220
21.334	0.80320
21.247	0.80710
21.160	0.82570
21.074	0.86130
20.988	0.89970
20.904	0.93040
20.820	0.96120
20.737	0.99900
20.654	1.0430
20.572	1.0903
20.491	1.1367
20.410	1.1785
20.330	1.2043
20.251	1.2119
20.172	1.2139
20.094	1.2156
20.016	1.2175
19.939	1.2200
19.863	1.2236
19.787	1.2324
19.712	1.2407
19.637	1.2454
19.563	1.2483
19.489	1.2466
19.416	1.2393
19.344	1.2292
19.272	1.2205
19.201	1.2144
19.130	1.2046
19.059	1.1887
18.990	1.1694
18.920	1.1472
18.851	1.1245
18.783	1.1057
18.715	1.0977
18.648	1.1006
18.581	1.1103
18.515	1.1235
18.449	1.1367
18.384	1.1414
18.319	1.1331
18.254	1.1133
18.190	1.0884
18.126	1.0632
18.063	1.0408
18.001	1.0225
17.938	1.0088
17.876	0.99630
17.815	0.98530
17.754	0.97580
17.693	0.96900
17.633	0.96530
17.573	0.96360
17.514	0.96140
17.455	0.95870
17.396	0.95580
17.338	0.95390
17.280	0.95140
17.223	0.94850
17.166	0.94700
17.109	0.94680
17.053	0.94630
16.997	0.94680
16.942	0.94820
16.886	0.95040
16.832	0.95170
16.777	0.95190
16.723	0.94970
16.669	0.94580
16.616	0.94190
16.563	0.94140
16.510	0.94430
16.458	0.94990
16.406	0.95950
16.354	0.96920
16.302	0.97510
16.251	0.97700
16.200	0.97680
16.150	0.97390
16.100	0.96630
16.050	0.95530
16.000	0.94140
15.951	0.92280
15.902	0.90140
15.854	0.87770
15.805	0.85300
