Name:  Olivenza
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  LL6
Particle Size:  0-75 micrometers
Sample No.:  Olivenza
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in 1924.  Smithsonian sample No. USNM 5955.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

25.044	1.0967
24.924	1.1072
24.805	1.1084
24.686	1.0994
24.569	1.0803
24.454	1.0510
24.339	1.0139
24.225	0.97190
24.112	0.92970
24.001	0.89280
23.890	0.86550
23.781	0.85080
23.672	0.84740
23.564	0.85160
23.458	0.85790
23.352	0.86030
23.247	0.85500
23.144	0.84060
23.041	0.81810
22.939	0.78980
22.838	0.75880
22.738	0.72730
22.638	0.69730
22.540	0.66990
22.442	0.64670
22.345	0.62870
22.250	0.61570
22.154	0.60820
22.060	0.60500
21.967	0.60450
21.874	0.60600
21.782	0.60840
21.691	0.61160
21.601	0.61520
21.511	0.62010
21.422	0.62620
21.334	0.63430
21.247	0.64480
21.160	0.65820
21.074	0.67530
20.988	0.69580
20.904	0.71850
20.820	0.74190
20.737	0.76510
20.654	0.78640
20.572	0.80540
20.491	0.82280
20.410	0.83890
20.330	0.85420
20.251	0.86940
20.172	0.88380
20.094	0.89770
20.016	0.91040
19.939	0.92210
19.863	0.93290
19.787	0.94260
19.712	0.95170
19.637	0.95970
19.563	0.96700
19.489	0.97290
19.416	0.97630
19.344	0.97630
19.272	0.97170
19.201	0.96190
19.130	0.94730
19.059	0.92940
18.990	0.91110
18.920	0.89600
18.851	0.88720
18.783	0.88600
18.715	0.89230
18.648	0.90410
18.581	0.91750
18.515	0.92850
18.449	0.93360
18.384	0.93140
18.319	0.92210
18.254	0.90800
18.190	0.89110
18.126	0.87450
18.063	0.85990
18.001	0.84720
17.938	0.83620
17.876	0.82570
17.815	0.81540
17.754	0.80540
17.693	0.79590
17.633	0.78780
17.573	0.78170
17.514	0.77710
17.455	0.77320
17.396	0.76930
17.338	0.76440
17.280	0.75830
17.223	0.75050
17.166	0.74170
17.109	0.73240
17.053	0.72310
16.997	0.71410
16.942	0.70650
16.886	0.70070
16.832	0.69750
16.777	0.69730
16.723	0.69990
16.669	0.70460
16.616	0.71020
16.563	0.71680
16.510	0.72340
16.458	0.72970
16.406	0.73560
16.354	0.74100
16.302	0.74490
16.251	0.74730
16.200	0.74760
16.150	0.74580
16.100	0.74240
16.050	0.73780
16.000	0.73190
15.951	0.72490
15.902	0.71630
15.854	0.70530
