Name:  PCA 82507
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  LL6
Particle Size:  0-75 micrometers
Sample No.:  PCA 82507
Owner:  JHU
Wavelength range:  IR
Origin:  Found in Antarctic in 1982.  Smithsonian sample No. PCA 82507.05.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

25.044	1.3425
24.924	1.3313
24.805	1.3269
24.686	1.3262
24.569	1.2771
24.454	1.2305
24.339	1.2241
24.225	1.2573
24.112	1.2717
24.001	1.2549
23.890	1.2383
23.781	1.2300
23.672	1.2109
23.564	1.1824
23.458	1.1633
23.352	1.1575
23.247	1.1331
23.144	1.0830
23.041	1.0259
22.939	0.97800
22.838	0.94120
22.738	0.90820
22.638	0.87820
22.540	0.85990
22.442	0.85250
22.345	0.84350
22.250	0.84570
22.154	0.83350
22.060	0.82420
21.967	0.82890
21.874	0.82930
21.782	0.82930
21.691	0.82790
21.601	0.82030
21.511	0.81880
21.422	0.80790
21.334	0.81300
21.247	0.84130
21.160	0.86720
21.074	0.90430
20.988	0.95820
20.904	1.0007
20.820	1.0344
20.737	1.0715
20.654	1.1194
20.572	1.1565
20.491	1.1733
20.410	1.2068
20.330	1.2441
20.251	1.2605
20.172	1.2656
20.094	1.2703
20.016	1.2676
19.939	1.2527
19.863	1.2488
19.787	1.2649
19.712	1.2778
19.637	1.2913
19.563	1.3203
19.489	1.3394
19.416	1.3364
19.344	1.3313
19.272	1.3284
19.201	1.3093
19.130	1.2800
19.059	1.2605
18.990	1.2583
18.920	1.2612
18.851	1.2732
18.783	1.2971
18.715	1.3110
18.648	1.3032
18.581	1.3010
18.515	1.3083
18.449	1.3081
18.384	1.2991
18.319	1.2727
18.254	1.2361
18.190	1.1943
18.126	1.1482
18.063	1.1184
18.001	1.1060
17.938	1.0979
17.876	1.0874
17.815	1.0688
17.754	1.0547
17.693	1.0388
17.633	1.0190
17.573	1.0044
17.514	0.99800
17.455	0.99880
17.396	1.0005
17.338	0.99780
17.280	0.99050
17.223	0.98240
17.166	0.97530
17.109	0.96460
17.053	0.95140
16.997	0.94380
16.942	0.94070
16.886	0.93160
16.832	0.93330
16.777	0.95020
16.723	0.95730
16.669	0.95410
16.616	0.95560
16.563	0.95800
16.510	0.96070
16.458	0.96340
16.406	0.97240
16.354	0.97580
16.302	0.96900
16.251	0.96090
16.200	0.95730
16.150	0.95530
16.100	0.95850
16.050	0.96680
16.000	0.96870
15.951	0.95820
15.902	0.94260
15.854	0.92360
