Name:  TIL 82402
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  LL6
Particle Size:  0-75 micrometers
Sample No.:  TIL 82402
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1982.  Smithsonian sample No. TIL 
82402.05.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

25.044	1.0640
24.924	0.99830
24.805	0.97900
24.686	0.99510
24.569	1.0237
24.454	1.0347
24.339	1.0178
24.225	0.97900
24.112	0.91670
24.001	0.84640
23.890	0.78740
23.781	0.73630
23.672	0.68920
23.564	0.64670
23.458	0.61690
23.352	0.60060
23.247	0.59160
23.144	0.59010
23.041	0.59230
22.939	0.58910
22.838	0.57570
22.738	0.55470
22.638	0.53390
22.540	0.51900
22.442	0.51610
22.345	0.52470
22.250	0.53610
22.154	0.54810
22.060	0.56230
21.967	0.57280
21.874	0.57860
21.782	0.58250
21.691	0.58570
21.601	0.58790
21.511	0.58690
21.422	0.59280
21.334	0.60820
21.247	0.62060
21.160	0.62870
21.074	0.63550
20.988	0.64330
20.904	0.65410
20.820	0.67020
20.737	0.69780
20.654	0.73270
20.572	0.76000
20.491	0.77730
20.410	0.78610
20.330	0.78810
20.251	0.78470
20.172	0.78050
20.094	0.77950
20.016	0.78150
19.939	0.78370
19.863	0.78660
19.787	0.78950
19.712	0.79050
19.637	0.79000
19.563	0.79220
19.489	0.79860
19.416	0.80690
19.344	0.81540
19.272	0.82150
19.201	0.82030
19.130	0.81030
19.059	0.79570
18.990	0.78150
18.920	0.77070
18.851	0.76340
18.783	0.76030
18.715	0.76150
18.648	0.76390
18.581	0.76460
18.515	0.76290
18.449	0.75610
18.384	0.74540
18.319	0.73220
18.254	0.72170
18.190	0.71480
18.126	0.70950
18.063	0.70700
18.001	0.70630
17.938	0.70530
17.876	0.70580
17.815	0.70900
17.754	0.71510
17.693	0.72020
17.633	0.72020
17.573	0.71700
17.514	0.71020
17.455	0.69870
17.396	0.68460
17.338	0.67210
17.280	0.66480
17.223	0.66160
17.166	0.66190
17.109	0.66480
17.053	0.66700
16.997	0.66630
16.942	0.66210
16.886	0.65720
16.832	0.65330
16.777	0.64990
16.723	0.64870
16.669	0.64750
16.616	0.64750
16.563	0.65110
16.510	0.65700
16.458	0.66260
16.406	0.66770
16.354	0.67110
16.302	0.67310
16.251	0.67430
16.200	0.67820
16.150	0.68600
16.100	0.69260
16.050	0.69380
16.000	0.69020
15.951	0.67990
15.902	0.66360
