Name:  Winona
Type:  Stony Meteorites
Class:  Anomalous
Subclass:  
Particle Size:  0-75 micrometers
Sample No.:  Winona
Owner:  JHU
Wavelength range:  IR
Origin:  A prehistoric meteorite find.  Smithsonian sample No. 
USNM 854.
Description:  Weathered.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

25.044	0.78740
24.924	0.75540
24.805	0.71900
24.686	0.69140
24.569	0.68580
24.454	0.71090
24.339	0.76610
24.225	0.84080
24.112	0.91870
24.001	0.98290
23.890	1.0220
23.781	1.0322
23.672	1.0173
23.564	0.98510
23.458	0.94480
23.352	0.90360
23.247	0.86620
23.144	0.83570
23.041	0.81270
22.939	0.79760
22.838	0.78880
22.738	0.78520
22.638	0.78520
22.540	0.78810
22.442	0.79420
22.345	0.80270
22.250	0.81250
22.154	0.82010
22.060	0.82100
21.967	0.81180
21.874	0.79080
21.782	0.75980
21.691	0.72290
21.601	0.68550
21.511	0.65260
21.422	0.62740
21.334	0.61130
21.247	0.60380
21.160	0.60450
21.074	0.61330
20.988	0.62960
20.904	0.65260
20.820	0.67990
20.737	0.70830
20.654	0.73510
20.572	0.75810
20.491	0.77780
20.410	0.79660
20.330	0.81790
20.251	0.84450
20.172	0.87620
20.094	0.91090
20.016	0.94430
19.939	0.97170
19.863	0.99050
19.787	1.0007
19.712	1.0049
19.637	1.0061
19.563	1.0078
19.489	1.0110
19.416	1.0144
19.344	1.0159
19.272	1.0124
19.201	1.0020
19.130	0.98440
19.059	0.96090
18.990	0.93480
18.920	0.90940
18.851	0.88790
18.783	0.87160
18.715	0.86180
18.648	0.85770
18.581	0.85840
18.515	0.86280
18.449	0.86890
18.384	0.87480
18.319	0.87820
18.254	0.87770
18.190	0.87180
18.126	0.86060
18.063	0.84520
18.001	0.82710
17.938	0.80810
17.876	0.78950
17.815	0.77340
17.754	0.76150
17.693	0.75460
17.633	0.75320
17.573	0.75660
