Name: Green Quartzite 
Type:  Rocks
Class:  Metamorphic 
Subclass: Quartzite
Particle Size:  0-75 Micrometer
Sample No.:   qtzite2.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 376, The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description:  This medium to fine-grained rock contains aligned quartz grains 
showing strain, pressure solution effects, recrystallization and scattered fluid 
inclusions.  Green bands or lenses contain cores of larger grains surrounded by 
smaller ones produced by mechanical breakage (cataclasis).  These grains are 
colorless to very pale green and appear to be tremolite.   Modes for this sample 
were 77.5% quartz and 22.5% amphibole. 
Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.9831	
Last X Value:  0.4
Number of X Values: 2868
Additional Information:  None

14.983	8.6071
14.940	8.5725
14.897	8.4422
14.854	8.3437
14.812	8.2031
14.770	7.8855
14.728	7.4947
14.686	6.9754
14.645	6.3464
14.603	5.6428
14.562	4.9007
14.521	4.0654
14.481	3.2588
14.441	2.5837
14.400	2.0937
14.361	1.8898
14.321	2.0653
14.281	2.5562
14.242	3.2685
14.203	4.1225
14.164	4.9708
14.126	5.7272
14.087	6.3616
14.049	6.8906
14.011	7.3671
13.973	7.7576
13.936	8.0648
13.899	8.3298
13.861	8.5391
13.824	8.6670
13.788	8.7354
13.751	8.7721
13.715	8.7965
13.679	8.7814
13.643	8.7371
13.607	8.6973
13.571	8.6627
13.536	8.6161
13.500	8.5675
13.465	8.5086
13.430	8.4231
13.396	8.2841
13.361	8.1027
13.327	7.8725
13.293	7.5826
13.259	7.2565
13.225	6.9200
13.191	6.5427
13.158	6.1307
13.124	5.6949
13.091	5.2519
13.058	4.8244
13.026	4.4242
12.993	4.0787
12.960	3.8203
12.928	3.6344
12.896	3.5165
12.864	3.4405
12.832	3.3775
12.800	3.3135
12.769	3.2077
12.737	3.0488
12.706	2.8695
12.675	2.7125
12.644	2.6066
12.614	2.5583
12.583	2.5590
12.552	2.5773
12.522	2.5690
12.492	2.4982
12.462	2.3492
12.432	2.1252
12.402	1.8555
12.373	1.5973
12.343	1.4036
12.314	1.3112
12.285	1.3712
12.256	1.5909
12.227	1.9367
12.198	2.3677
12.169	2.8617
12.141	3.4094
12.113	3.9714
12.084	4.4995
12.056	4.9942
12.028	5.4588
12.000	5.9112
11.973	6.3760
11.945	6.8826
11.918	7.4374
11.890	7.9942
11.863	8.5104
11.836	8.9628
11.809	9.3270
11.782	9.6140
11.755	9.8480
11.729	10.067
11.702	10.277
11.676	10.464
11.650	10.623
11.624	10.743
11.598	10.800
11.572	10.797
11.546	10.740
11.520	10.627
11.495	10.451
11.469	10.224
11.444	9.9704
11.419	9.7327
11.394	9.5579
11.369	9.4878
