Name: Gray Quartzite
Type:  Rocks
Class:  Metamorphic 
Subclass: Quartzite
Particle Size:  0-75 Micrometer
Sample No.:   qrtzit5.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 382, The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description: This is a sample much like the previous one in composition.  It is a 
fine-grained slightly metamorphosed well-compacted sandstone with some 
secondary quartz deposition, and much more silica/chalcedony deposition.  The 
quartz grains, unlike the previous rock, show evidence of only weak strain and 
fewer fluid inclusions.  In addition there are scattered detrital green and brown 
tourmaline and zircon.   
Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.9831
Last X Value:  0.4
Number of X Values: 2868
Additional Information:  qrtzit5a.txt

14.983	8.5301
14.940	8.1711
14.897	7.9061
14.854	7.7311
14.812	7.5947
14.770	7.4332
14.728	7.1909
14.686	6.8250
14.645	6.3348
14.603	5.7456
14.562	5.0906
14.521	4.4007
14.481	3.7145
14.441	3.0966
14.400	2.6256
14.361	2.3689
14.321	2.3708
14.281	2.6414
14.242	3.1525
14.203	3.8338
14.164	4.5949
14.126	5.3554
14.087	6.0530
14.049	6.6491
14.011	7.1322
13.973	7.5142
13.936	7.8154
13.899	8.0536
13.861	8.2443
13.824	8.4018
13.788	8.5294
13.751	8.6218
13.715	8.6743
13.679	8.6862
13.643	8.6585
13.607	8.5993
13.571	8.5225
13.536	8.4422
13.500	8.3622
13.465	8.2765
13.430	8.1746
13.396	8.0444
13.361	7.8737
13.327	7.6555
13.293	7.3901
13.259	7.0817
13.225	6.7376
13.191	6.3663
13.158	5.9803
13.124	5.5941
13.091	5.2246
13.058	4.8945
13.026	4.6271
12.993	4.4448
12.960	4.3595
12.928	4.3655
12.896	4.4348
12.864	4.5196
12.832	4.5637
12.800	4.5208
12.769	4.3733
12.737	4.1400
12.706	3.8736
12.675	3.6403
12.644	3.4982
12.614	3.4717
12.583	3.5413
12.552	3.6484
12.522	3.7145
12.492	3.6647
12.462	3.4544
12.432	3.0848
12.402	2.6052
12.373	2.0970
12.343	1.6518
12.314	1.3451
12.285	1.2215
12.256	1.2873
12.227	1.5185
12.198	1.8737
12.169	2.3104
12.141	2.7937
12.113	3.2984
12.084	3.8078
12.056	4.3119
12.028	4.8043
12.000	5.2791
11.973	5.7319
11.945	6.1608
11.918	6.5645
11.890	6.9444
11.863	7.3020
11.836	7.6394
11.809	7.9580
11.782	8.2578
11.755	8.5384
11.729	8.7984
11.702	9.0338
11.676	9.2417
11.650	9.4210
11.624	9.5721
11.598	9.6981
11.572	9.8056
11.546	9.9051
11.520	10.005
11.495	10.113
11.469	10.230
11.444	10.357
11.419	10.486
11.394	10.609
11.369	10.715
