Name: Green Schist 
Type:  Rocks
Class:  Metamorphic 
Subclass: Schist 
Particle Size:  0-75 Micrometer
Sample No.:   schist1.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 392, The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description: This is a medium to coarse-grained sample containing tremolite-
actinolite crystals and talc.  Amphibole is heavily altered to talc, and in addition to 
these phases there is quartz and some carbonate, as an alteration product, along 
with opaque grains.  There may be heavily altered plagioclase present in this 
sample as well.  Modes were 50.6% talc, 38% amphibole, 5.4% quartz, 3.6% 
calcite, 2.4% plagioclase remnants.   
Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.9831	
Last X Value:  0.4
Number of X Values: 2868
Additional Information:  None

14.983	1.6023
14.940	1.5744
14.897	1.5841
14.854	1.6234
14.812	1.6745
14.770	1.7145
14.728	1.7306
14.686	1.7254
14.645	1.7141
14.603	1.7103
14.562	1.7190
14.521	1.7399
14.481	1.7683
14.441	1.7989
14.400	1.8282
14.361	1.8573
14.321	1.8879
14.281	1.9180
14.242	1.9426
14.203	1.9587
14.164	1.9668
14.126	1.9684
14.087	1.9670
14.049	1.9660
14.011	1.9665
13.973	1.9665
13.936	1.9632
13.899	1.9561
13.861	1.9473
13.824	1.9400
13.788	1.9390
13.751	1.9478
13.715	1.9670
13.679	1.9940
13.643	2.0243
13.607	2.0537
13.571	2.0778
13.536	2.0956
13.500	2.1072
13.465	2.1145
13.430	2.1188
13.396	2.1214
13.361	2.1219
13.327	2.1190
13.293	2.1117
13.259	2.0991
13.225	2.0811
13.191	2.0589
13.158	2.0354
13.124	2.0146
13.091	2.0006
13.058	1.9975
13.026	2.0077
12.993	2.0309
12.960	2.0646
12.928	2.1041
12.896	2.1441
12.864	2.1794
12.832	2.2064
12.800	2.2249
12.769	2.2379
12.737	2.2528
12.706	2.2789
12.675	2.3253
12.644	2.3985
12.614	2.4991
12.583	2.6223
12.552	2.7580
12.522	2.8946
12.492	3.0218
12.462	3.1335
12.432	3.2276
12.402	3.3064
12.373	3.3739
12.343	3.4343
12.314	3.4900
12.285	3.5418
12.256	3.5887
12.227	3.6292
12.198	3.6635
12.169	3.6929
12.141	3.7199
12.113	3.7476
12.084	3.7774
12.056	3.8089
12.028	3.8393
12.000	3.8639
11.973	3.8793
11.945	3.8840
11.918	3.8802
11.890	3.8722
11.863	3.8665
11.836	3.8691
11.809	3.8838
11.782	3.9096
11.755	3.9425
11.729	3.9754
11.702	4.0010
11.676	4.0138
11.650	4.0121
11.624	3.9986
11.598	3.9771
11.572	3.9527
11.546	3.9290
11.520	3.9084
11.495	3.8909
11.469	3.8764
11.444	3.8648
11.419	3.8561
11.394	3.8502
11.369	3.8464
11.344	3.8438
11.319	3.8409
11.294	3.8359
11.270	3.8265
11.245	3.8113
11.221	3.7883
11.197	3.7568
11.173	3.7171
11.149	3.6702
11.125	3.6183
11.101	3.5646
11.077	3.5127
11.054	3.4649
11.030	3.4220
11.007	3.3827
10.983	3.3438
10.960	3.3014
10.937	3.2522
10.914	3.1951
10.891	3.1324
10.868	3.0694
10.846	3.0135
10.823	2.9727
10.800	2.9533
10.778	2.9576
10.756	2.9841
10.733	3.0282
10.711	3.0831
10.689	3.1433
10.667	3.2051
10.645	3.2685
10.623	3.3344
10.602	3.4042
10.580	3.4772
10.558	3.5489
10.537	3.6145
10.516	3.6685
10.494	3.7081
10.473	3.7322
10.452	3.7436
10.431	3.7460
10.410	3.7441
10.389	3.7410
10.368	3.7403
10.348	3.7443
10.327	3.7559
10.306	3.7767
10.286	3.8082
10.266	3.8509
10.245	3.9032
10.225	3.9619
10.205	4.0228
10.185	4.0822
10.165	4.1365
10.145	4.1824
10.125	4.2186
10.106	4.2442
10.086	4.2587
10.066	4.2620
10.047	4.2544
10.027	4.2366
10.008	4.2096
9.9887	4.1736
9.9695	4.1282
9.9504	4.0720
9.9313	4.0031
9.9123	3.9195
9.8934	3.8220
9.8746	3.7130
9.8558	3.5994
9.8371	3.4902
9.8185	3.3964
9.7999	3.3282
9.7814	3.2925
9.7630	3.2903
9.7447	3.3168
9.7264	3.3618
9.7082	3.4123
9.6900	3.4556
9.6719	3.4836
9.6539	3.4923
9.6360	3.4847
9.6181	3.4653
9.6003	3.4405
9.5825	3.4144
9.5649	3.3893
9.5472	3.3659
9.5297	3.3455
9.5122	3.3296
9.4948	3.3206
9.4774	3.3209
9.4601	3.3303
9.4429	3.3476
9.4257	3.3687
9.4086	3.3891
9.3916	3.4049
9.3746	3.4151
9.3577	3.4194
9.3408	3.4194
9.3240	3.4175
9.3073	3.4156
9.2906	3.4144
9.2740	3.4135
9.2574	3.4116
9.2409	3.4064
9.2245	3.3950
9.2081	3.3751
9.1918	3.3453
9.1755	3.3055
9.1593	3.2562
9.1431	3.1999
9.1270	3.1399
9.1110	3.0805
9.0950	3.0265
9.0791	2.9829
9.0632	2.9531
9.0474	2.9389
9.0316	2.9386
9.0159	2.9495
9.0003	2.9666
8.9847	2.9862
8.9691	3.0061
8.9536	3.0270
8.9382	3.0514
8.9228	3.0831
8.9075	3.1243
8.8922	3.1759
8.8770	3.2363
8.8618	3.3017
8.8467	3.3680
8.8316	3.4310
8.8166	3.4869
8.8016	3.5333
8.7867	3.5686
8.7718	3.5932
8.7570	3.6084
8.7423	3.6150
8.7275	3.6138
8.7129	3.6043
8.6982	3.5844
8.6837	3.5520
8.6692	3.5063
8.6547	3.4487
8.6403	3.3832
8.6259	3.3145
8.6116	3.2479
8.5973	3.1868
8.5830	3.1326
8.5688	3.0857
8.5547	3.0459
8.5406	3.0135
8.5266	2.9898
8.5126	2.9768
8.4986	2.9758
8.4847	2.9881
8.4708	3.0125
8.4570	3.0469
8.4432	3.0895
8.4295	3.1378
8.4158	3.1901
8.4022	3.2460
8.3886	3.3038
8.3750	3.3623
8.3615	3.4196
8.3481	3.4743
8.3347	3.5257
8.3213	3.5745
8.3079	3.6223
8.2946	3.6711
8.2814	3.7225
8.2682	3.7765
8.2550	3.8322
8.2419	3.8876
8.2288	3.9399
8.2158	3.9875
8.2028	4.0294
8.1898	4.0657
8.1769	4.0972
8.1640	4.1258
8.1512	4.1533
8.1384	4.1812
8.1256	4.2108
8.1129	4.2435
8.1002	4.2797
8.0876	4.3212
8.0750	4.3693
8.0624	4.4259
8.0499	4.4926
8.0374	4.5696
8.0250	4.6560
8.0126	4.7496
8.0002	4.8474
7.9879	4.9457
7.9756	5.0425
7.9634	5.1368
7.9512	5.2291
7.9390	5.3210
7.9268	5.4143
7.9147	5.5100
7.9027	5.6087
7.8906	5.7099
7.8786	5.8124
7.8667	5.9154
7.8548	6.0184
7.8429	6.1224
7.8310	6.2280
7.8192	6.3372
7.8075	6.4516
7.7957	6.5728
7.7840	6.7007
7.7723	6.8338
7.7607	6.9695
7.7491	7.1052
7.7375	7.2378
7.7260	7.3662
7.7145	7.4902
7.7031	7.6110
7.6916	7.7290
7.6802	7.8440
7.6689	7.9556
7.6575	8.0629
7.6462	8.1656
7.6350	8.2656
7.6238	8.3650
7.6126	8.4671
7.6014	8.5732
7.5903	8.6829
7.5792	8.7939
7.5681	8.9031
7.5571	9.0073
7.5461	9.1046
7.5351	9.1948
7.5242	9.2784
7.5133	9.3568
7.5024	9.4310
7.4916	9.5013
7.4807	9.5681
7.4700	9.6304
7.4592	9.6877
7.4485	9.7407
7.4378	9.7904
7.4272	9.8387
7.4165	9.8885
7.4059	9.9415
7.3954	9.9981
7.3848	10.057
7.3743	10.117
7.3639	10.175
7.3534	10.229
7.3430	10.277
7.3326	10.319
7.3223	10.357
7.3119	10.392
7.3016	10.429
7.2914	10.467
7.2811	10.509
7.2709	10.551
7.2607	10.592
7.2506	10.627
7.2404	10.653
7.2303	10.670
7.2203	10.679
7.2102	10.685
7.2002	10.690
7.1902	10.699
7.1803	10.716
7.1703	10.744
7.1604	10.785
7.1506	10.841
7.1407	10.913
7.1309	10.997
