Name: Chlorite Schist 
Type:  Rocks
Class:  Metamorphic 
Subclass: Schist 
Particle Size:  0-75 Micrometer
Sample No.:   schist7.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 395, The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description: This is a coarse-grained greenish schistose rock containing red 
garnet porphyroblasts.  Microscopically there are granulated grains of actinolite 
and tremolite with somewhat lesser amounts of chlorite.  This latter mineral is 
apparently secondary to the amphiboles and their granulation.  It often occurs as 
an alteration around the garnet crystals in addition to its association with the 
amphiboles.  
Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.0112	
Last X Value:  0.4
Number of X Values: 2844
Additional Information:  schist7a.txt

14.983	1.4157
14.940	1.3463
14.897	1.3271
14.854	1.3465
14.812	1.3880
14.770	1.4394
14.728	1.4955
14.686	1.5571
14.645	1.6257
14.603	1.7013
14.562	1.7792
14.521	1.8517
14.481	1.9111
14.441	1.9509
14.400	1.9684
14.361	1.9646
14.321	1.9457
14.281	1.9194
14.242	1.8955
14.203	1.8822
14.164	1.8843
14.126	1.9038
14.087	1.9379
14.049	1.9814
14.011	2.0281
13.973	2.0717
13.936	2.1074
13.899	2.1335
13.861	2.1508
13.824	2.1626
13.788	2.1744
13.751	2.1913
13.715	2.2178
13.679	2.2564
13.643	2.3073
13.607	2.3691
13.571	2.4387
13.536	2.5131
13.500	2.5896
13.465	2.6658
13.430	2.7402
13.396	2.8115
13.361	2.8790
13.327	2.9417
13.293	2.9988
13.259	3.0502
13.225	3.0954
13.191	3.1352
13.158	3.1703
13.124	3.2025
13.091	3.2335
13.058	3.2645
13.026	3.2955
12.993	3.3263
12.960	3.3547
12.928	3.3789
12.896	3.3969
12.864	3.4087
12.832	3.4154
12.800	3.4187
12.769	3.4215
12.737	3.4267
12.706	3.4352
12.675	3.4476
12.644	3.4618
12.614	3.4760
12.583	3.4873
12.552	3.4940
12.522	3.4959
12.492	3.4935
12.462	3.4892
12.432	3.4847
12.402	3.4817
12.373	3.4810
12.343	3.4828
12.314	3.4864
12.285	3.4916
12.256	3.4975
12.227	3.5037
12.198	3.5098
12.169	3.5158
12.141	3.5219
12.113	3.5281
12.084	3.5352
12.056	3.5435
12.028	3.5537
12.000	3.5657
11.973	3.5797
11.945	3.5951
11.918	3.6107
11.890	3.6256
11.863	3.6389
11.836	3.6505
11.809	3.6598
11.782	3.6673
11.755	3.6737
11.729	3.6792
11.702	3.6841
11.676	3.6886
11.650	3.6915
11.624	3.6924
11.598	3.6912
11.572	3.6879
11.546	3.6832
11.520	3.6789
11.495	3.6768
11.469	3.6782
11.444	3.6834
11.419	3.6924
11.394	3.7040
11.369	3.7173
11.344	3.7306
11.319	3.7426
11.294	3.7531
11.270	3.7609
11.245	3.7651
11.221	3.7647
11.197	3.7587
11.173	3.7474
11.149	3.7313
11.125	3.7121
11.101	3.6927
11.077	3.6751
11.054	3.6621
11.030	3.6550
11.007	3.6541
10.983	3.6593
10.960	3.6692
10.937	3.6834
10.914	3.7014
10.891	3.7235
10.868	3.7507
10.846	3.7841
10.823	3.8248
10.800	3.8738
10.778	3.9304
10.755	3.9937
10.733	4.0612
10.711	4.1310
10.689	4.2011
10.667	4.2703
10.645	4.3378
10.623	4.4041
10.602	4.4685
10.580	4.5305
10.558	4.5888
10.537	4.6414
10.516	4.6854
10.494	4.7195
10.473	4.7422
10.452	4.7534
10.431	4.7534
10.410	4.7432
10.389	4.7242
10.368	4.6972
10.348	4.6643
10.327	4.6271
10.306	4.5888
10.286	4.5530
10.266	4.5229
10.245	4.5014
10.225	4.4898
10.205	4.4879
10.185	4.4938
10.165	4.5045
10.145	4.5170
10.125	4.5286
10.106	4.5379
10.086	4.5443
10.066	4.5485
10.047	4.5509
10.027	4.5509
10.008	4.5476
9.9887	4.5400
9.9695	4.5270
9.9504	4.5085
9.9313	4.4865
9.9123	4.4635
9.8934	4.4431
9.8746	4.4287
9.8558	4.4225
9.8371	4.4259
9.8185	4.4379
9.7999	4.4569
9.7814	4.4801
9.7630	4.5045
9.7447	4.5279
9.7264	4.5480
9.7082	4.5642
9.6900	4.5762
9.6719	4.5855
9.6539	4.5928
9.6360	4.6004
9.6181	4.6108
9.6003	4.6257
9.5825	4.6477
9.5649	4.6781
9.5472	4.7167
9.5297	4.7619
9.5122	4.8102
9.4948	4.8566
9.4774	4.8952
9.4601	4.9203
9.4429	4.9262
9.4257	4.9097
9.4086	4.8689
9.3916	4.8043
9.3746	4.7195
9.3577	4.6200
9.3408	4.5135
9.3240	4.4083
9.3073	4.3134
9.2906	4.2355
9.2740	4.1793
9.2574	4.1469
9.2409	4.1367
9.2245	4.1452
9.2081	4.1672
9.1918	4.1973
9.1755	4.2307
9.1593	4.2641
9.1431	4.2954
9.1270	4.3240
9.1110	4.3503
9.0950	4.3749
9.0791	4.3984
9.0632	4.4211
9.0474	4.4429
9.0316	4.4630
9.0159	4.4798
9.0003	4.4910
8.9847	4.4938
8.9691	4.4858
8.9536	4.4642
8.9382	4.4282
8.9228	4.3773
8.9075	4.3124
8.8922	4.2359
8.8770	4.1511
8.8618	4.0616
8.8467	3.9714
8.8316	3.8833
8.8166	3.7997
8.8016	3.7199
8.7867	3.6422
8.7718	3.5634
8.7570	3.4805
8.7422	3.3926
8.7275	3.3024
8.7129	3.2152
8.6982	3.1380
8.6837	3.0769
8.6692	3.0338
8.6547	3.0054
8.6403	2.9836
8.6259	2.9578
8.6116	2.9180
8.5973	2.8584
8.5830	2.7790
8.5688	2.6850
8.5547	2.5848
8.5406	2.4863
8.5266	2.3961
8.5126	2.3161
8.4986	2.2460
8.4847	2.1827
8.4708	2.1240
8.4570	2.0681
8.4432	2.0153
8.4295	1.9672
8.4158	1.9260
8.4022	1.8936
8.3886	1.8720
8.3750	1.8616
8.3615	1.8623
8.3481	1.8734
8.3347	1.8936
8.3213	1.9215
8.3079	1.9563
8.2946	1.9973
8.2814	2.0447
8.2682	2.0984
8.2550	2.1583
8.2419	2.2242
8.2288	2.2950
8.2158	2.3705
8.2028	2.4496
8.1898	2.5320
8.1769	2.6178
8.1640	2.7068
8.1512	2.7992
8.1384	2.8948
8.1256	2.9929
8.1129	3.0931
8.1002	3.1956
8.0876	3.3005
8.0750	3.4083
8.0624	3.5196
8.0499	3.6344
8.0374	3.7523
8.0250	3.8729
8.0126	3.9956
8.0002	4.1196
7.9879	4.2456
7.9756	4.3735
7.9634	4.5031
7.9512	4.6340
7.9390	4.7654
7.9268	4.8969
7.9147	5.0276
7.9027	5.1586
7.8906	5.2900
7.8786	5.4231
7.8667	5.5578
7.8548	5.6940
7.8429	5.8309
7.8310	5.9680
7.8192	6.1051
7.8075	6.2425
7.7957	6.3812
7.7840	6.5212
7.7723	6.6623
7.7607	6.8032
7.7491	6.9425
7.7375	7.0784
7.7260	7.2103
7.7145	7.3387
7.7031	7.4644
7.6916	7.5895
7.6802	7.7145
7.6689	7.8400
7.6575	7.9658
7.6462	8.0906
7.6350	8.2135
7.6238	8.3345
7.6126	8.4541
7.6014	8.5730
7.5903	8.6926
7.5792	8.8138
7.5681	8.9377
7.5571	9.0634
7.5461	9.1903
7.5351	9.3175
7.5242	9.4433
7.5133	9.5666
7.5024	9.6874
7.4916	9.8054
7.4807	9.9209
7.4700	10.035
7.4592	10.149
7.4485	10.262
7.4378	10.376
7.4272	10.489
7.4165	10.604
7.4059	10.719
7.3954	10.835
7.3848	10.954
7.3743	11.076
7.3639	11.200
7.3534	11.325
7.3430	11.450
7.3326	11.572
7.3222	11.691
7.3119	11.806
7.3016	11.917
7.2914	12.025
7.2811	12.131
7.2709	12.237
7.2607	12.343
7.2506	12.448
7.2404	12.552
7.2303	12.653
7.2203	12.752
7.2102	12.846
7.2002	12.936
7.1902	13.024
7.1803	13.109
7.1703	13.195
7.1604	13.282
7.1506	13.372
7.1407	13.466
7.1309	13.562
7.1211	13.660
7.1113	13.756
7.1016	13.850
