Name: Red Quartzite 
Type:  Rocks
Class:  Metamorphic 
Subclass: Quartzite
Particle Size:  500 - 1500 Micrometer
File Name:   qtzite1.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 377, The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description:  A well-compacted sample with medium-grained subangular to 
subrounded quartz grains and small amounts of interstitial calcite cement.  There 
is also a trace amount of secondary quartz cement   Fluid inclusions are common 
in the quartz with some grains showing strain while trace amounts of feldspar are 
present.  The calcite cement itself is stained with ferruginous material and some 
clay.  Modal analyses gave 69% quartz, 25% calcite, 5% clay, 1% feldspar.    
Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.0112	
Last X Value:  0.4
Number of X Values:  2844
Additional Information:  None

14.0112	0.4062
13.9734	0.6934
13.9359	0.9367
13.8985	1.1289
13.8614	1.2755
13.8244	1.3793
13.7876	1.4461
13.7511	1.4672
13.7147	1.4333
13.6785	1.3688
13.6425	1.3293
13.6067	1.3554
13.5711	1.4645
13.5356	1.6393
13.5004	1.8454
13.4653	2.0292
13.4304	2.1542
13.3957	2.2074
13.3612	2.1962
13.3269	2.1371
13.2927	2.06
13.2587	1.9937
13.2249	1.9655
13.1912	1.9894
13.1577	2.0762
13.1244	2.2213
13.0913	2.4115
13.0583	2.6331
13.0255	2.8799
12.9929	3.1496
12.9604	3.4468
12.9281	3.7655
12.8959	4.0825
12.8639	4.3497
12.8321	4.5143
12.8004	4.5315
12.7688	4.3866
12.7375	4.1081
12.7063	3.7741
12.6752	3.4768
12.6443	3.2939
12.6135	3.2602
12.5829	3.3628
12.5524	3.5362
12.5221	3.6863
12.4919	3.7207
12.4619	3.5839
12.432	3.2632
12.4023	2.7941
12.3727	2.25
12.3432	1.7255
12.3139	1.304
12.2847	1.0329
12.2557	0.9154
12.2268	0.9226
12.198	1.0039
12.1694	1.1126
12.1409	1.2154
12.1125	1.3073
12.0843	1.3965
12.0562	1.4911
12.0282	1.5901
12.0003	1.6889
11.9726	1.7767
11.945	1.8451
11.9176	1.8887
11.8903	1.9131
11.8631	1.927
11.836	1.9392
11.809	1.9583
11.7822	1.9919
11.7555	2.042
11.7289	2.1069
11.7024	2.1789
11.676	2.2495
11.6498	2.3112
11.6237	2.365
11.5977	2.4172
11.5718	2.4794
11.546	2.5624
11.5203	2.6739
11.4948	2.8115
11.4694	2.9663
11.444	3.1261
11.4188	3.2824
11.3937	3.4221
11.3688	3.5304
11.3439	3.5932
11.3191	3.5968
11.2944	3.5338
11.2699	3.4111
11.2455	3.2499
11.2211	3.0826
11.1969	2.9372
11.1727	2.8295
11.1487	2.7596
11.1248	2.7136
11.101	2.6737
11.0773	2.6306
