Name: Green Quartzite 
Type:  Rocks
Class:  Metamorphic 
Subclass: Quartzite
Particle Size:  500-1500 Micrometer
Sample No.:   qtzite2.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 376, The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description:  This medium to fine-grained rock contains aligned quartz grains 
showing strain, pressure solution effects, recrystallization and scattered fluid 
inclusions.  Green bands or lenses contain cores of larger grains surrounded by 
smaller ones produced by mechanical breakage (cataclasis).  These grains are 
colorless to very pale green and appear to be tremolite.   Modes for this sample 
were 77.5% quartz and 22.5% amphibole. 
Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.9831	
Last X Value:  0.4
Number of X Values: 2868
Additional Information:  None

14.9831	2.6069
14.9399	2.6725
14.897	2.6999
14.8543	2.7757
14.8119	2.8352
14.7697	2.8671
14.7277	2.9337
14.686	2.9974
14.6445	3.0566
14.6033	3.0784
14.5622	3.1253
14.5214	3.1906
14.4809	3.2344
14.4405	3.2034
14.4004	3.0914
14.3605	2.8849
14.3209	2.6826
14.2814	2.5441
14.2422	2.5169
14.2032	2.587
14.1643	2.6687
14.1258	2.7286
14.0874	2.7606
14.0492	2.7838
14.0112	2.8202
13.9734	2.8816
13.9359	2.9623
13.8985	3.0199
13.8614	3.0604
13.8244	3.1018
13.7876	3.1279
13.7511	3.138
13.7147	3.166
13.6785	3.2103
13.6425	3.2444
13.6067	3.2631
13.5711	3.287
13.5356	3.3244
13.5004	3.3654
13.4653	3.3905
13.4304	3.4331
13.3957	3.4784
13.3612	3.5141
13.3269	3.5534
13.2927	3.5984
13.2587	3.6344
13.2249	3.6768
13.1912	3.7261
13.1577	3.8007
13.1244	3.8845
13.0913	3.9944
13.0583	4.1391
13.0255	4.3117
12.9929	4.5293
12.9604	4.8336
12.9281	5.244
12.8959	5.7421
12.8639	6.2472
12.8321	6.6657
12.8004	6.8764
12.7688	6.7855
12.7375	6.4075
12.7063	5.873
12.6752	5.3615
12.6443	5.0475
12.6135	5.0158
12.5829	5.2438
12.5524	5.6142
12.5221	5.9616
12.4919	6.102
12.4619	5.8898
12.432	5.2737
12.4023	4.364
12.3727	3.3472
12.3432	2.4148
12.3139	1.725
12.2847	1.3674
12.2557	1.2999
12.2268	1.388
12.198	1.5125
12.1694	1.6376
12.1409	1.7579
12.1125	1.8704
12.0843	1.9634
12.0562	2.052
12.0282	2.1375
12.0003	2.2095
11.9726	2.2739
11.945	2.3433
11.9176	2.416
11.8903	2.4885
11.8631	2.5619
11.836	2.6467
11.809	2.7234
11.7822	2.7868
11.7555	2.8522
11.7289	2.9183
11.7024	2.9713
11.676	3.0248
11.6498	3.0886
11.6237	3.1504
