Name: Gray Quartzite
Type:  Rocks
Class:  Metamorphic 
Subclass: Quartzite
Particle Size:  500-1500 Micrometer
Sample No.:   qrtzit5.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 382, The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description: This is a sample much like the previous one in composition.  It is a 
fine-grained slightly metamorphosed well-compacted sandstone with some 
secondary quartz deposition, and much more silica/chalcedony deposition.  The 
quartz grains, unlike the previous rock, show evidence of only weak strain and 
fewer fluid inclusions.  In addition there are scattered detrital green and brown 
tourmaline and zircon.   
Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.9831
Last X Value:  0.4
Number of X Values: 2868
Additional Information:  qrtzit5a.txt

14.9831	3.2283
14.9399	3.1752
14.897	3.1035
14.8543	3.0438
14.8119	3.0185
14.7697	3.0376
14.7277	3.1025
14.686	3.2055
14.6445	3.3365
14.6033	3.4791
14.5622	3.6088
14.5214	3.6953
14.4809	3.7031
14.4405	3.6112
14.4004	3.4298
14.3605	3.197
14.3209	2.9699
14.2814	2.8011
14.2422	2.717
14.2032	2.7113
14.1643	2.7575
14.1258	2.8214
14.0874	2.8809
14.0492	2.9339
14.0112	2.9926
13.9734	3.0668
13.9359	3.1544
13.8985	3.2489
13.8614	3.3455
13.8244	3.4319
13.7876	3.4982
13.7511	3.5489
13.7147	3.587
13.6785	3.611
13.6425	3.6214
13.6067	3.6292
13.5711	3.6477
13.5356	3.6813
13.5004	3.736
13.4653	3.8203
13.4304	3.9264
13.3957	4.0342
13.3612	4.1275
13.3269	4.1987
13.2927	4.2485
13.2587	4.2854
13.2249	4.3352
13.1912	4.4282
13.1577	4.5814
13.1244	4.7934
13.0913	5.0555
13.0583	5.361
13.0255	5.7122
12.9929	6.1241
12.9604	6.6152
12.9281	7.1874
12.8959	7.8021
12.8639	8.3674
12.8321	8.7627
12.8004	8.8863
12.7688	8.6982
12.7375	8.2476
12.7063	7.6662
12.6752	7.1362
12.6443	6.8253
12.6135	6.8115
12.5829	7.0555
12.5524	7.4116
12.5221	7.6743
12.4919	7.6416
12.4619	7.1871
12.432	6.3109
12.4023	5.1391
12.3727	3.8698
12.3432	2.7096
12.3139	1.8152
12.2847	1.2551
12.2557	1.0105
12.2268	0.9998
12.198	1.1249
12.1694	1.3086
12.1409	1.4976
12.1125	1.6632
12.0843	1.7967
12.0562	1.9038
12.0282	1.9973
12.0003	2.0852
11.9726	2.1711
11.945	2.2571
11.9176	2.3378
11.8903	2.407
11.8631	2.4645
11.836	2.5169
11.809	2.5737
11.7822	2.6398
11.7555	2.7125
11.7289	2.785
11.7024	2.851
11.676	2.9064
11.6498	2.9519
11.6237	2.9926
