Name: Tourmaline Schist 
Type:  Rocks
Class:  Metamorphic 
Subclass: Schist 
Particle Size:  500-1500 Micrometer
Sample No.:   schist4.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 468, The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description: This is a very coarse-grained rock containing euhedral brown 
tourmaline poikiloblastically enclosing quartz remnants, large subhedra of 
muscovite enclosing remnants of tourmaline or much lesser quartz, and 
recrystallized quartz.  Magnetite occurs scattered throughout this rock as well.  
Modes were 35% quartz, 33% tourmaline, 30.6% muscovite and 1.4% opaques.   

Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.9831	
Last X Value:  0.4
Number of X Values: 2868
Additional Information:  None

14.9831	2.6199
14.9399	2.6644
14.897	2.5801
14.8543	2.4816
14.8119	2.353
14.7697	2.0916
14.7277	2.0103
14.686	2.092
14.6445	2.1801
14.6033	2.3198
14.5622	2.3909
14.5214	2.4529
14.4809	2.5605
14.4405	2.6644
14.4004	2.7535
14.3605	2.8352
14.3209	2.9469
14.2814	3.0727
14.2422	3.1238
14.2032	3.2022
14.1643	3.3372
14.1258	3.4248
14.0874	3.4684
14.0492	3.4926
14.0112	3.4729
13.9734	3.3893
13.9359	3.2501
13.8985	3.0758
13.8614	2.8972
13.8244	2.7182
13.7876	2.5564
13.7511	2.4416
13.7147	2.3698
13.6785	2.3487
13.6425	2.3727
13.6067	2.4015
13.5711	2.4413
13.5356	2.502
13.5004	2.5744
13.4653	2.6488
13.4304	2.7329
13.3957	2.8318
13.3612	2.9199
13.3269	2.991
13.2927	3.0653
13.2587	3.1433
13.2249	3.2025
13.1912	3.2292
13.1577	3.2406
13.1244	3.2529
13.0913	3.3036
13.0583	3.4281
13.0255	3.6069
12.9929	3.8352
12.9604	4.1294
12.9281	4.4678
12.8959	4.8064
12.8639	5.1209
12.8321	5.3741
12.8004	5.506
12.7688	5.4851
12.7375	5.3487
12.7063	5.1633
12.6752	4.971
12.6443	4.8123
12.6135	4.7193
12.5829	4.6769
12.5524	4.638
12.5221	4.5608
12.4919	4.4183
12.4619	4.2016
12.432	3.8978
12.4023	3.5392
12.3727	3.1864
12.3432	2.901
12.3139	2.7158
12.2847	2.6327
12.2557	2.6317
12.2268	2.6909
12.198	2.7617
12.1694	2.8259
12.1409	2.8861
12.1125	2.9564
12.0843	3.041
12.0562	3.1191
12.0282	3.1816
12.0003	3.2451
11.9726	3.3041
11.945	3.3526
11.9176	3.3957
11.8903	3.4525
11.8631	3.517
11.836	3.5664
11.809	3.6017
11.7822	3.6332
11.7555	3.6564
11.7289	3.6777
11.7024	3.7119
11.676	3.7573
11.6498	3.8054
11.6237	3.8528
11.5977	3.9056
11.5718	3.9626
11.546	4.0173
11.5203	4.0789
11.4948	4.1421
11.4694	4.1895
11.444	4.2293
11.4188	4.2755
11.3937	4.3295
11.3688	4.3894
11.3439	4.4602
11.3191	4.5372
11.2944	4.6073
11.2699	4.6736
11.2455	4.7396
11.2211	4.8017
11.1969	4.8538
11.1727	4.9002
11.1487	4.9542
11.1248	5.0034
11.101	5.0525
11.0773	5.1178
11.0536	5.187
11.0301	5.2516
11.0067	5.321
10.9834	5.4011
10.9602	5.4875
10.937	5.5725
10.914	5.6623
10.8911	5.757
10.8682	5.847
10.8455	5.9329
10.8229	6.0286
10.8003	6.1352
10.7779	6.2453
10.7555	6.3585
10.7332	6.4736
10.7111	6.5913
10.689	6.714
10.667	6.8461
10.6451	6.9868
10.6233	7.1369
10.6015	7.3001
10.5799	7.4824
10.5584	7.6878
10.5369	7.9177
10.5155	8.1694
10.4942	8.4434
10.473	8.7328
10.4519	9.0265
10.4309	9.3166
10.4099	9.6012
10.3891	9.8714
10.3683	10.1227
10.3476	10.35
10.327	10.5516
10.3065	10.7372
10.286	10.9115
10.2656	11.0695
10.2454	11.2023
10.2251	11.3167
10.205	11.4212
10.185	11.5178
10.165	11.6052
10.1451	11.7077
10.1253	11.8491
10.1056	12.0314
10.0859	12.2408
10.0663	12.4819
10.0468	12.7442
10.0274	13
10.008	13.2207
9.9887	13.4019
9.9695	13.5399
9.9504	13.6406
9.9313	13.7173
9.9123	13.8104
9.8934	13.9364
9.8746	14.0981
9.8558	14.3139
9.8371	14.6049
9.8185	14.9679
9.7999	15.4068
9.7814	15.9313
9.763	16.5328
9.7447	17.1654
9.7264	17.7939
9.7082	18.3833
9.69	18.9086
9.6719	19.3516
9.6539	19.7125
9.636	20.0071
9.6181	20.2409
9.6003	20.4351
9.5825	20.6184
9.5649	20.7931
9.5472	20.9532
9.5297	21.0901
9.5122	21.2092
9.4948	21.3011
9.4774	21.339
9.4601	21.3326
9.4429	21.3004
9.4257	21.2294
9.4086	21.0922
9.3916	20.8729
9.3746	20.5746
9.3577	20.1774
9.3408	19.6571
9.324	19.0443
9.3073	18.4018
9.2906	17.7775
9.274	17.2184
9.2574	16.7898
9.2409	16.5297
9.2245	16.4499
9.2081	16.5485
9.1918	16.8009
9.1755	17.1552
9.1593	17.5637
9.1431	17.9952
9.127	18.4266
9.111	18.8065
9.095	19.1243
9.0791	19.3886
9.0632	19.5697
9.0474	19.6434
9.0316	19.6292
9.0159	19.5489
9.0003	19.3988
8.9847	19.1553
8.9691	18.8316
8.9536	18.4439
8.9382	17.9914
8.9228	17.4789
8.9075	16.9236
8.8922	16.345
8.877	15.7528
8.8618	15.1477
8.8467	14.5471
8.8316	13.9643
8.8166	13.3941
8.8016	12.8359
8.7867	12.2924
8.7718	11.787
8.757	11.3293
8.7422	10.9035
8.7275	10.503
8.7129	10.1116
8.6982	9.6659
8.6837	9.0954
8.6692	8.4018
8.6547	7.7095
8.6403	7.1651
8.6259	6.8591
8.6116	6.8371
8.5973	7.0732
8.583	7.4348
8.5688	7.7545
8.5547	7.9407
8.5406	8.0075
8.5266	8.0041
8.5126	7.9568
8.4986	7.9014
8.4847	7.8573
8.4708	7.8121
8.457	7.7668
8.4432	7.7228
8.4295	7.6726
8.4158	7.6193
8.4022	7.5573
8.3886	7.5047
8.375	7.4694
8.3615	7.4381
8.3481	7.4152
8.3347	7.4007
8.3213	7.3842
8.3079	7.3645
8.2946	7.3392
8.2814	7.3186
8.2682	7.3032
8.255	7.2899
8.2419	7.2733
8.2288	7.2449
8.2158	7.1973
8.2028	7.1232
8.1898	7.0251
8.1769	6.8913
8.164	6.7147
8.1512	6.5075
8.1384	6.2659
8.1256	5.9981
8.1129	5.7158
8.1002	5.4352
8.0876	5.1685
8.075	4.9177
8.0624	4.6882
8.0499	4.4869
8.0374	4.3013
8.025	4.1317
8.0126	3.9773
8.0002	3.8267
7.9879	3.6737
7.9756	3.5243
7.9634	3.3801
7.9512	3.246
7.939	3.1182
7.9268	2.9969
7.9147	2.891
7.9027	2.7864
7.8906	2.6796
7.8786	2.5948
7.8667	2.5259
7.8548	2.4589
7.8429	2.394
7.831	2.3416
7.8192	2.3056
7.8075	2.2699
7.7957	2.2353
7.784	2.214
7.7723	2.1882
7.7607	2.1519
7.7491	2.1155
7.7375	2.0823
7.726	2.0556
7.7145	2.0309
7.7031	2.0016
7.6916	1.9623
7.6802	1.9255
7.6689	1.8986
7.6575	1.8685
7.6462	1.8322
7.635	1.8015
7.6238	1.7775
7.6126	1.7531
7.6014	1.729
7.5903	1.719
7.5792	1.7233
7.5681	1.7221
7.5571	1.7198
7.5461	1.7207
7.5351	1.729
7.5242	1.7484
7.5133	1.774
7.5024	1.8045
7.4916	1.8438
7.4807	1.8848
7.47	1.9251
7.4592	1.9563
7.4485	1.9748
7.4378	1.9831
7.4272	1.9788
7.4165	1.9653
7.4059	1.9566
7.3954	1.9509
7.3848	1.9443
7.3743	1.9331
7.3639	1.9068
7.3534	1.8671
7.343	1.815
7.3326	1.7522
7.3223	1.6906
7.3119	1.6347
7.3016	1.5878
7.2914	1.5519
7.2811	1.5154
7.2709	1.4846
7.2607	1.4619
7.2506	1.4342
7.2404	1.4012
