Name: Green Slate
Type:  Rocks
Class:  Metamorphic 
Subclass: Slate
Particle Size:  500-1500 Micrometer
Sample No.:   slate2.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 461, The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description: This is a medium-grained sample dissected by thin veins.  
Microscopically it consists of about equal amounts of actinolite and recrystallized 
albite lathes.  The groundmass also consists of some chlorite, and carbonate, 
which is especially prominent in the veins, along with scattered pyrite.  Modes 
were 59.3% amphibole, 25.7% albite, 10.8% chlorite, 3% calcite and 1% pyrite.

Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.0112	
Last X Value:  0.4
Number of X Values: 2844
Additional Information:  None

14.0112	2.3043
13.9734	2.3368
13.9359	2.3624
13.8985	2.3799
13.8614	2.3889
13.8244	2.3911
13.7876	2.3909
13.7511	2.3878
13.7147	2.3856
13.6785	2.3889
13.6425	2.4017
13.6067	2.422
13.5711	2.448
13.5356	2.4763
13.5004	2.5028
13.4653	2.5244
13.4304	2.5455
13.3957	2.5705
13.3612	2.6029
13.3269	2.6412
13.2927	2.6782
13.2587	2.7022
13.2249	2.7015
13.1912	2.6689
13.1577	2.6034
13.1244	2.5064
13.0913	2.3888
13.0583	2.2648
13.0255	2.1495
12.9929	2.0566
12.9604	2
12.9281	1.9904
12.8959	2.0317
12.8639	2.1143
12.8321	2.2174
12.8004	2.3177
12.7688	2.3962
12.7375	2.4426
12.7063	2.4572
12.6752	2.4522
12.6443	2.4447
12.6135	2.4402
12.5829	2.4347
12.5524	2.4244
12.5221	2.4115
12.4919	2.4005
12.4619	2.3987
12.432	2.4153
12.4023	2.4536
12.3727	2.5071
12.3432	2.5658
12.3139	2.6206
12.2847	2.6713
12.2557	2.7225
12.2268	2.7805
12.198	2.8447
12.1694	2.9086
12.1409	2.9616
12.1125	2.9941
12.0843	3.0017
12.0562	2.9921
12.0282	2.983
12.0003	2.9905
11.9726	3.0223
11.945	3.0768
11.9176	3.1438
11.8903	3.2074
11.8631	3.2534
11.836	3.2761
11.809	3.2773
11.7822	3.2657
11.7555	3.2544
11.7289	3.2562
11.7024	3.2788
11.676	3.3221
11.6498	3.379
11.6237	3.4383
11.5977	3.4884
11.5718	3.5264
11.546	3.5575
11.5203	3.5915
11.4948	3.6396
11.4694	3.7077
11.444	3.7908
11.4188	3.8767
11.3937	3.9547
11.3688	4.0188
11.3439	4.0686
11.3191	4.1116
11.2944	4.1585
11.2699	4.215
11.2455	4.2784
11.2211	4.3396
11.1969	4.3911
11.1727	4.4265
11.1487	4.4427
11.1248	4.4447
11.101	4.4406
11.0773	4.438
11.0536	4.4418
11.0301	4.4521
11.0067	4.4698
10.9834	4.4961
10.9602	4.5279
10.937	4.5636
10.914	4.6029
10.8911	4.6464
10.8682	4.6923
10.8455	4.7349
10.8229	4.7727
10.8003	4.8115
10.7779	4.8529
10.7555	4.8988
10.7332	4.9541
10.7111	5.0249
10.689	5.1122
10.667	5.2141
10.6451	5.3323
10.6233	5.4687
10.6015	5.6166
10.5799	5.7647
10.5584	5.9018
10.5369	6.0199
10.5155	6.1176
10.4942	6.1994
10.473	6.2759
10.4519	6.3569
10.4309	6.4439
10.4099	6.5365
10.3891	6.6288
10.3683	6.7153
10.3476	6.7956
10.327	6.872
10.3065	6.9454
10.286	7.0167
10.2656	7.0878
10.2454	7.1634
10.2251	7.2438
10.205	7.3268
10.185	7.4114
10.165	7.4947
10.1451	7.5696
10.1253	7.6316
10.1056	7.6797
10.0859	7.716
10.0663	7.7383
10.0468	7.7426
10.0274	7.7288
10.008	7.6996
9.9887	7.6584
9.9695	7.6124
9.9504	7.5668
9.9313	7.5196
9.9123	7.4615
9.8934	7.3806
9.8746	7.2689
9.8558	7.1289
9.8371	6.9729
9.8185	6.8238
9.7999	6.7076
9.7814	6.642
9.763	6.6344
9.7447	6.6812
9.7264	6.7674
9.7082	6.8726
9.69	6.9762
9.6719	7.0635
9.6539	7.1287
9.636	7.1667
9.6181	7.1758
9.6003	7.1565
9.5825	7.1055
9.5649	7.0203
9.5472	6.9045
9.5297	6.77
9.5122	6.6296
9.4948	6.4949
9.4774	6.3733
9.4601	6.2635
9.4429	6.1577
9.4257	6.0487
9.4086	5.9381
9.3916	5.8326
9.3746	5.7388
9.3577	5.6644
9.3408	5.6106
9.324	5.5685
9.3073	5.5256
9.2906	5.4704
9.274	5.3957
9.2574	5.2986
9.2409	5.1804
9.2245	5.0452
9.2081	4.8988
9.1918	4.7478
9.1755	4.6026
9.1593	4.4712
9.1431	4.3605
9.127	4.2736
9.111	4.209
9.095	4.1619
9.0791	4.1279
9.0632	4.1076
9.0474	4.1049
9.0316	4.119
9.0159	4.1449
9.0003	4.175
8.9847	4.1999
8.9691	4.2116
8.9536	4.2105
8.9382	4.2083
8.9228	4.2196
8.9075	4.2518
8.8922	4.3071
8.877	4.3844
8.8618	4.4774
8.8467	4.5768
8.8316	4.6766
8.8166	4.7732
8.8016	4.8593
8.7867	4.9234
8.7718	4.9574
8.757	4.9606
8.7422	4.9352
8.7275	4.8876
8.7129	4.8308
8.6982	4.7758
8.6837	4.7254
8.6692	4.6779
8.6547	4.6301
8.6403	4.5782
8.6259	4.5186
8.6116	4.4528
8.5973	4.3875
8.583	4.3289
8.5688	4.2812
8.5547	4.2475
8.5406	4.2267
8.5266	4.2183
8.5126	4.2214
8.4986	4.2327
8.4847	4.2475
8.4708	4.2605
8.457	4.2674
8.4432	4.2676
8.4295	4.2643
8.4158	4.2646
8.4022	4.2722
8.3886	4.2812
8.375	4.2805
8.3615	4.2598
8.3481	4.2145
8.3347	4.1487
8.3213	4.0741
8.3079	4.0054
8.2946	3.952
8.2814	3.9112
8.2682	3.8724
8.255	3.8245
8.2419	3.7557
8.2288	3.6573
8.2158	3.5296
8.2028	3.3819
8.1898	3.2278
8.1769	3.0814
8.164	2.9541
8.1512	2.8539
8.1384	2.7783
8.1256	2.7141
8.1129	2.6495
8.1002	2.5765
8.0876	2.4943
8.075	2.4079
8.0624	2.3265
8.0499	2.2613
8.0374	2.2146
8.025	2.1813
8.0126	2.1572
8.0002	2.1371
7.9879	2.1174
7.9756	2.0947
7.9634	2.0684
7.9512	2.0397
7.939	2.0086
7.9268	1.9768
7.9147	1.9482
7.9027	1.9253
7.8906	1.9059
7.8786	1.8861
7.8667	1.8624
7.8548	1.836
7.8429	1.8103
7.831	1.791
7.8192	1.7844
7.8075	1.7894
7.7957	1.7987
7.784	1.805
7.7723	1.8033
7.7607	1.7958
7.7491	1.7887
7.7375	1.7897
7.726	1.8038
7.7145	1.8257
7.7031	1.844
7.6916	1.8461
7.6802	1.826
7.6689	1.7875
7.6575	1.7406
7.6462	1.6997
7.635	1.6767
7.6238	1.6758
7.6126	1.6937
7.6014	1.7226
7.5903	1.7542
7.5792	1.7827
7.5681	1.8045
7.5571	1.8189
7.5461	1.8251
7.5351	1.8241
7.5242	1.8184
7.5133	1.8095
7.5024	1.7973
7.4916	1.7824
7.4807	1.7664
7.47	1.7514
7.4592	1.7379
7.4485	1.7284
7.4378	1.7258
7.4272	1.7318
7.4165	1.7459
7.4059	1.7666
7.3954	1.7918
7.3848	1.8167
7.3743	1.8353
7.3639	1.8428
7.3534	1.8385
7.343	1.8257
7.3326	1.8111
7.3223	1.8013
7.3119	1.8007
7.3016	1.8105
7.2914	1.8265
7.2811	1.8428
7.2709	1.8545
7.2607	1.8602
7.2506	1.8599
7.2404	1.8559
7.2303	1.8518
7.2203	1.8523
7.2102	1.8597
7.2002	1.8758
7.1902	1.9006
7.1803	1.9315
7.1703	1.9628
7.1604	1.9902
7.1506	2.0119
7.1407	2.0294
7.1309	2.044
7.1211	2.0603
7.1113	2.0818
7.1016	2.1081
7.0919	2.1366
7.0822	2.1632
7.0725	2.1871
7.0629	2.2074
7.0533	2.2236
7.0437	2.2368
7.0341	2.25
7.0246	2.2651
7.0151	2.2802
7.0056	2.2921
6.9962	2.2988
6.9867	2.2986
6.9773	2.2897
6.9679	2.2727
6.9586	2.2536
6.9493	2.237
6.94	2.2244
6.9307	2.2143
6.9214	2.2074
6.9122	2.2052
6.903	2.2062
6.8938	2.2098
6.8847	2.2172
6.8755	2.2282
6.8664	2.2402
6.8573	2.2495
6.8483	2.255
6.8393	2.256
6.8302	2.2512
6.8213	2.2395
6.8123	2.2244
6.8034	2.2098
6.7944	2.1987
6.7855	2.1935
6.7767	2.1962
6.7678	2.2062
6.759	2.2206
6.7502	2.2366
6.7414	2.2531
6.7327	2.2691
6.7239	2.2835
6.7152	2.2952
6.7065	2.3048
6.6979	2.3124
6.6892	2.3182
6.6806	2.3227
6.672	2.3268
6.6634	2.329
6.6549	2.328
6.6464	2.3232
6.6378	2.3167
6.6294	2.3107
6.6209	2.3074
6.6124	2.3093
6.604	2.3157
6.5956	2.3237
6.5872	2.3292
6.5789	2.3294
6.5705	2.3253
6.5622	2.3179
6.5539	2.3071
6.5456	2.295
6.5374	2.2827
6.5292	2.2711
6.5209	2.2596
6.5128	2.2502
6.5046	2.2478
6.4964	2.2523
6.4883	2.2605
6.4802	2.2691
6.4721	2.2754
6.464	2.276
6.456	2.2684
6.448	2.2553
6.4399	2.2399
6.432	2.2227
6.424	2.204
6.416	2.1849
6.4081	2.1655
6.4002	2.1444
6.3923	2.122
6.3844	2.0999
6.3766	2.0782
6.3687	2.0566
6.3609	2.0382
6.3531	2.0246
6.3454	2.0146
6.3376	2.0057
6.3299	1.997
6.3221	1.9875
6.3144	1.9748
6.3068	1.9624
6.2991	1.954
6.2914	1.9521
6.2838	1.9555
6.2762	1.9607
6.2686	1.9638
6.2611	1.9612
6.2535	1.9504
6.246	1.9336
6.2385	1.915
6.231	1.8994
