Name:  Dark grayish brown silty loam
Type:  Soils
Class:  Mollisol
Subclass:  Agialboll
Particle Size:  see additional information
Sample No.:  85P5339
Owner:  JHU
Wavelength range:  All
Origin:  Nez Perce Co., Id. via USDA Soil Conservation service.

Description: Parent material is loess from mixed material.  Dark 
grayish brown silty loam, (fine, montmorillonitic, mesic xeric).  
Physiography:  upland slope in plateaus or tablelands.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  85P5339a.txt

14.0112	1.5869
13.9734	1.6128
13.9359	1.6352
13.8985	1.6516
13.8614	1.6653
13.8244	1.6804
13.7876	1.7058
13.7511	1.7346
13.7147	1.7656
13.6785	1.7942
13.6425	1.8140
13.6067	1.8210
13.5711	1.8196
13.5356	1.8149
13.5004	1.8093
13.4653	1.8015
13.4304	1.7971
13.3957	1.7956
13.3612	1.7952
13.3269	1.7920
13.2927	1.7883
13.2587	1.7839
13.2249	1.7773
13.1912	1.7705
13.1577	1.7688
13.1244	1.7683
13.0913	1.7688
13.0583	1.7707
13.0255	1.7764
12.9929	1.7825
12.9604	1.7888
12.9281	1.7996
12.8959	1.8149
12.8639	1.8210
12.8321	1.8101
12.8004	1.7810
12.7688	1.7371
12.7375	1.6851
12.7063	1.6389
12.6752	1.6121
12.6443	1.6101
12.6135	1.6235
12.5829	1.6433
12.5524	1.6594
12.5221	1.6626
12.4919	1.6509
12.4619	1.6279
12.4320	1.5981
12.4023	1.5710
12.3727	1.5561
12.3432	1.5618
12.3139	1.5867
12.2847	1.6272
12.2557	1.6785
12.2268	1.7363
12.1980	1.7954
12.1694	1.8569
12.1409	1.9233
12.1125	1.9951
12.0843	2.0684
12.0562	2.1409
12.0282	2.2102
12.0003	2.2803
11.9726	2.3523
11.9450	2.4265
11.9176	2.5032
11.8903	2.5793
11.8631	2.6504
11.8360	2.7141
11.8090	2.7676
11.7822	2.8135
11.7555	2.8498
11.7289	2.8757
11.7024	2.8916
11.6760	2.8967
11.6498	2.8906
11.6237	2.8752
11.5977	2.8516
11.5718	2.8237
11.5460	2.7930
11.5203	2.7612
11.4948	2.7295
11.4694	2.7024
11.4440	2.6829
11.4188	2.6743
11.3937	2.6758
11.3688	2.6872
11.3439	2.7043
11.3191	2.7183
11.2944	2.7229
11.2699	2.7214
11.2455	2.7163
11.2211	2.7080
11.1969	2.6948
11.1727	2.6789
11.1487	2.6597
11.1248	2.6333
