Name:  Brown to dark brown gravelly fine sandy loam
Type:  Soils
Class:  Inceptisol
Subclass:  Xerumbrept
Particle Size:  see additional information
Sample No.:  87P325
Owner:  JHU
Wavelength range:  All
Origin:  Klickitat Co., Wa. via USDA Soil Conservation service.

Description:  The parent material is volcanic ash from ejecta-ash 
material over local colluvium from cinders material from hillside or 
mountainside in mountains or deeply dissected plateaus.  Brown to dark 
brown gravelly fine sandy loam (medial-skeletal, frigid andic).


Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P325a.txt

14.0112	1.3071
13.9734	1.2766
13.9359	1.3623
13.8985	1.4319
13.8614	1.4338
13.8244	1.3508
13.7876	1.3669
13.7511	1.4065
13.7147	1.3428
13.6785	1.2756
13.6425	1.3647
13.6067	1.4297
13.5711	1.4587
13.5356	1.4741
13.5004	1.5049
13.4653	1.5261
13.4304	1.5369
13.3957	1.4990
13.3612	1.4983
13.3269	1.4624
13.2927	1.4187
13.2587	1.4092
13.2249	1.4187
13.1912	1.4614
13.1577	1.5286
13.1244	1.4917
13.0913	1.5344
13.0583	1.5945
13.0255	1.5735
12.9929	1.5112
12.9604	1.4648
12.9281	1.4971
12.8959	1.5547
12.8639	1.5586
12.8321	1.5583
12.8004	1.5530
12.7688	1.5403
12.7375	1.5381
12.7063	1.5188
12.6752	1.4570
12.6443	1.4629
12.6135	1.4697
12.5829	1.4863
12.5524	1.5298
12.5221	1.5500
12.4919	1.5146
12.4619	1.4714
12.4320	1.4622
12.4023	1.4856
12.3727	1.4697
12.3432	1.5019
12.3139	1.5332
12.2847	1.5737
12.2557	1.6040
12.2268	1.6460
12.1980	1.7202
12.1694	1.7598
12.1409	1.7815
12.1125	1.8342
12.0843	1.8374
12.0562	1.8589
12.0282	1.9050
12.0003	1.9497
11.9726	1.9817
11.9450	2.0100
11.9176	2.0217
11.8903	2.0349
11.8631	2.0903
11.8360	2.1186
11.8090	2.1001
11.7822	2.1108
11.7555	2.1487
11.7289	2.2009
11.7024	2.2241
11.6760	2.2143
11.6498	2.2014
11.6237	2.2290
11.5977	2.2402
11.5718	2.3027
11.5460	2.3328
11.5203	2.3257
11.4948	2.3293
11.4694	2.3550
11.4440	2.3542
11.4188	2.3743
11.3937	2.3857
11.3688	2.4092
11.3439	2.4363
11.3191	2.4546
11.2944	2.4299
11.2699	2.4194
11.2455	2.4202
11.2211	2.4214
11.1969	2.4158
11.1727	2.3826
11.1487	2.3843
11.1248	2.4192
11.1010	2.3899
11.0773	2.3696
11.0536	2.3581
11.0301	2.3809
11.0067	2.4123
10.9834	2.4376
10.9602	2.4185
10.9370	2.4177
10.9140	2.4067
10.8911	2.3782
10.8682	2.3584
10.8455	2.3511
10.8229	2.3523
10.8003	2.3684
10.7779	2.3682
10.7555	2.3757
10.7332	2.3948
10.7111	2.4204
10.6890	2.4155
10.6670	2.4070
10.6451	2.3806
10.6233	2.3586
10.6015	2.3472
10.5799	2.3804
10.5584	2.4219
10.5369	2.4170
10.5155	2.4202
10.4942	2.4360
10.4730	2.4246
