Name:  Brown fine sandy loam
Type:  Soils
Class:  Alfisol
Subclass:  Haplustalf
Particle Size:  see additional information
Sample No.:  87P3671
Owner:  JHU
Wavelength range:  All
Origin:  Luna Co., NM. via USDA Soil Conservation service.

Description:  The parent material is eolian from acidic-ash material 
over volcanic ash from acidic-ash material over residuum. from a 6% north 
facing slope.  Brown fine sandy loam (loamy, mixed, mesic, shallow aridic).



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P3671a.txt

14.0112	2.0861
13.9734	2.1468
13.9359	2.1805
13.8985	2.2272
13.8614	2.2673
13.8244	2.2848
13.7876	2.2949
13.7511	2.2952
13.7147	2.2908
13.6785	2.2743
13.6425	2.2496
13.6067	2.2504
13.5711	2.2628
13.5356	2.2798
13.5004	2.2865
13.4653	2.2875
13.4304	2.2935
13.3957	2.2906
13.3612	2.2795
13.3269	2.2715
13.2927	2.2581
13.2587	2.2491
13.2249	2.2406
13.1912	2.2425
13.1577	2.2485
13.1244	2.2554
13.0913	2.2710
13.0583	2.2930
13.0255	2.3166
12.9929	2.3505
12.9604	2.4011
12.9281	2.4674
12.8959	2.5320
12.8639	2.5825
12.8321	2.5878
12.8004	2.5419
12.7688	2.4502
12.7375	2.3323
12.7063	2.2197
12.6752	2.1464
12.6443	2.1295
12.6135	2.1626
12.5829	2.2137
12.5524	2.2640
12.5221	2.2779
12.4919	2.2416
12.4619	2.1482
12.4320	2.0081
12.4023	1.8478
12.3727	1.7106
12.3432	1.6235
12.3139	1.6013
12.2847	1.6260
12.2557	1.7030
12.2268	1.8144
12.1980	1.9341
12.1694	2.0580
12.1409	2.1825
12.1125	2.2932
12.0843	2.4023
12.0562	2.4951
12.0282	2.5868
12.0003	2.6794
11.9726	2.7725
11.9450	2.8660
11.9176	2.9404
11.8903	3.0010
11.8631	3.0646
11.8360	3.1289
11.8090	3.1981
11.7822	3.2639
11.7555	3.3290
11.7289	3.3809
11.7024	3.4158
11.6760	3.4429
11.6498	3.4631
11.6237	3.4862
11.5977	3.5044
11.5718	3.5079
11.5460	3.5067
11.5203	3.4995
11.4948	3.4897
11.4694	3.4745
11.4440	3.4658
11.4188	3.4661
11.3937	3.4680
11.3688	3.4763
11.3439	3.4935
11.3191	3.5096
11.2944	3.5151
11.2699	3.5062
11.2455	3.5029
11.2211	3.4982
11.1969	3.4897
11.1727	3.4770
11.1487	3.4618
11.1248	3.4462
11.1010	3.4244
11.0773	3.3990
11.0536	3.3885
11.0301	3.3888
11.0067	3.3916
10.9834	3.3818
10.9602	3.3629
10.9370	3.3489
10.9140	3.3312
10.8911	3.3079
10.8682	3.3015
10.8455	3.3050
10.8229	3.3136
10.8003	3.3170
10.7779	3.3215
10.7555	3.3235
10.7332	3.3218
10.7111	3.3235
10.6890	3.3419
10.6670	3.3627
10.6451	3.3863
10.6233	3.4007
10.6015	3.4055
10.5799	3.4040
10.5584	3.4117
10.5369	3.4331
10.5155	3.4651
10.4942	3.5091
10.4730	3.5660
10.4519	3.6116
10.4309	3.6484
10.4099	3.6847
10.3891	3.7175
10.3683	3.7439
10.3476	3.7694
10.3270	3.8127
10.3065	3.8735
10.2860	3.9343
10.2656	4.0034
10.2454	4.0819
10.2251	4.1626
10.2050	4.2422
10.1850	4.3254
10.1650	4.4111
10.1451	4.4956
10.1253	4.5738
10.1056	4.6547
10.0859	4.7483
10.0663	4.8440
10.0468	4.9430
10.0274	5.0497
10.0080	5.1559
9.9887	5.2583
9.9695	5.3605
9.9504	5.4526
9.9313	5.5095
9.9123	5.5399
9.8934	5.5653
9.8746	5.5895
9.8558	5.6161
9.8371	5.6560
9.8185	5.7170
9.7999	5.7923
9.7814	5.8694
9.7630	5.9656
9.7447	6.0814
9.7264	6.2132
9.7082	6.3534
9.6900	6.5022
9.6719	6.6362
9.6539	6.7578
9.6360	6.8635
9.6181	6.9562
9.6003	7.0447
9.5825	7.1327
9.5649	7.2137
9.5472	7.2942
9.5297	7.3650
9.5122	7.4337
9.4948	7.5025
9.4774	7.5851
9.4601	7.6835
9.4429	7.8033
9.4257	7.9483
9.4086	8.1256
9.3916	8.3230
9.3746	8.5338
9.3577	8.7414
9.3408	8.9254
9.3240	9.0649
9.3073	9.1551
9.2906	9.1876
9.2740	9.1750
9.2574	9.1250
9.2409	9.0599
9.2245	8.9836
9.2081	8.9101
9.1918	8.8460
9.1755	8.7806
9.1593	8.6976
9.1431	8.6036
9.1270	8.5113
9.1110	8.4297
9.0950	8.3496
9.0791	8.2811
9.0632	8.2158
9.0474	8.1395
9.0316	8.0511
9.0159	7.9641
9.0003	7.9050
8.9847	7.8846
8.9691	7.9081
8.9536	7.9651
8.9382	8.0306
8.9228	8.0882
8.9075	8.1323
8.8922	8.1632
8.8770	8.1775
8.8618	8.1787
8.8467	8.1764
8.8316	8.1705
8.8166	8.1588
8.8016	8.1356
8.7867	8.1002
8.7718	8.0586
8.7570	7.9970
8.7422	7.9252
8.7275	7.8469
8.7129	7.7638
8.6982	7.6533
8.6837	7.4796
8.6692	7.2441
8.6547	6.9953
8.6403	6.8006
8.6259	6.7250
8.6116	6.7862
8.5973	6.9659
8.5830	7.2042
8.5688	7.4275
8.5547	7.5895
8.5406	7.6944
8.5266	7.7569
8.5126	7.7954
8.4986	7.8203
8.4847	7.8320
8.4708	7.8356
8.4570	7.8335
8.4432	7.8323
8.4295	7.8504
8.4158	7.8753
8.4022	7.9016
8.3886	7.9359
8.3750	7.9681
8.3615	7.9866
8.3481	7.9801
8.3347	7.9660
8.3213	7.9614
8.3079	7.9629
8.2946	7.9701
8.2814	7.9780
8.2682	7.9768
8.2550	7.9571
8.2419	7.9155
8.2288	7.8514
8.2158	7.7677
8.2028	7.6683
8.1898	7.5484
8.1769	7.3909
8.1640	7.1900
8.1512	6.9465
8.1384	6.6688
8.1256	6.3663
8.1129	6.0495
8.1002	5.7373
8.0876	5.4421
8.0750	5.1621
8.0624	4.8996
8.0499	4.6578
8.0374	4.4388
8.0250	4.2350
8.0126	4.0448
8.0002	3.8745
7.9879	3.7156
7.9756	3.5548
7.9634	3.3935
7.9512	3.2350
7.9390	3.0825
7.9268	2.9315
7.9147	2.7916
7.9027	2.6653
7.8906	2.5442
7.8786	2.4305
7.8667	2.3301
7.8548	2.2423
7.8429	2.1770
7.8310	2.1210
7.8192	2.0712
7.8075	2.0286
7.7957	1.9864
7.7840	1.9492
7.7723	1.9233
7.7607	1.8965
7.7491	1.8712
7.7375	1.8441
7.7260	1.8199
7.7145	1.7997
7.7031	1.7788
7.6916	1.7592
7.6802	1.7439
7.6689	1.7240
7.6575	1.7003
7.6462	1.6803
7.6350	1.6644
7.6238	1.6508
7.6126	1.6407
7.6014	1.6315
7.5903	1.6240
7.5792	1.6226
7.5681	1.6255
7.5571	1.6276
7.5461	1.6324
7.5351	1.6379
7.5242	1.6362
7.5133	1.6280
7.5024	1.6200
7.4916	1.6166
7.4807	1.6213
7.4700	1.6288
7.4592	1.6455
7.4485	1.6630
7.4378	1.6741
7.4272	1.6836
7.4165	1.6903
7.4059	1.6903
7.3954	1.6920
7.3848	1.6970
7.3743	1.7097
7.3639	1.7252
7.3534	1.7444
7.3430	1.7649
7.3326	1.7783
7.3223	1.7823
7.3119	1.7870
7.3016	1.7946
7.2914	1.8065
7.2811	1.8267
7.2709	1.8551
7.2607	1.8843
7.2506	1.9097
7.2404	1.9346
7.2303	1.9674
7.2203	2.0011
7.2102	2.0276
7.2002	2.0497
7.1902	2.0697
7.1803	2.0856
7.1703	2.1023
7.1604	2.1224
7.1506	2.1504
7.1407	2.1853
7.1309	2.2197
7.1211	2.2454
7.1113	2.2707
7.1016	2.2997
7.0919	2.3209
7.0822	2.3258
7.0725	2.3303
7.0629	2.3396
7.0533	2.3533
7.0437	2.3679
7.0341	2.3923
7.0246	2.4217
7.0151	2.4447
7.0056	2.4691
6.9962	2.5033
6.9867	2.5349
6.9773	2.5648
6.9679	2.5990
6.9586	2.6392
6.9493	2.6792
6.9400	2.7194
6.9307	2.7615
6.9214	2.7981
6.9122	2.8208
6.9030	2.8332
6.8938	2.8423
6.8847	2.8478
6.8755	2.8540
6.8664	2.8684
6.8573	2.8896
6.8483	2.9182
6.8393	2.9543
6.8302	2.9918
6.8213	3.0277
6.8123	3.0615
6.8034	3.0935
6.7944	3.1249
6.7855	3.1565
6.7767	3.1882
6.7678	3.2161
6.7590	3.2350
6.7502	3.2527
6.7414	3.2746
6.7327	3.2916
6.7239	3.3024
6.7152	3.3113
6.7065	3.3187
6.6979	3.3218
6.6892	3.3318
6.6806	3.3505
6.6720	3.3699
6.6634	3.3799
6.6549	3.3766
6.6464	3.3646
6.6378	3.3457
6.6294	3.3240
6.6209	3.3108
6.6124	3.2981
6.6040	3.2806
6.5956	3.2577
6.5872	3.2325
6.5789	3.2062
6.5705	3.1869
6.5622	3.1827
6.5539	3.1964
6.5456	3.2237
6.5374	3.2632
6.5292	3.3122
6.5209	3.3679
6.5128	3.4232
6.5046	3.4875
6.4964	3.5618
6.4883	3.6393
6.4802	3.7156
6.4721	3.7888
6.4640	3.8546
6.4560	3.9056
6.4480	3.9366
6.4399	3.9468
6.4320	3.9379
6.4240	3.9189
6.4160	3.8979
6.4081	3.8848
6.4002	3.8790
6.3923	3.8678
6.3844	3.8459
6.3766	3.8065
6.3687	3.7443
6.3609	3.6716
6.3531	3.5957
6.3454	3.5259
6.3376	3.4579
6.3299	3.3931
6.3221	3.3325
6.3144	3.2670
6.3068	3.1934
6.2991	3.1179
6.2914	3.0397
6.2838	2.9589
6.2762	2.8811
6.2686	2.8098
6.2611	2.7396
6.2535	2.6755
6.2460	2.6197
6.2385	2.5679
6.2310	2.5143
6.2235	2.4669
6.2160	2.4275
6.2086	2.3859
6.2011	2.3445
6.1937	2.3196
6.1863	2.3112
6.1790	2.3097
6.1716	2.3099
6.1643	2.3198
6.1570	2.3331
6.1496	2.3463
6.1424	2.3628
6.1351	2.3841
6.1278	2.4160
6.1206	2.4512
6.1134	2.4844
6.1062	2.5193
6.0990	2.5531
6.0918	2.5878
6.0847	2.6197
6.0776	2.6428
6.0704	2.6605
6.0633	2.6753
6.0563	2.6904
6.0492	2.7167
6.0421	2.7543
6.0351	2.7992
6.0281	2.8450
6.0211	2.8933
6.0141	2.9387
6.0071	2.9746
6.0002	3.0019
5.9932	3.0261
5.9863	3.0483
5.9794	3.0680
5.9725	3.0818
5.9657	3.0972
5.9588	3.1184
5.9520	3.1457
5.9451	3.1882
5.9383	3.2532
5.9315	3.3387
5.9247	3.4426
5.9180	3.5546
5.9112	3.6699
5.9045	3.7858
5.8978	3.9047
5.8911	4.0360
5.8844	4.1846
5.8777	4.3441
