Name:  Very dark grayish brown loam
Type:  Soils
Class:  Mollisol
Subclass:  Cryoboroll
Particle Size:  see additional information
Sample No.:  87P4453
Owner:  JHU
Wavelength range:  All
Origin:  Wayne Co., Utah, via USDA Soil Conservation service.

Description:  Very dark grayish brown loam, (loamy-skeletal, mixed, typic).  
Physiography: plateaus or tablelands.




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P4453a.txt

14.0112	1.4458
13.9734	1.4604
13.9359	1.4492
13.8985	1.4380
13.8614	1.4341
13.8244	1.4463
13.7876	1.4622
13.7511	1.4866
13.7147	1.4963
13.6785	1.4980
13.6425	1.5010
13.6067	1.5266
13.5711	1.5559
13.5356	1.5723
13.5004	1.5796
13.4653	1.5859
13.4304	1.5747
13.3957	1.5618
13.3612	1.5574
13.3269	1.5696
13.2927	1.5769
13.2587	1.5815
13.2249	1.6028
13.1912	1.6228
13.1577	1.6294
13.1244	1.6348
13.0913	1.6313
13.0583	1.6267
13.0255	1.6230
12.9929	1.6392
12.9604	1.6753
12.9281	1.7092
12.8959	1.7371
12.8639	1.7581
12.8321	1.7595
12.8004	1.7522
12.7688	1.7363
12.7375	1.7100
12.7063	1.6775
12.6752	1.6509
12.6443	1.6401
12.6135	1.6523
12.5829	1.6702
12.5524	1.6912
12.5221	1.6987
12.4919	1.6838
12.4619	1.6528
12.4320	1.6208
12.4023	1.6035
12.3727	1.6062
12.3432	1.6140
12.3139	1.6311
12.2847	1.6558
12.2557	1.6914
12.2268	1.7371
12.1980	1.7937
12.1694	1.8520
12.1409	1.9036
12.1125	1.9438
12.0843	1.9785
12.0562	2.0049
12.0282	2.0364
12.0003	2.0747
11.9726	2.1143
11.9450	2.1423
11.9176	2.1660
11.8903	2.1963
11.8631	2.2339
11.8360	2.2659
11.8090	2.2978
11.7822	2.3393
11.7555	2.3889
11.7289	2.4246
11.7024	2.4480
11.6760	2.4641
11.6498	2.4751
11.6237	2.4824
11.5977	2.4844
11.5718	2.4910
11.5460	2.5149
11.5203	2.5305
11.4948	2.5400
11.4694	2.5464
11.4440	2.5513
11.4188	2.5640
11.3937	2.5796
11.3688	2.5915
11.3439	2.6172
11.3191	2.6401
11.2944	2.6540
11.2699	2.6577
11.2455	2.6616
11.2211	2.6694
11.1969	2.6716
11.1727	2.6704
11.1487	2.6804
11.1248	2.6941
11.1010	2.7046
11.0773	2.7117
11.0536	2.7258
