Name:  Brown to dark brown sand
Type:  Soils
Class:  Entisol
Subclass:  Quartzipsamment
Particle Size:  see additional information
Sample No.:  87P706
Owner:  JHU
Wavelength range:  All
Origin:  Dorchester Co., Md. via USDA Soil Conservation service.

Description:  The parent material is alluvium from mixed material from 
upland slope in coastal plains.  Brown to dark brown sand (coated, mesic 
typic).  



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P706a.txt

14.0112	2.3713
13.9734	2.3728
13.9359	2.4590
13.8985	2.4910
13.8614	2.5437
13.8244	2.6016
13.7876	2.6470
13.7511	2.6992
13.7147	2.7351
13.6785	2.7651
13.6425	2.7371
13.6067	2.7153
13.5711	2.7830
13.5356	2.8428
13.5004	2.8921
13.4653	2.8777
13.4304	2.9241
13.3957	3.0022
13.3612	3.0361
13.3269	3.0471
13.2927	3.1443
13.2587	3.2002
13.2249	3.2374
13.1912	3.2900
13.1577	3.4121
13.1244	3.5168
13.0913	3.5640
13.0583	3.6118
13.0255	3.7451
12.9929	3.9076
12.9604	4.0908
12.9281	4.3552
12.8959	4.7131
12.8639	5.0395
12.8321	5.2663
12.8004	5.2898
12.7688	5.1645
12.7375	4.8415
12.7063	4.3303
12.6752	3.8562
12.6443	3.6108
12.6135	3.6643
12.5829	3.9180
12.5524	4.2060
12.5221	4.3645
12.4919	4.3296
12.4619	4.1199
12.4320	3.6738
12.4023	2.9538
12.3727	2.0603
12.3432	1.4009
12.3139	1.0981
12.2847	1.0549
12.2557	1.0688
12.2268	1.1406
12.1980	1.2632
12.1694	1.3613
12.1409	1.4416
12.1125	1.5354
12.0843	1.6182
12.0562	1.7034
12.0282	1.7681
12.0003	1.8269
11.9726	1.9177
11.9450	2.0063
11.9176	2.0781
11.8903	2.1753
11.8631	2.2073
11.8360	2.2241
11.8090	2.2876
11.7822	2.3433
11.7555	2.3843
11.7289	2.4436
11.7024	2.4963
11.6760	2.5273
11.6498	2.6077
11.6237	2.6658
11.5977	2.6389
11.5718	2.6580
11.5460	2.7266
11.5203	2.7815
11.4948	2.8103
11.4694	2.8608
11.4440	2.8872
11.4188	2.9150
11.3937	2.9436
11.3688	2.9436
11.3439	2.9748
11.3191	3.0132
11.2944	3.0261
11.2699	3.0642
11.2455	3.0981
11.2211	3.1204
11.1969	3.1682
11.1727	3.1843
11.1487	3.2041
11.1248	3.2212
11.1010	3.2446
11.0773	3.2700
11.0536	3.2781
11.0301	3.2959
11.0067	3.3264
10.9834	3.3113
10.9602	3.2710
10.9370	3.2834
10.9140	3.3293
10.8911	3.4080
10.8682	3.4031
10.8455	3.4204
10.8229	3.4568
10.8003	3.4714
10.7779	3.4763
10.7555	3.5107
10.7332	3.5452
10.7111	3.5959
10.6890	3.6472
10.6670	3.6728
10.6451	3.6807
10.6233	3.7102
10.6015	3.7331
10.5799	3.7773
10.5584	3.8088
10.5369	3.8403
10.5155	3.8672
10.4942	3.8935
10.4730	3.8940
10.4519	3.9250
10.4309	3.9831
10.4099	4.0520
10.3891	4.0845
10.3683	4.0994
10.3476	4.0989
10.3270	4.1577
10.3065	4.1980
10.2860	4.2241
10.2656	4.2744
10.2454	4.2998
10.2251	4.3188
10.2050	4.3486
10.1850	4.3428
10.1650	4.3787
10.1451	4.4846
10.1253	4.5654
10.1056	4.5815
10.0859	4.6152
10.0663	4.6716
10.0468	4.7041
10.0274	4.7151
10.0080	4.8242
9.9887	4.9726
9.9695	5.0229
9.9504	5.0818
9.9313	5.1426
9.9123	5.1841
9.8934	5.2429
9.8746	5.2966
9.8558	5.3620
9.8371	5.3989
9.8185	5.4717
9.7999	5.5827
9.7814	5.6477
9.7630	5.7698
9.7447	5.9092
9.7264	6.0144
9.7082	6.1484
9.6900	6.2512
9.6719	6.3503
9.6539	6.5115
9.6360	6.6291
9.6181	6.7685
9.6003	6.8923
9.5825	7.0078
9.5649	7.2527
9.5472	7.4574
9.5297	7.6264
9.5122	7.8586
9.4948	8.1428
9.4774	8.4719
9.4601	8.8567
9.4429	9.2954
9.4257	9.8750
9.4086	10.6377
9.3916	11.4216
9.3746	12.2028
9.3577	12.9934
9.3408	13.6757
9.3240	14.1801
9.3073	14.5400
9.2906	14.8051
9.2740	14.9443
9.2574	14.9716
9.2409	14.9773
9.2245	15.0124
9.2081	15.0310
9.1918	15.0730
9.1755	15.1137
9.1593	15.0739
9.1431	15.0713
9.1270	15.0363
9.1110	14.9582
9.0950	14.9194
9.0791	14.9482
9.0632	14.9553
9.0474	14.9094
9.0316	14.8923
9.0159	14.8569
9.0003	14.7500
8.9847	14.6980
8.9691	14.7285
8.9536	14.8444
8.9382	14.9406
8.9228	14.9836
8.9075	15.0608
8.8922	15.1367
8.8770	15.1275
8.8618	15.1237
8.8467	15.1242
8.8316	15.0962
8.8166	15.0031
8.8016	14.8693
8.7867	14.7395
8.7718	14.6477
8.7570	14.5984
8.7422	14.5439
8.7275	14.4309
8.7129	14.2339
8.6982	13.9729
8.6837	13.6020
8.6692	12.9480
8.6547	11.9480
8.6403	10.9182
8.6259	10.4980
8.6116	11.0652
8.5973	12.1809
8.5830	13.2441
8.5688	14.0217
8.5547	14.5490
8.5406	14.9482
8.5266	15.2329
8.5126	15.4243
8.4986	15.6037
8.4847	15.7314
8.4708	15.8574
8.4570	15.9895
8.4432	16.1250
8.4295	16.2587
8.4158	16.3200
8.4022	16.4492
8.3886	16.5966
8.3750	16.7507
8.3615	16.9216
8.3481	17.0861
8.3347	17.3283
8.3213	17.5637
8.3079	17.7666
8.2946	18.0092
8.2814	18.2968
8.2682	18.5051
8.2550	18.6711
8.2419	18.8801
8.2288	19.0922
8.2158	19.1696
8.2028	19.1083
8.1898	18.9825
8.1769	18.7470
8.1640	18.3261
8.1512	17.7031
8.1384	16.8775
8.1256	16.0066
8.1129	15.1530
8.1002	14.2605
8.0876	13.4099
8.0750	12.6035
8.0624	11.8344
8.0499	11.1360
8.0374	10.4665
8.0250	9.8352
8.0126	9.2400
8.0002	8.6887
7.9879	8.2063
7.9756	7.7117
7.9634	7.1833
7.9512	6.6391
7.9390	6.1301
7.9268	5.6565
7.9147	5.2493
7.9027	4.8420
7.8906	4.4878
7.8786	4.2021
7.8667	3.9228
7.8548	3.6467
7.8429	3.4180
7.8310	3.2192
7.8192	3.0471
7.8075	2.9331
7.7957	2.8254
7.7840	2.7380
7.7723	2.6255
7.7607	2.5373
7.7491	2.4321
7.7375	2.3000
7.7260	2.1894
7.7145	2.1201
7.7031	2.0691
7.6916	1.9690
7.6802	1.8608
7.6689	1.7895
7.6575	1.6874
7.6462	1.6172
7.6350	1.5598
7.6238	1.4785
7.6126	1.4292
7.6014	1.4087
7.5903	1.3550
7.5792	1.3052
7.5681	1.2798
7.5571	1.2334
7.5461	1.1980
7.5351	1.1924
7.5242	1.1606
7.5133	1.1301
7.5024	1.0784
7.4916	1.0469
7.4807	1.0478
7.4700	1.0405
7.4592	1.0234
7.4485	1.0061
7.4378	0.9936
7.4272	0.9707
7.4165	0.9536
7.4059	0.9458
7.3954	0.9326
7.3848	0.9087
7.3743	0.8923
7.3639	0.9033
7.3534	0.8760
7.3430	0.8621
7.3326	0.8669
7.3223	0.8735
7.3119	0.8635
7.3016	0.8569
7.2914	0.8799
7.2811	0.8779
7.2709	0.8474
7.2607	0.8420
7.2506	0.8376
7.2404	0.8296
7.2303	0.8774
7.2203	0.9248
7.2102	0.8660
7.2002	0.8257
7.1902	0.8535
7.1803	0.8589
7.1703	0.8469
7.1604	0.8823
7.1506	0.8669
7.1407	0.8848
7.1309	0.9526
7.1211	0.9412
7.1113	0.8953
7.1016	0.9053
7.0919	0.9053
7.0822	0.8948
7.0725	0.9187
7.0629	0.9148
7.0533	0.8874
7.0437	0.9067
7.0341	0.9207
7.0246	0.9182
7.0151	0.9233
7.0056	0.9282
6.9962	0.9302
6.9867	0.9329
6.9773	0.9573
6.9679	0.9546
6.9586	0.9431
6.9493	0.9573
6.9400	0.9687
6.9307	0.9551
6.9214	0.9492
6.9122	0.9746
6.9030	0.9770
6.8938	0.9687
6.8847	0.9841
6.8755	0.9785
6.8664	0.9373
6.8573	0.9421
6.8483	0.9780
6.8393	1.0283
6.8302	1.0015
6.8213	0.9636
6.8123	0.9812
6.8034	0.9707
6.7944	0.9836
6.7855	0.9985
6.7767	1.0339
6.7678	1.0359
6.7590	1.0149
6.7502	1.0503
6.7414	1.0588
6.7327	1.0305
6.7239	1.0498
6.7152	1.0713
6.7065	1.0852
6.6979	1.0928
6.6892	1.0793
6.6806	1.0774
6.6720	1.1082
6.6634	1.1367
6.6549	1.1240
6.6464	1.1221
6.6378	1.0889
6.6294	1.1096
6.6209	1.1536
6.6124	1.1785
6.6040	1.1876
6.5956	1.1641
6.5872	1.1340
6.5789	1.1230
6.5705	1.1106
6.5622	1.1133
6.5539	1.1440
6.5456	1.1602
6.5374	1.1565
6.5292	1.1676
6.5209	1.1726
6.5128	1.1914
6.5046	1.1799
6.4964	1.1636
6.4883	1.1814
6.4802	1.2168
6.4721	1.2353
6.4640	1.2666
6.4560	1.2603
6.4480	1.2866
6.4399	1.2817
6.4320	1.2563
6.4240	1.2378
6.4160	1.1970
6.4081	1.2129
6.4002	1.2666
6.3923	1.2637
6.3844	1.2488
6.3766	1.2388
6.3687	1.2197
6.3609	1.2302
6.3531	1.2053
6.3454	1.1855
6.3376	1.2085
6.3299	1.1948
6.3221	1.1824
6.3144	1.1970
6.3068	1.1924
6.2991	1.1880
6.2914	1.1774
6.2838	1.1804
6.2762	1.1736
6.2686	1.1770
6.2611	1.1794
6.2535	1.1611
6.2460	1.1182
6.2385	1.1216
6.2310	1.1211
6.2235	1.1182
6.2160	1.1355
6.2086	1.1301
6.2011	1.1248
6.1937	1.1226
6.1863	1.0991
6.1790	1.1167
6.1716	1.1465
6.1643	1.1382
6.1570	1.1482
6.1496	1.1570
6.1424	1.1545
6.1351	1.1780
6.1278	1.1976
6.1206	1.1645
6.1134	1.1360
6.1062	1.1574
6.0990	1.2058
6.0918	1.2263
6.0847	1.1958
6.0776	1.1721
6.0704	1.1860
6.0633	1.2205
6.0563	1.2034
6.0492	1.1340
6.0421	1.1602
6.0351	1.2095
6.0281	1.2292
6.0211	1.2417
6.0141	1.2537
6.0071	1.2573
6.0002	1.2488
5.9932	1.2178
5.9863	1.2200
5.9794	1.2551
5.9725	1.2344
5.9657	1.2148
5.9588	1.2627
