Name:  Calcite CaCO3
Type:  Mineral
Class:  Carbonates
Subclass:   
Particle Size: Coarse  (74-250 Micrometers)
Sample No.:  calcite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Hunt and Salisbury Collection #194B (purchased from Ward's 
Natural Science Establishment); Sample from Mexico.
Description: The sample consisted of transparent euhedral crystals.  
The largest was about 2 cm x 2 cm.  This was obviously pure optical 
quality calcite.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  calcit1a.txt

25.04420302	8.5097
24.9237955	7.8496
24.80454022	7.1723
24.68642074	6.6723
24.5694209	6.3555
24.45358465	5.8047
24.3387763	5.2754
24.22504094	4.8437
24.11236361	4.4126
24.00072962	4.1357
23.89012454	3.6836
23.78053421	3.1997
23.67194472	3.0019
23.56434244	2.9224
23.45771395	2.7539
23.35204611	2.6262
23.24732598	2.6047
23.14354087	2.4778
23.04067832	2.458
22.93872607	2.4292
22.83767211	2.1797
22.7375046	1.9907
22.63821194	1.8935
22.53978272	1.8547
22.44220571	1.8184
22.3454699	1.7646
22.24956446	1.7519
22.15447875	1.6604
22.06020229	1.6387
21.96677306	1.717
21.87408402	1.7153
21.7821739	1.6543
21.69103293	1.6357
21.60065148	1.6606
21.5110201	1.7051
21.42212949	1.7549
21.33397051	1.7314
21.24653416	1.7334
21.15981159	1.748
21.0737941	1.7598
20.98847313	1.7808
20.90384024	1.8013
20.81988716	1.834
20.73660571	1.78
20.65398787	1.7834
20.57202575	1.792
20.49071156	1.8064
20.41003766	1.8804
20.3299965	1.8977
20.25058069	1.9434
20.1717829	1.98
20.09359597	1.9263
20.01601281	1.9375
19.93906621	2.0288
19.8626695	2.0503
19.78685599	2.0234
19.71161901	2.0688
19.63695203	2.1077
19.56284859	2.1265
19.48930232	2.1606
19.41630698	2.1694
19.34385639	2.1396
19.27194448	2.1968
19.20056526	2.2353
19.12971284	2.2646
19.05938141	2.3276
18.98956523	2.3757
18.92025868	2.3867
18.85145618	2.4453
18.78315226	2.5239
18.71534153	2.5146
18.64801865	2.4844
18.58117838	2.5693
18.51481556	2.6016
18.44892507	2.6182
18.38350191	2.6929
18.31854111	2.7285
18.25407111	2.7563
18.19002023	2.8171
18.12641726	2.8735
18.06325753	2.9141
18.00053642	2.959
17.93824937	3.0361
17.8763919	3.0869
17.81495958	3.0967
17.75394803	3.0903
17.69335296	3.1003
17.63317011	3.124
17.57339529	3.085
17.51402436	3.053
17.45505324	3.0679
17.39647791	3.052
17.3382944	3.0371
17.28049878	3.0659
17.2230872	3.063
17.16605584	3.0156
17.10940093	3.03
17.05311876	3.0791
16.99720566	3.0876
16.94165801	3.1245
16.88647225	3.1638
16.83167317	3.1885
16.77720046	3.2402
16.72307919	3.3464
16.66930597	3.3994
16.61587747	3.4629
16.56279037	3.5854
16.51004141	3.7046
16.45762737	3.7808
16.40554507	3.8603
16.35379138	3.9531
16.30236319	4.053
16.25125744	4.1565
16.20047111	4.2097
16.15000121	4.2563
16.0998448	4.3042
16.04999896	4.3459
16.00048641	4.4294
15.95125297	4.5251
15.90232158	4.5796
15.85368947	4.6225
15.80535391	4.7104
15.75731218	4.8235
15.70956162	4.9114
15.6620996	4.9863
15.61492349	5.0776
15.56803074	5.1963
15.52141878	5.2905
15.47508511	5.3552
15.42902725	5.4763
15.38324273	5.5928
15.33772913	5.6479
15.29248405	5.7344
15.24750513	5.8501
15.20279002	5.9651
15.1583364	6.0513
15.114142	6.1636
15.07020455	6.2927
15.02652181	6.384
14.98309158	6.4714
14.93991168	6.5542
14.89700213	6.6269
14.85431629	6.6926
14.81187438	6.7151
14.76967431	6.7109
14.72771402	6.6819
14.68599147	6.6489
14.64450465	6.5764
14.60325156	6.4912
14.56223023	6.3784
14.52143873	6.2051
14.48087511	5.9385
14.44053748	5.5495
14.40042395	5.1692
14.36053266	4.9429
14.32086177	4.5786
14.28140946	4.2305
14.24217393	3.9263
14.20315338	3.5625
14.16434607	3.2454
14.12575025	3.1201
14.0873642	3.2322
14.0491862	3.5139
14.01121458	2.9905
13.97344765	2.0439
13.93590321	2.0154
13.89854065	2.4756
13.8613779	3.0061
13.82441336	3.5788
13.78764544	4.1804
13.75107258	4.727
13.71469324	5.238
13.67850587	5.6619
13.64250897	6.0132
13.60670103	6.3423
13.57108057	6.6753
13.53564612	6.9519
13.50039624	7.2163
13.46532947	7.4206
13.4304444	7.5351
13.39573962	7.5788
13.36121373	7.5893
13.32686536	7.5198
13.29269314	7.4062
13.25869572	7.3052
13.22487175	7.1948
13.19121992	7.0408
13.15773892	6.8388
