Name:  Beryl Be3Al2Si6O18
Type:  Mineral
Class:  Silicates
Subclass:  Cyclosilicates (Ring Silicates)
Particle Size:  Fine (Less than 2 Micrometers)
Sample No.:  beryl.1
Owner:  JHU
Wavelength Range:  IR
Origin: Sample from Maine via Hunt and Salisbury Collection sample 
#180B (purchased from Ward's Natural Science Establishment).
Description: The hand sample was cut and polished along an 
unknown axis.  It was pale green and appeared pure.  Microscopic 
examination showed a small amount (2% or less) of very fine, low 
birefringent material in the sample.  The contaminating grains 
occasionally have rhombic or cubic shape.  These grains were 
unidentifiable.
Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: beryl1a.txt

25.04420302	86.5154
24.9237955	85.7498
24.80454022	84.281
24.68642074	83.8592
24.5694209	83.4842
24.45358465	82.8435
24.3387763	82.4724
24.22504094	81.7264
24.11236361	80.9217
24.00072962	79.7498
23.89012454	78.4295
23.78053421	76.5623
23.67194472	75.2576
23.56434244	72.4334
23.45771395	68.9725
23.35204611	65.1561
23.24732598	60.9881
23.14354087	56.9999
23.04067832	53.8299
22.93872607	51.7421
22.83767211	50.4784
22.7375046	50.2538
22.63821194	51.0799
22.53978272	52.4706
22.44220571	53.953
22.3454699	55.8045
22.24956446	57.8924
22.15447875	60.0116
22.06020229	61.9315
21.96677306	63.8905
21.87408402	65.533
21.7821739	66.824
21.69103293	68.3162
21.60065148	69.494
21.5110201	70.7889
21.42212949	72.0076
21.33397051	73.1483
21.24653416	73.5486
21.15981159	73.7205
21.0737941	73.4315
20.98847313	72.9217
20.90384024	72.0486
20.81988716	70.5819
20.73660571	68.6678
20.65398787	66.3905
20.57202575	63.6326
20.49071156	60.0643
20.41003766	55.8495
20.3299965	51.4491
20.25058069	48.1718
20.1717829	46.8124
20.09359597	48.7245
20.01601281	53.6835
19.93906621	60.3123
19.8626695	65.9198
19.78685599	68.4549
19.71161901	68.1541
19.63695203	65.5916
19.56284859	62.0047
19.48930232	58.0633
19.41630698	54.3788
19.34385639	51.1874
19.27194448	48.7616
19.20056526	47.2743
19.12971284	46.4725
19.05938141	46.4511
18.98956523	46.8046
18.92025868	47.5087
18.85145618	48.5018
18.78315226	49.621
18.71534153	50.7128
18.64801865	52.0428
18.58117838	53.6649
18.51481556	55.3163
18.44892507	56.9159
18.38350191	58.5252
18.31854111	60.3084
18.25407111	62.1766
18.19002023	64.5662
18.12641726	67.1209
18.06325753	69.6463
18.00053642	71.9295
17.93824937	73.9178
17.8763919	75.3553
17.81495958	76.5154
17.75394803	77.3553
