Name: Beryl Be3Al2Si6O18
Type:  Mineral
Class:  Silicates
Subclass:  Cyclosilicates (Ring Silicates)
Particle Size:  Solid polished surface
Sample No.:  beryl.2
Owner:  JHU
Wavelength Range:  IR
Origin:  Smithsonian NMNH 134700Sample from Palermo Mine, North 
Groton, New Hampshire.
Description:  Hand sample was pale green to white in color and 
appeared pure on the inside, with a small amount of surface 
discoloration.  The sample was roughly cubical, 2 cm on a side.  
Microscopic examination indicated it to be pure with a very small 
amount (much less than 1%) of alteration.

Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  beryl2a.txt

25.04420302	18.3691
24.9237955	19.3359
24.80454022	19.6249
24.68642074	19.9462
24.5694209	20.329
24.45358465	20.9296
24.3387763	21.4882
24.22504094	22.2617
24.11236361	23.1259
24.00072962	23.6054
23.89012454	23.8476
23.78053421	25.9413
23.67194472	26.8495
23.56434244	28.1259
23.45771395	29.5429
23.35204611	30.5146
23.24732598	31.2284
23.14354087	31.8573
23.04067832	32.1347
22.93872607	32.5194
22.83767211	32.8324
22.7375046	33.248
22.63821194	33.2226
22.53978272	33.6664
22.44220571	34.0995
22.3454699	34.0805
22.24956446	34.2289
22.15447875	34.4276
22.06020229	34.4941
21.96677306	34.768
21.87408402	34.7714
21.7821739	34.9862
21.69103293	35.1903
21.60065148	35.4066
21.5110201	35.4726
21.42212949	35.4149
21.33397051	35.1317
21.24653416	34.8051
21.15981159	33.8109
21.0737941	32.4003
20.98847313	30.3232
20.90384024	27.5761
20.81988716	24.6821
20.73660571	22.0859
20.65398787	20.5908
20.57202575	20.7138
20.49071156	21.9829
20.41003766	23.5121
20.3299965	24.9731
20.25058069	25.9999
20.1717829	26.2372
20.09359597	25.7372
20.01601281	24.1679
19.93906621	21.3232
19.8626695	18.0151
19.78685599	16.4575
19.71161901	16.4047
19.63695203	17.59
19.56284859	19.5253
19.48930232	21.7475
19.41630698	23.9135
19.34385639	25.9291
19.27194448	28.0058
19.20056526	29.6379
19.12971284	30.9257
19.05938141	31.9211
18.98956523	32.9433
18.92025868	33.872
18.85145618	34.6923
18.78315226	35.4074
18.71534153	35.765
18.64801865	35.7211
18.58117838	35.0487
18.51481556	33.7863
18.44892507	32.3866
18.38350191	31.0956
18.31854111	29.883
18.25407111	29.0502
18.19002023	28.2724
18.12641726	27.1484
18.06325753	25.7502
18.00053642	24.1271
17.93824937	22.1484
17.8763919	20.0185
17.81495958	18.1027
17.75394803	16.4116
17.69335296	15.1582
17.63317011	14.4707
17.57339529	14.1499
17.51402436	13.9865
17.45505324	13.9126
17.39647791	13.8127
17.3382944	13.5529
17.28049878	13.4287
17.2230872	13.55
17.16605584	13.8742
17.10940093	14.4282
17.05311876	15.3559
16.99720566	16.8359
16.94165801	18.6977
16.88647225	20.8393
16.83167317	22.7783
16.77720046	24.1855
16.72307919	25.1703
16.66930597	25.7753
16.61587747	25.9338
16.56279037	25.5336
16.51004141	24.5297
16.45762737	22.9736
16.40554507	21.1142
16.35379138	19.1047
16.30236319	17.1084
16.25125744	15.4714
16.20047111	14.4336
16.15000121	14.1059
16.0998448	14.1103
16.04999896	14.2236
16.00048641	14.3537
15.95125297	14.4787
15.90232158	14.6035
15.85368947	14.7336
15.80535391	14.7776
15.75731218	14.8313
15.70956162	14.9487
15.6620996	15.0825
15.61492349	15.1921
15.56803074	15.3823
15.52141878	15.5727
15.47508511	15.7898
15.42902725	16.0302
15.38324273	16.3325
15.33772913	16.5678
15.29248405	16.6135
15.24750513	16.5471
15.20279002	16.5063
15.1583364	16.5424
15.114142	16.7719
15.07020455	17.0805
15.02652181	17.3403
14.98309158	17.3115
14.93991168	17.8974
14.89700213	18.9331
14.85431629	19.8586
14.81187438	20.9848
14.76967431	22.3173
14.72771402	23.684
14.68599147	24.998
14.64450465	26.0744
14.60325156	26.9846
14.56223023	27.5383
14.52143873	27.8732
14.48087511	27.9824
14.44053748	27.9047
14.40042395	27.624
14.36053266	27.238
14.32086177	26.7565
14.28140946	26.2695
14.24217393	25.6379
14.20315338	24.9748
14.16434607	24.3027
14.12575025	23.5793
14.0873642	22.8061
14.0491862	22.1201
14.01121458	21.6581
13.97344765	21.457
13.93590321	21.5351
13.89854065	21.8378
13.8613779	22.2949
13.82441336	22.8212
13.78764544	23.4506
13.75107258	24.1601
13.71469324	24.8119
13.67850587	25.5024
13.64250897	26.2109
13.60670103	26.7919
13.57108057	27.2372
13.53564612	27.6186
13.50039624	27.8564
13.46532947	27.9535
13.4304444	28.0156
13.39573962	27.9931
13.36121373	27.8261
13.32686536	27.6025
13.29269314	27.3095
13.25869572	26.8569
13.22487175	26.2778
13.19121992	25.6054
13.15773892	24.7519
13.12442745	23.6467
13.09130135	22.3022
13.05832501	20.6215
13.02551438	18.604
12.99286821	16.3964
12.96038529	14.1743
12.92806437	12.226
12.89590426	10.8481
12.86390376	10.1357
12.83206168	9.9428
12.80037684	10.0766
12.7688481	10.4221
12.73747429	10.8584
12.70625427	11.3344
12.67518693	11.8154
12.64427113	12.2715
12.61350579	12.7675
12.58290562	13.2888
12.55243781	13.8244
12.52211719	14.3471
12.4919427	14.8974
12.46191328	15.5114
12.43202789	16.1015
12.40228549	16.6728
12.37268507	17.2187
12.34322561	17.6635
12.31390609	18.0507
12.28472554	18.4145
12.25568296	18.6977
12.22677738	18.8984
12.19800782	19.0297
12.16937334	19.1286
12.14087298	19.1401
12.1125058	19.0551
12.08427087	18.9863
12.05616727	18.8554
12.02819409	18.6484
12.00035041	18.4204
11.97263534	18.226
11.945048	18.0029
11.9175875	17.7478
11.8902671	17.5942
11.86305761	17.5043
11.83597236	17.4213
11.80901051	17.3994
11.78217122	17.4426
11.75545365	17.5327
11.72885698	17.6508
11.70238038	17.7934
11.67602305	17.9414
11.64978419	18.1147
11.62366299	18.29
11.59765866	18.4799
11.57177043	18.6591
11.54599752	18.8735
11.52033916	19.0732
11.49479458	19.2758
11.46936304	19.5107
11.44404378	19.7587
11.41883606	19.9975
11.39373914	20.2199
11.3687523	20.4931
11.34387482	20.7934
11.31910597	21.0996
11.29444505	21.402
11.26990406	21.6928
11.24545684	21.9826
11.22111545	22.3369
11.19687921	22.7031
11.17274743	23.0244
11.14871946	23.4067
11.12479461	23.8593
11.10097222	24.3129
11.07725165	24.7944
11.05363222	25.3283
11.03011331	25.8744
11.00669427	26.4279
10.98337447	27.0163
10.96015327	27.6547
10.93703005	28.3027
10.9140042	28.975
10.89107509	29.6708
10.86824213	30.3363
10.8455047	30.9228
10.82286221	31.5163
10.80031407	32.0497
10.77785969	32.4806
10.75549848	32.8842
10.73322986	33.2548
10.71106474	33.5668
10.68897956	33.8871
10.66698525	34.2367
10.64508128	34.579
10.62326708	34.9316
10.6015421	35.3837
10.5799058	35.9057
10.55835763	36.4899
10.53689705	37.2067
10.51552354	38.0663
10.49423657	39.0517
10.4730356	40.1801
10.45192012	41.4052
10.43088962	42.5712
10.40994358	43.6259
10.38908149	44.5673
10.36830285	45.2323
10.34760717	45.6305
10.32699394	45.9252
10.30646267	46.0758
10.28601287	46.0272
10.26564407	45.9005
10.24535578	45.7245
10.22514752	45.4301
10.20502924	45.0541
10.1849796	44.7133
10.16500858	44.2675
10.14511574	43.6918
10.12530059	42.9857
10.10556271	42.0526
10.08590162	40.8668
10.0663169	39.5397
10.04680808	38.1352
10.02737473	36.7907
10.00801642	35.6642
9.98873271	34.8363
9.969523168	34.2045
9.950387369	33.7431
9.931324888	33.5097
9.912335307	33.4401
9.893427994	33.4838
9.874582922	33.6811
9.855809507	33.9855
9.83710734	34.3036
9.818476015	34.5722
9.799915133	34.7712
9.781424293	34.8568
9.7630031	34.8803
9.744651161	34.8598
9.726368087	34.7941
9.70815349	34.6503
9.690006986	34.4677
9.671928196	34.2028
9.653916739	33.8432
9.635972241	33.4316
9.618094328	32.9555
9.600282632	32.4074
9.582536785	31.8559
9.564856422	31.3258
9.547241181	30.7851
9.529690704	30.2575
9.512204634	29.8356
9.494782617	29.4643
9.477424301	29.1564
9.460138288	28.9982
9.4429063	28.9809
9.425736975	29.0383
9.408629972	29.228
9.391584952	29.5221
9.374601579	29.8217
9.35767952	30.1044
9.340818443	30.4006
9.324018018	30.6364
9.307277919	30.808
9.290597822	30.9455
9.273977405	31.0553
9.257416348	31.0893
9.240914333	31.1029
9.224471046	31.1213
9.208086173	31.122
9.191759404	31.0973
9.17549043	31.1088
9.159278945	31.1054
9.143124645	31.0849
9.127027227	31.0439
9.110986392	31.0434
9.095001842	31.0199
9.079073281	30.9596
9.06320863	30.893
9.04739114	30.8156
9.031628764	30.717
9.015921215	30.6171
9.000268208	30.4955
8.984669459	30.3757
8.969124685	30.2387
8.953633608	30.1237
8.93819595	29.9704
8.922811435	29.811
8.907479789	29.6405
8.89220074	29.4198
8.876974017	29.1689
8.861799353	28.9545
8.846676481	28.7114
8.831605135	28.4345
8.816585054	28.1833
8.801615977	27.9347
8.786697643	27.6657
8.771829795	27.4255
8.757012178	27.1701
8.742244536	26.9045
8.727526619	26.6064
8.712858175	26.3115
8.69824652	25.9855
8.683676252	25.6384
8.669154714	25.2958
8.654681663	24.9831
8.640256858	24.6747
8.625880055	24.4201
8.611551018	24.196
8.597269507	23.9824
8.583035287	23.7993
8.568848124	23.6577
8.554707784	23.5309
8.540614036	23.4211
8.52656665	23.3495
8.512565398	23.2985
8.498610052	23.2275
8.484700388	23.1411
8.470836182	23.0615
8.45701721	22.9841
8.443243252	22.9091
