Name: Cordierite Mg2Al4Si5O18
Type:  Mineral
Class:   Silicates 
Subclass:   Cyclosilicates (Ring Silicates)
Particle Size:  Fine  (0 - 74 Micrometers)
Sample No.:  cordier.2
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Orijarvi, Finland via the Smithsonian  (sample 
no. NMNH 78228). 
Description: The sample consists of three pieces, each about 2 cm x 4 
cm x 1 cm.  There are some heterogeneities in color, but the samples 
are predominantly blue-gray.  They appear fairly pure, but do have 
a few veins with discoloration along them.  Under the petrographic 
microscope all samples appear to be cordierite, but grains have a 
small amount of alteration and some microcrystalline inclusions.
Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: cordie2a.txt

25.04420302	3.6455
24.9237955	3.7524
24.80454022	3.6191
24.68642074	3.4458
24.5694209	3.6006
24.45358465	3.5625
24.3387763	3.4434
24.22504094	3.4971
24.11236361	3.501
24.00072962	3.48
23.89012454	3.4492
23.78053421	3.2432
23.67194472	3.1826
23.56434244	3.1641
23.45771395	2.8791
23.35204611	2.7012
23.24732598	2.5315
23.14354087	2.5137
23.04067832	2.6838
22.93872607	2.6689
22.83767211	2.5933
22.7375046	2.6977
22.63821194	2.8682
22.53978272	2.803
22.44220571	2.7768
22.3454699	2.8501
22.24956446	2.9004
22.15447875	2.7913
22.06020229	2.6816
21.96677306	2.5996
21.87408402	2.5149
21.7821739	2.4321
21.69103293	2.4194
21.60065148	2.4546
21.5110201	2.5129
21.42212949	2.5491
21.33397051	2.5723
21.24653416	2.5376
21.15981159	2.5996
21.0737941	2.7414
20.98847313	2.7668
20.90384024	2.8664
20.81988716	2.9136
20.73660571	2.8967
20.65398787	2.8579
20.57202575	2.814
20.49071156	2.8686
20.41003766	2.9072
20.3299965	2.8247
20.25058069	2.7646
20.1717829	2.7285
20.09359597	2.6348
20.01601281	2.5566
19.93906621	2.5371
19.8626695	2.4863
19.78685599	2.3696
19.71161901	2.2002
19.63695203	2.0132
19.56284859	1.853
19.48930232	1.709
19.41630698	1.5869
19.34385639	1.4802
19.27194448	1.4478
19.20056526	1.4932
19.12971284	1.5405
19.05938141	1.5662
18.98956523	1.5847
18.92025868	1.6548
18.85145618	1.7295
18.78315226	1.7798
18.71534153	1.8555
18.64801865	1.9563
18.58117838	2.0185
18.51481556	2.0615
18.44892507	2.1316
18.38350191	2.1921
18.31854111	2.2544
18.25407111	2.2549
18.19002023	2.2122
18.12641726	2.1977
18.06325753	2.1912
18.00053642	2.1929
17.93824937	2.1709
17.8763919	2.1079
17.81495958	2.1001
17.75394803	2.0974
17.69335296	2.0591
17.63317011	2.0312
17.57339529	2.0117
17.51402436	1.9912
17.45505324	1.9644
17.39647791	1.9304
17.3382944	1.9414
17.28049878	1.9761
17.2230872	2.0144
17.16605584	2.0474
17.10940093	2.0247
17.05311876	2.0286
16.99720566	2.022
16.94165801	1.9597
16.88647225	1.9062
16.83167317	1.8279
16.77720046	1.8086
16.72307919	1.8015
16.66930597	1.8013
16.61587747	1.7683
16.56279037	1.7671
16.51004141	1.8196
16.45762737	1.8403
16.40554507	1.8552
16.35379138	1.8633
16.30236319	1.8652
16.25125744	1.8945
16.20047111	1.9238
16.15000121	1.9394
16.0998448	1.9429
16.04999896	1.9309
16.00048641	1.9214
15.95125297	1.9058
15.90232158	1.8931
15.85368947	1.9363
15.80535391	1.9673
15.75731218	1.991
15.70956162	2.0293
15.6620996	2.0779
15.61492349	2.1042
15.56803074	2.1416
15.52141878	2.1641
15.47508511	2.1689
15.42902725	2.1846
15.38324273	2.1797
15.33772913	2.1826
15.29248405	2.1863
15.24750513	2.1597
15.20279002	2.1831
15.1583364	2.2422
15.114142	2.2544
15.07020455	2.2605
15.02652181	2.2363
14.98309158	2.1914
14.93991168	2.1602
14.89700213	2.1001
14.85431629	2.031
14.81187438	1.9956
14.76967431	1.9954
14.72771402	2.0251
14.68599147	2.0547
14.64450465	2.0918
14.60325156	2.1719
14.56223023	2.2427
14.52143873	2.2891
14.48087511	2.3523
14.44053748	2.4265
14.40042395	2.468
14.36053266	2.4629
14.32086177	2.439
14.28140946	2.4216
14.24217393	2.3972
14.20315338	2.3823
14.16434607	2.4182
14.12575025	2.4775
14.0873642	2.5437
14.0491862	2.6135
14.01121458	2.6665
13.97344765	2.7014
13.93590321	2.7278
13.89854065	2.7205
13.8613779	2.6953
13.82441336	2.6902
13.78764544	2.6599
13.75107258	2.5898
13.71469324	2.5347
13.67850587	2.511
13.64250897	2.4548
13.60670103	2.3953
13.57108057	2.3403
13.53564612	2.2634
13.50039624	2.1719
13.46532947	2.134
13.4304444	2.0984
13.39573962	2.033
13.36121373	1.9792
13.32686536	1.948
13.29269314	1.9468
13.25869572	1.9695
13.22487175	1.9846
13.19121992	1.9551
13.15773892	1.9707
13.12442745	2.0276
13.09130135	2.0395
13.05832501	2.0784
13.02551438	2.1201
12.99286821	2.1121
12.96038529	2.113
12.92806437	2.1414
12.89590426	2.1228
12.86390376	2.0998
12.83206168	2.0723
12.80037684	2.0603
12.7688481	2.0586
12.73747429	2.0225
12.70625427	2.0085
12.67518693	2.0256
12.64427113	2.0225
12.61350579	2.009
12.58290562	2.0142
12.55243781	2.0166
12.52211719	1.9822
12.4919427	1.9729
12.46191328	2.0188
12.43202789	2.0583
12.40228549	2.1162
12.37268507	2.1794
12.34322561	2.2417
12.31390609	2.3105
12.28472554	2.3779
12.25568296	2.4153
12.22677738	2.4751
12.19800782	2.5095
12.16937334	2.5124
12.14087298	2.5185
12.1125058	2.5398
12.08427087	2.592
12.05616727	2.6658
12.02819409	2.7434
12.00035041	2.8254
11.97263534	2.8865
11.945048	2.9324
11.9175875	2.9785
11.8902671	2.9993
11.86305761	3.0195
11.83597236	3.0278
11.80901051	3.0259
11.78217122	3.0283
11.75545365	3.0012
11.72885698	2.9929
11.70238038	2.9831
11.67602305	2.9497
11.64978419	2.9226
11.62366299	2.8935
11.59765866	2.8638
11.57177043	2.8357
11.54599752	2.7876
11.52033916	2.738
11.49479458	2.6848
11.46936304	2.657
11.44404378	2.6235
11.41883606	2.5635
11.39373914	2.5305
11.3687523	2.5176
11.34387482	2.4829
11.31910597	2.4258
11.29444505	2.3721
11.26990406	2.335
11.24545684	2.2803
11.22111545	2.2305
11.19687921	2.1953
11.17274743	2.177
11.14871946	2.165
11.12479461	2.1697
11.10097222	2.1738
11.07725165	2.1582
11.05363222	2.1472
11.03011331	2.1201
11.00669427	2.0823
10.98337447	2.0339
10.96015327	1.9929
10.93703005	1.981
10.9140042	1.991
10.89107509	1.981
10.86824213	1.9521
10.8455047	1.8992
10.82286221	1.8472
10.80031407	1.8401
10.77785969	1.8801
10.75549848	1.9302
10.73322986	1.9978
10.71106474	2.0796
10.68897956	2.1465
10.66698525	2.218
10.64508128	2.2883
10.62326708	2.3469
10.6015421	2.3982
10.5799058	2.4512
10.55835763	2.5051
10.53689705	2.564
10.51552354	2.6262
10.49423657	2.7019
10.4730356	2.7747
10.45192012	2.8074
10.43088962	2.8108
10.40994358	2.8406
10.38908149	2.8562
10.36830285	2.8433
10.34760717	2.8144
10.32699394	2.8018
10.30646267	2.7942
10.28601287	2.7803
10.26564407	2.7815
10.24535578	2.7688
10.22514752	2.7451
10.20502924	2.7458
10.1849796	2.7585
10.16500858	2.7353
10.14511574	2.7048
10.12530059	2.6804
10.10556271	2.6396
10.08590162	2.6003
10.0663169	2.5537
10.04680808	2.4814
10.02737473	2.4001
10.00801642	2.3083
9.98873271	2.2358
9.969523168	2.176
9.950387369	2.1099
9.931324888	2.0464
9.912335307	2.0168
9.893427994	2.0107
9.874582922	2.0251
9.855809507	2.042
9.83710734	2.0469
9.818476015	2.0564
9.799915133	2.0605
9.781424293	2.0559
9.7630031	2.0583
9.744651161	2.0623
9.726368087	2.0793
9.70815349	2.0845
9.690006986	2.0727
9.671928196	2.0627
9.653916739	2.0339
9.635972241	2.0017
9.618094328	1.9856
9.600282632	1.989
9.582536785	1.9932
9.564856422	2.0127
9.547241181	2.0352
9.529690704	2.0564
9.512204634	2.0823
9.494782617	2.106
9.477424301	2.1255
9.460138288	2.145
9.4429063	2.1721
9.425736975	2.1951
9.408629972	2.1953
9.391584952	2.1914
9.374601579	2.1997
9.35767952	2.2136
9.340818443	2.2361
9.324018018	2.2378
9.307277919	2.2239
9.290597822	2.2217
9.273977405	2.2095
9.257416348	2.1846
9.240914333	2.1518
9.224471046	2.1243
9.208086173	2.0886
9.191759404	2.0542
9.17549043	2.0271
9.159278945	2.0039
9.143124645	1.9807
9.127027227	1.968
9.110986392	1.9602
9.095001842	1.9717
9.079073281	1.9756
9.06320863	1.9746
9.04739114	1.9748
9.031628764	1.9685
9.015921215	1.9617
9.000268208	1.9329
8.984669459	1.8899
8.969124685	1.863
8.953633608	1.8447
8.93819595	1.8262
8.922811435	1.8074
8.907479789	1.7969
8.89220074	1.7666
8.876974017	1.7375
8.861799353	1.7158
8.846676481	1.6965
8.831605135	1.6951
8.816585054	1.7231
8.801615977	1.7661
8.786697643	1.7832
8.771829795	1.8005
8.757012178	1.8223
8.742244536	1.8081
8.727526619	1.7554
8.712858175	1.6894
8.69824652	1.634
8.683676252	1.6038
8.669154714	1.6074
8.654681663	1.6416
8.640256858	1.6836
8.625880055	1.7292
8.611551018	1.802
8.597269507	1.874
8.583035287	1.9119
8.568848124	1.9258
8.554707784	1.9646
8.540614036	2.0491
8.52656665	2.1538
8.512565398	2.2568
8.498610052	2.3594
8.484700388	2.4412
