Name:  Fluorite CaF2
Type:  Mineral
Class:   Halides
Subclass:    
Particle Size: Coarse  (74-250 Micrometers)
Sample No.:  flourite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Donated by Norma Vergo; sample from Bingham, New Mexico.

Description: The sample was a large piece of a transparent single 
crystal and appeared to be pure fluorite.




Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: flouri1a.txt

25.04420302	9.4883
24.9237955	9.6108
24.80454022	9.5566
24.68642074	9.5764
24.5694209	9.5666
24.45358465	9.4319
24.3387763	9.4533
24.22504094	9.459
24.11236361	9.4968
24.00072962	9.5088
23.89012454	9.5034
23.78053421	9.5444
23.67194472	9.5486
23.56434244	9.6186
23.45771395	9.7519
23.35204611	9.8203
23.24732598	9.8388
23.14354087	9.8816
23.04067832	9.8269
22.93872607	9.7539
22.83767211	9.7602
22.7375046	9.7695
22.63821194	9.7104
22.53978272	9.7451
22.44220571	9.791
22.3454699	9.7392
22.24956446	9.7522
22.15447875	9.7297
22.06020229	9.6672
21.96677306	9.6687
21.87408402	9.6814
21.7821739	9.6501
21.69103293	9.5698
21.60065148	9.5368
21.5110201	9.4812
21.42212949	9.395
21.33397051	9.3847
21.24653416	9.3459
21.15981159	9.2248
21.0737941	9.1709
20.98847313	9.0595
20.90384024	8.8528
20.81988716	8.6889
20.73660571	8.5427
20.65398787	8.3137
20.57202575	8.135
20.49071156	7.9897
20.41003766	7.7658
20.3299965	7.5537
20.25058069	7.3703
20.1717829	7.1274
20.09359597	6.907
20.01601281	6.688
19.93906621	6.437
19.8626695	6.241
19.78685599	6.103
19.71161901	5.9463
19.63695203	5.8144
19.56284859	5.686
19.48930232	5.4988
19.41630698	5.3437
19.34385639	5.2195
19.27194448	5.0762
19.20056526	4.9192
19.12971284	4.7978
19.05938141	4.6616
18.98956523	4.5012
18.92025868	4.331
18.85145618	4.1279
18.78315226	3.9141
18.71534153	3.7378
18.64801865	3.5845
18.58117838	3.4067
18.51481556	3.2246
18.44892507	3.0691
18.38350191	2.9409
18.31854111	2.793
18.25407111	2.6511
18.19002023	2.5225
18.12641726	2.4048
18.06325753	2.271
18.00053642	2.1333
17.93824937	2.0212
17.8763919	1.9497
17.81495958	1.8621
17.75394803	1.7551
17.69335296	1.6716
17.63317011	1.6045
17.57339529	1.5481
17.51402436	1.4775
17.45505324	1.4099
17.39647791	1.334
17.3382944	1.2563
17.28049878	1.2014
17.2230872	1.1321
17.16605584	1.0496
17.10940093	0.9944
17.05311876	0.97
16.99720566	0.9282
16.94165801	0.8516
16.88647225	0.7581
16.83167317	0.7104
16.77720046	0.6611
16.72307919	0.5957
16.66930597	0.5515
16.61587747	0.5232
16.56279037	0.447
16.51004141	0.3801
16.45762737	0.3472
16.40554507	0.3411
16.35379138	0.2937
16.30236319	0.2415
16.25125744	0.2205
16.20047111	0.2187
16.15000121	0.2288
16.0998448	0.2244
16.04999896	0.2075
16.00048641	0.2039
15.95125297	0.189
15.90232158	0.1897
15.85368947	0.2092
15.80535391	0.2144
15.75731218	0.2051
15.70956162	0.2058
15.6620996	0.2124
15.61492349	0.2173
15.56803074	0.2222
15.52141878	0.2224
15.47508511	0.2092
15.42902725	0.2073
15.38324273	0.2322
15.33772913	0.2561
15.29248405	0.2332
15.24750513	0.2327
15.20279002	0.2703
15.1583364	0.2751
15.114142	0.291
15.07020455	0.3284
15.02652181	0.3306
14.98309158	0.3303
14.93991168	0.3687
14.89700213	0.3965
14.85431629	0.3997
14.81187438	0.4167
14.76967431	0.4304
14.72771402	0.4504
14.68599147	0.4976
14.64450465	0.511
14.60325156	0.5244
14.56223023	0.5562
14.52143873	0.5745
14.48087511	0.582
14.44053748	0.5977
14.40042395	0.6321
14.36053266	0.657
14.32086177	0.6616
14.28140946	0.6768
14.24217393	0.6902
14.20315338	0.71
14.16434607	0.7332
14.12575025	0.7524
14.0873642	0.7593
14.0491862	0.749
14.01121458	0.7456
13.97344765	0.7595
13.93590321	0.7788
13.89854065	0.8008
13.8613779	0.8071
13.82441336	0.8171
13.78764544	0.8242
13.75107258	0.824
13.71469324	0.8328
13.67850587	0.8809
13.64250897	0.9233
