Name: Goethite a-Fe+3O(OH)
Type:  Mineral
Class:   Hydroxides
Subclass:  Goethite Group)
Particle Size: Fine  (0-74 Micrometers)
Sample No.:  goethite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Montreal, Wisconsin via the Smithsonian 
(sample no. NMNH 152500).  
Description: The sample consisted of a 4 cm x 2 cm x 2 cm cluster of 
light brown radiating acicular crystals weighing 10 g.  No impurities 
were observed in hand sample or under the microscope.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  goethi1a.txt

25.04420302	3.3433
24.9237955	3.3765
24.80454022	3.3677
24.68642074	3.4289
24.5694209	3.3606
24.45358465	3.2043
24.3387763	3.1733
24.22504094	3.0293
24.11236361	2.956
24.00072962	2.9463
23.89012454	2.9785
23.78053421	3.0745
23.67194472	3.0071
23.56434244	2.8843
23.45771395	2.967
23.35204611	3.0237
23.24732598	2.9536
23.14354087	2.9751
23.04067832	3.0298
22.93872607	2.9521
22.83767211	2.8652
22.7375046	2.8203
22.63821194	2.8013
22.53978272	2.8613
22.44220571	2.8899
22.3454699	2.8794
22.24956446	2.9141
22.15447875	2.9863
22.06020229	3.0478
21.96677306	3.0976
21.87408402	3.0698
21.7821739	3.0381
21.69103293	3.1167
21.60065148	3.1106
21.5110201	3.0388
21.42212949	3.0037
21.33397051	3.0039
21.24653416	3.0259
21.15981159	3.0317
21.0737941	3.0415
20.98847313	3.0781
20.90384024	3.095
20.81988716	3.0869
20.73660571	3.0405
20.65398787	3.0249
20.57202575	3.0129
20.49071156	2.9824
20.41003766	2.9443
20.3299965	2.917
20.25058069	2.9556
20.1717829	3.0142
20.09359597	2.9768
20.01601281	2.9033
19.93906621	2.8596
19.8626695	2.885
19.78685599	2.8281
19.71161901	2.7749
19.63695203	2.79
19.56284859	2.7231
19.48930232	2.635
19.41630698	2.6531
19.34385639	2.6306
19.27194448	2.5732
19.20056526	2.5527
19.12971284	2.5652
19.05938141	2.595
18.98956523	2.5598
18.92025868	2.5266
18.85145618	2.5183
18.78315226	2.477
18.71534153	2.4719
18.64801865	2.5166
18.58117838	2.5337
18.51481556	2.4924
18.44892507	2.5127
18.38350191	2.5251
18.31854111	2.4695
18.25407111	2.3882
18.19002023	2.3284
18.12641726	2.314
18.06325753	2.3186
18.00053642	2.2866
17.93824937	2.2288
17.8763919	2.1924
17.81495958	2.1638
17.75394803	2.1145
17.69335296	2.05
17.63317011	2.0266
17.57339529	2.0185
17.51402436	1.979
17.45505324	1.9448
17.39647791	1.9087
17.3382944	1.8716
17.28049878	1.8345
17.2230872	1.8225
17.16605584	1.812
17.10940093	1.7539
17.05311876	1.7041
16.99720566	1.7109
16.94165801	1.7034
16.88647225	1.6792
16.83167317	1.6313
16.77720046	1.6343
16.72307919	1.6206
16.66930597	1.595
16.61587747	1.6182
16.56279037	1.6143
16.51004141	1.5832
16.45762737	1.5747
16.40554507	1.5915
16.35379138	1.6069
16.30236319	1.5791
16.25125744	1.5518
16.20047111	1.5395
16.15000121	1.5356
16.0998448	1.5576
16.04999896	1.5811
16.00048641	1.5928
15.95125297	1.5796
15.90232158	1.5935
15.85368947	1.573
15.80535391	1.5457
15.75731218	1.5486
15.70956162	1.5544
15.6620996	1.554
15.61492349	1.5486
15.56803074	1.542
15.52141878	1.5334
15.47508511	1.4932
15.42902725	1.4707
15.38324273	1.4612
15.33772913	1.4434
15.29248405	1.4448
15.24750513	1.4141
15.20279002	1.3586
15.1583364	1.3279
15.114142	1.2991
15.07020455	1.2734
15.02652181	1.2344
14.98309158	1.1841
14.93991168	1.156
14.89700213	1.1384
14.85431629	1.1243
14.81187438	1.1384
14.76967431	1.1331
14.72771402	1.1064
14.68599147	1.1343
14.64450465	1.1431
14.60325156	1.1482
14.56223023	1.1982
14.52143873	1.2544
14.48087511	1.3035
14.44053748	1.3694
14.40042395	1.4189
14.36053266	1.4582
14.32086177	1.5354
14.28140946	1.6011
14.24217393	1.6304
14.20315338	1.6643
14.16434607	1.7248
14.12575025	1.7798
14.0873642	1.845
14.0491862	1.895
14.01121458	1.9109
13.97344765	1.9368
13.93590321	1.9578
13.89854065	1.9595
