Name: Goethite a-Fe+3O(OH)
Type:  Mineral
Class:   Hydroxides
Subclass:  (Goethite Group)
Particle Size: Fine  (less than 2 micrometers)
Sample No.:  goethite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Montreal, Wisconsin via the Smithsonian 
(sample no. NMNH 152500).  
Description: The sample consisted of a 4 cm x 2 cm x 2 cm cluster of 
light brown radiating acicular crystals weighing 10 g.  No impurities 
were observed in hand sample or under the microscope.



Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  goethi1a.txt

25.04420302	27.5546
24.9237955	25.496
24.80454022	24.5156
24.68642074	24.1601
24.5694209	24.8066
24.45358465	25.7519
24.3387763	26.3827
24.22504094	27.2988
24.11236361	28.1327
24.00072962	28.2753
23.89012454	28.2753
23.78053421	28.3437
23.67194472	28.58
23.56434244	28.9101
23.45771395	29.582
23.35204611	30.5077
23.24732598	31.4374
23.14354087	32.5741
23.04067832	33.8612
22.93872607	35.0976
22.83767211	36.4257
22.7375046	37.7577
22.63821194	38.4765
22.53978272	38.6562
22.44220571	38.6483
22.3454699	38.3642
22.24956446	37.8202
22.15447875	37.2978
22.06020229	36.8163
21.96677306	36.3769
21.87408402	36.1386
21.7821739	36.037
21.69103293	35.9657
21.60065148	35.9735
21.5110201	36.3026
21.42212949	36.7968
21.33397051	36.9726
21.24653416	37.2587
21.15981159	37.8056
21.0737941	38.3124
20.98847313	38.7733
20.90384024	39.4296
20.81988716	40.1952
20.73660571	40.8847
20.65398787	41.5975
20.57202575	42.4579
20.49071156	43.3593
20.41003766	44.1972
20.3299965	45.1591
20.25058069	46.2001
20.1717829	47.3456
20.09359597	48.787
20.01601281	50.5936
19.93906621	52.8573
19.8626695	55.3573
19.78685599	57.8114
19.71161901	60.118
19.63695203	62.1932
19.56284859	63.9715
19.48930232	65.452
19.41630698	66.7303
19.34385639	67.7034
19.27194448	68.555
19.20056526	69.2171
19.12971284	69.6487
19.05938141	70.0369
18.98956523	70.3773
18.92025868	70.5486
18.85145618	70.7801
18.78315226	70.8069
18.71534153	70.7811
18.64801865	70.7654
18.58117838	70.7069
18.51481556	70.4183
18.44892507	70.1194
18.38350191	69.6531
18.31854111	69.0101
18.25407111	68.3734
18.19002023	67.6624
18.12641726	66.9124
18.06325753	66.0155
18.00053642	65.1449
17.93824937	64.2796
17.8763919	63.3231
17.81495958	62.4183
17.75394803	61.5453
17.69335296	60.6761
17.63317011	59.8543
17.57339529	59.2015
17.51402436	58.3827
17.45505324	57.5082
17.39647791	56.7538
17.3382944	56.0233
17.28049878	55.3446
17.2230872	54.7303
17.16605584	54.2777
17.10940093	53.8168
17.05311876	53.4745
16.99720566	53.307
16.94165801	53.2914
16.88647225	53.3949
16.83167317	53.5204
16.77720046	53.8143
16.72307919	54.2577
16.66930597	54.8231
16.61587747	55.4559
16.56279037	56.0243
16.51004141	56.6546
16.45762737	57.326
16.40554507	57.9911
16.35379138	58.6917
16.30236319	59.5355
16.25125744	60.4051
16.20047111	61.3436
16.15000121	62.3563
16.0998448	63.4422
16.04999896	64.5701
16.00048641	65.6073
15.95125297	66.7635
15.90232158	67.8768
15.85368947	68.9315
15.80535391	69.9632
15.75731218	71.0262
15.70956162	71.889
15.6620996	72.74
15.61492349	73.6297
15.56803074	74.3211
15.52141878	74.9417
15.47508511	75.428
15.42902725	75.7078
15.38324273	75.8396
15.33772913	75.8206
15.29248405	75.7068
15.24750513	75.4422
15.20279002	75.094
15.1583364	74.6331
15.114142	74.2098
15.07020455	73.7864
15.02652181	73.5438
14.98309158	73.4988
14.93991168	73.5799
14.89700213	74.0276
14.85431629	74.659
14.81187438	75.6053
14.76967431	76.7352
14.72771402	77.9978
14.68599147	79.302
14.64450465	80.6473
14.60325156	81.9217
14.56223023	82.8655
14.52143873	83.7508
14.48087511	84.4978
14.44053748	85.0535
14.40042395	85.4129
14.36053266	85.7527
14.32086177	86.0847
14.28140946	86.1502
14.24217393	86.2879
14.20315338	86.3963
14.16434607	86.3723
14.12575025	86.2112
14.0873642	86.1297
14.0491862	86.0603
14.01121458	85.825
13.97344765	85.6414
13.93590321	85.4685
13.89854065	85.2718
