Name: Augite (Ca,Na)(Mg,Fe,Al,Ti)(Si,Al)2O6
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Pyroxene Group - single chain)
Particle Size:   Solid
Sample No.:  augite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Monteagle Township, Hostings Co., Ontario, 
Canada via the Smithsonian (sample no. NMNH 117461). 
Description: Sample consisted of  fragments of well-formed crystal(s), 
with some surface contamination by calcite.  Small grains were deep, 
translucent green and generally clear and unaltered.  The powdered 
sample was washed in dilute HCl to remove residual calcite, but an 
extremely weak carbonate band is still seen in the spectrum of the 
75-250 micrometers size range near 4.0 micrometers.
Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: augite1a.txt

25.04420302	17.6845
24.9237955	17.0117
24.80454022	16.1958
24.68642074	15.6093
24.5694209	15.1196
24.45358465	14.6743
24.3387763	14.3183
24.22504094	13.9746
24.11236361	13.7465
24.00072962	13.7695
23.89012454	13.7011
23.78053421	13.4365
23.67194472	13.4404
23.56434244	13.5752
23.45771395	13.6899
23.35204611	13.9936
23.24732598	14.4912
23.14354087	14.9192
23.04067832	15.5068
22.93872607	16.331
22.83767211	17.1037
22.7375046	18.048
22.63821194	19.1386
22.53978272	19.9873
22.44220571	20.9143
22.3454699	21.884
22.24956446	22.4589
22.15447875	22.8137
22.06020229	23.3537
21.96677306	23.8227
21.87408402	24.0078
21.7821739	24.2695
21.69103293	24.674
21.60065148	24.9843
21.5110201	25.205
21.42212949	25.4565
21.33397051	25.623
21.24653416	25.707
21.15981159	25.8449
21.0737941	26.0285
20.98847313	26.0053
20.90384024	25.8271
20.81988716	25.5121
20.73660571	25.1376
20.65398787	24.8178
20.57202575	24.5961
20.49071156	24.3578
20.41003766	24.2809
20.3299965	24.2961
20.25058069	24.2194
20.1717829	24.2707
20.09359597	24.5663
20.01601281	24.7839
19.93906621	24.9733
19.8626695	25.3285
19.78685599	25.6452
19.71161901	25.8979
19.63695203	26.2558
19.56284859	26.5932
19.48930232	26.8281
19.41630698	27.1279
19.34385639	27.4858
19.27194448	27.725
19.20056526	27.9838
19.12971284	28.4052
19.05938141	28.6938
18.98956523	28.9076
18.92025868	29.3075
18.85145618	29.6889
18.78315226	29.9858
18.71534153	30.3363
18.64801865	30.703
18.58117838	30.9013
18.51481556	31.1235
18.44892507	31.3373
18.38350191	31.3681
18.31854111	31.3398
18.25407111	31.3771
18.19002023	31.1933
18.12641726	30.828
18.06325753	30.4841
18.00053642	30.0234
17.93824937	29.3508
17.8763919	28.6474
17.81495958	27.853
17.75394803	26.8193
17.69335296	25.6489
17.63317011	24.4218
17.57339529	22.926
17.51402436	21.2827
17.45505324	19.6689
17.39647791	17.988
17.3382944	16.2465
17.28049878	14.6201
17.2230872	13.0222
17.16605584	11.4687
17.10940093	10.1201
17.05311876	9.04
16.99720566	8.1338
16.94165801	7.5
16.88647225	7.1245
16.83167317	6.8513
16.77720046	6.7246
16.72307919	6.7307
16.66930597	6.7329
16.61587747	6.727
16.56279037	6.833
16.51004141	6.9426
16.45762737	7.0124
16.40554507	7.1081
16.35379138	7.228
16.30236319	7.3591
16.25125744	7.5315
16.20047111	7.7822
16.15000121	7.9763
16.0998448	8.1645
16.04999896	8.4428
16.00048641	8.6894
15.95125297	8.894
15.90232158	9.1301
15.85368947	9.3637
15.80535391	9.4487
15.75731218	9.4409
15.70956162	9.2942
15.6620996	8.8391
15.61492349	8.1745
15.56803074	7.4841
15.52141878	6.8852
15.47508511	6.4648
15.42902725	6.2998
15.38324273	6.3247
15.33772913	6.4651
15.29248405	6.6379
15.24750513	6.8139
15.20279002	7.0185
15.1583364	7.2178
15.114142	7.4211
15.07020455	7.5976
15.02652181	7.8052
14.98309158	8.0303
14.93991168	8.1728
14.89700213	8.1816
14.85431629	8.0134
14.81187438	7.6162
14.76967431	7.1352
14.72771402	6.7895
