Name: Bustamite (Mn,Ca)3Si3O9
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Chain Silicates) (Pyroxenoid Group)
Particle Size: Fine  (0-74 Micrometers)
Sample No.  bustamite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Smithsonian NMNH R3099 Sample from Franklin, New Jersey. 

Description:  The sample was a prismatic piece about 3 cm in length 
and 1-2 cm wide. It appeared pure except for a few grains of calcite 
that were removed. Under the petrographic microscope about 2% of 
grains show some light alteration.  The portion chosen for probe 
analysis was comprised of clean, homogeneous grains.  The sample 
was treated with acetic acid to remove any remaining calcite.
Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: bustam1a.txt

25.04420302	4.8926
24.9237955	5.0723
24.80454022	4.9648
24.68642074	4.8091
24.5694209	4.9785
24.45358465	4.8794
24.3387763	4.9082
24.22504094	4.9307
24.11236361	4.8359
24.00072962	4.7851
23.89012454	4.7373
23.78053421	4.8486
23.67194472	5.0161
23.56434244	5.0644
23.45771395	5.1338
23.35204611	5.2871
23.24732598	5.6333
23.14354087	5.8508
23.04067832	5.9365
22.93872607	6.2226
22.83767211	6.4201
22.7375046	6.4736
22.63821194	6.5527
22.53978272	6.217
22.44220571	5.8262
22.3454699	5.7112
22.24956446	5.8655
22.15447875	5.9702
22.06020229	6.1916
21.96677306	6.4748
21.87408402	6.6623
21.7821739	6.7305
21.69103293	6.7661
21.60065148	6.9563
21.5110201	7.209
21.42212949	7.3276
21.33397051	7.3442
21.24653416	7.459
21.15981159	7.5254
21.0737941	7.5627
20.98847313	7.5752
20.90384024	7.5239
20.81988716	7.4028
20.73660571	7.3144
20.65398787	7.1379
20.57202575	6.9123
20.49071156	6.6645
20.41003766	6.4565
20.3299965	6.2861
20.25058069	6.0315
20.1717829	5.8647
20.09359597	5.697
20.01601281	5.5298
19.93906621	5.2405
19.8626695	4.8486
19.78685599	4.6101
19.71161901	4.5495
19.63695203	4.5254
19.56284859	4.5
19.48930232	4.5498
19.41630698	4.6431
19.34385639	4.7851
19.27194448	4.9834
19.20056526	5.2529
19.12971284	5.5334
19.05938141	5.7283
18.98956523	5.938
18.92025868	6.164
18.85145618	6.3662
18.78315226	6.4761
18.71534153	6.491
18.64801865	6.5366
18.58117838	6.5679
18.51481556	6.521
18.44892507	6.4243
18.38350191	6.3335
18.31854111	6.312
18.25407111	6.2031
18.19002023	6.0508
18.12641726	5.9604
18.06325753	5.8313
18.00053642	5.6704
17.93824937	5.5581
17.8763919	5.5024
17.81495958	5.4189
17.75394803	5.312
17.69335296	5.2192
17.63317011	5.175
17.57339529	5.083
17.51402436	4.9678
17.45505324	4.8559
17.39647791	4.7099
17.3382944	4.6152
17.28049878	4.4927
17.2230872	4.2549
17.16605584	4.009
17.10940093	3.8579
17.05311876	3.6807
16.99720566	3.4829
16.94165801	3.3135
16.88647225	3.1772
16.83167317	3.0752
16.77720046	2.9978
16.72307919	2.9531
16.66930597	2.9809
16.61587747	3.0293
16.56279037	3.0986
16.51004141	3.155
16.45762737	3.229
16.40554507	3.3091
16.35379138	3.3642
16.30236319	3.4353
16.25125744	3.5203
16.20047111	3.6103
16.15000121	3.6719
16.0998448	3.7148
16.04999896	3.7629
16.00048641	3.7654
15.95125297	3.7585
15.90232158	3.7417
15.85368947	3.676
15.80535391	3.626
15.75731218	3.5708
15.70956162	3.4936
15.6620996	3.4375
15.61492349	3.4297
15.56803074	3.3918
15.52141878	3.3201
15.47508511	3.303
15.42902725	3.3291
15.38324273	3.3252
15.33772913	3.3179
15.29248405	3.2751
15.24750513	3.2266
15.20279002	3.1836
15.1583364	3.0784
15.114142	2.9531
15.07020455	2.8755
15.02652181	2.8957
14.98309158	2.9541
14.93991168	3.0093
14.89700213	3.0769
14.85431629	3.1489
14.81187438	3.1641
14.76967431	3.1494
14.72771402	3.1343
14.68599147	3.0701
14.64450465	2.9387
14.60325156	2.8201
14.56223023	2.7344
14.52143873	2.6738
14.48087511	2.6194
14.44053748	2.5564
14.40042395	2.5168
14.36053266	2.4971
14.32086177	2.4853
14.28140946	2.4902
14.24217393	2.5459
14.20315338	2.7361
14.16434607	2.9729
14.12575025	3.2334
14.0873642	3.4971
14.0491862	3.7305
14.01121458	3.9619
13.97344765	4.1245
13.93590321	4.2602
13.89854065	4.3694
13.8613779	4.4216
13.82441336	4.4753
13.78764544	4.5188
13.75107258	4.5764
13.71469324	4.6531
13.67850587	4.7436
13.64250897	4.8391
13.60670103	4.9487
13.57108057	5.1189
13.53564612	5.3003
13.50039624	5.4485
13.46532947	5.6069
13.4304444	5.73
13.39573962	5.7893
13.36121373	5.8147
13.32686536	5.8559
13.29269314	5.8926
13.25869572	5.9219
13.22487175	5.9553
13.19121992	5.9546
13.15773892	5.9448
13.12442745	5.9475
13.09130135	5.956
13.05832501	5.9702
13.02551438	5.9556
12.99286821	5.9536
12.96038529	5.9507
12.92806437	5.956
12.89590426	5.9551
12.86390376	5.9429
