Name: Diopside CaMgSi2O6
Type:  Mineral
Class:   Silicates 
Subclass:   Inosilicates (Chain Silicates) (Pyroxene Group)
Particle Size: Coarse  (74-250 Micrometers)
Sample No.:  diopside.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from St. Lawrence Co., New York via the Smithsonian 
(sample no. NMNH C2393).  
Description: Sample consisted of two green subhedral crystals 1-2 cm 
in length and width. Both crystals appeared pure in hand specimen.  
Under the petrographic microscope, the powdered sample displayed 
one small, moderately birefringent grain with parallel extinction. 
There may be minor exsolution. Very little alteration, but a trace 
amount (<< 1%) of sericite can be seen along cleavage planes.
Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  diopsi1a.txt

25.04420302	6.4472
24.9237955	6.3584
24.80454022	6.6899
24.68642074	7.0263
24.5694209	7.1152
24.45358465	7.0403
24.3387763	6.8176
24.22504094	6.5957
24.11236361	6.4297
24.00072962	6.0452
23.89012454	5.5002
23.78053421	5.2964
23.67194472	5.206
23.56434244	5.1189
23.45771395	5.2685
23.35204611	5.5698
23.24732598	5.8313
23.14354087	6.0283
23.04067832	6.1528
22.93872607	6.124
22.83767211	6.1177
22.7375046	6.0635
22.63821194	5.9902
22.53978272	5.8867
22.44220571	5.8252
22.3454699	5.8848
22.24956446	6.0771
22.15447875	6.3574
22.06020229	6.5581
21.96677306	6.7222
21.87408402	6.9043
21.7821739	7.1406
21.69103293	7.376
21.60065148	7.4851
21.5110201	7.685
21.42212949	7.8904
21.33397051	8.0014
21.24653416	8.1748
21.15981159	8.4277
21.0737941	8.5776
20.98847313	8.6113
20.90384024	8.7627
20.81988716	8.9853
20.73660571	9.0469
20.65398787	9.0134
20.57202575	9.0146
20.49071156	8.9409
20.41003766	8.7031
20.3299965	8.4497
20.25058069	8.1946
20.1717829	8.1743
20.09359597	8.4765
20.01601281	8.7453
19.93906621	9.0259
19.8626695	9.4502
19.78685599	9.7434
19.71161901	9.9218
19.63695203	10.1294
19.56284859	10.2234
19.48930232	10.1286
19.41630698	9.9778
19.34385639	9.8196
19.27194448	9.6137
19.20056526	9.3227
19.12971284	9.019
19.05938141	8.7829
18.98956523	8.5698
18.92025868	8.4951
18.85145618	8.5583
18.78315226	8.5974
18.71534153	8.6487
18.64801865	8.8059
18.58117838	8.9944
18.51481556	9.1115
18.44892507	9.2973
18.38350191	9.5429
18.31854111	9.7268
18.25407111	9.894
18.19002023	10.0495
18.12641726	10.1838
18.06325753	10.2837
18.00053642	10.3728
17.93824937	10.4892
17.8763919	10.5671
17.81495958	10.573
17.75394803	10.5813
17.69335296	10.5654
17.63317011	10.4731
17.57339529	10.3293
17.51402436	10.1899
17.45505324	10.0193
17.39647791	9.685
17.3382944	9.2197
17.28049878	8.8269
17.2230872	8.3535
17.16605584	7.7998
17.10940093	7.2834
17.05311876	6.772
16.99720566	6.2651
16.94165801	5.716
16.88647225	5.1692
16.83167317	4.6565
16.77720046	4.1294
16.72307919	3.633
16.66930597	3.2036
16.61587747	2.8132
16.56279037	2.4233
16.51004141	2.1208
16.45762737	1.9016
16.40554507	1.7593
16.35379138	1.667
16.30236319	1.5869
16.25125744	1.5425
16.20047111	1.5308
16.15000121	1.6201
16.0998448	1.6943
16.04999896	1.7139
16.00048641	1.7666
15.95125297	1.845
15.90232158	1.9788
15.85368947	2.1426
15.80535391	2.2844
15.75731218	2.3691
15.70956162	2.4145
15.6620996	2.5027
15.61492349	2.5532
15.56803074	2.4783
15.52141878	2.3071
15.47508511	2.0623
15.42902725	1.8401
15.38324273	1.6868
15.33772913	1.583
15.29248405	1.5239
15.24750513	1.5227
15.20279002	1.5859
15.1583364	1.6528
15.114142	1.7109
15.07020455	1.7959
15.02652181	1.9014
14.98309158	2.0039
14.93991168	2.0903
14.89700213	2.1868
14.85431629	2.2664
14.81187438	2.2541
14.76967431	2.1016
14.72771402	1.8677
14.68599147	1.6838
14.64450465	1.5872
14.60325156	1.5361
14.56223023	1.5742
14.52143873	1.6269
14.48087511	1.6545
14.44053748	1.71
14.40042395	1.7358
14.36053266	1.7593
14.32086177	1.792
14.28140946	1.8462
14.24217393	1.8694
14.20315338	1.8962
14.16434607	1.9133
14.12575025	1.9233
14.0873642	1.9402
14.0491862	1.9714
14.01121458	1.9971
13.97344765	2.0112
13.93590321	2.0437
13.89854065	2.0681
13.8613779	2.0959
13.82441336	2.113
13.78764544	2.1357
13.75107258	2.1438
13.71469324	2.177
13.67850587	2.2205
13.64250897	2.2278
13.60670103	2.2498
13.57108057	2.2664
13.53564612	2.2671
13.50039624	2.2856
13.46532947	2.3008
13.4304444	2.3335
13.39573962	2.3818
13.36121373	2.3979
13.32686536	2.3855
13.29269314	2.3787
13.25869572	2.3957
13.22487175	2.4004
13.19121992	2.4092
13.15773892	2.4275
13.12442745	2.4597
13.09130135	2.4978
13.05832501	2.5144
13.02551438	2.5222
12.99286821	2.5466
12.96038529	2.5747
12.92806437	2.5913
12.89590426	2.6216
12.86390376	2.6501
12.83206168	2.6687
12.80037684	2.6826
12.7688481	2.6931
12.73747429	2.7021
12.70625427	2.7258
12.67518693	2.7454
12.64427113	2.7602
12.61350579	2.7764
12.58290562	2.8052
12.55243781	2.8359
12.52211719	2.8462
12.4919427	2.8674
12.46191328	2.9231
12.43202789	2.9558
12.40228549	2.9841
12.37268507	3.0132
12.34322561	3.0464
12.31390609	3.0823
12.28472554	3.1233
12.25568296	3.1565
12.22677738	3.1946
12.19800782	3.2642
12.16937334	3.3201
12.14087298	3.3567
12.1125058	3.407
12.08427087	3.4621
12.05616727	3.5281
12.02819409	3.6106
12.00035041	3.6987
11.97263534	3.7727
11.945048	3.8599
11.9175875	3.9812
11.8902671	4.1069
11.86305761	4.2312
11.83597236	4.4114
11.80901051	4.6267
11.78217122	4.8496
11.75545365	5.1206
11.72885698	5.4614
11.70238038	5.7615
11.67602305	5.9883
11.64978419	6.2009
11.62366299	6.3784
11.59765866	6.5185
11.57177043	6.6699
11.54599752	6.8139
11.52033916	6.9324
11.49479458	7.0342
11.46936304	7.135
11.44404378	7.2153
11.41883606	7.2793
11.39373914	7.3655
11.3687523	7.446
11.34387482	7.5222
11.31910597	7.6006
11.29444505	7.6719
11.26990406	7.7158
11.24545684	7.7837
11.22111545	7.8464
11.19687921	7.8872
11.17274743	7.959
11.14871946	8.0386
11.12479461	8.0893
11.10097222	8.1467
11.07725165	8.2361
11.05363222	8.2898
11.03011331	8.352
11.00669427	8.4673
10.98337447	8.5857
10.96015327	8.7009
10.93703005	8.8474
10.9140042	9.0217
10.89107509	9.1926
10.86824213	9.3174
10.8455047	9.4206
10.82286221	9.4453
10.80031407	9.3034
10.77785969	8.9826
10.75549848	8.5007
10.73322986	7.9392
10.71106474	7.5239
10.68897956	7.4182
10.66698525	7.4951
10.64508128	7.645
10.62326708	7.8391
10.6015421	8.0146
10.5799058	8.1462
10.55835763	8.2917
10.53689705	8.4179
10.51552354	8.487
10.49423657	8.6047
10.4730356	8.8362
10.45192012	9.1211
10.43088962	9.4248
10.40994358	9.7112
10.38908149	9.8974
10.36830285	9.9218
10.34760717	9.7927
10.32699394	9.5656
10.30646267	9.2602
10.28601287	8.894
10.26564407	8.5
10.24535578	8.0691
10.22514752	7.6076
10.20502924	7.1658
10.1849796	6.7202
10.16500858	6.2505
10.14511574	5.7598
10.12530059	5.2231
10.10556271	4.6514
10.08590162	4.1523
10.0663169	3.8325
10.04680808	3.6995
10.02737473	3.706
10.00801642	3.7844
9.98873271	3.864
9.969523168	3.9263
9.950387369	4.0295
9.931324888	4.1394
9.912335307	4.2246
9.893427994	4.3232
9.874582922	4.4128
9.855809507	4.467
9.83710734	4.5141
9.818476015	4.5447
9.799915133	4.5163
9.781424293	4.4607
9.7630031	4.3999
9.744651161	4.3191
9.726368087	4.2175
9.70815349	4.1455
9.690006986	4.0879
9.671928196	4.011
9.653916739	3.9321
9.635972241	3.8965
9.618094328	3.8782
9.600282632	3.8603
9.582536785	3.8584
9.564856422	3.8874
9.547241181	3.9294
9.529690704	3.9875
9.512204634	4.0874
9.494782617	4.2192
9.477424301	4.3996
9.460138288	4.636
9.4429063	4.8843
9.425736975	5.164
9.408629972	5.4951
9.391584952	5.8203
9.374601579	6.0869
9.35767952	6.334
9.340818443	6.54
9.324018018	6.6855
9.307277919	6.7961
9.290597822	6.8777
9.273977405	6.9404
9.257416348	7.0056
9.240914333	7.0693
9.224471046	7.1091
9.208086173	7.1443
9.191759404	7.188
9.17549043	7.2331
9.159278945	7.2656
9.143124645	7.321
9.127027227	7.3904
9.110986392	7.4663
9.095001842	7.5395
9.079073281	7.602
9.06320863	7.6572
9.04739114	7.7173
9.031628764	7.7912
9.015921215	7.8533
9.000268208	7.9111
8.984669459	7.9988
8.969124685	8.1123
8.953633608	8.196
8.93819595	8.2676
8.922811435	8.344
8.907479789	8.4011
8.89220074	8.448
8.876974017	8.511
8.861799353	8.6013
8.846676481	8.7253
8.831605135	8.8677
8.816585054	8.9902
8.801615977	9.0432
8.786697643	9.0014
8.771829795	8.8701
8.757012178	8.6448
8.742244536	8.353
8.727526619	8.0376
8.712858175	7.6838
8.69824652	7.2966
8.683676252	6.9387
8.669154714	6.5796
8.654681663	6.2068
8.640256858	5.8337
8.625880055	5.4614
8.611551018	5.0808
8.597269507	4.6963
8.583035287	4.3142
8.568848124	3.9477
8.554707784	3.5862
8.540614036	3.2283
8.52656665	2.8845
8.512565398	2.5439
8.498610052	2.2229
8.484700388	1.9319
8.470836182	1.6587
8.45701721	1.4053
8.443243252	1.1809
8.429514089	0.9905
8.415829502	0.8335
8.402189274	0.7117
8.388593191	0.6243
8.375041038	0.5583
8.361539594	0.5173
8.348074642	0.4985
8.334652987	0.509
8.32127442	0.5276
8.307938734	0.5364
8.294645723	0.5613
8.281395183	0.5906
8.268186911	0.6074
8.255020704	0.6274
8.241896361	0.6492
8.228813685	0.6641
8.215772476	0.687
8.202772537	0.717
