Name:  Diopside CaMgSi2O6
Type:  Mineral
Class:   Silicates 
Subclass:   Inosilicates (Chain Silicates) (Pyroxene Group)
Particle Size:  Fine (less than 2   Micrometers)
Sample No.:  diopside.2
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from DeKalb, New York via the Smithsonian (sample 
no. NMNH R18685). 
Description:  Most of the 13 mm x 10 mm x 6 mm sample was clean, 
fresh and green.  One area was eroded and weathered and probably 
impure.  The crushed sample was hand-picked to avoid impurities.  
A moderate amount of weathering and alteration can be seen under 
the microscope.  The alteration is brown in color (limonite?).

Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: diopsi2a.txt

25.044	47.140
24.924	48.031
24.805	49.390
24.686	50.113
24.569	50.160
24.454	49.941
24.339	49.672
24.225	50.445
24.112	52.594
24.001	56.113
23.890	59.793
23.781	62.203
23.672	63.320
23.564	62.949
23.458	62.012
23.352	60.871
23.247	60.062
23.144	60.002
23.041	60.152
22.939	59.939
22.838	59.322
22.738	58.055
22.638	56.158
22.540	54.055
22.442	51.447
22.345	48.398
22.250	45.543
22.154	43.056
22.060	40.838
21.967	39.090
21.874	37.838
21.782	36.463
21.691	35.098
21.601	33.812
21.511	32.543
21.422	31.273
21.334	30.135
21.247	29.213
21.160	28.437
21.074	27.922
20.988	27.484
20.904	27.230
20.820	27.189
20.737	27.305
20.654	27.719
20.572	28.437
20.491	29.510
20.410	31.031
20.330	33.004
20.251	35.070
20.172	36.703
20.094	37.982
20.016	38.643
19.939	38.666
19.863	38.096
19.787	36.865
19.712	35.449
19.637	33.990
19.563	32.548
19.489	31.512
19.416	31.015
19.344	31.106
19.272	31.743
19.201	32.715
19.130	33.798
19.059	34.877
18.990	35.891
18.920	36.766
18.851	37.576
18.783	38.367
18.715	39.204
18.648	40.177
18.581	41.375
18.515	42.790
18.449	44.451
18.384	46.376
18.319	48.704
18.254	51.157
18.190	53.743
18.126	56.461
18.063	59.234
18.001	61.790
17.938	64.356
17.876	66.785
17.815	69.040
17.754	71.099
17.693	73.013
17.633	74.670
17.573	76.121
17.514	77.489
17.455	78.813
17.396	79.860
17.338	80.887
17.280	81.859
17.223	82.727
17.166	83.700
17.109	84.504
17.053	85.269
16.997	85.931
16.942	86.458
16.886	86.840
16.832	87.281
16.777	87.666
16.723	87.976
16.669	88.227
16.616	88.516
16.563	88.637
16.510	88.871
16.458	88.851
16.406	88.773
16.354	88.564
16.302	88.511
16.251	88.152
16.200	87.652
16.150	86.795
16.100	85.608
16.050	83.816
