Name:  Hornblende Ca2(Fe+2,Mg)4Al(Si7Al)O22(OH,F)2
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Amphibole Group)
Particle Size:  Course  (74-250 micrometers)
Sample No.: hornblen.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Gore Mountain, New York via Hunt and Salisbury Collection, 
#177B (Purchased from Ward's Natural Science Establishment)
Description:  The specimen was a cluster of very dark green single 
crystals half a centimeter to one centimeter in length and almost as 
wide.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  hornbl1a.txt

25.04420302	5.5823
24.9237955	5.6245
24.80454022	5.7319
24.68642074	5.896
24.5694209	5.9963
24.45358465	6.0581
24.3387763	6.1323
24.22504094	6.1858
24.11236361	6.2065
24.00072962	6.1933
23.89012454	6.178
23.78053421	6.2134
23.67194472	6.2607
23.56434244	6.3225
23.45771395	6.3933
23.35204611	6.4712
23.24732598	6.5578
23.14354087	6.6279
23.04067832	6.6579
22.93872607	6.7055
22.83767211	6.7759
22.7375046	6.8252
22.63821194	6.8598
22.53978272	6.9111
22.44220571	6.9751
22.3454699	7.0547
22.24956446	7.1362
22.15447875	7.2212
22.06020229	7.3142
21.96677306	7.3791
21.87408402	7.438
21.7821739	7.4961
21.69103293	7.5298
21.60065148	7.552
21.5110201	7.5696
21.42212949	7.5827
21.33397051	7.5954
21.24653416	7.6084
21.15981159	7.6294
21.0737941	7.6408
20.98847313	7.6421
20.90384024	7.6284
20.81988716	7.594
20.73660571	7.5327
20.65398787	7.4355
20.57202575	7.3359
20.49071156	7.2395
20.41003766	7.135
20.3299965	7.0608
20.25058069	7.0222
20.1717829	7.0119
20.09359597	7.0273
20.01601281	7.0469
19.93906621	7.0971
19.8626695	7.1743
19.78685599	7.2554
19.71161901	7.3476
19.63695203	7.4458
19.56284859	7.553
19.48930232	7.6689
19.41630698	7.7761
19.34385639	7.8938
19.27194448	8.0168
19.20056526	8.1333
19.12971284	8.2373
19.05938141	8.3242
18.98956523	8.4013
18.92025868	8.467
18.85145618	8.5171
18.78315226	8.5537
18.71534153	8.5674
18.64801865	8.5586
18.58117838	8.5246
18.51481556	8.4807
18.44892507	8.4326
18.38350191	8.3745
18.31854111	8.3161
18.25407111	8.2668
18.19002023	8.2146
18.12641726	8.1369
18.06325753	8.0383
18.00053642	7.935
17.93824937	7.8179
17.8763919	7.667
17.81495958	7.4892
17.75394803	7.2876
17.69335296	7.0588
17.63317011	6.8056
17.57339529	6.5393
