Name:  Hornblende Ca2(Fe+2,Mg)4Al(Si7Al)O22(OH,F)2
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Amphibole Group)
Particle Size:  Fine  (0-74  micrometers)
Sample No.: hornblen.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Gore Mountain, New York via Hunt and Salisbury Collection, 
#177B (Purchased from Ward's Natural Science Establishment)
Description:  The specimen was a cluster of very dark green single 
crystals half a centimeter to one centimeter in length and almost as 
wide.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  hornbl1a.txt

25.044	2.9463
24.924	2.7261
24.805	2.6350
24.686	2.9101
24.569	3.0185
24.454	2.9800
24.339	2.8423
24.225	2.7847
24.112	2.9131
24.001	2.9683
23.890	2.7600
23.781	2.7617
23.672	2.8325
23.564	2.9114
23.458	3.0686
23.352	3.0767
23.247	3.0298
23.144	3.0098
23.041	3.0161
22.939	3.0366
22.838	3.0727
22.738	3.1301
22.638	3.1096
22.540	3.0171
22.442	3.0513
22.345	3.0659
22.250	3.1211
22.154	3.1831
22.060	3.1934
21.967	3.2622
21.874	3.3650
21.782	3.3144
21.691	3.2041
21.601	3.2944
21.511	3.4448
21.422	3.4077
21.334	3.3816
21.247	3.4319
21.160	3.3474
21.074	3.3174
20.988	3.3640
20.904	3.3928
20.820	3.4172
20.737	3.3887
20.654	3.2983
20.572	3.2097
20.491	3.1323
20.410	3.1538
20.330	3.2100
20.251	3.2268
20.172	3.2156
20.094	3.1570
20.016	3.1731
19.939	3.2236
19.863	3.2395
19.787	3.2441
19.712	3.2903
19.637	3.3476
19.563	3.3447
19.489	3.3579
19.416	3.3804
19.344	3.4143
19.272	3.4497
19.201	3.4805
19.130	3.5193
19.059	3.5425
18.990	3.5591
18.920	3.5903
18.851	3.5952
18.783	3.6304
18.715	3.6706
18.648	3.6743
18.581	3.7124
18.515	3.7734
18.449	3.7803
18.384	3.7488
18.319	3.7869
18.254	3.7983
18.190	3.7558
18.126	3.7900
18.063	3.8115
18.001	3.8125
17.938	3.8313
17.876	3.7925
17.815	3.7602
17.754	3.7397
17.693	3.6775
17.633	3.6150
17.573	3.5295
17.514	3.4253
17.455	3.2881
17.396	3.1631
17.338	3.0969
17.280	2.9607
17.223	2.8032
17.166	2.6370
17.109	2.4792
17.053	2.3428
16.997	2.1804
16.942	2.0283
16.886	1.9128
16.832	1.7913
16.777	1.6838
16.723	1.5974
16.669	1.5232
16.616	1.4822
16.563	1.4617
16.510	1.4053
