Name:  Hornblende Ca2(Fe+2,Mg)4Al(Si7Al)O22(OH,F)2
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Amphibole Group)
Particle Size:  Fine  (Less than 2 micrometers)
Sample No.: hornblen.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Gore Mountain, New York via Hunt and Salisbury Collection, 
#177B (Purchased from Ward's Natural Science Establishment)
Description:  The specimen was a cluster of very dark green single 
crystals half a centimeter to one centimeter in length and almost as 
wide.



Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  hornbl1a.txt

25.04420302	65.2655
24.9237955	64.703
24.80454022	63.9295
24.68642074	63.8006
24.5694209	63.1873
24.45358465	61.8475
24.3387763	61.4686
24.22504094	61.285
24.11236361	60.7811
24.00072962	59.8475
23.89012454	59.4998
23.78053421	58.9373
23.67194472	57.9256
23.56434244	57.1952
23.45771395	56.8006
23.35204611	56.3475
23.24732598	55.4569
23.14354087	54.4139
23.04067832	53.6112
22.93872607	52.8905
22.83767211	52.0331
22.7375046	51.4784
22.63821194	50.7206
22.53978272	49.7733
22.44220571	48.8749
22.3454699	47.953
22.24956446	47.0389
22.15447875	46.0253
22.06020229	44.9628
21.96677306	44.0878
21.87408402	43.1952
21.7821739	42.244
21.69103293	41.3358
21.60065148	40.5311
21.5110201	40.08
21.42212949	39.7733
21.33397051	39.5487
21.24653416	39.5644
21.15981159	39.7929
21.0737941	39.9862
20.98847313	40.2186
20.90384024	40.7362
20.81988716	41.3124
20.73660571	41.9647
20.65398787	42.4686
20.57202575	43.0858
20.49071156	43.8241
20.41003766	44.2343
20.3299965	44.5311
20.25058069	44.7011
20.1717829	44.7811
20.09359597	44.912
20.01601281	44.9042
19.93906621	44.8007
19.8626695	44.5429
19.78685599	44.2753
19.71161901	44.08
19.63695203	43.9979
19.56284859	43.8222
19.48930232	43.9218
19.41630698	44.0829
19.34385639	44.285
19.27194448	44.6298
19.20056526	45.0663
19.12971284	45.4725
19.05938141	46.0975
18.98956523	46.7782
18.92025868	47.4657
18.85145618	48.2557
18.78315226	49.1454
18.71534153	50.0077
18.64801865	50.8553
18.58117838	51.7704
18.51481556	52.7118
18.44892507	53.6229
18.38350191	54.744
18.31854111	55.8475
18.25407111	56.8631
18.19002023	57.9383
18.12641726	59.0291
18.06325753	60.0819
18.00053642	61.162
17.93824937	62.2147
17.8763919	63.0936
17.81495958	64.0076
17.75394803	64.9354
17.69335296	65.7518
17.63317011	66.4032
17.57339529	67.0213
17.51402436	67.6365
