Name: Tremolite Ca2(Mg, Fe+2)5Si8O22(OH)2
Type:  Mineral
Class:  Silicates 
Subclass:   Inosilicates (Chain Silicates); (Amphibole Group)
Particle Size:  Solid (sawn surface)
Sample No.:  tremol.1
Owner:  JHU
Wavelength Range:  IR
Origin: Balmat, New York, USA via Bruce Hemingway, USGS

Description: The sample consisted of 2-3 cm long x 1-2 cm wide mass 
of white tremolite crystals.  The sample appeared pure in hand 
specimen and under the microscope. 



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  tremol1a.txt

25.04420302	28.7343
24.9237955	28.7773
24.80454022	27.9335
24.68642074	26.5585
24.5694209	25.8281
24.45358465	26.6425
24.3387763	27.9413
24.22504094	29.6181
24.11236361	30.954
24.00072962	31.8476
23.89012454	32.4023
23.78053421	32.4569
23.67194472	31.6757
23.56434244	30.0663
23.45771395	27.8759
23.35204611	26.1845
23.24732598	26.037
23.14354087	27.0556
23.04067832	28.5937
22.93872607	30.7792
22.83767211	33.2323
22.7375046	35.5956
22.63821194	37.9804
22.53978272	40.2519
22.44220571	41.8251
22.3454699	43.6229
22.24956446	45.4384
22.15447875	47.3036
22.06020229	49.4862
21.96677306	51.5751
21.87408402	53.3182
21.7821739	54.9325
21.69103293	55.3988
21.60065148	55.2186
21.5110201	54.0858
21.42212949	52.6092
21.33397051	50.9764
21.24653416	50.0565
21.15981159	49.2714
21.0737941	47.9359
20.98847313	45.4086
20.90384024	42.5922
20.81988716	40.2675
20.73660571	38.2699
20.65398787	36.289
20.57202575	34.4809
20.49071156	33.5766
20.41003766	34.162
20.3299965	36.2387
20.25058069	38.6762
20.1717829	40.6649
20.09359597	42.2538
20.01601281	43.1835
19.93906621	43.2699
19.8626695	43.0331
19.78685599	43.5145
19.71161901	45.2372
19.63695203	47.5712
19.56284859	49.0306
19.48930232	48.91
19.41630698	47.3837
19.34385639	45.7621
19.27194448	44.8046
19.20056526	44.4432
19.12971284	44.4486
19.05938141	45.0443
18.98956523	46.3861
18.92025868	48.0721
18.85145618	49.5741
18.78315226	51.1097
18.71534153	52.7142
18.64801865	54.35
18.58117838	55.837
18.51481556	57.3553
18.44892507	58.5831
18.38350191	59.169
18.31854111	59.1556
18.25407111	58.9142
18.19002023	57.9679
18.12641726	56.2635
18.06325753	54.1571
18.00053642	51.7286
17.93824937	48.9503
17.8763919	46.4865
17.81495958	44.7421
17.75394803	43.5839
17.69335296	42.8739
17.63317011	42.66
17.57339529	42.3673
17.51402436	41.8585
17.45505324	41.1952
17.39647791	40.3507
17.3382944	39.1552
17.28049878	37.9601
17.2230872	36.6164
17.16605584	35.1115
17.10940093	33.6593
17.05311876	32.2052
16.99720566	30.665
16.94165801	29.0654
16.88647225	27.3359
16.83167317	25.5185
16.77720046	23.746
16.72307919	22.0519
16.66930597	20.373
16.61587747	18.9104
16.56279037	17.6904
16.51004141	16.6125
16.45762737	15.7602
16.40554507	15.2026
16.35379138	14.8918
16.30236319	14.7168
16.25125744	14.7756
16.20047111	15.1181
16.15000121	15.4465
16.0998448	15.7446
16.04999896	16.167
16.00048641	16.4995
15.95125297	16.788
15.90232158	17.1313
15.85368947	17.5539
15.80535391	17.8691
15.75731218	18.1337
15.70956162	18.5061
15.6620996	18.8906
15.61492349	19.2324
15.56803074	19.5644
15.52141878	19.7658
15.47508511	19.6926
15.42902725	19.4482
15.38324273	19.2619
15.33772913	19.3193
15.29248405	19.5712
15.24750513	19.8984
15.20279002	20.2177
15.1583364	20.5061
15.114142	20.5605
15.07020455	20.2851
15.02652181	19.8012
14.98309158	19.2929
14.93991168	18.5376
14.89700213	18.2402
14.85431629	18.3378
14.81187438	18.6333
14.76967431	19.0366
14.72771402	19.5939
14.68599147	20.1848
14.64450465	20.7226
14.60325156	21.3547
14.56223023	21.9492
14.52143873	22.392
14.48087511	22.6574
14.44053748	22.7592
14.40042395	22.4348
14.36053266	21.7612
14.32086177	20.9484
14.28140946	20.1025
14.24217393	19.2695
14.20315338	18.6701
14.16434607	18.3693
14.12575025	18.1977
14.0873642	18.1232
14.0491862	18.2102
14.01121458	18.3574
13.97344765	18.5126
13.93590321	18.7336
13.89854065	18.996
13.8613779	19.2026
13.82441336	19.3496
13.78764544	19.4335
13.75107258	19.4497
13.71469324	19.4189
13.67850587	19.4367
13.64250897	19.5649
13.60670103	19.7504
13.57108057	19.9084
13.53564612	19.9885
13.50039624	19.9768
13.46532947	19.9211
13.4304444	19.9594
13.39573962	20.1381
13.36121373	20.3779
13.32686536	20.6298
13.29269314	20.8637
13.25869572	21.2844
13.22487175	21.8183
13.19121992	22.4047
13.15773892	23.1017
13.12442745	23.8618
13.09130135	24.4687
13.05832501	24.7619
13.02551438	24.6926
12.99286821	24.102
12.96038529	22.9799
12.92806437	21.7629
12.89590426	20.8242
12.86390376	20.2663
12.83206168	20.0104
12.80037684	20.0131
12.7688481	20.0771
12.73747429	20.1267
12.70625427	20.2238
12.67518693	20.3564
12.64427113	20.4379
12.61350579	20.5285
12.58290562	20.6503
12.55243781	20.7294
12.52211719	20.7543
12.4919427	20.8547
12.46191328	20.957
12.43202789	21.0273
12.40228549	21.1086
12.37268507	21.2045
12.34322561	21.2658
12.31390609	21.3386
12.28472554	21.416
12.25568296	21.4843
12.22677738	21.5371
12.19800782	21.5922
12.16937334	21.6447
12.14087298	21.7299
12.1125058	21.8417
12.08427087	21.9323
12.05616727	22.0053
12.02819409	22.1215
12.00035041	22.2072
11.97263534	22.2892
11.945048	22.3852
11.9175875	22.4623
11.8902671	22.4948
11.86305761	22.6061
11.83597236	22.7141
11.80901051	22.7831
