Name: Olivine (Fo66) (Fe+2,Mg)2SiO4
Type:  Mineral
Class:  Silicates
Subclass:  Nesosilicates (Isolated tetrahedra); (Olivine Group)
Particle Size:  Fine  (0-60 Micrometers)
Sample No.:  olivine.7
Owner:  JHU
Wavelength Range:  IR
Origin: Kiglapait Intrusion, Labrador via Trude King #KI3054 
(obtained from S.A. Morse, Univ. of Mass.)
Description: Initially, the specimen was contaminated with pyroxene, 
spinel (?) and ilmenite.  Heavy liquid separation, followed by 
magnetic separation and hand picking, allowed olivines of different 
iron content to be obtained.  Sample ground to <60 micrometers and 
wet sieved.  Sample preparation by Trude King, USGS, Denver.

Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: olivin7a.txt

25.04420302	3.2639
24.9237955	3.3184
24.80454022	3.3325
24.68642074	3.4145
24.5694209	3.522
24.45358465	3.5439
24.3387763	3.5737
24.22504094	3.54
24.11236361	3.4219
24.00072962	3.4766
23.89012454	3.4167
23.78053421	3.1533
23.67194472	3.0259
23.56434244	2.9875
23.45771395	2.8701
23.35204611	2.8584
23.24732598	2.8284
23.14354087	2.6382
23.04067832	2.3745
22.93872607	2.2705
22.83767211	2.2227
22.7375046	2.084
22.63821194	1.9531
22.53978272	1.8533
22.44220571	1.8718
22.3454699	1.9526
22.24956446	2.019
22.15447875	1.9907
22.06020229	1.9514
21.96677306	1.9573
21.87408402	1.9812
21.7821739	1.9387
21.69103293	1.8987
21.60065148	1.9775
21.5110201	1.9338
21.42212949	1.8928
21.33397051	1.8874
21.24653416	1.8957
21.15981159	1.9526
21.0737941	1.9878
20.98847313	2.0207
20.90384024	2.041
20.81988716	2.124
20.73660571	2.2507
20.65398787	2.3208
20.57202575	2.3591
20.49071156	2.4246
20.41003766	2.5029
20.3299965	2.553
20.25058069	2.5644
20.1717829	2.5364
20.09359597	2.5154
20.01601281	2.4934
19.93906621	2.5
19.8626695	2.4866
19.78685599	2.4736
19.71161901	2.5081
19.63695203	2.5508
19.56284859	2.5952
19.48930232	2.6352
19.41630698	2.6782
19.34385639	2.7473
19.27194448	2.8042
19.20056526	2.8267
19.12971284	2.8557
19.05938141	2.8779
18.98956523	2.9009
18.92025868	2.9385
