Name:  Spessartine Mn3Al2 (SiO4)3
Type:  Mineral
Class:  Silicates 
Subclass:   Nesosilicates (Framework silicates); GarnetGroup
Particle Size:  Solid (dodecahedral crystal face)
Sample No.:  spessart.2
Owner:  JHU
Wavelength Range:  IR
Origin: Rutherford #2 mine, Amelia, Amelia Co., Virginia, USA via the 
Smithsonian (sample no. NMNH 114143)
Description: The sample consisted of a group of 3 mm and smaller 
diameter reddish crystals.  A few clear crystals adhering to the 
grains were picked off and microscopic examination showed the 
remaining sample to be quite pure.


Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  spessa2a.txt

25.04420302	19.0468
24.9237955	19.3007
24.80454022	19.7187
24.68642074	20.4082
24.5694209	21.4081
24.45358465	22.3613
24.3387763	22.871
24.22504094	23.3876
24.11236361	24.1269
24.00072962	24.5077
23.89012454	25.166
23.78053421	26.5781
23.67194472	27.5663
23.56434244	28.7861
23.45771395	30.2001
23.35204611	31.2792
23.24732598	32.6698
23.14354087	34.5429
23.04067832	36.498
22.93872607	38.8847
22.83767211	41.7509
22.7375046	45.0839
22.63821194	49.0175
22.53978272	53.5194
22.44220571	56.4461
22.3454699	57.9276
22.24956446	58.0741
22.15447875	56.828
22.06020229	53.3954
21.96677306	48.7753
21.87408402	43.6259
21.7821739	40.8417
21.69103293	43.8222
21.60065148	49.5414
21.5110201	55.1058
21.42212949	59.7186
21.33397051	62.9998
21.24653416	65.3436
21.15981159	66.7752
21.0737941	68.0721
20.98847313	68.5291
20.90384024	69.1229
20.81988716	69.4842
20.73660571	69.8738
20.65398787	69.9451
20.57202575	70.0584
20.49071156	69.9749
20.41003766	69.9202
20.3299965	69.4256
20.25058069	69.3719
20.1717829	68.973
20.09359597	68.4315
20.01601281	67.9808
19.93906621	67.4315
19.8626695	66.1414
19.78685599	65.137
19.71161901	63.4393
19.63695203	61.305
19.56284859	58.369
19.48930232	54.7645
19.41630698	50.2601
19.34385639	44.8012
19.27194448	39.6371
19.20056526	36.9965
19.12971284	36.64
19.05938141	37.6977
18.98956523	38.6366
18.92025868	38.5971
18.85145618	36.8705
18.78315226	33.4989
18.71534153	28.5304
18.64801865	22.7333
18.58117838	17.633
18.51481556	14.468
18.44892507	13.2519
18.38350191	13.5344
18.31854111	14.427
18.25407111	15.7441
18.19002023	17.4094
18.12641726	19.3896
18.06325753	21.5959
18.00053642	24.4111
17.93824937	27.8749
17.8763919	31.8615
17.81495958	36.1222
17.75394803	40.3585
17.69335296	43.8253
17.63317011	46.577
