Name: Topaz Al2SiO4(F,OH)2
Type:  Mineral
Class:  Silicates 
Subclass:   Nesosilicates (Isolated tetrahedra)
Particle Size:  Coarse  (75 - 250  Micrometers)
Sample No.:  topaz.2
Owner:  JHU
Wavelength Range:  IR
Origin:  Ouro Preto, Brazil via Don Hoover, USGS

Description: The sample consisted of several orange-colored, rounded 
(tumbled ?) grains, each about 1 cm in diameter.  Under the 
microscope, the sample appeared to be pure topaz with abundant 
fluid inclusions.


Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  topaz2a.txt

25.04420302	3.3257
24.9237955	3.2766
24.80454022	3.425
24.68642074	3.2334
24.5694209	2.8911
24.45358465	2.9309
24.3387763	2.9624
24.22504094	2.8274
24.11236361	2.8393
24.00072962	2.9761
23.89012454	3.147
23.78053421	3.3127
23.67194472	3.2063
23.56434244	3.1697
23.45771395	3.3252
23.35204611	3.4453
23.24732598	3.5298
23.14354087	3.7949
23.04067832	4.0239
22.93872607	4.2012
22.83767211	4.4668
22.7375046	4.7729
22.63821194	5.0217
22.53978272	5.2368
22.44220571	5.5093
22.3454699	5.8218
22.24956446	6.1697
22.15447875	6.4966
22.06020229	6.7119
21.96677306	6.7903
21.87408402	6.9284
21.7821739	6.9824
21.69103293	6.8408
21.60065148	6.6557
21.5110201	6.27
21.42212949	5.5723
21.33397051	4.8852
21.24653416	4.5732
21.15981159	4.6514
21.0737941	4.8828
20.98847313	5.0625
20.90384024	5.2336
20.81988716	5.3491
20.73660571	5.3672
20.65398787	5.1919
20.57202575	4.8813
20.49071156	4.6904
20.41003766	4.595
20.3299965	4.4819
20.25058069	4.4922
20.1717829	4.5618
20.09359597	4.6174
20.01601281	4.6208
19.93906621	4.5173
19.8626695	4.2724
19.78685599	4.019
19.71161901	3.8347
19.63695203	3.6738
19.56284859	3.5315
19.48930232	3.5019
19.41630698	3.4717
19.34385639	3.3774
19.27194448	3.3135
19.20056526	3.2356
19.12971284	3.1167
19.05938141	3.0276
18.98956523	3.0002
18.92025868	3.0012
18.85145618	3.0102
18.78315226	3.0635
18.71534153	3.1348
18.64801865	3.1982
18.58117838	3.3379
18.51481556	3.5015
18.44892507	3.6294
18.38350191	3.7707
18.31854111	3.9333
18.25407111	4.0315
18.19002023	4.0603
18.12641726	4.0686
18.06325753	3.8909
18.00053642	3.541
17.93824937	3.155
17.8763919	2.7922
17.81495958	2.4792
17.75394803	2.2585
17.69335296	2.0701
17.63317011	1.8901
17.57339529	1.7913
17.51402436	1.7095
17.45505324	1.6741
17.39647791	1.7104
17.3382944	1.7456
17.28049878	1.7993
17.2230872	1.8379
17.16605584	1.8811
17.10940093	1.9895
17.05311876	2.1167
16.99720566	2.2436
16.94165801	2.3899
16.88647225	2.5037
16.83167317	2.656
16.77720046	2.8066
16.72307919	2.9663
16.66930597	3.1787
16.61587747	3.4609
16.56279037	3.7273
16.51004141	3.9744
16.45762737	4.2549
16.40554507	4.5207
16.35379138	4.7456
16.30236319	4.9858
16.25125744	5.2505
16.20047111	5.4018
16.15000121	5.5305
16.0998448	5.6553
16.04999896	5.7173
16.00048641	5.7309
15.95125297	5.8093
15.90232158	5.8918
15.85368947	5.8974
15.80535391	5.9265
15.75731218	5.9333
15.70956162	5.8796
15.6620996	5.8347
15.61492349	5.8269
15.56803074	5.7641
15.52141878	5.6736
15.47508511	5.6059
15.42902725	5.4929
15.38324273	5.3586
15.33772913	5.2439
15.29248405	5.1406
15.24750513	4.9951
15.20279002	4.8159
15.1583364	4.5989
15.114142	4.3662
15.07020455	4.1428
15.02652181	3.8928
14.98309158	3.6111
14.93991168	3.3743
14.89700213	3.1406
14.85431629	2.8296
14.81187438	2.5571
14.76967431	2.3318
14.72771402	2.0789
14.68599147	1.8262
14.64450465	1.6343
14.60325156	1.478
14.56223023	1.3572
14.52143873	1.2651
14.48087511	1.2139
14.44053748	1.1919
14.40042395	1.1726
14.36053266	1.1731
14.32086177	1.1345
14.28140946	1.052
14.24217393	0.9277
14.20315338	0.7925
14.16434607	0.6838
14.12575025	0.5903
14.0873642	0.5149
14.0491862	0.4709
14.01121458	0.4895
13.97344765	0.5393
13.93590321	0.5874
13.89854065	0.6111
13.8613779	0.6519
13.82441336	0.7217
13.78764544	0.749
13.75107258	0.7939
13.71469324	0.835
13.67850587	0.8621
13.64250897	0.9058
13.60670103	0.9499
13.57108057	0.9763
13.53564612	1.0007
13.50039624	1.0356
13.46532947	1.0977
13.4304444	1.1418
13.39573962	1.156
13.36121373	1.1567
13.32686536	1.1709
13.29269314	1.1997
13.25869572	1.2258
13.22487175	1.2524
13.19121992	1.2717
13.15773892	1.2961
13.12442745	1.3027
13.09130135	1.3171
13.05832501	1.3467
13.02551438	1.3398
12.99286821	1.3337
12.96038529	1.3323
12.92806437	1.3279
12.89590426	1.3447
12.86390376	1.3938
12.83206168	1.4387
12.80037684	1.448
12.7688481	1.4783
12.73747429	1.5566
12.70625427	1.6025
12.67518693	1.6179
12.64427113	1.6614
12.61350579	1.7231
12.58290562	1.7576
12.55243781	1.7866
12.52211719	1.8389
12.4919427	1.896
12.46191328	1.949
12.43202789	2.0068
12.40228549	2.0588
12.37268507	2.0842
12.34322561	2.1365
12.31390609	2.2036
12.28472554	2.2798
12.25568296	2.3589
12.22677738	2.4285
