Name: Topaz Al2SiO4(F,OH)2
Type:  Mineral
Class:  Silicates 
Subclass:   Nesosilicates (Isolated tetrahedra)
Particle Size:  Fine  (Less than 2 Micrometers)
Sample No.:  topaz.2
Owner:  JHU
Wavelength Range:  IR
Origin:  Ouro Preto, Brazil via Don Hoover, USGS

Description: The sample consisted of several orange-colored, rounded 
(tumbled ?) grains, each about 1 cm in diameter.  Under the 
microscope, the sample appeared to be pure topaz with abundant 
fluid inclusions.


Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  topaz2a.txt

25.04420302	56.2186
24.9237955	56.0077
24.80454022	56.5389
24.68642074	58.0936
24.5694209	60.16
24.45358465	61.5467
24.3387763	62.7577
24.22504094	63.7655
24.11236361	63.3123
24.00072962	62.7225
23.89012454	61.4452
23.78053421	59.7577
23.67194472	58.4881
23.56434244	58.2694
23.45771395	58.0038
23.35204611	56.8866
23.24732598	55.035
23.14354087	52.5702
23.04067832	49.369
22.93872607	45.8124
22.83767211	42.0858
22.7375046	38.08
22.63821194	33.9472
22.53978272	29.7909
22.44220571	26.0546
22.3454699	23.039
22.24956446	21.0488
22.15447875	20.0859
22.06020229	20.2734
21.96677306	21.2519
21.87408402	22.791
21.7821739	24.3281
21.69103293	25.8691
21.60065148	26.8945
21.5110201	27.2909
21.42212949	27.4472
21.33397051	27.6796
21.24653416	28.1796
21.15981159	28.7148
21.0737941	29.332
20.98847313	29.4316
20.90384024	29.1601
20.81988716	28.789
20.73660571	29.0663
20.65398787	30.2909
20.57202575	31.9413
20.49071156	33.6601
20.41003766	35.2304
20.3299965	36.3612
20.25058069	37.1386
20.1717829	37.5585
20.09359597	37.578
20.01601281	37.1718
19.93906621	36.619
19.8626695	35.8554
19.78685599	34.7577
19.71161901	33.3124
19.63695203	31.914
19.56284859	30.5204
19.48930232	29.4032
19.41630698	28.5986
19.34385639	28.1962
19.27194448	28.165
19.20056526	28.3749
19.12971284	28.8105
19.05938141	29.4072
18.98956523	30.3163
18.92025868	31.7128
18.85145618	33.746
18.78315226	36.3564
18.71534153	39.5087
18.64801865	43.0438
18.58117838	46.7889
18.51481556	50.4882
18.44892507	53.7508
18.38350191	56.0702
18.31854111	57.4422
18.25407111	57.5018
18.19002023	56.2704
18.12641726	54.1385
18.06325753	51.743
18.00053642	49.618
17.93824937	48.5985
17.8763919	48.8134
17.81495958	50.329
17.75394803	52.3915
17.69335296	54.7069
17.63317011	56.4217
17.57339529	57.4862
17.51402436	58.0399
17.45505324	58.1307
17.39647791	58.0047
17.3382944	57.9696
17.28049878	58.1405
17.2230872	58.1883
17.16605584	58.0331
17.10940093	57.5565
17.05311876	56.6415
16.99720566	55.287
16.94165801	53.5546
16.88647225	51.5311
16.83167317	49.079
16.77720046	46.3925
16.72307919	43.4393
16.66930597	40.1649
16.61587747	36.7978
16.56279037	33.205
16.51004141	29.6816
16.45762737	26.3603
16.40554507	23.291
16.35379138	20.7265
16.30236319	18.7822
16.25125744	17.3447
16.20047111	16.5283
16.15000121	16.1523
16.0998448	16.0996
16.04999896	16.3759
16.00048641	16.9697
15.95125297	17.7382
15.90232158	18.7402
15.85368947	19.8095
15.80535391	21.0039
15.75731218	22.249
15.70956162	23.4843
15.6620996	24.6503
15.61492349	25.8085
15.56803074	26.9472
15.52141878	28.0077
15.47508511	29.0175
15.42902725	30.0155
15.38324273	31.1064
15.33772913	32.373
15.29248405	33.9462
15.24750513	35.8837
15.20279002	38.0995
15.1583364	40.6278
15.114142	43.494
15.07020455	46.4442
15.02652181	49.3485
14.98309158	52.1805
14.93991168	54.871
14.89700213	57.326
14.85431629	59.5233
14.81187438	61.4579
14.76967431	63.2586
14.72771402	64.7713
14.68599147	66.076
14.64450465	67.1688
14.60325156	68.1541
14.56223023	68.9383
14.52143873	69.5545
14.48087511	70.0653
14.44053748	70.5906
14.40042395	71.0711
14.36053266	71.5633
14.32086177	72.0555
14.28140946	72.5057
14.24217393	73.1961
14.20315338	74.3025
14.16434607	75.6043
14.12575025	77.0779
14.0873642	78.5506
14.0491862	79.8348
14.01121458	80.9207
13.97344765	81.9168
13.93590321	82.6658
13.89854065	83.2137
13.8613779	83.6756
13.82441336	84.0471
13.78764544	84.3245
13.75107258	84.4724
13.71469324	84.6116
13.67850587	84.6658
13.64250897	84.6194
13.60670103	84.4749
13.57108057	84.2522
13.53564612	83.8904
13.50039624	83.4241
13.46532947	82.8186
13.4304444	82.2264
13.39573962	81.6678
13.36121373	81.2952
13.32686536	80.9788
13.29269314	80.7893
13.25869572	80.5921
13.22487175	80.1565
13.19121992	79.4353
13.15773892	78.5745
13.12442745	77.6058
13.09130135	76.7928
13.05832501	76.3846
13.02551438	76.4769
12.99286821	77.0257
12.96038529	77.7781
12.92806437	78.6805
12.89590426	79.6502
12.86390376	80.5213
12.83206168	81.0301
12.80037684	81.4026
12.7688481	81.4607
12.73747429	81.3221
12.70625427	81.0808
12.67518693	80.762
12.64427113	80.2683
12.61350579	79.6766
12.58290562	78.9632
12.55243781	78.2439
12.52211719	77.4432
12.4919427	76.5687
12.46191328	75.5643
12.43202789	74.576
12.40228549	73.5232
12.37268507	72.2894
12.34322561	70.8514
12.31390609	69.3807
12.28472554	67.6561
12.25568296	65.7362
12.22677738	63.7132
12.19800782	61.4085
12.16937334	58.8421
