Name: Antigorite (Mg, Fe+2)3 Si2O5(OH)4 
Type:  Mineral  
Class:  Silicates
Subclass:  Phyllosilicates  (Sheet silicates)  (Serpentine/Kaolin Group) 
Particle Size:  Solid (cleavage face)
Sample No.:  antigorite.1
Owner:  JHU.
Wavelength Range:  IR
Origin:  Sample from Kalsertal, Tyrol, Austria, via the Smithsonian 
(sample no. NMNH B17958, borrowed from Jim Crowley, USGS).  
Description: The sample was a large green single crystal.  It appeared 
to be mostly pure antigorite under the microscope, but some (<3%) 
alteration or impurity was present, possibly chrysotile.



Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  4.4055
Number of X Values:  2287
Additional Information: antigo1a.txt

25.04420302	33.9882
24.9237955	34.1191
24.80454022	34.0507
24.68642074	33.6737
24.5694209	33.2079
24.45358465	32.7743
24.3387763	32.7860
24.22504094	32.7382
24.11236361	32.7900
24.00072962	32.7558
23.89012454	32.7987
23.78053421	32.8837
23.67194472	33.3437
23.56434244	34.4618
23.45771395	35.8212
23.35204611	36.9853
23.24732598	38.1640
23.14354087	39.5761
23.04067832	40.9262
22.93872607	42.0922
22.83767211	43.0375
22.7375046	43.7660
22.63821194	44.4222
22.53978272	45.0902
22.44220571	45.7518
22.3454699	46.6097
22.24956446	47.5883
22.15447875	48.5199
22.06020229	49.3553
21.96677306	50.1327
21.87408402	50.8016
21.7821739	51.3671
21.69103293	52.0331
21.60065148	52.6581
21.5110201	53.2997
21.42212949	53.8871
21.33397051	54.5008
21.24653416	54.9510
21.15981159	55.1102
21.0737941	55.2992
20.98847313	55.6063
20.90384024	55.7821
20.81988716	55.8168
20.73660571	55.9320
20.65398787	55.9393
20.57202575	55.8338
20.49071156	55.5550
20.41003766	55.0682
20.3299965	54.3089
20.25058069	53.0853
20.1717829	51.7255
20.09359597	50.4281
20.01601281	49.2401
19.93906621	48.2435
19.8626695	47.7394
19.78685599	47.5604
19.71161901	47.2177
19.63695203	46.8192
19.56284859	46.4142
19.48930232	45.6525
19.41630698	44.4406
19.34385639	42.9240
19.27194448	40.9562
19.20056526	38.4152
19.12971284	35.5429
19.05938141	32.5285
18.98956523	29.3945
18.92025868	26.3244
18.85145618	23.5922
18.78315226	21.1767
18.71534153	19.0644
18.64801865	17.4331
18.58117838	16.2128
18.51481556	15.2793
18.44892507	14.6513
18.38350191	14.3667
18.31854111	14.3037
18.25407111	14.3047
18.19002023	14.3520
18.12641726	14.5156
18.06325753	14.7502
18.00053642	14.9726
17.93824937	15.2404
17.8763919	15.4453
17.81495958	15.6621
17.75394803	15.9191
17.69335296	16.1594
17.63317011	16.3310
17.57339529	16.4487
17.51402436	16.5588
17.45505324	16.6591
17.39647791	16.7045
17.3382944	16.7631
17.28049878	16.8313
17.2230872	16.9106
17.16605584	17.0586
17.10940093	17.1994
17.05311876	17.3046
16.99720566	17.4199
16.94165801	17.5332
16.88647225	17.7131
16.83167317	17.9521
16.77720046	18.2480
16.72307919	18.6381
16.66930597	19.0646
16.61587747	19.5402
16.56279037	20.1203
16.51004141	20.7729
16.45762737	21.4267
16.40554507	22.0654
16.35379138	22.7040
16.30236319	23.3635
16.25125744	24.0087
16.20047111	24.6320
16.15000121	25.2565
16.0998448	25.8381
16.04999896	26.3764
16.00048641	26.8510
15.95125297	27.2873
15.90232158	27.6965
15.85368947	28.0793
15.80535391	28.5492
15.75731218	29.0707
15.70956162	29.6249
15.6620996	30.2475
15.61492349	30.8976
15.56803074	31.5404
15.52141878	32.1369
15.47508511	32.6730
15.42902725	33.1689
15.38324273	33.5439
15.33772913	33.8026
15.29248405	34.0400
15.24750513	34.2733
15.20279002	34.4706
15.1583364	34.7270
15.114142	35.0004
15.07020455	35.1669
15.02652181	35.2841
14.98309158	35.3595
14.93991168	35.3293
14.89700213	35.1176
14.85431629	34.8156
14.81187438	34.3566
14.76967431	33.7135
14.72771402	32.9660
14.68599147	32.1122
14.64450465	31.0820
14.60325156	29.9250
14.56223023	28.7909
14.52143873	27.6039
14.48087511	26.2707
14.44053748	24.8957
14.40042395	23.4848
14.36053266	22.0131
14.32086177	20.6484
14.28140946	19.5380
14.24217393	18.6206
14.20315338	17.8205
14.16434607	17.1594
14.12575025	16.5815
14.0873642	15.9282
14.0491862	15.1867
14.01121458	14.4409
13.97344765	13.6599
13.93590321	12.8818
13.89854065	12.1308
13.8613779	11.4619
13.82441336	10.8471
13.78764544	10.2754
13.75107258	9.7666
13.71469324	9.3506
13.67850587	9.0156
13.64250897	8.7055
13.60670103	8.4013
13.57108057	8.1860
13.53564612	8.0080
13.50039624	7.8432
13.46532947	7.7138
13.4304444	7.6406
13.39573962	7.6155
13.36121373	7.5967
13.32686536	7.5932
13.29269314	7.6064
13.25869572	7.6408
13.22487175	7.7168
13.19121992	7.7763
13.15773892	7.8589
13.12442745	7.9409
13.09130135	8.0176
13.05832501	8.1304
13.02551438	8.1958
12.99286821	8.2656
12.96038529	8.3637
12.92806437	8.4175
12.89590426	8.4678
12.86390376	8.5381
12.83206168	8.5864
12.80037684	8.6230
12.7688481	8.6758
12.73747429	8.7475
12.70625427	8.8042
12.67518693	8.8589
12.64427113	8.9341
12.61350579	9.0146
12.58290562	9.0586
12.55243781	9.1350
12.52211719	9.2490
12.4919427	9.3310
12.46191328	9.4082
12.43202789	9.5134
12.40228549	9.5854
12.37268507	9.6635
12.34322561	9.7602
12.31390609	9.8496
12.28472554	9.9009
12.25568296	9.9638
12.22677738	10.0722
12.19800782	10.1743
12.16937334	10.2561
12.14087298	10.3613
12.1125058	10.4375
12.08427087	10.5146
12.05616727	10.6040
12.02819409	10.7051
12.00035041	10.7895
11.97263534	10.8730
11.945048	10.9682
11.9175875	11.0630
11.8902671	11.1284
11.86305761	11.1997
11.83597236	11.2983
11.80901051	11.3686
11.78217122	11.4458
11.75545365	11.5224
11.72885698	11.5979
11.70238038	11.6762
11.67602305	11.7578
11.64978419	11.8579
11.62366299	11.9692
11.59765866	12.0630
11.57177043	12.1616
11.54599752	12.2817
11.52033916	12.4091
11.49479458	12.5222
11.46936304	12.6284
11.44404378	12.7627
11.41883606	12.8933
11.39373914	13.0146
11.3687523	13.1640
11.34387482	13.3056
11.31910597	13.4043
11.29444505	13.5200
11.26990406	13.6450
11.24545684	13.7788
11.22111545	13.8894
11.19687921	13.9995
11.17274743	14.1469
11.14871946	14.2951
11.12479461	14.4167
11.10097222	14.5659
11.07725165	14.7265
11.05363222	14.9072
