Name: Antigorite (Mg, Fe+2)3 Si2O5(OH)4 
Type:  Mineral  
Class:  Silicates
Subclass:  Phyllosilicates  (Sheet silicates) (Serpentine/Kaolin Group) 
Particle Size:  Fine (less than 2 Micrometers)
Sample No.:  antigorite.1
Owner:  JHU.
Wavelength Range:  IR
Origin:  Sample from Kalsertal, Tyrol, Austria, via the Smithsonian 
(sample no. NMNH B17958, borrowed from Jim Crowley, USGS).  
Description: The sample was a large green single crystal.  It appeared 
to be mostly pure antigorite under the microscope, but some (<3%) 
alteration or impurity was present, possibly chrysotile.



Measurement:  Transmission
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  4.4055
Number of X Values:  2287
Additional Information: antigo1a.txt

25.04420302	59.4608
24.9237955	58.7811
24.80454022	58.8163
24.68642074	58.9256
24.5694209	59.1092
24.45358465	59.3436
24.3387763	59.1795
24.22504094	59.2889
24.11236361	59.4100
24.00072962	59.4881
23.89012454	59.2030
23.78053421	58.6639
23.67194472	58.0428
23.56434244	56.6522
23.45771395	54.7381
23.35204611	52.4452
23.24732598	50.5096
23.14354087	48.1483
23.04067832	45.6815
22.93872607	43.4237
22.83767211	41.3456
22.7375046	39.8358
22.63821194	38.6601
22.53978272	37.3690
22.44220571	36.3300
22.3454699	35.5546
22.24956446	35.0468
22.15447875	34.9413
22.06020229	35.0644
21.96677306	35.4550
21.87408402	35.8690
21.7821739	36.6054
21.69103293	37.4999
21.60065148	38.6718
21.5110201	39.7382
21.42212949	40.9159
21.33397051	42.2147
21.24653416	43.3612
21.15981159	44.5018
21.0737941	45.8846
20.98847313	47.2518
20.90384024	48.5800
20.81988716	49.5760
20.73660571	50.4706
20.65398787	51.5565
20.57202575	52.5838
20.49071156	53.6092
20.41003766	54.5858
20.3299965	55.5018
20.25058069	56.1034
20.1717829	56.5487
20.09359597	57.2186
20.01601281	57.6014
19.93906621	57.9862
19.8626695	58.4256
19.78685599	58.8905
19.71161901	59.2899
19.63695203	59.8788
19.56284859	60.2967
19.48930232	60.7323
19.41630698	61.2547
19.34385639	61.7508
19.27194448	62.0194
19.20056526	62.1952
19.12971284	62.6522
19.05938141	62.8133
18.98956523	62.8368
18.92025868	62.8836
18.85145618	62.9100
18.78315226	62.7616
18.71534153	62.8602
18.64801865	62.7264
18.58117838	62.4510
18.51481556	62.1327
18.44892507	62.0077
18.38350191	61.8905
18.31854111	61.4774
18.25407111	61.0672
18.19002023	60.6815
18.12641726	60.3182
18.06325753	59.7987
18.00053642	59.4041
17.93824937	58.9120
17.8763919	58.5633
17.81495958	58.3280
17.75394803	58.2420
17.69335296	58.3241
17.63317011	58.7508
17.57339529	59.3719
17.51402436	60.1219
17.45505324	61.0799
17.39647791	61.9569
17.3382944	62.8162
17.28049878	63.4061
17.2230872	64.0565
17.16605584	64.5936
17.10940093	65.1131
17.05311876	65.4119
16.99720566	65.6883
16.94165801	65.8524
16.88647225	65.8944
16.83167317	65.8221
16.77720046	65.6414
16.72307919	65.3377
16.66930597	65.0291
16.61587747	64.4744
16.56279037	63.7703
16.51004141	63.0662
16.45762737	62.1844
16.40554507	61.4657
16.35379138	60.7313
16.30236319	60.0584
16.25125744	59.3260
16.20047111	58.7821
16.15000121	58.2791
16.0998448	57.9500
16.04999896	57.7508
16.00048641	57.7284
15.95125297	57.7420
15.90232158	57.8924
15.85368947	58.0702
15.80535391	58.1249
15.75731218	58.2264
15.70956162	58.2040
15.6620996	58.3329
15.61492349	58.4930
15.56803074	58.8153
15.52141878	59.1639
15.47508511	59.6698
15.42902725	60.2625
15.38324273	61.0057
15.33772913	61.7166
15.29248405	62.4412
15.24750513	63.3377
15.20279002	64.0750
15.1583364	64.9500
15.114142	65.6151
15.07020455	66.4539
15.02652181	67.2069
14.98309158	68.0467
14.93991168	68.8807
14.89700213	69.7274
14.85431629	70.3983
14.81187438	71.0604
14.76967431	71.7010
14.72771402	72.2557
14.68599147	72.8328
14.64450465	73.2889
14.60325156	73.9207
14.56223023	74.4734
14.52143873	75.0750
14.48087511	75.6004
14.44053748	76.1170
14.40042395	76.5691
14.36053266	76.9363
14.32086177	77.3367
14.28140946	77.5975
14.24217393	77.9510
14.20315338	78.2820
14.16434607	78.6111
14.12575025	78.6980
14.0873642	78.8807
14.0491862	79.0535
14.01121458	79.3465
13.97344765	79.5887
13.93590321	79.7889
13.89854065	80.0804
13.8613779	80.3304
13.82441336	80.4690
13.78764544	80.6697
13.75107258	80.8943
13.71469324	81.0061
13.67850587	81.1565
13.64250897	81.3787
13.60670103	81.4705
13.57108057	81.6521
13.53564612	81.7718
13.50039624	81.9124
13.46532947	82.1306
13.4304444	82.2810
13.39573962	82.4593
13.36121373	82.5745
13.32686536	82.6097
13.29269314	82.7014
13.25869572	82.8245
13.22487175	82.9490
13.19121992	83.0662
13.15773892	83.0960
13.12442745	83.1097
13.09130135	83.1853
13.05832501	83.2517
13.02551438	83.3826
12.99286821	83.3225
12.96038529	83.1936
12.92806437	83.2171
12.89590426	83.2820
12.86390376	83.2347
12.83206168	83.2815
12.80037684	83.3846
12.7688481	83.5935
12.73747429	83.7249
12.70625427	83.8577
12.67518693	84.0530
12.64427113	84.1736
12.61350579	84.3513
12.58290562	84.3299
12.55243781	84.3758
12.52211719	84.4353
12.4919427	84.5706
12.46191328	84.4866
12.43202789	84.5095
12.40228549	84.5740
12.37268507	84.5193
12.34322561	84.6228
12.31390609	84.4959
12.28472554	84.5237
12.25568296	84.5135
12.22677738	84.4768
12.19800782	84.3758
12.16937334	84.3069
12.14087298	84.2527
12.1125058	84.1468
12.08427087	83.9104
12.05616727	83.7928
12.02819409	83.6077
12.00035041	83.1975
11.97263534	82.9431
11.945048	82.8074
11.9175875	82.7625
11.8902671	82.5139
11.86305761	82.3660
11.83597236	82.1858
11.80901051	82.0330
11.78217122	81.8260
11.75545365	81.7224
11.72885698	81.4729
11.70238038	81.1717
11.67602305	80.9226
11.64978419	80.7615
11.62366299	80.6062
11.59765866	80.4021
11.57177043	80.4026
11.54599752	80.2991
11.52033916	80.2693
11.49479458	80.1370
11.46936304	80.0413
11.44404378	79.8753
11.41883606	79.7850
11.39373914	79.7342
11.3687523	79.6990
11.34387482	79.7405
11.31910597	79.6717
11.29444505	79.5628
11.26990406	79.3045
11.24545684	79.2000
11.22111545	78.9168
11.19687921	78.5935
11.17274743	78.1961
11.14871946	77.8689
11.12479461	77.4104
11.10097222	76.8904
11.07725165	76.3987
11.05363222	75.7640
