Name: Clinochlore (Fe+2,Mg)5Al(Si3Al)O10(OH)8
Type:  Mineral
Class:   Silicates 
Subclass:   Phyllosilicates (sheet silicates) (Chlorite Group)
Particle Size:   Fine (less than 2 Micrometers)
Sample No.:  clinochl.2
Owner:  JHU
Wavelength Range:  IR
Origin:  Hunt and Salisbury Collection (from the Clay Mineral Society 
Repository #CCA-1); orign, Flagstaff Hill, El Dorado Co., California. 
Description:  The sample was made up of green chunks of coarsely 
crystalline material.  Microscopic examination indicated that it was 
pure.



Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: clinoc2a.txt

25.044	67.633
24.924	66.656
24.805	66.750
24.686	66.660
24.569	65.797
24.454	65.082
24.339	64.816
24.225	64.266
24.112	63.664
24.001	62.758
23.890	61.453
23.781	59.660
23.672	57.648
23.564	55.277
23.458	52.445
23.352	49.347
23.247	46.601
23.144	44.666
23.041	43.666
22.939	43.252
22.838	43.539
22.738	44.129
22.638	44.666
22.540	45.002
22.442	45.277
22.345	45.299
22.250	45.197
22.154	44.859
22.060	44.510
21.967	44.359
21.874	44.469
21.782	44.643
21.691	45.047
21.601	45.664
21.511	46.744
21.422	48.252
21.334	49.578
21.247	50.986
21.160	52.426
21.074	53.877
20.988	55.215
20.904	56.541
20.820	57.783
20.737	58.969
20.654	59.930
20.572	60.781
20.491	61.678
20.410	62.408
20.330	63.230
20.251	64.080
20.172	64.840
20.094	65.351
20.016	65.963
19.939	66.861
19.863	67.648
19.787	68.193
19.712	68.929
19.637	69.687
19.563	70.227
19.489	70.871
19.416	71.777
19.344	72.489
19.272	73.277
19.201	74.008
19.130	74.646
19.059	75.140
18.990	75.640
18.920	76.105
18.851	76.360
18.783	76.611
18.715	76.707
18.648	76.660
18.581	76.696
18.515	76.942
18.449	77.019
18.384	77.079
18.319	77.173
18.254	77.426
18.190	77.705
18.126	78.173
18.063	78.849
18.001	79.779
17.938	80.750
17.876	81.588
17.815	82.381
17.754	83.263
17.693	83.883
17.633	84.161
17.573	84.412
17.514	84.705
17.455	85.004
17.396	85.084
17.338	85.255
17.280	85.244
17.223	85.213
17.166	85.336
17.109	85.502
17.053	85.528
16.997	85.449
16.942	85.371
16.886	85.201
16.832	84.849
16.777	84.641
16.723	84.348
16.669	84.144
16.616	83.743
16.563	83.383
16.510	83.074
16.458	82.615
16.406	82.087
16.354	81.512
16.302	80.967
16.251	80.326
16.200	79.622
16.150	78.808
16.100	78.054
16.050	77.207
16.000	76.261
15.951	75.419
15.902	74.522
15.854	73.559
15.805	72.625
15.757	71.672
15.710	70.848
15.662	69.885
15.615	68.842
15.568	67.937
15.521	67.078
15.475	66.101
15.429	65.457
15.383	65.028
15.338	64.779
15.292	64.732
15.248	64.883
15.203	65.184
15.158	65.591
15.114	66.027
15.070	66.482
15.027	66.980
14.983	67.404
14.940	67.816
14.897	68.154
14.854	68.551
14.812	68.982
14.770	69.445
14.728	70.002
14.686	70.492
14.645	71.026
14.603	71.637
14.562	72.333
14.521	72.964
14.481	73.497
14.441	73.962
14.400	74.410
14.361	74.802
14.321	75.178
14.281	75.459
14.242	75.759
14.203	75.975
14.164	76.123
14.126	76.159
14.087	76.228
14.049	76.284
14.011	76.381
13.973	76.375
13.936	76.344
13.899	76.402
13.861	76.480
13.824	76.549
13.788	76.532
13.751	76.539
13.715	76.511
13.679	76.490
13.643	76.356
13.607	76.252
13.571	76.045
13.536	75.787
13.500	75.364
13.465	74.910
13.430	74.439
13.396	73.832
13.361	73.285
13.327	72.746
13.293	72.346
13.259	72.011
13.225	71.756
13.191	71.482
13.158	71.418
13.124	71.539
13.091	71.842
13.058	72.112
13.026	72.357
12.993	72.709
12.960	72.975
12.928	73.123
12.896	73.545
12.864	74.115
12.832	74.508
12.800	74.727
12.769	75.082
12.737	75.592
12.706	75.969
12.675	76.321
12.644	76.758
12.614	77.140
12.583	77.410
12.552	77.633
12.522	77.832
12.492	78.084
12.462	78.358
12.432	78.699
12.402	79.027
12.373	79.260
12.343	79.426
12.314	79.580
12.285	79.705
12.256	79.821
12.227	80.028
12.198	80.283
12.169	80.615
12.141	80.905
12.113	81.277
12.084	81.650
12.056	81.944
12.028	82.449
12.000	82.901
11.973	83.432
11.945	83.801
11.918	84.053
11.890	84.346
11.863	84.549
11.836	84.619
11.809	84.596
11.782	84.646
11.755	84.561
11.729	84.487
11.702	84.387
11.676	84.205
11.650	83.946
11.624	83.641
11.598	83.371
11.572	83.051
11.546	82.830
11.520	82.600
11.495	82.489
11.469	82.308
11.444	82.067
11.419	81.932
11.394	81.750
11.369	81.582
11.344	81.508
11.319	81.350
11.294	81.030
11.270	80.697
11.245	80.481
11.221	80.219
11.197	79.799
11.173	79.401
11.149	79.049
11.125	78.774
11.101	78.346
11.077	77.941
11.054	77.613
11.030	77.219
11.007	76.629
10.983	76.106
10.960	75.561
10.937	75.015
10.914	74.444
10.891	73.713
10.868	72.976
10.846	72.201
10.823	71.313
10.800	70.198
10.778	69.153
10.755	68.041
10.733	66.663
10.711	65.105
10.689	63.456
10.667	62.024
10.645	60.444
10.623	58.629
10.602	57.131
10.580	55.770
10.558	54.461
10.537	53.252
10.516	52.179
10.494	51.162
10.473	50.182
10.452	49.198
10.431	48.168
10.410	47.194
10.389	46.226
10.368	45.251
10.348	44.317
10.327	43.460
10.306	42.699
10.286	41.964
10.266	41.233
10.245	40.569
10.225	39.911
10.205	39.338
10.185	38.893
10.165	38.539
10.145	38.367
10.125	38.375
10.106	38.576
10.086	38.960
10.066	39.525
10.047	40.163
10.027	40.847
10.008	41.594
9.9887	42.328
9.9695	43.069
9.9504	43.857
9.9313	44.694
9.9123	45.453
9.8934	46.235
9.8746	47.067
9.8558	47.887
9.8371	48.735
9.8185	49.664
9.7999	50.601
9.7814	51.581
9.7630	52.694
9.7447	53.868
9.7264	55.072
9.7082	56.257
9.6900	57.436
9.6719	58.600
9.6539	59.737
9.6360	60.922
9.6181	62.022
9.6003	63.017
9.5825	64.055
9.5649	65.039
9.5472	65.991
9.5297	66.957
9.5122	67.948
9.4948	68.929
9.4774	69.895
9.4601	70.838
9.4429	71.750
9.4257	72.623
9.4086	73.451
9.3916	74.269
9.3746	74.981
9.3577	75.682
9.3408	76.387
9.3240	77.116
9.3073	77.823
9.2906	78.506
9.2740	79.168
9.2574	79.759
9.2409	80.465
9.2245	81.110
9.2081	81.720
9.1918	82.358
9.1755	83.004
9.1593	83.543
9.1431	84.010
9.1270	84.494
9.1110	84.977
9.0950	85.301
9.0791	85.594
9.0632	85.934
9.0474	86.180
9.0316	86.439
9.0159	86.793
9.0003	87.041
8.9847	87.217
8.9691	87.535
8.9536	87.854
8.9382	88.158
8.9228	88.441
8.9075	88.694
8.8922	88.870
8.8770	89.053
8.8618	89.246
8.8467	89.509
8.8316	89.636
8.8166	89.756
8.8016	89.983
8.7867	90.164
8.7718	90.318
8.7570	90.477
8.7422	90.659
8.7275	90.798
8.7129	90.978
8.6982	91.121
8.6837	91.239
8.6692	91.267
8.6547	91.427
8.6403	91.553
8.6259	91.608
8.6116	91.664
8.5973	91.859
8.5830	92.124
8.5688	92.246
8.5547	92.398
8.5406	92.520
8.5266	92.622
8.5126	92.735
8.4986	92.872
8.4847	92.979
8.4708	93.087
8.4570	93.185
8.4432	93.279
8.4295	93.342
8.4158	93.456
8.4022	93.563
8.3886	93.622
8.3750	93.757
8.3615	93.858
8.3481	93.925
8.3347	93.981
8.3213	94.062
8.3079	94.113
8.2946	94.193
8.2814	94.270
8.2682	94.358
8.2550	94.452
8.2419	94.530
8.2288	94.595
8.2158	94.651
8.2028	94.691
8.1898	94.762
8.1769	94.848
8.1640	94.876
8.1512	94.921
8.1384	94.968
8.1256	94.981
8.1129	94.993
8.1002	95.050
8.0876	95.108
8.0750	95.148
8.0624	95.151
8.0499	95.205
8.0374	95.282
8.0250	95.309
8.0126	95.322
8.0002	95.381
7.9879	95.399
7.9756	95.401
7.9634	95.448
7.9512	95.495
7.9390	95.512
7.9268	95.509
7.9147	95.533
7.9027	95.580
7.8906	95.586
7.8786	95.585
7.8667	95.589
7.8548	95.624
7.8429	95.645
7.8310	95.667
7.8192	95.711
7.8075	95.785
7.7957	95.860
7.7840	95.881
7.7723	95.899
7.7607	95.982
7.7491	96.034
7.7375	96.060
7.7260	96.079
7.7145	96.097
7.7031	96.132
7.6916	96.193
7.6802	96.243
7.6689	96.263
7.6575	96.251
7.6462	96.297
7.6350	96.305
7.6238	96.311
7.6126	96.311
7.6014	96.311
7.5903	96.337
7.5792	96.384
7.5681	96.425
7.5571	96.466
7.5461	96.502
7.5351	96.521
7.5242	96.531
7.5133	96.523
7.5024	96.562
7.4916	96.563
7.4807	96.591
7.4700	96.608
7.4592	96.631
7.4485	96.635
7.4378	96.653
7.4272	96.685
7.4165	96.714
7.4059	96.729
7.3954	96.746
7.3848	96.781
7.3743	96.779
7.3639	96.822
7.3534	96.863
7.3430	96.874
7.3326	96.878
7.3223	96.883
7.3119	96.873
7.3016	96.926
7.2914	96.958
7.2811	96.958
7.2709	96.941
7.2607	96.957
7.2506	96.990
7.2404	96.995
7.2303	97.015
7.2203	96.983
7.2102	96.982
7.2002	96.958
7.1902	96.967
7.1803	96.971
7.1703	96.971
7.1604	96.977
7.1506	97.003
7.1407	97.001
7.1309	96.989
7.1211	97.046
7.1113	97.106
7.1016	97.129
7.0919	97.094
7.0822	97.159
7.0725	97.215
7.0629	97.240
7.0533	97.270
7.0437	97.287
7.0341	97.317
7.0246	97.357
7.0151	97.384
7.0056	97.370
6.9962	97.383
6.9867	97.423
6.9773	97.395
6.9679	97.336
6.9586	97.324
6.9493	97.302
6.9400	97.301
6.9307	97.291
6.9214	97.344
6.9122	97.372
6.9030	97.373
6.8938	97.398
6.8847	97.435
6.8755	97.431
6.8664	97.436
6.8573	97.493
6.8483	97.540
6.8393	97.582
6.8302	97.589
6.8213	97.604
6.8123	97.600
6.8034	97.625
6.7944	97.609
6.7855	97.604
6.7767	97.646
6.7678	97.637
6.7590	97.638
6.7502	97.663
6.7414	97.689
6.7327	97.678
6.7239	97.707
6.7152	97.688
6.7065	97.687
6.6979	97.699
6.6892	97.695
6.6806	97.695
6.6720	97.693
6.6634	97.678
6.6549	97.665
6.6464	97.625
6.6378	97.566
6.6294	97.587
6.6209	97.601
6.6124	97.626
6.6040	97.623
6.5956	97.622
6.5872	97.620
6.5789	97.640
6.5705	97.620
6.5622	97.630
6.5539	97.641
6.5456	97.625
6.5374	97.595
6.5292	97.559
6.5209	97.533
6.5128	97.525
6.5046	97.546
6.4964	97.466
6.4883	97.427
6.4802	97.450
6.4721	97.439
6.4640	97.439
6.4560	97.473
6.4480	97.474
6.4399	97.446
6.4320	97.449
6.4240	97.454
6.4160	97.413
6.4081	97.368
6.4002	97.400
6.3923	97.399
6.3844	97.406
6.3766	97.404
6.3687	97.382
6.3609	97.385
6.3531	97.384
6.3454	97.340
6.3376	97.348
6.3299	97.363
6.3221	97.365
6.3144	97.357
6.3068	97.354
6.2991	97.361
6.2914	97.354
6.2838	97.333
6.2762	97.310
6.2686	97.306
6.2611	97.283
6.2535	97.283
6.2460	97.251
6.2385	97.222
6.2310	97.251
6.2235	97.278
6.2160	97.295
6.2086	97.324
6.2011	97.313
6.1937	97.298
6.1863	97.317
6.1790	97.361
6.1716	97.406
6.1643	97.438
6.1570	97.514
6.1496	97.581
6.1424	97.585
6.1351	97.548
6.1278	97.515
6.1206	97.478
6.1134	97.486
6.1062	97.499
6.0990	97.477
6.0918	97.464
6.0847	97.448
6.0776	97.410
6.0704	97.346
6.0633	97.331
6.0563	97.271
6.0492	97.185
6.0421	97.163
6.0351	97.206
6.0281	97.181
6.0211	97.069
6.0141	96.911
6.0071	96.792
6.0002	96.708
5.9932	96.705
5.9863	96.720
5.9794	96.768
5.9725	96.857
5.9657	96.969
5.9588	97.052
5.9520	97.165
5.9451	97.298
5.9383	97.390
5.9315	97.503
5.9247	97.630
5.9180	97.726
5.9112	97.782
5.9045	97.829
5.8978	97.869
5.8911	97.911
5.8844	97.958
5.8777	98.008
5.8711	98.034
5.8644	98.055
5.8578	98.092
5.8512	98.122
5.8446	98.147
5.8380	98.134
5.8314	98.184
5.8249	98.185
5.8184	98.217
5.8118	98.239
5.8053	98.287
5.7988	98.334
5.7923	98.369
5.7859	98.370
5.7794	98.371
5.7730	98.399
5.7666	98.419
5.7602	98.446
5.7538	98.477
5.7474	98.499
5.7410	98.533
5.7347	98.580
5.7283	98.605
5.7220	98.622
5.7157	98.631
5.7094	98.639
5.7031	98.671
5.6969	98.679
5.6906	98.699
5.6844	98.732
5.6782	98.762
5.6719	98.756
5.6657	98.787
5.6596	98.787
5.6534	98.815
5.6472	98.827
5.6411	98.848
5.6349	98.825
5.6288	98.854
5.6227	98.877
5.6166	98.869
5.6106	98.890
5.6045	98.894
5.5984	98.912
5.5924	98.906
5.5864	98.943
5.5804	98.956
5.5744	98.979
5.5684	98.987
5.5624	99.017
5.5564	99.017
5.5505	99.019
5.5445	99.034
5.5386	99.036
5.5327	99.007
5.5268	99.019
5.5209	99.041
5.5151	99.056
5.5092	99.053
5.5033	99.066
5.4975	99.055
5.4917	99.061
5.4859	99.072
5.4801	99.054
5.4743	99.064
5.4685	99.110
5.4628	99.165
5.4570	99.175
5.4513	99.194
5.4455	99.212
5.4398	99.201
5.4341	99.196
5.4284	99.171
5.4228	99.184
5.4171	99.189
5.4114	99.200
5.4058	99.214
5.4002	99.206
5.3945	99.227
5.3889	99.220
5.3833	99.216
5.3778	99.229
5.3722	99.262
5.3666	99.259
5.3611	99.271
5.3555	99.279
5.3500	99.273
5.3445	99.271
5.3390	99.285
5.3335	99.340
5.3280	99.362
5.3225	99.363
5.3171	99.375
5.3116	99.367
5.3062	99.402
5.3008	99.416
5.2954	99.425
5.2900	99.445
5.2846	99.439
5.2792	99.467
5.2738	99.464
5.2684	99.479
5.2631	99.501
5.2578	99.524
5.2524	99.534
5.2471	99.549
5.2418	99.557
5.2365	99.569
5.2312	99.602
5.2260	99.641
5.2207	99.655
5.2154	99.643
5.2102	99.644
5.2050	99.656
5.1998	99.681
5.1945	99.700
5.1893	99.704
5.1842	99.712
5.1790	99.724
5.1738	99.746
5.1686	99.751
5.1635	99.769
5.1584	99.779
5.1532	99.795
5.1481	99.805
5.1430	99.800
5.1379	99.811
5.1328	99.821
5.1277	99.800
5.1227	99.805
5.1176	99.846
5.1126	99.867
5.1075	99.854
5.1025	99.858
5.0975	99.838
5.0925	99.854
5.0875	99.863
5.0825	99.892
5.0775	99.908
5.0726	99.912
5.0676	99.894
5.0627	99.872
5.0577	99.903
5.0528	99.930
5.0479	99.934
5.0430	99.916
5.0380	99.924
5.0332	99.939
5.0283	99.952
5.0234	99.925
5.0185	99.947
5.0137	99.933
5.0088	99.934
5.0040	99.947
4.9992	99.952
4.9944	99.962
4.9896	99.959
4.9848	99.991
4.9800	100.01
4.9752	100.01
4.9704	100.00
4.9657	99.999
4.9609	99.997
4.9562	100.02
4.9514	100.05
4.9467	100.07
4.9420	100.05
4.9373	100.07
4.9326	100.10
4.9279	100.10
4.9232	100.09
4.9186	100.10
4.9139	100.09
4.9092	100.13
4.9046	100.17
4.9000	100.14
4.8953	100.17
4.8907	100.19
4.8861	100.20
4.8815	100.22
4.8769	100.25
4.8723	100.29
4.8678	100.31
4.8632	100.29
4.8586	100.29
4.8541	100.30
4.8495	100.31
4.8450	100.35
4.8405	100.35
4.8360	100.35
4.8315	100.37
4.8270	100.36
4.8225	100.36
4.8180	100.36
4.8135	100.36
4.8090	100.38
4.8046	100.38
4.8001	100.39
4.7957	100.45
4.7913	100.44
4.7868	100.42
4.7824	100.42
4.7780	100.42
4.7736	100.43
4.7692	100.44
4.7648	100.41
4.7605	100.43
4.7561	100.46
4.7517	100.47
4.7474	100.48
4.7431	100.48
4.7387	100.51
4.7344	100.50
4.7301	100.51
4.7258	100.51
4.7215	100.53
4.7172	100.52
4.7129	100.55
4.7086	100.56
4.7043	100.59
4.7000	100.62
4.6958	100.62
4.6915	100.62
4.6873	100.60
4.6831	100.62
4.6788	100.65
4.6746	100.66
4.6704	100.65
4.6662	100.64
4.6620	100.63
4.6578	100.63
4.6536	100.65
4.6495	100.65
4.6453	100.67
4.6411	100.69
4.6370	100.67
4.6328	100.66
4.6287	100.69
4.6246	100.69
4.6205	100.71
4.6163	100.72
4.6122	100.71
4.6081	100.69
4.6040	100.70
4.6000	100.74
4.5959	100.77
4.5918	100.75
4.5877	100.76
4.5837	100.75
4.5796	100.74
4.5756	100.76
4.5716	100.75
4.5675	100.74
4.5635	100.75
4.5595	100.77
4.5555	100.78
4.5515	100.80
4.5475	100.79
4.5435	100.80
4.5395	100.81
4.5356	100.84
4.5316	100.82
4.5276	100.83
4.5237	100.83
4.5197	100.86
4.5158	100.86
4.5119	100.86
4.5080	100.86
4.5040	100.85
4.5001	100.86
4.4962	100.86
4.4923	100.86
4.4884	100.89
4.4846	100.89
4.4807	100.84
4.4768	100.84
4.4730	100.87
4.4691	100.90
4.4652	100.91
4.4614	100.94
4.4576	100.97
4.4537	100.98
4.4499	100.97
4.4461	100.96
4.4423	100.99
4.4385	100.96
4.4347	100.95
4.4309	100.95
4.4271	100.96
4.4233	100.97
4.4196	100.99
4.4158	100.96
4.4120	100.96
4.4083	101.01
4.4045	101.00
4.4008	101.01
4.3971	101.04
4.3934	101.05
4.3896	101.05
4.3859	101.04
4.3822	101.04
4.3785	101.05
4.3748	101.05
4.3711	101.06
4.3674	101.05
4.3638	101.06
4.3601	101.05
4.3564	101.05
4.3528	101.06
4.3491	101.06
4.3455	101.06
4.3418	101.05
4.3382	101.08
4.3346	101.09
4.3310	101.07
4.3273	101.08
4.3237	101.11
4.3201	101.13
4.3165	101.13
4.3129	101.10
4.3094	101.11
4.3058	101.12
4.3022	101.13
4.2986	101.16
4.2951	101.16
4.2915	101.12
4.2880	101.15
4.2844	101.15
4.2809	101.15
4.2774	101.17
4.2738	101.20
4.2703	101.20
4.2668	101.18
4.2633	101.17
4.2598	101.18
4.2563	101.19
4.2528	101.19
4.2493	101.21
4.2458	101.22
4.2424	101.22
4.2389	101.22
4.2354	101.23
4.2320	101.24
4.2285	101.23
4.2251	101.25
4.2216	101.26
4.2182	101.23
4.2148	101.23
4.2113	101.25
4.2079	101.26
4.2045	101.26
4.2011	101.27
4.1977	101.28
4.1943	101.27
4.1909	101.28
4.1875	101.29
4.1841	101.28
4.1808	101.28
4.1774	101.27
4.1740	101.26
4.1707	101.30
4.1673	101.30
4.1640	101.29
4.1606	101.28
4.1573	101.30
4.1540	101.32
4.1506	101.29
4.1473	101.31
4.1440	101.34
4.1407	101.33
4.1374	101.34
4.1341	101.33
4.1308	101.33
4.1275	101.30
4.1242	101.29
4.1209	101.26
4.1177	101.30
4.1144	101.33
4.1111	101.37
4.1079	101.36
4.1046	101.38
4.1014	101.38
4.0981	101.38
4.0949	101.36
4.0917	101.36
4.0884	101.40
4.0852	101.38
4.0820	101.34
4.0788	101.37
4.0756	101.38
4.0724	101.35
4.0692	101.33
4.0660	101.36
4.0628	101.39
4.0596	101.41
4.0565	101.40
4.0533	101.39
4.0501	101.41
4.0470	101.45
4.0438	101.46
4.0406	101.41
4.0375	101.41
4.0344	101.45
4.0312	101.45
4.0281	101.44
4.0250	101.40
4.0218	101.39
4.0187	101.43
4.0156	101.43
4.0125	101.39
4.0094	101.40
4.0063	101.42
4.0032	101.43
4.0001	101.42
3.9970	101.42
3.9940	101.44
3.9909	101.39
3.9878	101.39
3.9847	101.46
3.9817	101.46
3.9786	101.48
3.9756	101.46
3.9725	101.46
3.9695	101.46
3.9665	101.47
3.9634	101.45
3.9604	101.44
3.9574	101.46
3.9544	101.46
3.9513	101.47
3.9483	101.45
3.9453	101.46
3.9423	101.46
3.9393	101.46
3.9363	101.49
3.9333	101.51
3.9304	101.50
3.9274	101.51
3.9244	101.53
3.9214	101.55
3.9185	101.58
3.9155	101.56
3.9126	101.56
3.9096	101.57
3.9067	101.57
3.9037	101.55
3.9008	101.58
3.8979	101.57
3.8949	101.55
3.8920	101.54
3.8891	101.52
3.8862	101.53
3.8833	101.54
3.8804	101.55
3.8775	101.54
3.8746	101.54
3.8717	101.55
3.8688	101.55
3.8659	101.52
3.8630	101.52
3.8601	101.51
3.8573	101.54
3.8544	101.56
3.8515	101.55
3.8487	101.54
3.8458	101.52
3.8430	101.54
3.8401	101.52
3.8373	101.55
3.8344	101.52
3.8316	101.56
3.8288	101.54
3.8259	101.52
3.8231	101.49
3.8203	101.50
3.8175	101.52
3.8147	101.49
3.8119	101.49
3.8091	101.52
3.8063	101.54
3.8035	101.51
3.8007	101.53
3.7979	101.59
3.7951	101.55
3.7924	101.54
3.7896	101.57
3.7868	101.59
3.7841	101.58
3.7813	101.59
3.7785	101.54
3.7758	101.55
3.7730	101.58
3.7703	101.57
3.7676	101.56
3.7648	101.55
3.7621	101.58
3.7594	101.58
3.7566	101.57
3.7539	101.56
3.7512	101.54
3.7485	101.55
3.7458	101.55
3.7431	101.56
3.7404	101.56
3.7377	101.52
3.7350	101.52
3.7323	101.52
3.7296	101.53
3.7269	101.51
3.7242	101.51
3.7216	101.51
3.7189	101.51
3.7162	101.50
3.7136	101.51
3.7109	101.50
3.7083	101.49
3.7056	101.48
3.7030	101.46
3.7003	101.47
3.6977	101.48
3.6950	101.44
3.6924	101.46
3.6898	101.47
3.6872	101.44
3.6845	101.42
3.6819	101.43
3.6793	101.44
3.6767	101.45
3.6741	101.43
3.6715	101.40
3.6689	101.39
3.6663	101.40
3.6637	101.41
3.6611	101.38
3.6585	101.39
3.6560	101.36
3.6534	101.36
3.6508	101.36
3.6482	101.38
3.6457	101.37
3.6431	101.35
3.6406	101.35
3.6380	101.33
3.6355	101.36
3.6329	101.36
3.6304	101.33
3.6278	101.34
3.6253	101.40
3.6227	101.35
3.6202	101.31
3.6177	101.31
3.6152	101.31
3.6127	101.30
3.6101	101.25
3.6076	101.23
3.6051	101.26
3.6026	101.27
3.6001	101.26
3.5976	101.25
3.5951	101.27
3.5926	101.23
3.5901	101.26
3.5876	101.26
3.5852	101.23
3.5827	101.24
3.5802	101.23
3.5777	101.18
3.5753	101.18
3.5728	101.20
3.5704	101.19
3.5679	101.18
3.5654	101.18
3.5630	101.20
3.5605	101.19
3.5581	101.20
3.5557	101.18
3.5532	101.12
3.5508	101.15
3.5484	101.14
3.5459	101.15
3.5435	101.16
3.5411	101.11
3.5387	101.10
3.5363	101.10
3.5338	101.12
3.5314	101.11
3.5290	101.09
3.5266	101.08
3.5242	101.14
3.5218	101.18
3.5195	101.20
3.5171	101.20
3.5147	101.18
3.5123	101.23
3.5099	101.31
3.5075	101.36
3.5052	101.38
3.5028	101.35
3.5004	101.36
3.4981	101.36
3.4957	101.32
3.4934	101.26
3.4910	101.23
3.4887	101.27
3.4863	101.18
3.4840	101.12
3.4816	101.09
3.4793	101.04
3.4770	100.98
3.4746	100.99
3.4723	100.97
3.4700	100.97
3.4677	100.96
3.4653	100.97
3.4630	100.96
3.4607	101.01
3.4584	100.99
3.4561	100.97
3.4538	100.97
3.4515	100.99
3.4492	101.03
3.4469	101.02
3.4446	101.00
3.4423	101.02
3.4400	101.03
3.4378	101.06
3.4355	101.10
3.4332	101.15
3.4309	101.17
3.4287	101.18
3.4264	101.22
3.4241	101.24
3.4219	101.26
3.4196	101.21
3.4174	101.12
3.4151	101.10
3.4129	101.10
3.4106	101.03
3.4084	101.00
3.4061	100.91
3.4039	100.84
3.4017	100.80
3.3994	100.74
3.3972	100.71
3.3950	100.68
3.3928	100.68
3.3906	100.66
3.3883	100.60
3.3861	100.61
3.3839	100.59
3.3817	100.53
3.3795	100.52
3.3773	100.48
3.3751	100.45
3.3729	100.40
3.3707	100.38
3.3685	100.35
3.3663	100.28
3.3641	100.25
3.3620	100.21
3.3598	100.16
3.3576	100.11
3.3554	100.11
3.3533	100.08
3.3511	100.05
3.3489	100.03
3.3468	100.02
3.3446	99.953
3.3425	99.898
3.3403	99.922
3.3382	99.898
3.3360	99.875
3.3339	99.821
3.3317	99.815
3.3296	99.803
3.3274	99.781
3.3253	99.752
3.3232	99.733
3.3210	99.799
3.3189	99.744
3.3168	99.697
3.3147	99.675
3.3126	99.685
3.3104	99.642
3.3083	99.566
3.3062	99.572
3.3041	99.539
3.3020	99.500
3.2999	99.473
3.2978	99.444
3.2957	99.420
3.2936	99.387
3.2915	99.371
3.2894	99.353
