Name:  Kyanite Al2SiO5
Type:  Mineral
Class:  Silicates
Subclass:  Nesosilicates (Isolated Tetrahedra); (Al2SiO5 Group)
Particle Size:  Coarse  (75-250 micrometers)
Sample No.: kyanite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Brazil (?) via the Smithsonian (sample no. NMNH 139740)

Description: The sample consisted of two blue crystals, each about 1.5 
cm x 0.4 cm x 0.4 cm in size.  Both displayed a very small amount of 
brown coating (limonite?), which could be scraped off or picked out 
after initial crushing of the crystals.  Under the microscope, the 
resulting sample appears pure and unaltered.

Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  kyanit1a.txt

25.04420302	6.0893
24.9237955	6.081
24.80454022	5.7627
24.68642074	5.1357
24.5694209	5.1929
24.45358465	5.3613
24.3387763	5.6816
24.22504094	6.0784
24.11236361	6.2109
24.00072962	6.2922
23.89012454	6.5884
23.78053421	6.9797
23.67194472	7.1443
23.56434244	7.3174
23.45771395	7.7944
23.35204611	8.3332
23.24732598	8.8098
23.14354087	9.2148
23.04067832	9.5078
22.93872607	9.6069
22.83767211	9.4966
22.7375046	9.6357
22.63821194	9.9204
22.53978272	10.0993
22.44220571	9.9687
22.3454699	9.4433
22.24956446	8.6489
22.15447875	7.7873
22.06020229	7.4619
21.96677306	7.7387
21.87408402	7.7158
21.7821739	7.7007
21.69103293	7.9848
21.60065148	8.394
21.5110201	8.8198
21.42212949	9.0771
21.33397051	9.2221
21.24653416	9.3095
21.15981159	9.3191
21.0737941	9.0793
20.98847313	8.4765
20.90384024	7.4634
20.81988716	6.3013
20.73660571	5.3799
20.65398787	5.2204
20.57202575	5.6767
20.49071156	6.208
20.41003766	6.5923
20.3299965	6.7178
20.25058069	6.573
20.1717829	6.5339
20.09359597	6.8428
20.01601281	7.2934
19.93906621	7.7082
19.8626695	8.1155
19.78685599	8.3701
19.71161901	8.2431
19.63695203	8.0613
19.56284859	8.3484
19.48930232	8.8462
19.41630698	9.2317
19.34385639	9.54
19.27194448	9.7976
19.20056526	9.7766
19.12971284	9.4973
19.05938141	9.4048
18.98956523	9.6811
18.92025868	9.896
18.85145618	9.7485
18.78315226	9.3642
18.71534153	9.0698
18.64801865	8.9292
18.58117838	8.6513
18.51481556	8.1931
18.44892507	8.1587
18.38350191	8.8882
18.31854111	9.7734
18.25407111	10.0617
18.19002023	9.5388
18.12641726	8.196
18.06325753	6.1662
18.00053642	4.333
17.93824937	3.7685
17.8763919	4.2063
17.81495958	4.9348
