Name: Lizardite Mg3Si2O5(OH)4
Type:  Mineral
Class:  Silicates
Subclass:  Phyllosilicates (Sheet Silicates); (Serpentine/Kaoline Group)
Particle Size:  0-60 micrometers.  (Packed powder simulates coarse.)
Sample No.: lizard.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Austria via the Smithsonian (sample no. NMNH R4687), 
acquired from Trude King, USGS.
Description: Sample was a small amount of fine white powder.  Only 
one anomalous grain was noted under the microscope with high 
birefringence (calcite or dolomite?).  (However, the infrared 
spectrum does not display any carbonate bands.) XRD Analysis:  Pure 
lizardite; sample was too small for chemical analysis. 

Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  none

25.04420302	4.3804
24.9237955	4.3603
24.80454022	4.4348
24.68642074	4.4883
24.5694209	4.668
24.45358465	4.7471
24.3387763	4.6753
24.22504094	4.6777
24.11236361	4.8071
24.00072962	4.8559
23.89012454	4.8931
23.78053421	5.043
23.67194472	5.2475
23.56434244	5.3147
23.45771395	5.2607
23.35204611	5.2837
23.24732598	5.4429
23.14354087	5.7734
23.04067832	6.1411
22.93872607	6.521
22.83767211	6.8677
22.7375046	7.041
22.63821194	7.0932
22.53978272	7.0862
22.44220571	7.0283
22.3454699	6.9812
22.24956446	6.9348
22.15447875	6.9382
22.06020229	6.8755
21.96677306	6.7783
21.87408402	6.7341
21.7821739	6.6816
21.69103293	6.7241
21.60065148	6.8762
21.5110201	6.9614
21.42212949	6.9304
21.33397051	6.9048
21.24653416	6.9035
21.15981159	6.8989
21.0737941	6.8196
20.98847313	6.7571
20.90384024	6.7651
20.81988716	6.72
20.73660571	6.668
20.65398787	6.6499
20.57202575	6.6181
20.49071156	6.5342
20.41003766	6.4311
20.3299965	6.3782
20.25058069	6.3125
20.1717829	6.1235
20.09359597	5.9411
20.01601281	5.8518
19.93906621	5.7644
19.8626695	5.6531
19.78685599	5.5205
19.71161901	5.3447
19.63695203	5.0737
19.56284859	4.717
19.48930232	4.3433
19.41630698	3.9165
19.34385639	3.4573
19.27194448	3.0767
19.20056526	2.6741
19.12971284	2.29
19.05938141	2.0229
18.98956523	1.8479
18.92025868	1.7346
18.85145618	1.6787
18.78315226	1.6921
18.71534153	1.7429
18.64801865	1.771
18.58117838	1.8293
18.51481556	1.8887
18.44892507	1.9582
18.38350191	2.0525
18.31854111	2.1155
18.25407111	2.2021
18.19002023	2.3125
18.12641726	2.3979
18.06325753	2.4204
18.00053642	2.5051
17.93824937	2.5876
17.8763919	2.6101
17.81495958	2.6516
17.75394803	2.7275
17.69335296	2.7991
17.63317011	2.7969
17.57339529	2.7939
17.51402436	2.8252
17.45505324	2.8213
17.39647791	2.855
17.3382944	2.9053
17.28049878	2.9072
17.2230872	2.8906
17.16605584	2.8972
17.10940093	2.9331
17.05311876	2.9053
16.99720566	2.8755
16.94165801	2.8601
16.88647225	2.8716
16.83167317	2.8811
16.77720046	2.8796
16.72307919	2.9758
16.66930597	3.1289
16.61587747	3.2637
16.56279037	3.3567
16.51004141	3.4905
16.45762737	3.6658
16.40554507	3.8152
16.35379138	3.9202
16.30236319	4.0329
16.25125744	4.1885
16.20047111	4.3054
16.15000121	4.3862
16.0998448	4.4778
16.04999896	4.5698
16.00048641	4.6482
15.95125297	4.6853
15.90232158	4.7082
