Name:  Nontronite Na0.33Fe2+3(Si,Al)4O10.3H2O
Type:  Mineral
Class:  Silicates
Subclass:  Phyllosilicates (Sheet Silicates); (Smectite Group)
Particle Size:  0-2 micrometers.  (Packed powder simulates coarse.)
Sample No.:  nontron.1
Owner: JHU
Wavelength Range:  IR
Origin:  Holen Hagen, Germany via the Hunt and Salisbury Collection 
#CMS Ng-1 (purchased from the Clay Mineral Society Repository)
Description: Brown, earthy clay. Less than 2 µm fraction is nontronite, plus a faint 
trace of quartz.  Larger size fraction has abundant quartz.  (Note: Quartz features 
do not show up in spectra of the <2 µm size fraction, either sifted or packed.)



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  none

25.04420302	16.5878
24.9237955	16.5478
24.80454022	16.6408
24.68642074	16.9677
24.5694209	17.1162
24.45358465	17.0224
24.3387763	17.4433
24.22504094	17.7541
24.11236361	17.708
24.00072962	17.7998
23.89012454	18.0263
23.78053421	18.0856
23.67194472	18.2534
23.56434244	18.3659
23.45771395	18.4975
23.35204611	18.6989
23.24732598	18.8049
23.14354087	18.8764
23.04067832	18.8525
22.93872607	18.851
22.83767211	18.9848
22.7375046	18.9357
22.63821194	18.8002
22.53978272	18.7417
22.44220571	18.7783
22.3454699	18.8408
22.24956446	18.8222
22.15447875	18.7929
22.06020229	18.7963
21.96677306	18.7607
21.87408402	18.728
21.7821739	18.6606
21.69103293	18.5527
21.60065148	18.4582
21.5110201	18.3505
21.42212949	18.1967
21.33397051	18.0556
21.24653416	17.8652
21.15981159	17.6926
21.0737941	17.6286
20.98847313	17.5556
20.90384024	17.5363
20.81988716	17.6743
20.73660571	17.9907
20.65398787	18.4116
20.57202575	18.8552
20.49071156	19.3588
20.41003766	19.8879
20.3299965	20.2617
20.25058069	20.5549
20.1717829	20.7324
20.09359597	20.8056
20.01601281	20.7995
19.93906621	20.8159
19.8626695	20.7487
19.78685599	20.6069
19.71161901	20.4418
19.63695203	20.3757
19.56284859	20.3571
19.48930232	20.3476
19.41630698	20.3701
19.34385639	20.489
19.27194448	20.5217
19.20056526	20.4873
19.12971284	20.5844
19.05938141	20.603
18.98956523	20.4848
18.92025868	20.4587
18.85145618	20.4345
18.78315226	20.2812
18.71534153	20.1992
18.64801865	20.1782
18.58117838	20.0881
18.51481556	19.9462
18.44892507	19.854
18.38350191	19.705
18.31854111	19.374
18.25407111	19.0188
18.19002023	18.7236
18.12641726	18.2983
18.06325753	17.8066
18.00053642	17.352
17.93824937	16.8679
