Name: Phlogopite KMg3Si3Al010(F,OH)2
Type:  Mineral
Class:  Silicates
Subclass:  Phyllosilicates (Sheet Silicates); (Mica Group)
Particle Size:  Coarse  (75 - 250  Micrometers)
Sample No.:  phlogop.1
Owner:  JHU
Wavelength Range:  IR
Origin: Burgess, Ontario, Canada via the Smithsonian (sample no. 
NMNH 124258, obtained from Bruce Hemingway, USGS)
Description: The hand sample consisted of rectangular sheets 
displaying the typical coppery luster of phlogopite.  Microscopic 
examination showed the sample to be pure.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  phlogo1a.txt

25.04420302	7.7055
24.9237955	7.8562
24.80454022	7.9389
24.68642074	7.9441
24.5694209	7.8733
24.45358465	7.8633
24.3387763	7.9443
24.22504094	8.0686
24.11236361	8.1767
24.00072962	8.3161
23.89012454	8.449
23.78053421	8.5168
23.67194472	8.5171
23.56434244	8.5674
23.45771395	8.6679
23.35204611	8.758
23.24732598	8.8584
23.14354087	8.99
23.04067832	9.1333
22.93872607	9.2629
22.83767211	9.3838
22.7375046	9.5354
22.63821194	9.7239
22.53978272	9.9414
22.44220571	10.1933
22.3454699	10.436
22.24956446	10.6716
22.15447875	10.9006
22.06020229	11.1174
21.96677306	11.3547
21.87408402	11.6093
21.7821739	11.9101
21.69103293	12.26
21.60065148	12.6137
21.5110201	12.9433
21.42212949	13.2617
21.33397051	13.5437
21.24653416	13.7544
21.15981159	13.8798
21.0737941	13.9326
20.98847313	13.9052
20.90384024	13.7815
20.81988716	13.5776
20.73660571	13.323
20.65398787	13.0263
20.57202575	12.7475
20.49071156	12.5539
20.41003766	12.4804
20.3299965	12.5446
20.25058069	12.718
20.1717829	12.9402
20.09359597	13.1611
20.01601281	13.3462
19.93906621	13.4538
19.8626695	13.4946
19.78685599	13.5017
19.71161901	13.4931
19.63695203	13.4951
19.56284859	13.5222
19.48930232	13.5422
19.41630698	13.552
19.34385639	13.5559
19.27194448	13.5417
19.20056526	13.488
19.12971284	13.4353
19.05938141	13.4245
18.98956523	13.4309
18.92025868	13.4563
18.85145618	13.5478
18.78315226	13.6911
18.71534153	13.8374
18.64801865	14.0085
18.58117838	14.2053
18.51481556	14.3842
18.44892507	14.5515
18.38350191	14.7287
18.31854111	14.8923
18.25407111	15.0136
18.19002023	15.091
18.12641726	15.1252
18.06325753	15.0722
18.00053642	14.9333
17.93824937	14.7314
17.8763919	14.4445
17.81495958	14.0664
17.75394803	13.6211
17.69335296	13.1142
17.63317011	12.5486
17.57339529	11.9189
17.51402436	11.226
17.45505324	10.4773
17.39647791	9.6965
17.3382944	8.9082
17.28049878	8.1484
17.2230872	7.4751
17.16605584	6.9167
17.10940093	6.4575
17.05311876	6.1096
16.99720566	5.8769
16.94165801	5.727
16.88647225	5.6318
16.83167317	5.5698
16.77720046	5.5278
16.72307919	5.4834
16.66930597	5.4297
16.61587747	5.3899
16.56279037	5.3542
16.51004141	5.3152
16.45762737	5.2839
16.40554507	5.2607
16.35379138	5.2436
16.30236319	5.2229
16.25125744	5.199
16.20047111	5.1719
16.15000121	5.1384
16.0998448	5.1057
16.04999896	5.0788
16.00048641	5.0571
15.95125297	5.0405
15.90232158	5.0249
15.85368947	5.0098
15.80535391	4.9878
15.75731218	4.9617
15.70956162	4.9451
15.6620996	4.9426
15.61492349	4.9348
15.56803074	4.926
15.52141878	4.9333
15.47508511	4.9468
15.42902725	4.9497
15.38324273	4.9514
15.33772913	4.9661
15.29248405	4.9785
15.24750513	4.9726
15.20279002	4.959
15.1583364	4.9436
15.114142	4.9277
15.07020455	4.9153
15.02652181	4.9087
14.98309158	4.9162
14.93991168	4.9326
14.89700213	4.9521
14.85431629	4.9648
14.81187438	4.9668
14.76967431	4.9761
14.72771402	4.9897
14.68599147	4.9953
14.64450465	5.0019
14.60325156	5.0044
14.56223023	4.9897
14.52143873	4.9563
14.48087511	4.9136
14.44053748	4.8757
14.40042395	4.8423
14.36053266	4.8169
14.32086177	4.8115
14.28140946	4.8196
14.24217393	4.8347
14.20315338	4.8567
14.16434607	4.8765
14.12575025	4.8935
14.0873642	4.9028
14.0491862	4.9106
14.01121458	4.9184
13.97344765	4.9214
13.93590321	4.9263
13.89854065	4.9307
13.8613779	4.9302
13.82441336	4.9294
13.78764544	4.9272
13.75107258	4.9275
13.71469324	4.9165
13.67850587	4.8989
13.64250897	4.8852
13.60670103	4.8745
13.57108057	4.8718
13.53564612	4.8857
13.50039624	4.9197
13.46532947	4.9726
13.4304444	5.0403
13.39573962	5.1228
13.36121373	5.2082
13.32686536	5.2866
13.29269314	5.3647
13.25869572	5.4407
13.22487175	5.5076
13.19121992	5.5654
13.15773892	5.6194
13.12442745	5.6684
13.09130135	5.7109
13.05832501	5.7461
13.02551438	5.7798
12.99286821	5.8171
12.96038529	5.8706
12.92806437	5.9451
12.89590426	6.0498
12.86390376	6.1958
12.83206168	6.3779
12.80037684	6.5732
12.7688481	6.7522
12.73747429	6.8962
12.70625427	6.9958
12.67518693	7.0403
12.64427113	7.0329
12.61350579	6.9951
12.58290562	6.9387
12.55243781	6.8784
12.52211719	6.8242
12.4919427	6.7832
12.46191328	6.7688
12.43202789	6.7763
12.40228549	6.7912
12.37268507	6.8164
12.34322561	6.8396
12.31390609	6.8537
12.28472554	6.8655
12.25568296	6.8838
12.22677738	6.9189
12.19800782	6.9707
12.16937334	7.0483
12.14087298	7.1741
12.1125058	7.341
12.08427087	7.5442
12.05616727	7.7771
12.02819409	8.0173
12.00035041	8.2397
11.97263534	8.4267
11.945048	8.5793
11.9175875	8.7024
11.8902671	8.7971
11.86305761	8.8681
11.83597236	8.915
11.80901051	8.9345
11.78217122	8.9316
11.75545365	8.914
11.72885698	8.8867
11.70238038	8.8598
11.67602305	8.8459
11.64978419	8.8467
11.62366299	8.8525
11.59765866	8.8596
11.57177043	8.8659
11.54599752	8.8603
11.52033916	8.8381
11.49479458	8.8
11.46936304	8.7532
11.44404378	8.6987
11.41883606	8.6264
11.39373914	8.5349
11.3687523	8.4258
11.34387482	8.2898
11.31910597	8.1194
11.29444505	7.9179
11.26990406	7.697
11.24545684	7.4651
11.22111545	7.2344
11.19687921	7.0168
11.17274743	6.824
11.14871946	6.6535
11.12479461	6.5054
11.10097222	6.3872
11.07725165	6.2956
11.05363222	6.2256
11.03011331	6.178
11.00669427	6.1426
10.98337447	6.1145
10.96015327	6.0967
10.93703005	6.0852
10.9140042	6.0786
10.89107509	6.0752
10.86824213	6.0742
10.8455047	6.0793
10.82286221	6.0871
10.80031407	6.1013
10.77785969	6.136
10.75549848	6.1836
10.73322986	6.238
10.71106474	6.2978
10.68897956	6.3601
10.66698525	6.4233
10.64508128	6.4814
10.62326708	6.5351
10.6015421	6.5937
10.5799058	6.6516
10.55835763	6.7087
10.53689705	6.7724
10.51552354	6.8445
10.49423657	6.926
10.4730356	7.0234
10.45192012	7.1367
10.43088962	7.2595
10.40994358	7.3865
10.38908149	7.5151
10.36830285	7.6391
10.34760717	7.75
10.32699394	7.8471
10.30646267	7.9299
10.28601287	7.9927
10.26564407	8.0332
10.24535578	8.0571
10.22514752	8.073
10.20502924	8.0928
10.1849796	8.1269
10.16500858	8.1838
10.14511574	8.2722
10.12530059	8.3982
10.10556271	8.5595
10.08590162	8.7583
10.0663169	8.9966
10.04680808	9.2693
10.02737473	9.5713
10.00801642	9.9067
9.98873271	10.2783
9.969523168	10.6848
9.950387369	11.1272
9.931324888	11.6052
9.912335307	12.1071
9.893427994	12.6132
9.874582922	13.101
9.855809507	13.5385
9.83710734	13.8835
9.818476015	14.1118
9.799915133	14.2177
9.781424293	14.2072
9.7630031	14.1071
9.744651161	13.958
9.726368087	13.7817
9.70815349	13.5925
9.690006986	13.4043
9.671928196	13.2153
9.653916739	13.0202
9.635972241	12.8242
9.618094328	12.6328
9.600282632	12.4485
9.582536785	12.268
9.564856422	12.093
9.547241181	11.9309
9.529690704	11.7768
9.512204634	11.635
9.494782617	11.5122
9.477424301	11.407
9.460138288	11.3257
9.4429063	11.2722
9.425736975	11.2419
9.408629972	11.2419
9.391584952	11.2741
9.374601579	11.3332
9.35767952	11.4182
9.340818443	11.5266
9.324018018	11.6523
9.307277919	11.7895
9.290597822	11.935
9.273977405	12.0835
9.257416348	12.2246
9.240914333	12.3549
9.224471046	12.4773
9.208086173	12.5852
9.191759404	12.6714
9.17549043	12.7419
9.159278945	12.8012
9.143124645	12.841
9.127027227	12.8662
9.110986392	12.8886
9.095001842	12.904
9.079073281	12.9106
9.06320863	12.9057
9.04739114	12.8728
9.031628764	12.7893
9.015921215	12.6372
9.000268208	12.4091
8.984669459	12.1135
8.969124685	11.7885
8.953633608	11.4885
8.93819595	11.2624
8.922811435	11.1411
8.907479789	11.1313
8.89220074	11.2114
8.876974017	11.3388
8.861799353	11.4726
8.846676481	11.5808
8.831605135	11.6382
8.816585054	11.6369
8.801615977	11.5776
8.786697643	11.4592
8.771829795	11.2871
8.757012178	11.0708
8.742244536	10.8139
8.727526619	10.5141
8.712858175	10.1767
8.69824652	9.81
8.683676252	9.4079
8.669154714	8.969
8.654681663	8.4995
8.640256858	7.9973
8.625880055	7.4617
8.611551018	6.8996
8.597269507	6.3215
8.583035287	5.7424
8.568848124	5.1767
8.554707784	4.6474
8.540614036	4.1799
8.52656665	3.7927
8.512565398	3.5024
8.498610052	3.3152
8.484700388	3.2239
8.470836182	3.2183
8.45701721	3.2803
8.443243252	3.3882
8.429514089	3.5249
8.415829502	3.6775
8.402189274	3.8367
8.388593191	3.9968
8.375041038	4.1575
8.361539594	4.3162
8.348074642	4.4692
8.334652987	4.6172
8.32127442	4.7627
8.307938734	4.9057
8.294645723	5.0452
8.281395183	5.1868
8.268186911	5.3303
8.255020704	5.4726
8.241896361	5.6123
8.228813685	5.7502
8.215772476	5.8891
8.202772537	6.031
8.189813674	6.1745
8.176895691	6.3193
8.164018395	6.4653
8.151188239	6.6096
8.138391724	6.748
8.125635323	6.8791
8.11291885	7.0056
8.100242116	7.1274
8.087604937	7.2417
8.075007126	7.3481
8.062448501	7.4507
8.049928879	7.5471
8.037448078	7.6411
8.025005918	7.7351
8.012602221	7.8271
8.000236807	7.916
7.9879095	8.0056
7.975620124	8.0928
7.963368505	8.1799
7.951154468	8.2688
7.938977841	8.3598
7.926838452	8.4521
7.914736131	8.5471
7.902670708	8.6462
7.890642014	8.7473
7.878649883	8.8498
7.866694148	8.9565
7.854780812	9.0613
7.842897355	9.1601
7.831049799	9.2561
7.819237984	9.3503
7.807461747	9.4365
7.795720929	9.5158
7.784015369	9.5949
7.772344909	9.6721
7.760709391	9.7456
7.749108659	9.821
7.737542556	9.8974
7.726010929	9.9687
7.714513623	10.0368
7.703050485	10.1037
7.691621363	10.1677
7.680226106	10.2243
7.668864563	10.2761
7.657536586	10.3266
7.646242025	10.373
7.634980733	10.417
7.623752563	10.4626
7.61255737	10.5073
7.601395008	10.551
7.590265333	10.5901
7.579173946	10.6242
7.568109199	10.6579
7.557076711	10.6889
7.546076342	10.7187
7.535107952	10.7495
7.524171401	10.7827
7.51326655	10.8178
7.502393263	10.8523
7.491551403	10.8869
7.480740833	10.9216
7.469961418	10.9541
7.459213023	10.9875
7.448495516	11.0251
7.437808762	11.0632
7.42715263	11.103
7.416526989	11.1457
7.405931707	11.1897
7.395366655	11.2346
7.384831703	11.2837
7.374326724	11.3364
7.363851589	11.3891
7.353406171	11.4421
7.342990345	11.498
7.332603984	11.5554
7.322252325	11.6125
7.311924506	11.6706
7.30162578	11.7312
7.291356025	11.7929
7.281115117	11.8576
7.270902937	11.9267
7.260719363	12.0002
7.250564275	12.084
7.240437554	12.1728
7.230339081	12.26
7.220268738	12.3493
7.210226408	12.4419
7.200211974	12.5322
7.19022532	12.6196
7.18026633	12.7072
7.17033489	12.7995
7.160436013	12.8906
7.150559317	12.9814
7.140709829	13.0776
7.130887439	13.177
7.121092034	13.2741
7.111323503	13.3723
7.101581735	13.4697
7.091866622	13.5639
7.082178053	13.6543
7.07251592	13.739
7.062880115	13.8215
7.053270531	13.9047
7.04368706	13.9909
7.034129597	14.0791
7.024598035	14.1672
7.01509227	14.2539
7.005612196	14.3349
6.99615771	14.4077
6.986728709	14.4755
6.977325089	14.5412
6.967946748	14.6045
6.958593585	14.6648
6.949265497	14.7238
6.939962385	14.7805
6.930688952	14.8339
6.921435478	14.8859
6.912206681	14.9336
6.903002461	14.9799
6.893822721	15.0168
