Name: Phlogopite KMg3Si3Al010(F,OH)2
Type:  Mineral
Class:  Silicates
Subclass:  Phyllosilicates (Sheet Silicates); (Mica Group)
Particle Size:  Fine (0 - 74  Micrometers)
Sample No.:  phlogop.1
Owner:  JHU
Wavelength Range:  IR
Origin: Burgess, Ontario, Canada via the Smithsonian (sample no. 
NMNH 124258, obtained from Bruce Hemingway, USGS)
Description: The hand sample consisted of rectangular sheets 
displaying the typical coppery luster of phlogopite.  Microscopic 
examination showed the sample to be pure.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  phlogo1a.txt

25.04420302	4.1572
24.9237955	4.2251
24.80454022	4.2056
24.68642074	4.2212
24.5694209	4.416
24.45358465	4.3423
24.3387763	4.2412
24.22504094	4.3852
24.11236361	4.4326
24.00072962	4.4258
23.89012454	4.4863
23.78053421	4.4932
23.67194472	4.4009
23.56434244	4.3887
23.45771395	4.4902
23.35204611	4.4131
23.24732598	4.354
23.14354087	4.4534
23.04067832	4.5871
22.93872607	4.6372
22.83767211	4.6826
22.7375046	4.6877
22.63821194	4.7248
22.53978272	4.8623
22.44220571	5.0176
22.3454699	5.1548
22.24956446	5.292
22.15447875	5.3569
22.06020229	5.4258
21.96677306	5.5893
21.87408402	5.7873
21.7821739	5.8157
21.69103293	5.8821
21.60065148	6.0356
21.5110201	6.0801
21.42212949	6.2002
21.33397051	6.354
21.24653416	6.4077
21.15981159	6.4739
21.0737941	6.4673
20.98847313	6.4328
20.90384024	6.3733
20.81988716	6.3088
20.73660571	6.1096
20.65398787	5.9807
20.57202575	5.9231
20.49071156	5.8725
20.41003766	5.8703
20.3299965	5.9272
20.25058069	6.0242
20.1717829	6.1108
20.09359597	6.207
20.01601281	6.1919
19.93906621	6.1059
19.8626695	6.1218
19.78685599	6.0918
19.71161901	5.9971
19.63695203	6.0107
19.56284859	6.039
19.48930232	6.0703
19.41630698	6.0649
19.34385639	6.06
19.27194448	6.0981
19.20056526	6.0889
19.12971284	6.0347
19.05938141	5.998
18.98956523	6.0068
18.92025868	6.04
18.85145618	6.0361
18.78315226	6.0513
18.71534153	6.1667
18.64801865	6.2617
18.58117838	6.2529
18.51481556	6.2388
18.44892507	6.2395
18.38350191	6.2602
18.31854111	6.2817
18.25407111	6.2427
18.19002023	6.1999
18.12641726	6.1738
18.06325753	6.0588
18.00053642	5.9031
17.93824937	5.7446
17.8763919	5.5674
17.81495958	5.3562
17.75394803	5.0764
17.69335296	4.7959
17.63317011	4.5195
17.57339529	4.2068
17.51402436	3.8542
17.45505324	3.53
17.39647791	3.2253
17.3382944	2.916
17.28049878	2.644
17.2230872	2.4255
17.16605584	2.2881
17.10940093	2.1724
17.05311876	2.1035
16.99720566	2.0381
16.94165801	2.0112
16.88647225	1.9729
16.83167317	1.9404
16.77720046	1.9746
16.72307919	1.9924
16.66930597	1.9531
16.61587747	1.9431
16.56279037	1.9756
16.51004141	1.9719
16.45762737	1.9263
16.40554507	1.9175
16.35379138	1.949
16.30236319	1.9714
16.25125744	1.9448
16.20047111	1.9185
16.15000121	1.9316
16.0998448	1.9429
16.04999896	1.9219
16.00048641	1.8894
15.95125297	1.9189
15.90232158	1.9148
15.85368947	1.897
15.80535391	1.9236
15.75731218	1.9375
15.70956162	1.9377
15.6620996	1.9421
15.61492349	1.9636
15.56803074	1.9736
15.52141878	1.925
15.47508511	1.9163
15.42902725	1.9734
15.38324273	1.9856
15.33772913	1.9531
15.29248405	1.9612
15.24750513	1.9582
15.20279002	1.9116
15.1583364	1.8982
15.114142	1.9216
15.07020455	1.9377
15.02652181	1.9165
14.98309158	1.9206
14.93991168	1.991
14.89700213	2.0303
14.85431629	2.0044
14.81187438	1.9861
14.76967431	1.9888
14.72771402	2.0312
14.68599147	2.0261
14.64450465	1.9746
14.60325156	1.9543
14.56223023	1.9836
14.52143873	1.9795
14.48087511	1.9553
14.44053748	1.9468
14.40042395	1.9521
14.36053266	1.9831
14.32086177	2.0139
14.28140946	2.0625
14.24217393	2.1123
14.20315338	2.1306
14.16434607	2.1426
14.12575025	2.1365
14.0873642	2.1245
14.0491862	2.1377
14.01121458	2.1379
13.97344765	2.1399
13.93590321	2.1682
13.89854065	2.1863
13.8613779	2.1929
13.82441336	2.1523
13.78764544	2.1392
13.75107258	2.1206
13.71469324	2.0986
13.67850587	2.0869
13.64250897	2.0891
13.60670103	2.1245
13.57108057	2.1289
13.53564612	2.1287
13.50039624	2.2041
13.46532947	2.2935
13.4304444	2.3442
13.39573962	2.4021
13.36121373	2.4534
13.32686536	2.4988
13.29269314	2.5452
13.25869572	2.6003
13.22487175	2.6663
13.19121992	2.7297
13.15773892	2.7546
13.12442745	2.7678
13.09130135	2.7934
13.05832501	2.8567
13.02551438	2.8982
12.99286821	2.9062
12.96038529	2.937
12.92806437	3.0308
12.89590426	3.1501
12.86390376	3.248
12.83206168	3.3547
12.80037684	3.4797
12.7688481	3.602
12.73747429	3.7031
12.70625427	3.772
12.67518693	3.7974
12.64427113	3.772
12.61350579	3.7385
12.58290562	3.7173
12.55243781	3.6719
12.52211719	3.6272
12.4919427	3.5769
12.46191328	3.5466
12.43202789	3.5017
12.40228549	3.4839
12.37268507	3.4792
12.34322561	3.4482
12.31390609	3.4263
12.28472554	3.4221
12.25568296	3.4485
12.22677738	3.4858
12.19800782	3.5701
12.16937334	3.7158
12.14087298	3.885
12.1125058	4.0732
12.08427087	4.2788
12.05616727	4.488
12.02819409	4.6948
12.00035041	4.8777
11.97263534	5.0159
11.945048	5.0884
11.9175875	5.1543
11.8902671	5.2053
11.86305761	5.2307
11.83597236	5.24
11.80901051	5.2439
11.78217122	5.2002
11.75545365	5.1748
11.72885698	5.1509
11.70238038	5.1431
11.67602305	5.1426
11.64978419	5.1626
11.62366299	5.1985
11.59765866	5.2143
11.57177043	5.2219
11.54599752	5.2134
11.52033916	5.1931
11.49479458	5.1763
11.46936304	5.1328
11.44404378	5.0864
11.41883606	5.0508
11.39373914	5.0036
11.3687523	4.9245
11.34387482	4.8523
11.31910597	4.7881
11.29444505	4.7136
11.26990406	4.6113
11.24545684	4.487
11.22111545	4.3782
11.19687921	4.2517
11.17274743	4.1296
11.14871946	4.0198
11.12479461	3.894
11.10097222	3.7776
11.07725165	3.6999
11.05363222	3.6279
11.03011331	3.5647
11.00669427	3.5312
10.98337447	3.5054
10.96015327	3.4829
10.93703005	3.4592
10.9140042	3.4473
10.89107509	3.4331
10.86824213	3.4045
10.8455047	3.3987
10.82286221	3.408
10.80031407	3.3987
10.77785969	3.375
10.75549848	3.3804
10.73322986	3.3996
10.71106474	3.3848
10.68897956	3.3616
10.66698525	3.3559
10.64508128	3.3479
10.62326708	3.3186
10.6015421	3.2927
10.5799058	3.2746
10.55835763	3.2595
10.53689705	3.2158
10.51552354	3.1663
10.49423657	3.1423
10.4730356	3.1201
10.45192012	3.1055
10.43088962	3.0984
10.40994358	3.1199
10.38908149	3.1636
10.36830285	3.1821
10.34760717	3.2026
10.32699394	3.2371
10.30646267	3.2515
10.28601287	3.2561
10.26564407	3.259
10.24535578	3.2476
10.22514752	3.251
10.20502924	3.2566
10.1849796	3.2676
10.16500858	3.2825
10.14511574	3.3252
10.12530059	3.3955
10.10556271	3.4585
10.08590162	3.551
10.0663169	3.6763
10.04680808	3.8061
10.02737473	3.9407
10.00801642	4.1025
9.98873271	4.28
9.969523168	4.4621
9.950387369	4.6621
9.931324888	4.8777
9.912335307	5.102
9.893427994	5.3284
9.874582922	5.5727
9.855809507	5.7915
9.83710734	5.9575
9.818476015	6.0815
9.799915133	6.1379
9.781424293	6.1128
9.7630031	6.0537
9.744651161	5.9736
9.726368087	5.8657
9.70815349	5.7573
9.690006986	5.6523
9.671928196	5.5566
9.653916739	5.4597
9.635972241	5.352
9.618094328	5.2583
9.600282632	5.1733
9.582536785	5.0906
9.564856422	5.0439
9.547241181	5.001
9.529690704	4.9409
9.512204634	4.8935
9.494782617	4.8662
9.477424301	4.8406
9.460138288	4.8098
9.4429063	4.7898
9.425736975	4.7742
9.408629972	4.7786
9.391584952	4.79
9.374601579	4.8008
9.35767952	4.8462
9.340818443	4.9036
9.324018018	4.9368
9.307277919	4.958
9.290597822	5.0188
9.273977405	5.0976
9.257416348	5.1543
9.240914333	5.2073
9.224471046	5.2493
9.208086173	5.2798
9.191759404	5.3176
9.17549043	5.3479
9.159278945	5.3686
9.143124645	5.3906
9.127027227	5.4219
9.110986392	5.4407
9.095001842	5.4756
9.079073281	5.5181
9.06320863	5.5569
9.04739114	5.603
9.031628764	5.6396
9.015921215	5.6506
9.000268208	5.6208
8.984669459	5.5627
8.969124685	5.488
8.953633608	5.417
8.93819595	5.3252
8.922811435	5.2361
8.907479789	5.1736
8.89220074	5.1077
8.876974017	5.0452
8.861799353	4.9834
8.846676481	4.8909
8.831605135	4.793
8.816585054	4.7058
8.801615977	4.5942
8.786697643	4.4651
8.771829795	4.3459
8.757012178	4.2214
8.742244536	4.0845
8.727526619	3.9343
8.712858175	3.7834
8.69824652	3.6213
8.683676252	3.4621
8.669154714	3.303
8.654681663	3.144
8.640256858	3.0034
8.625880055	2.8652
8.611551018	2.7153
8.597269507	2.5767
8.583035287	2.456
8.568848124	2.3469
8.554707784	2.2539
8.540614036	2.178
8.52656665	2.1194
8.512565398	2.0771
8.498610052	2.0552
8.484700388	2.0615
8.470836182	2.0972
8.45701721	2.1494
8.443243252	2.217
8.429514089	2.3122
8.415829502	2.4153
8.402189274	2.52
8.388593191	2.6323
8.375041038	2.7495
8.361539594	2.8716
8.348074642	2.9895
8.334652987	3.1052
8.32127442	3.2195
8.307938734	3.3342
8.294645723	3.4563
8.281395183	3.5737
8.268186911	3.6829
8.255020704	3.79
8.241896361	3.9053
8.228813685	4.0129
8.215772476	4.1096
8.202772537	4.2056
8.189813674	4.3039
8.176895691	4.4038
8.164018395	4.4929
8.151188239	4.5847
8.138391724	4.6811
8.125635323	4.7724
8.11291885	4.854
8.100242116	4.9336
8.087604937	5.0129
8.075007126	5.0935
8.062448501	5.168
8.049928879	5.2436
8.037448078	5.3232
8.025005918	5.3999
8.012602221	5.4744
8.000236807	5.5464
7.9879095	5.6162
7.975620124	5.676
7.963368505	5.7363
7.951154468	5.7983
7.938977841	5.8496
7.926838452	5.9094
7.914736131	5.9756
7.902670708	6.0312
7.890642014	6.0764
7.878649883	6.1345
7.866694148	6.187
7.854780812	6.237
7.842897355	6.2969
7.831049799	6.3498
7.819237984	6.3979
7.807461747	6.4438
7.795720929	6.4895
7.784015369	6.5305
7.772344909	6.5674
7.760709391	6.6098
7.749108659	6.6528
7.737542556	6.6977
7.726010929	6.7488
7.714513623	6.7917
7.703050485	6.8303
7.691621363	6.8747
7.680226106	6.9148
7.668864563	6.9526
7.657536586	6.9858
7.646242025	7.0278
7.634980733	7.0766
7.623752563	7.1267
7.61255737	7.1789
7.601395008	7.227
7.590265333	7.2727
7.579173946	7.3247
7.568109199	7.3742
7.557076711	7.4172
7.546076342	7.4653
7.535107952	7.5127
7.524171401	7.5503
7.51326655	7.5935
7.502393263	7.6396
7.491551403	7.6731
7.480740833	7.6943
7.469961418	7.7297
7.459213023	7.7739
7.448495516	7.81
7.437808762	7.8425
7.42715263	7.8772
7.416526989	7.8918
7.405931707	7.9053
7.395366655	7.9402
7.384831703	7.9673
7.374326724	7.9741
7.363851589	7.9858
7.353406171	7.9966
7.342990345	7.9939
7.332603984	8.0058
7.322252325	8.0483
7.311924506	8.0881
7.30162578	8.1347
7.291356025	8.2038
7.281115117	8.2722
7.270902937	8.3315
7.260719363	8.4031
7.250564275	8.4741
7.240437554	8.5349
7.230339081	8.6003
7.220268738	8.6719
7.210226408	8.7292
7.200211974	8.7964
7.19022532	8.876
7.18026633	8.9306
7.17033489	8.9658
7.160436013	9.0185
7.150559317	9.0754
7.140709829	9.1191
7.130887439	9.1665
7.121092034	9.2109
7.111323503	9.2585
7.101581735	9.3103
7.091866622	9.3523
7.082178053	9.3923
7.07251592	9.4343
7.062880115	9.4739
7.053270531	9.5073
7.04368706	9.5444
7.034129597	9.6106
7.024598035	9.6716
7.01509227	9.7214
7.005612196	9.7668
6.99615771	9.8242
6.986728709	9.8762
6.977325089	9.9128
6.967946748	9.9416
6.958593585	9.9887
6.949265497	10.0573
6.939962385	10.1086
6.930688952	10.1548
6.921435478	10.1845
6.912206681	10.2114
6.903002461	10.2478
6.893822721	10.2832
