Name: Phlogopite KMg3Si3AlO10(F, OH)2
Type:  Mineral
Class:  Silicates
Subclass:  Phyllosilicates (Sheet Silicates); (Mica Group)
Particle Size:  Coarse  (75 - 250  Micrometers)
Sample No.: phlogop.2
Owner:  JHU
Wavelength Range:  IR
Origin:  Ontario, Canada via the Hunt and Salisbury Collection #23B

Description: This second sample of phlogopite also displayed the 
typical coppery luster of its micaceous sheets.  It appeared pure in 
hand sample and under the microscope.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  phlogo2a.txt

25.04420302	4.6133
24.9237955	4.9199
24.80454022	5.0884
24.68642074	5.0117
24.5694209	4.8525
24.45358465	4.936
24.3387763	5.0478
24.22504094	5.1826
24.11236361	5.2041
24.00072962	5.3457
23.89012454	5.3555
23.78053421	5.3701
23.67194472	5.415
23.56434244	5.6465
23.45771395	5.7759
23.35204611	5.7031
23.24732598	5.8291
23.14354087	6.1369
23.04067832	6.2583
22.93872607	6.2124
22.83767211	6.4016
22.7375046	6.583
22.63821194	6.7356
22.53978272	6.9292
22.44220571	7.0657
22.3454699	7.2639
22.24956446	7.518
22.15447875	7.7451
22.06020229	7.97
21.96677306	8.2739
21.87408402	8.5229
21.7821739	8.7248
21.69103293	8.9067
21.60065148	9.2971
21.5110201	9.6792
21.42212949	9.8398
21.33397051	10.051
21.24653416	10.2656
21.15981159	10.3652
21.0737941	10.4155
20.98847313	10.4931
20.90384024	10.4072
20.81988716	10.154
20.73660571	9.9839
20.65398787	9.8344
20.57202575	9.6416
20.49071156	9.5512
20.41003766	9.5903
20.3299965	9.7173
20.25058069	9.8584
20.1717829	10.0212
20.09359597	10.1718
20.01601281	10.3042
19.93906621	10.3296
19.8626695	10.2539
19.78685599	10.1718
19.71161901	10.2002
19.63695203	10.2168
19.56284859	10.164
19.48930232	10.1892
19.41630698	10.2441
19.34385639	10.2868
19.27194448	10.3257
19.20056526	10.3872
19.12971284	10.4465
19.05938141	10.5757
18.98956523	10.7207
18.92025868	10.792
18.85145618	10.8891
18.78315226	11.0429
18.71534153	11.1655
18.64801865	11.2097
18.58117838	11.3108
18.51481556	11.3745
18.44892507	11.3613
18.38350191	11.3691
18.31854111	11.3518
18.25407111	11.2077
18.19002023	11.0622
18.12641726	10.9223
18.06325753	10.6235
18.00053642	10.311
17.93824937	10.0149
17.8763919	9.5942
17.81495958	9.0732
17.75394803	8.5508
17.69335296	8.0112
17.63317011	7.4035
17.57339529	6.7793
17.51402436	6.1533
17.45505324	5.4438
17.39647791	4.7822
17.3382944	4.1924
17.28049878	3.6728
17.2230872	3.2185
17.16605584	2.8467
17.10940093	2.6184
17.05311876	2.4507
16.99720566	2.3008
16.94165801	2.207
16.88647225	2.1938
16.83167317	2.1631
16.77720046	2.1338
16.72307919	2.1692
16.66930597	2.1401
16.61587747	2.113
16.56279037	2.1248
16.51004141	2.0977
16.45762737	2.0315
16.40554507	2.0171
16.35379138	2.0083
16.30236319	1.9944
16.25125744	1.9509
16.20047111	1.9153
16.15000121	1.9155
16.0998448	1.9475
16.04999896	1.9504
16.00048641	1.9031
15.95125297	1.8843
15.90232158	1.9126
15.85368947	1.9204
15.80535391	1.8769
15.75731218	1.8779
15.70956162	1.8696
15.6620996	1.8852
15.61492349	1.9192
15.56803074	1.9255
15.52141878	1.9402
15.47508511	1.9602
15.42902725	1.928
15.38324273	1.9177
15.33772913	1.9497
15.29248405	1.9644
15.24750513	1.9575
15.20279002	1.9487
15.1583364	1.9302
15.114142	1.9102
15.07020455	1.9089
15.02652181	1.9255
14.98309158	1.9177
14.93991168	1.9194
14.89700213	1.9277
14.85431629	1.9304
14.81187438	1.9272
14.76967431	1.9163
14.72771402	1.9187
14.68599147	1.9617
14.64450465	1.9756
14.60325156	1.9543
14.56223023	1.9404
14.52143873	1.9426
14.48087511	1.9477
14.44053748	1.9338
14.40042395	1.9233
14.36053266	1.9436
14.32086177	1.9783
14.28140946	2.0051
14.24217393	2.033
14.20315338	2.0813
14.16434607	2.085
14.12575025	2.085
14.0873642	2.0952
14.0491862	2.0898
14.01121458	2.0862
13.97344765	2.0691
13.93590321	2.0632
13.89854065	2.0754
13.8613779	2.072
13.82441336	2.0566
13.78764544	2.0259
13.75107258	2.0259
13.71469324	2.0232
13.67850587	1.9822
13.64250897	1.9529
13.60670103	1.9573
13.57108057	1.9214
13.53564612	1.9233
13.50039624	1.9456
13.46532947	1.9646
13.4304444	1.9998
13.39573962	2.0566
13.36121373	2.1218
13.32686536	2.1628
13.29269314	2.2187
13.25869572	2.2451
13.22487175	2.2656
13.19121992	2.3086
13.15773892	2.3679
13.12442745	2.3953
13.09130135	2.4111
13.05832501	2.4465
13.02551438	2.4568
12.99286821	2.4897
12.96038529	2.5361
12.92806437	2.5647
12.89590426	2.6116
12.86390376	2.6929
12.83206168	2.8103
12.80037684	2.9346
12.7688481	3.0488
12.73747429	3.1501
12.70625427	3.2134
12.67518693	3.2288
12.64427113	3.2305
12.61350579	3.2266
12.58290562	3.217
12.55243781	3.1938
12.52211719	3.1743
12.4919427	3.1655
12.46191328	3.1616
12.43202789	3.1619
12.40228549	3.1645
12.37268507	3.1604
12.34322561	3.1631
12.31390609	3.1655
12.28472554	3.1931
12.25568296	3.238
12.22677738	3.3025
12.19800782	3.3935
12.16937334	3.499
12.14087298	3.6162
12.1125058	3.7766
12.08427087	3.9465
12.05616727	4.0989
12.02819409	4.24
12.00035041	4.3555
11.97263534	4.438
11.945048	4.4971
11.9175875	4.5178
11.8902671	4.5095
11.86305761	4.508
11.83597236	4.4849
11.80901051	4.4243
11.78217122	4.3821
11.75545365	4.3223
11.72885698	4.2488
11.70238038	4.2165
11.67602305	4.2165
11.64978419	4.1724
11.62366299	4.126
11.59765866	4.0942
11.57177043	4.0554
11.54599752	4.0295
11.52033916	4.0256
11.49479458	3.9932
11.46936304	3.9617
11.44404378	3.9348
11.41883606	3.9172
11.39373914	3.9116
11.3687523	3.9053
11.34387482	3.8979
11.31910597	3.9009
11.29444505	3.883
11.26990406	3.8642
11.24545684	3.8245
11.22111545	3.7825
11.19687921	3.7495
11.17274743	3.6933
11.14871946	3.6372
11.12479461	3.5954
11.10097222	3.5662
11.07725165	3.5278
11.05363222	3.4873
11.03011331	3.4783
11.00669427	3.4885
10.98337447	3.4792
10.96015327	3.4795
10.93703005	3.4868
10.9140042	3.4963
10.89107509	3.512
10.86824213	3.5237
10.8455047	3.5381
10.82286221	3.572
10.80031407	3.6055
10.77785969	3.6211
10.75549848	3.6306
10.73322986	3.6413
10.71106474	3.6724
10.68897956	3.7038
10.66698525	3.7432
10.64508128	3.779
10.62326708	3.8098
10.6015421	3.8572
10.5799058	3.9109
10.55835763	3.9426
10.53689705	3.9941
10.51552354	4.0674
10.49423657	4.1372
10.4730356	4.24
10.45192012	4.3516
10.43088962	4.4709
10.40994358	4.592
10.38908149	4.7073
10.36830285	4.8179
10.34760717	4.9131
10.32699394	4.9902
10.30646267	5.0403
10.28601287	5.0713
10.26564407	5.0959
10.24535578	5.1125
10.22514752	5.1123
10.20502924	5.1167
10.1849796	5.1289
10.16500858	5.1628
10.14511574	5.2146
10.12530059	5.3008
10.10556271	5.4231
10.08590162	5.5788
10.0663169	5.769
10.04680808	5.9802
10.02737473	6.2109
10.00801642	6.4599
9.98873271	6.7339
9.969523168	7.0368
9.950387369	7.3591
9.931324888	7.7051
9.912335307	8.0827
9.893427994	8.4841
9.874582922	8.8874
9.855809507	9.2873
9.83710734	9.6238
9.818476015	9.8476
9.799915133	9.9975
9.781424293	10.0617
9.7630031	9.9958
9.744651161	9.8957
9.726368087	9.8039
9.70815349	9.656
9.690006986	9.478
9.671928196	9.3354
9.653916739	9.1804
9.635972241	9.0019
9.618094328	8.854
9.600282632	8.7375
9.582536785	8.6155
9.564856422	8.5178
9.547241181	8.4782
9.529690704	8.438
9.512204634	8.4011
9.494782617	8.3889
9.477424301	8.3657
9.460138288	8.3388
9.4429063	8.3327
9.425736975	8.3523
9.408629972	8.3784
9.391584952	8.4187
9.374601579	8.4841
9.35767952	8.5368
9.340818443	8.6116
9.324018018	8.7229
9.307277919	8.8352
9.290597822	8.927
9.273977405	9.0522
9.257416348	9.1921
9.240914333	9.2951
9.224471046	9.4021
9.208086173	9.508
9.191759404	9.5769
9.17549043	9.6174
9.159278945	9.6557
9.143124645	9.6423
9.127027227	9.572
9.110986392	9.5161
9.095001842	9.4621
9.079073281	9.3713
9.06320863	9.289
9.04739114	9.2434
9.031628764	9.1721
9.015921215	9.0891
9.000268208	9.0061
8.984669459	8.8664
8.969124685	8.6821
8.953633608	8.4868
8.93819595	8.2842
8.922811435	8.0576
8.907479789	7.8335
8.89220074	7.6272
8.876974017	7.4087
8.861799353	7.1655
8.846676481	6.9336
8.831605135	6.6814
8.816585054	6.4094
8.801615977	6.1406
8.786697643	5.8625
8.771829795	5.5622
8.757012178	5.2659
8.742244536	4.9702
8.727526619	4.6616
8.712858175	4.3664
8.69824652	4.0871
8.683676252	3.8035
8.669154714	3.5315
8.654681663	3.271
8.640256858	3.0078
8.625880055	2.7566
8.611551018	2.5264
8.597269507	2.3098
8.583035287	2.105
8.568848124	1.9253
8.554707784	1.7739
8.540614036	1.6367
8.52656665	1.5227
8.512565398	1.4397
8.498610052	1.3733
8.484700388	1.3332
8.470836182	1.3237
8.45701721	1.3403
8.443243252	1.3787
8.429514089	1.4133
8.415829502	1.467
8.402189274	1.5266
8.388593191	1.6035
8.375041038	1.6919
8.361539594	1.7781
8.348074642	1.8555
8.334652987	1.9448
8.32127442	2.0488
8.307938734	2.1421
8.294645723	2.2327
8.281395183	2.334
8.268186911	2.4294
8.255020704	2.5173
8.241896361	2.6081
8.228813685	2.698
8.215772476	2.7803
8.202772537	2.8691
8.189813674	2.9687
8.176895691	3.0598
8.164018395	3.1443
8.151188239	3.227
8.138391724	3.3052
8.125635323	3.385
8.11291885	3.468
8.100242116	3.5513
8.087604937	3.626
8.075007126	3.6999
8.062448501	3.7759
8.049928879	3.8454
8.037448078	3.915
8.025005918	3.9844
8.012602221	4.0439
8.000236807	4.1035
7.9879095	4.1594
7.975620124	4.2156
7.963368505	4.2764
7.951154468	4.3401
7.938977841	4.4009
7.926838452	4.4541
7.914736131	4.5076
7.902670708	4.5679
7.890642014	4.6218
7.878649883	4.6604
7.866694148	4.7136
7.854780812	4.7703
7.842897355	4.821
7.831049799	4.8765
7.819237984	4.9292
7.807461747	4.9736
7.795720929	5.0112
7.784015369	5.0564
7.772344909	5.0991
7.760709391	5.1282
7.749108659	5.1731
7.737542556	5.2258
7.726010929	5.2683
7.714513623	5.301
7.703050485	5.3398
7.691621363	5.3784
7.680226106	5.4172
7.668864563	5.4665
7.657536586	5.5085
7.646242025	5.5483
7.634980733	5.594
7.623752563	5.6433
7.61255737	5.6868
7.601395008	5.7385
7.590265333	5.7993
7.579173946	5.8464
7.568109199	5.8982
7.557076711	5.957
7.546076342	6.0063
7.535107952	6.0432
7.524171401	6.0832
7.51326655	6.1291
7.502393263	6.1719
7.491551403	6.2153
7.480740833	6.2605
7.469961418	6.2991
7.459213023	6.3391
7.448495516	6.3874
7.437808762	6.4302
7.42715263	6.4614
7.416526989	6.5071
7.405931707	6.5578
7.395366655	6.5945
7.384831703	6.6355
7.374326724	6.6809
7.363851589	6.7175
7.353406171	6.7661
7.342990345	6.822
7.332603984	6.863
7.322252325	6.8945
7.311924506	6.9409
7.30162578	6.9897
7.291356025	7.0251
7.281115117	7.0722
7.270902937	7.133
7.260719363	7.1831
7.250564275	7.2285
7.240437554	7.2917
7.230339081	7.3415
7.220268738	7.3777
7.210226408	7.425
7.200211974	7.4739
7.19022532	7.5095
7.18026633	7.5608
7.17033489	7.6074
7.160436013	7.6411
7.150559317	7.6872
7.140709829	7.7546
7.130887439	7.7998
7.121092034	7.8354
7.111323503	7.894
7.101581735	7.9443
7.091866622	7.9695
7.082178053	8.0161
7.07251592	8.0718
7.062880115	8.1106
7.053270531	8.1491
7.04368706	8.2077
7.034129597	8.269
7.024598035	8.3181
7.01509227	8.3872
7.005612196	8.447
6.99615771	8.4778
6.986728709	8.5332
6.977325089	8.5998
6.967946748	8.6452
6.958593585	8.6919
6.949265497	8.7578
6.939962385	8.7995
6.930688952	8.8352
6.921435478	8.8899
6.912206681	8.9316
6.903002461	8.9604
6.893822721	9.0151
6.884667364	9.0698
6.875536292	9.0962
6.866429409	9.1103
