Name:  Prehnite Ca2Al2Si3O10(OH)2
Type:  Mineral
Class:  Silicates
Subclass:  Phyllosilicates (Sheet Silicates); (Chlorite Group)
Particle Size:  Solid
Sample No.:  prehnite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Paterson, New Jersey, USA via Norma Vergo

Description: The sample consisted of a cluster of light green, 
translucent crystals weighing about 14 g. Purity appeared high in 
hand sample and under the microscope.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  prehni1a.txt

25.04420302	8.7805
24.9237955	8.2363
24.80454022	8.0254
24.68642074	7.9253
24.5694209	7.8616
24.45358465	7.9475
24.3387763	7.9848
24.22504094	7.9502
24.11236361	7.9541
24.00072962	7.8657
23.89012454	7.7971
23.78053421	7.7141
23.67194472	7.6499
23.56434244	7.5122
23.45771395	7.3926
23.35204611	7.3638
23.24732598	7.4009
23.14354087	7.4546
23.04067832	7.4824
22.93872607	7.5698
22.83767211	7.625
22.7375046	7.5351
22.63821194	7.3801
22.53978272	7.1426
22.44220571	6.8642
22.3454699	6.6169
22.24956446	6.4878
22.15447875	6.5649
22.06020229	6.686
21.96677306	6.7951
21.87408402	6.9599
21.7821739	7.073
21.69103293	7.1711
21.60065148	7.3188
21.5110201	7.5224
21.42212949	7.8086
21.33397051	8.2104
21.24653416	8.6162
21.15981159	8.999
21.0737941	9.3249
20.98847313	9.5757
20.90384024	9.883
20.81988716	10.1528
20.73660571	10.313
20.65398787	10.4336
20.57202575	10.5373
20.49071156	10.5993
20.41003766	10.5879
20.3299965	10.5046
20.25058069	10.3066
20.1717829	9.9665
20.09359597	9.4956
20.01601281	8.9953
19.93906621	8.5207
19.8626695	8.0928
19.78685599	7.8379
19.71161901	7.7856
19.63695203	7.781
19.56284859	7.8215
19.48930232	7.8911
19.41630698	7.9175
19.34385639	7.8843
19.27194448	7.8408
19.20056526	7.7954
19.12971284	7.7146
19.05938141	7.6838
18.98956523	7.6909
18.92025868	7.7363
18.85145618	7.8144
18.78315226	7.8913
18.71534153	7.9643
18.64801865	8.0473
18.58117838	8.0952
18.51481556	8.1291
18.44892507	8.2082
18.38350191	8.2803
18.31854111	8.2805
18.25407111	8.2009
18.19002023	8.0259
18.12641726	7.6921
18.06325753	7.2517
18.00053642	6.7644
17.93824937	6.2175
17.8763919	5.6304
17.81495958	5.0693
17.75394803	4.4949
17.69335296	3.8694
17.63317011	3.2561
17.57339529	2.6921
17.51402436	2.1811
17.45505324	1.7478
17.39647791	1.4072
