Name: Smectite Na0.33Fe2+3(Si,Al)4 O10.3H2O
Type:  Mineral
Class:  Silicates 
Subclass:   Phyllosilicates (Sheet silicates); Smectite Group
Particle Size:  Fine  (0-2  Micrometers)
Sample No.:  smectite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Grant Co., Washington, USA via the Clay Mineral Society 
Source Clay Mineral Repository #CMS SWa-1
Description:  Described by CMS as a ferruginous smectite, the sample 
was a brown, earthy clay. The less than 2 micrometers size fraction is 
pure Fe-smectite (probably nontronite).  The larger size fraction 
contains a small amount of quartz and was discarded.


Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  Refer to intro.txt for additional information.

25.04420302	1.231
24.9237955	1.5471
24.80454022	1.6914
24.68642074	1.481
24.5694209	1.488
24.45358465	1.6431
24.3387763	1.6108
24.22504094	1.5847
24.11236361	1.5623
24.00072962	1.5977
23.89012454	1.655
23.78053421	1.7019
23.67194472	1.6733
23.56434244	1.6562
23.45771395	1.7681
23.35204611	1.7522
23.24732598	1.6809
23.14354087	1.6572
23.04067832	1.6697
22.93872607	1.634
22.83767211	1.6111
22.7375046	1.5403
22.63821194	1.5361
22.53978272	1.5786
22.44220571	1.6301
22.3454699	1.6536
22.24956446	1.624
22.15447875	1.5432
22.06020229	1.491
21.96677306	1.5322
21.87408402	1.604
21.7821739	1.5801
21.69103293	1.5713
21.60065148	1.6145
21.5110201	1.6074
21.42212949	1.5513
21.33397051	1.4788
21.24653416	1.4597
21.15981159	1.4468
21.0737941	1.3738
20.98847313	1.3906
20.90384024	1.4248
20.81988716	1.3601
20.73660571	1.2864
20.65398787	1.3347
20.57202575	1.4058
20.49071156	1.4582
20.41003766	1.5176
20.3299965	1.5615
20.25058069	1.5554
20.1717829	1.5561
20.09359597	1.5508
20.01601281	1.5237
19.93906621	1.5647
19.8626695	1.5825
19.78685599	1.5767
19.71161901	1.6257
19.63695203	1.6755
19.56284859	1.6694
19.48930232	1.7268
19.41630698	1.7771
19.34385639	1.7244
19.27194448	1.6936
19.20056526	1.72
19.12971284	1.749
19.05938141	1.7322
18.98956523	1.7239
18.92025868	1.7471
18.85145618	1.7805
18.78315226	1.762
18.71534153	1.7356
18.64801865	1.7478
18.58117838	1.7602
18.51481556	1.7593
18.44892507	1.7593
18.38350191	1.7307
18.31854111	1.7253
18.25407111	1.6877
18.19002023	1.6116
18.12641726	1.5867
18.06325753	1.5791
18.00053642	1.53
17.93824937	1.4751
17.8763919	1.4314
17.81495958	1.3938
17.75394803	1.3552
17.69335296	1.3264
17.63317011	1.2603
17.57339529	1.2297
17.51402436	1.2314
17.45505324	1.1455
17.39647791	1.0647
17.3382944	0.9917
17.28049878	0.9258
17.2230872	0.9192
17.16605584	0.9145
17.10940093	0.8831
17.05311876	0.8301
16.99720566	0.7869
16.94165801	0.7332
16.88647225	0.7231
16.83167317	0.7427
16.77720046	0.6916
16.72307919	0.6389
16.66930597	0.6099
16.61587747	0.5823
16.56279037	0.5901
16.51004141	0.5935
16.45762737	0.5837
16.40554507	0.5632
16.35379138	0.5627
16.30236319	0.5513
16.25125744	0.5217
16.20047111	0.5293
16.15000121	0.5347
16.0998448	0.5261
16.04999896	0.5449
16.00048641	0.5652
15.95125297	0.5752
15.90232158	0.5801
15.85368947	0.5479
15.80535391	0.5383
15.75731218	0.5886
15.70956162	0.6257
15.6620996	0.6155
15.61492349	0.6047
15.56803074	0.6123
15.52141878	0.6445
15.47508511	0.665
15.42902725	0.6858
15.38324273	0.697
15.33772913	0.6963
15.29248405	0.6958
15.24750513	0.7197
15.20279002	0.728
15.1583364	0.7439
15.114142	0.7458
15.07020455	0.7446
15.02652181	0.759
14.98309158	0.7444
14.93991168	0.7373
14.89700213	0.7253
14.85431629	0.7429
14.81187438	0.7539
14.76967431	0.7415
14.72771402	0.7275
14.68599147	0.7432
14.64450465	0.7437
14.60325156	0.7485
14.56223023	0.7571
14.52143873	0.7507
14.48087511	0.7707
14.44053748	0.7778
14.40042395	0.7744
14.36053266	0.7849
14.32086177	0.8015
14.28140946	0.8252
14.24217393	0.8376
14.20315338	0.8469
14.16434607	0.8672
14.12575025	0.8865
14.0873642	0.9343
14.0491862	0.9582
14.01121458	0.9402
13.97344765	0.9419
13.93590321	0.9719
13.89854065	0.9836
13.8613779	1.0041
13.82441336	1.0586
13.78764544	1.083
13.75107258	1.0601
13.71469324	1.0815
13.67850587	1.1064
13.64250897	1.1023
13.60670103	1.1079
13.57108057	1.1248
13.53564612	1.1343
13.50039624	1.1199
13.46532947	1.1267
13.4304444	1.1462
13.39573962	1.146
13.36121373	1.1382
13.32686536	1.1443
13.29269314	1.1484
13.25869572	1.1357
13.22487175	1.1309
13.19121992	1.1243
13.15773892	1.1179
13.12442745	1.1213
13.09130135	1.1213
13.05832501	1.1426
13.02551438	1.1506
12.99286821	1.1443
12.96038529	1.1333
12.92806437	1.1321
12.89590426	1.1501
12.86390376	1.1404
12.83206168	1.1228
12.80037684	1.1118
12.7688481	1.0928
12.73747429	1.0837
12.70625427	1.085
12.67518693	1.0852
12.64427113	1.0825
12.61350579	1.0864
12.58290562	1.0991
12.55243781	1.1045
12.52211719	1.114
12.4919427	1.1265
12.46191328	1.1279
12.43202789	1.1189
12.40228549	1.1003
12.37268507	1.0923
12.34322561	1.0972
12.31390609	1.0715
12.28472554	1.0334
12.25568296	1.0029
12.22677738	0.9753
12.19800782	0.9475
12.16937334	0.9553
12.14087298	0.957
12.1125058	0.9604
12.08427087	0.9683
12.05616727	0.9941
12.02819409	1.0183
12.00035041	1.0481
11.97263534	1.0718
11.945048	1.0933
11.9175875	1.1199
11.8902671	1.1125
11.86305761	1.0942
11.83597236	1.0894
11.80901051	1.0749
11.78217122	1.0732
11.75545365	1.0803
11.72885698	1.0666
11.70238038	1.0486
11.67602305	1.0583
11.64978419	1.0444
11.62366299	1.0325
11.59765866	0.9983
11.57177043	0.981
11.54599752	0.9897
11.52033916	0.9753
11.49479458	0.9497
11.46936304	0.939
11.44404378	0.9297
11.41883606	0.9145
11.39373914	0.9163
11.3687523	0.9104
11.34387482	0.8975
11.31910597	0.8987
11.29444505	0.926
11.26990406	0.9465
11.24545684	0.9585
11.22111545	0.9888
11.19687921	1.009
11.17274743	1.0334
11.14871946	1.0444
11.12479461	1.0461
11.10097222	1.0515
11.07725165	1.0623
11.05363222	1.0608
11.03011331	1.05
11.00669427	1.0454
10.98337447	1.0308
10.96015327	1.0154
10.93703005	1.0144
10.9140042	1.0081
10.89107509	0.9929
10.86824213	0.9924
10.8455047	0.9912
10.82286221	0.9753
10.80031407	0.9646
10.77785969	0.9729
10.75549848	0.9746
10.73322986	0.9622
10.71106474	0.9658
10.68897956	0.9648
10.66698525	0.9502
10.64508128	0.9526
10.62326708	0.9636
10.6015421	0.9705
10.5799058	0.968
10.55835763	0.9536
10.53689705	0.9648
10.51552354	0.9744
10.49423657	0.9634
10.4730356	0.967
10.45192012	0.9622
10.43088962	0.96
10.40994358	0.9734
10.38908149	0.9832
10.36830285	0.9856
10.34760717	0.9915
10.32699394	0.9941
10.30646267	0.9919
10.28601287	0.9919
10.26564407	0.9993
10.24535578	1.0195
10.22514752	1.0181
10.20502924	1.0146
10.1849796	1.0234
10.16500858	1.0273
10.14511574	1.0415
10.12530059	1.0491
10.10556271	1.0535
10.08590162	1.073
10.0663169	1.0857
10.04680808	1.0945
10.02737473	1.1089
10.00801642	1.1282
9.98873271	1.1382
9.969523168	1.1582
9.950387369	1.1711
9.931324888	1.1826
9.912335307	1.2053
9.893427994	1.2202
9.874582922	1.2236
9.855809507	1.2385
9.83710734	1.2551
9.818476015	1.2725
9.799915133	1.2827
9.781424293	1.2939
9.7630031	1.3137
9.744651161	1.3391
9.726368087	1.3564
9.70815349	1.3701
9.690006986	1.3901
9.671928196	1.4192
9.653916739	1.4416
9.635972241	1.4517
9.618094328	1.4697
9.600282632	1.4805
9.582536785	1.4849
9.564856422	1.5105
9.547241181	1.53
9.529690704	1.5276
9.512204634	1.5312
9.494782617	1.5513
9.477424301	1.5674
9.460138288	1.582
9.4429063	1.5857
9.425736975	1.5874
9.408629972	1.5884
9.391584952	1.5786
9.374601579	1.5701
9.35767952	1.5718
9.340818443	1.5623
9.324018018	1.5417
9.307277919	1.5151
9.290597822	1.4988
9.273977405	1.4753
9.257416348	1.4514
9.240914333	1.427
9.224471046	1.3975
9.208086173	1.3645
9.191759404	1.3555
9.17549043	1.3369
9.159278945	1.3054
9.143124645	1.2881
9.127027227	1.2788
9.110986392	1.2686
9.095001842	1.2446
9.079073281	1.2375
9.06320863	1.2263
9.04739114	1.2036
9.031628764	1.2053
9.015921215	1.2156
9.000268208	1.2168
8.984669459	1.2139
8.969124685	1.1951
8.953633608	1.1929
8.93819595	1.1978
8.922811435	1.1995
8.907479789	1.2109
8.89220074	1.2253
8.876974017	1.2402
8.861799353	1.2519
8.846676481	1.2534
8.831605135	1.2627
8.816585054	1.279
8.801615977	1.2817
8.786697643	1.293
8.771829795	1.3088
8.757012178	1.3093
8.742244536	1.301
8.727526619	1.2966
8.712858175	1.2856
8.69824652	1.2705
8.683676252	1.2546
8.669154714	1.2324
8.654681663	1.2029
8.640256858	1.165
8.625880055	1.1379
8.611551018	1.1084
8.597269507	1.0605
8.583035287	1.0132
8.568848124	0.9785
8.554707784	0.9282
8.540614036	0.8755
8.52656665	0.8264
8.512565398	0.7778
8.498610052	0.7253
8.484700388	0.666
8.470836182	0.6165
8.45701721	0.571
8.443243252	0.5256
8.429514089	0.4736
8.415829502	0.4246
8.402189274	0.3843
8.388593191	0.3542
8.375041038	0.3333
8.361539594	0.3162
8.348074642	0.3076
8.334652987	0.3005
8.32127442	0.2976
8.307938734	0.3035
8.294645723	0.3152
8.281395183	0.3352
8.268186911	0.353
8.255020704	0.3813
8.241896361	0.408
8.228813685	0.4312
8.215772476	0.4678
8.202772537	0.51
8.189813674	0.5491
8.176895691	0.5823
8.164018395	0.6152
8.151188239	0.6653
8.138391724	0.7124
8.125635323	0.7551
8.11291885	0.8035
8.100242116	0.8455
8.087604937	0.8894
8.075007126	0.9346
8.062448501	0.9741
8.049928879	1.0164
8.037448078	1.0671
8.025005918	1.1103
8.012602221	1.1582
8.000236807	1.2119
7.9879095	1.259
7.975620124	1.3037
7.963368505	1.345
7.951154468	1.3904
7.938977841	1.4336
7.926838452	1.4827
7.914736131	1.5276
7.902670708	1.5693
7.890642014	1.615
7.878649883	1.6594
7.866694148	1.6975
7.854780812	1.7363
7.842897355	1.7815
7.831049799	1.8315
7.819237984	1.8643
7.807461747	1.8987
7.795720929	1.946
7.784015369	1.9866
7.772344909	2.0203
7.760709391	2.0593
7.749108659	2.1121
7.737542556	2.1582
7.726010929	2.1936
7.714513623	2.2285
7.703050485	2.2668
7.691621363	2.3022
7.680226106	2.3437
7.668864563	2.3757
7.657536586	2.4018
7.646242025	2.4421
7.634980733	2.4788
7.623752563	2.5085
7.61255737	2.5486
7.601395008	2.5832
7.590265333	2.6128
7.579173946	2.6472
7.568109199	2.6755
7.557076711	2.7029
7.546076342	2.738
7.535107952	2.7649
7.524171401	2.7849
7.51326655	2.8169
7.502393263	2.8511
7.491551403	2.8696
7.480740833	2.8843
7.469961418	2.9141
7.459213023	2.9463
7.448495516	2.97
7.437808762	2.9902
7.42715263	3.0229
7.416526989	3.0444
7.405931707	3.0644
7.395366655	3.0872
7.384831703	3.1099
7.374326724	3.1279
7.363851589	3.1433
7.353406171	3.1643
7.342990345	3.1831
7.332603984	3.1982
7.322252325	3.2205
7.311924506	3.2427
7.30162578	3.2598
7.291356025	3.2781
7.281115117	3.2893
7.270902937	3.3
7.260719363	3.322
7.250564275	3.3411
7.240437554	3.3584
7.230339081	3.3745
7.220268738	3.396
7.210226408	3.4133
7.200211974	3.4297
7.19022532	3.4543
7.18026633	3.4756
7.17033489	3.489
7.160436013	3.512
7.150559317	3.5337
7.140709829	3.5522
7.130887439	3.5725
7.121092034	3.5959
7.111323503	3.6155
7.101581735	3.635
7.091866622	3.6555
