Name: Smectite Na0.33Fe2+3(Si,Al)4 O10.3H2O
Type:  Mineral
Class:  Silicates 
Subclass:   Phyllosilicates (Sheet silicates); Smectite Group
Particle Size:  Fine  (Less than 2  Micrometers)
Sample No.:  smectite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Grant Co., Washington, USA via the Clay Mineral Society 
Source Clay Mineral Repository #CMS SWa-1
Description:  Described by CMS as a ferruginous smectite, the sample 
was a brown, earthy clay. The less than 2 micrometers size fraction is 
pure Fe-smectite (probably nontronite).  The larger size fraction 
contains a small amount of quartz and was discarded.


Measurement:  Transmission
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  none

25.04420302	62.2694
24.9237955	61.2577
24.80454022	60.4725
24.68642074	59.328
24.5694209	57.367
24.45358465	55.8397
24.3387763	54.7342
24.22504094	53.2264
24.11236361	51.8124
24.00072962	50.7967
23.89012454	49.4628
23.78053421	48.5077
23.67194472	47.6268
23.56434244	47.0624
23.45771395	46.4296
23.35204611	46.1249
23.24732598	46.205
23.14354087	46.6483
23.04067832	47.078
22.93872607	47.2811
22.83767211	47.7147
22.7375046	47.9022
22.63821194	48.0858
22.53978272	47.9784
22.44220571	47.8436
22.3454699	47.7753
22.24956446	47.7987
22.15447875	47.4198
22.06020229	47.4257
21.96677306	47.5819
21.87408402	48.0038
21.7821739	48.1053
21.69103293	48.5331
21.60065148	49.1307
21.5110201	49.6503
21.42212949	50.6034
21.33397051	51.5565
21.24653416	52.5155
21.15981159	53.5956
21.0737941	54.6737
20.98847313	55.242
20.90384024	55.4149
20.81988716	55.1053
20.73660571	54.4657
20.65398787	53.2118
20.57202575	52.0272
20.49071156	50.9501
20.41003766	50.1766
20.3299965	49.8368
20.25058069	49.7108
20.1717829	49.7225
20.09359597	49.6366
20.01601281	49.8983
19.93906621	50.0282
19.8626695	50.1581
19.78685599	50.2831
19.71161901	50.5077
19.63695203	50.5975
19.56284859	50.7587
19.48930232	50.9735
19.41630698	51.1883
19.34385639	51.7303
19.27194448	52.2792
19.20056526	52.9579
19.12971284	53.7206
19.05938141	54.5253
18.98956523	55.1971
18.92025868	55.9774
18.85145618	56.7547
18.78315226	57.5291
18.71534153	58.2704
18.64801865	59.0721
18.58117838	59.9178
18.51481556	60.5711
18.44892507	61.3709
18.38350191	62.1327
18.31854111	62.9491
18.25407111	63.6522
18.19002023	64.3963
18.12641726	65.0408
18.06325753	65.6424
18.00053642	66.3934
17.93824937	67.0448
17.8763919	67.6746
17.81495958	68.2362
17.75394803	68.8914
17.69335296	69.4207
17.63317011	70.0223
17.57339529	70.532
17.51402436	71.2108
17.45505324	71.7518
17.39647791	72.3611
17.3382944	72.9217
17.28049878	73.5262
17.2230872	74.2068
17.16605584	74.7117
17.10940093	75.2674
17.05311876	75.6453
16.99720566	76.0516
16.94165801	76.407
16.88647225	76.8924
16.83167317	77.2869
16.77720046	77.6609
16.72307919	77.9842
16.66930597	78.4637
16.61587747	78.7703
16.56279037	79.0525
16.51004141	79.4256
16.45762737	79.8543
16.40554507	80.1521
16.35379138	80.4549
16.30236319	80.9168
16.25125744	81.2459
16.20047111	81.5432
16.15000121	81.9451
16.0998448	82.3592
16.04999896	82.6604
16.00048641	83.0198
15.95125297	83.3924
15.90232158	83.7361
15.85368947	84.0779
15.80535391	84.3948
15.75731218	84.6936
15.70956162	84.8382
15.6620996	85.0706
15.61492349	85.2815
15.56803074	85.4221
15.52141878	85.5823
15.47508511	85.7302
15.42902725	85.8377
15.38324273	85.8538
15.33772913	85.9617
15.29248405	85.949
15.24750513	86.0095
15.20279002	85.9417
15.1583364	85.9143
15.114142	85.8181
15.07020455	85.7908
15.02652181	85.6038
14.98309158	85.449
14.93991168	85.2381
14.89700213	85.1111
14.85431629	84.9456
14.81187438	84.7307
14.76967431	84.6897
14.72771402	84.615
14.68599147	84.7464
14.64450465	84.8909
14.60325156	85.1878
14.56223023	85.4182
14.52143873	85.8123
14.48087511	86.1785
14.44053748	86.5486
14.40042395	86.8362
14.36053266	87.1233
14.32086177	87.4646
14.28140946	87.7039
14.24217393	88.0642
14.20315338	88.3904
14.16434607	88.7371
14.12575025	89.0134
14.0873642	89.3767
14.0491862	89.6062
14.01121458	89.9163
13.97344765	90.198
13.93590321	90.4827
13.89854065	90.7073
13.8613779	90.9675
13.82441336	91.1912
13.78764544	91.1956
13.75107258	91.281
13.71469324	91.3132
13.67850587	91.3054
13.64250897	91.2283
13.60670103	91.2009
13.57108057	91.1277
13.53564612	91.0857
13.50039624	90.9788
13.46532947	90.7424
13.4304444	90.4959
13.39573962	90.2849
13.36121373	90.0525
13.32686536	89.7854
13.29269314	89.5222
13.25869572	89.26
13.22487175	88.9085
13.19121992	88.6018
13.15773892	88.3557
13.12442745	88.1619
13.09130135	87.8694
13.05832501	87.7595
13.02551438	87.5823
12.99286821	87.3845
12.96038529	87.1843
12.92806437	86.9617
12.89590426	86.7698
12.86390376	86.4964
12.83206168	86.24
12.80037684	85.9788
12.7688481	85.9177
12.73747429	85.74
12.70625427	85.7542
12.67518693	85.6219
12.64427113	85.6726
12.61350579	85.5926
12.58290562	85.5633
12.55243781	85.4705
12.52211719	85.2605
12.4919427	85.031
12.46191328	84.6038
12.43202789	84.1619
12.40228549	83.51
12.37268507	82.8655
12.34322561	82.053
12.31390609	81.3318
12.28472554	80.6194
12.25568296	80.0926
12.22677738	79.659
12.19800782	79.409
12.16937334	79.5218
12.14087298	79.7244
12.1125058	80.0896
12.08427087	80.4656
12.05616727	80.8836
12.02819409	81.1194
12.00035041	81.2908
11.97263534	81.3225
11.945048	81.115
11.9175875	80.7732
11.8902671	80.4041
11.86305761	80.01
11.83597236	79.5379
11.80901051	79.2015
11.78217122	78.7854
11.75545365	78.3123
11.72885698	77.8504
11.70238038	77.3055
11.67602305	76.6917
11.64978419	76.014
11.62366299	75.305
11.59765866	74.5023
11.57177043	73.826
11.54599752	73.1043
11.52033916	72.5076
11.49479458	71.9881
11.46936304	71.7073
11.44404378	71.6414
11.41883606	71.7547
11.39373914	72.1082
11.3687523	72.5721
11.34387482	73.1326
11.31910597	73.6116
11.29444505	74.0784
11.26990406	74.387
11.24545684	74.6053
11.22111545	74.6727
11.19687921	74.5828
11.17274743	74.3484
11.14871946	73.9666
11.12479461	73.5047
11.10097222	72.9363
11.07725165	72.3211
11.05363222	71.5775
11.03011331	70.8948
11.00669427	70.18
10.98337447	69.4593
10.96015327	68.7933
10.93703005	68.1331
10.9140042	67.5447
10.89107509	66.9681
10.86824213	66.4193
10.8455047	65.9071
10.82286221	65.4398
10.80031407	64.9578
10.77785969	64.4852
10.75549848	64.0072
10.73322986	63.5355
10.71106474	63.013
10.68897956	62.4945
10.66698525	62.0145
10.64508128	61.4671
10.62326708	60.8729
10.6015421	60.2547
10.5799058	59.5956
10.55835763	58.8748
10.53689705	58.1532
10.51552354	57.4286
10.49423657	56.6864
10.4730356	55.9542
10.45192012	55.1698
10.43088962	54.3622
10.40994358	53.5546
10.38908149	52.7733
10.36830285	51.9208
10.34760717	51.1085
10.32699394	50.288
10.30646267	49.4796
10.28601287	48.6564
10.26564407	47.879
10.24535578	47.0831
10.22514752	46.2404
10.20502924	45.4393
10.1849796	44.6552
10.16500858	43.8475
10.14511574	43.0558
10.12530059	42.2814
10.10556271	41.4931
10.08590162	40.7636
10.0663169	40.0888
10.04680808	39.4389
10.02737473	38.7675
10.00801642	38.1645
9.98873271	37.6134
9.969523168	37.0812
9.950387369	36.621
9.931324888	36.1964
9.912335307	35.8322
9.893427994	35.4853
9.874582922	35.2443
9.855809507	35.0041
9.83710734	34.8036
9.818476015	34.6576
9.799915133	34.5204
9.781424293	34.4228
9.7630031	34.3495
9.744651161	34.3573
9.726368087	34.3595
9.70815349	34.4218
9.690006986	34.5058
9.671928196	34.6369
9.653916739	34.8195
9.635972241	35.0734
9.618094328	35.3891
9.600282632	35.7587
9.582536785	36.2274
9.564856422	36.7355
9.547241181	37.2912
9.529690704	37.9318
9.512204634	38.6259
9.494782617	39.3107
9.477424301	40.0487
9.460138288	40.8556
9.4429063	41.6593
9.425736975	42.4628
9.408629972	43.3222
9.391584952	44.2081
9.374601579	45.0883
9.35767952	45.9911
9.340818443	46.89
9.324018018	47.7845
9.307277919	48.6312
9.290597822	49.4935
9.273977405	50.3173
9.257416348	51.1048
9.240914333	51.8368
9.224471046	52.5165
9.208086173	53.1669
9.191759404	53.7391
9.17549043	54.2938
9.159278945	54.7826
9.143124645	55.2049
9.127027227	55.5956
9.110986392	55.9618
9.095001842	56.3104
9.079073281	56.6102
9.06320863	56.9061
9.04739114	57.1917
9.031628764	57.4901
9.015921215	57.7909
9.000268208	58.1004
8.984669459	58.3778
8.969124685	58.6771
8.953633608	59.0018
8.93819595	59.3436
8.922811435	59.6966
8.907479789	60.0418
8.89220074	60.4183
8.876974017	60.7708
8.861799353	61.1297
8.846676481	61.5033
8.831605135	61.9259
8.816585054	62.3849
8.801615977	62.8045
8.786697643	63.2393
8.771829795	63.6698
8.757012178	64.1473
8.742244536	64.6163
8.727526619	65.1124
8.712858175	65.5762
8.69824652	66.0889
8.683676252	66.578
8.669154714	67.075
8.654681663	67.6043
8.640256858	68.1241
8.625880055	68.6209
8.611551018	69.0941
8.597269507	69.5733
8.583035287	69.9923
8.568848124	70.4276
8.554707784	70.8311
8.540614036	71.2715
8.52656665	71.6817
8.512565398	72.126
8.498610052	72.5782
8.484700388	73.0623
8.470836182	73.5342
8.45701721	74.0047
8.443243252	74.4817
8.429514089	74.9666
8.415829502	75.4647
8.402189274	75.9129
8.388593191	76.3758
8.375041038	76.824
8.361539594	77.2852
8.348074642	77.7103
8.334652987	78.1065
8.32127442	78.4969
8.307938734	78.8768
8.294645723	79.2432
8.281395183	79.6111
8.268186911	79.9432
8.255020704	80.252
8.241896361	80.5684
8.228813685	80.8575
8.215772476	81.115
8.202772537	81.388
8.189813674	81.6641
8.176895691	81.9119
8.164018395	82.167
8.151188239	82.429
8.138391724	82.6739
8.125635323	82.9036
8.11291885	83.1409
8.100242116	83.3733
8.087604937	83.5794
8.075007126	83.7698
8.062448501	83.9453
8.049928879	84.1541
8.037448078	84.3653
8.025005918	84.5325
8.012602221	84.7107
8.000236807	84.9239
7.9879095	85.1282
7.975620124	85.3133
7.963368505	85.5489
7.951154468	85.8487
7.938977841	86.1045
7.926838452	86.2986
7.914736131	86.4199
7.902670708	86.5166
7.890642014	86.593
7.878649883	86.6765
7.866694148	86.7903
7.854780812	86.906
7.842897355	87.0293
7.831049799	87.1463
7.819237984	87.2971
7.807461747	87.409
7.795720929	87.5293
7.784015369	87.6358
7.772344909	87.7627
7.760709391	87.8972
7.749108659	88.0286
7.737542556	88.1262
7.726010929	88.2195
7.714513623	88.3323
7.703050485	88.426
7.691621363	88.5154
7.680226106	88.6243
7.668864563	88.7302
7.657536586	88.8299
7.646242025	88.9568
7.634980733	89.0635
7.623752563	89.1511
7.61255737	89.2532
7.601395008	89.3811
7.590265333	89.4942
7.579173946	89.625
7.568109199	89.7146
7.557076711	89.8027
7.546076342	89.9277
7.535107952	90.0235
7.524171401	90.0947
7.51326655	90.167
7.502393263	90.259
7.491551403	90.3416
7.480740833	90.4187
7.469961418	90.5007
7.459213023	90.5742
7.448495516	90.6277
7.437808762	90.6946
7.42715263	90.7627
7.416526989	90.8255
7.405931707	90.8877
7.395366655	90.9812
7.384831703	91.0547
7.374326724	91.1116
7.363851589	91.1985
7.353406171	91.2825
7.342990345	91.3555
7.332603984	91.4307
7.322252325	91.4998
7.311924506	91.5481
7.30162578	91.615
7.291356025	91.6824
7.281115117	91.7463
7.270902937	91.7754
7.260719363	91.8213
7.250564275	91.9072
7.240437554	91.9421
7.230339081	91.9807
7.220268738	92.0505
7.210226408	92.1687
7.200211974	92.2666
7.19022532	92.3753
7.18026633	92.4793
7.17033489	92.5684
7.160436013	92.6438
7.150559317	92.739
7.140709829	92.8162
7.130887439	92.8323
7.121092034	92.8474
7.111323503	92.8396
7.101581735	92.8135
7.091866622	92.7795
7.082178053	92.78
7.07251592	92.7676
