Name: Talc Mg3Si4O10(OH)2
Type:  Mineral
Class:  Silicates 
Subclass:   Phyllosilicates (Sheets silicates);  (Talc/Pyrophyllite Group)
Particle Size:  Fine  (0 - 74 Micrometers)
Sample No.:  talc.1
Owner:  JHU
Wavelength Range:  IR
Origin: Feiser Mine, Ruby Mountains, Montana, USA via Jim Crowley, 
USGS
Description:  The hand sample was massive, compact, translucent, 
and light green in color.  Under the microscope, sample was 
cryptocrystalline and appeared pure.  XRD analysis indicates pure talc.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  none

25.04420302	2.8359
24.9237955	2.7353
24.80454022	2.9726
24.68642074	3.1724
24.5694209	3.1738
24.45358465	3.251
24.3387763	3.4394
24.22504094	3.4014
24.11236361	3.3638
24.00072962	3.458
23.89012454	3.4209
23.78053421	3.3545
23.67194472	3.332
23.56434244	3.2861
23.45771395	3.1445
23.35204611	3.0786
23.24732598	3.1018
23.14354087	3.1985
23.04067832	3.3166
22.93872607	3.4104
22.83767211	3.6094
22.7375046	3.7617
22.63821194	3.7851
22.53978272	3.8008
22.44220571	3.843
22.3454699	3.9941
22.24956446	4.2187
22.15447875	4.3022
22.06020229	4.3664
21.96677306	4.2964
21.87408402	4.0351
21.7821739	3.9182
21.69103293	4.0571
21.60065148	4.3948
21.5110201	4.7588
21.42212949	5.022
21.33397051	5.2541
21.24653416	5.4036
21.15981159	5.5307
21.0737941	5.6011
20.98847313	5.6387
20.90384024	5.73
20.81988716	5.853
20.73660571	5.9321
20.65398787	5.966
20.57202575	6.0068
20.49071156	6.0849
20.41003766	6.1274
20.3299965	6.1936
20.25058069	6.1706
20.1717829	6.0784
20.09359597	6.0229
20.01601281	5.9223
19.93906621	5.7031
19.8626695	5.5664
19.78685599	5.6831
19.71161901	5.7847
19.63695203	5.918
19.56284859	6.1179
19.48930232	6.2607
19.41630698	6.4302
19.34385639	6.5307
19.27194448	6.581
19.20056526	6.6709
19.12971284	6.7251
19.05938141	6.6875
18.98956523	6.6614
18.92025868	6.665
18.85145618	6.6238
18.78315226	6.5835
18.71534153	6.51
18.64801865	6.4057
18.58117838	6.2485
18.51481556	6.0552
18.44892507	5.9643
18.38350191	5.9565
18.31854111	6.0161
18.25407111	6.1067
18.19002023	6.1982
18.12641726	6.2366
18.06325753	6.2678
18.00053642	6.3257
17.93824937	6.353
17.8763919	6.3828
17.81495958	6.4153
17.75394803	6.3227
17.69335296	6.2512
17.63317011	6.2034
17.57339529	6.1108
17.51402436	5.9348
17.45505324	5.6911
17.39647791	5.3706
17.3382944	4.9197
17.28049878	4.4184
17.2230872	3.9602
17.16605584	3.5142
17.10940093	3.0859
17.05311876	2.6172
16.99720566	2.1772
16.94165801	1.8564
16.88647225	1.6206
16.83167317	1.4331
16.77720046	1.312
16.72307919	1.2454
16.66930597	1.2334
16.61587747	1.2373
16.56279037	1.2456
16.51004141	1.301
16.45762737	1.3948
16.40554507	1.4697
16.35379138	1.5039
16.30236319	1.5818
16.25125744	1.6792
16.20047111	1.7607
16.15000121	1.8616
16.0998448	1.9382
16.04999896	1.9917
16.00048641	2.0361
15.95125297	2.0784
15.90232158	2.1182
15.85368947	2.1616
15.80535391	2.2349
15.75731218	2.2817
15.70956162	2.2822
15.6620996	2.2681
15.61492349	2.241
15.56803074	2.2029
15.52141878	2.167
15.47508511	2.1118
15.42902725	2.0644
15.38324273	2.0137
15.33772913	1.9917
15.29248405	1.978
15.24750513	1.9285
15.20279002	1.8975
15.1583364	1.9187
15.114142	1.9236
15.07020455	1.9707
15.02652181	2.1077
14.98309158	2.3491
14.93991168	2.6912
14.89700213	3.0163
14.85431629	3.291
14.81187438	3.4634
14.76967431	3.5373
14.72771402	3.521
