Name: Talc Mg3Si4O10(OH)2
Type:  Mineral
Class:  Silicates 
Subclass:   Phyllosilicates (Sheets silicates);  (Talc/Pyrophyllite Group)
Particle Size:  Solid (fracture surface)
Sample No.:  talc.1
Owner:  JHU
Wavelength Range:  IR
Origin: Feiser Mine, Ruby Mountains, Montana, USA via Jim Crowley, 
USGS
Description:  The hand sample was massive, compact, translucent, 
and light green in color.  Under the microscope, sample was 
cryptocrystalline and appeared pure.  XRD analysis indicates pure talc



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  none

25.04420302	6.6001
24.9237955	6.0195
24.80454022	6
24.68642074	6.3144
24.5694209	6.7803
24.45358465	7.0054
24.3387763	7.3176
24.22504094	7.677
24.11236361	7.8772
24.00072962	8.0957
23.89012454	8.2412
23.78053421	8.4194
23.67194472	8.7141
23.56434244	8.6943
23.45771395	8.415
23.35204611	8.0315
23.24732598	7.8396
23.14354087	8.1006
23.04067832	8.614
22.93872607	9.1577
22.83767211	9.6963
22.7375046	10.1128
22.63821194	10.3034
22.53978272	10.3188
22.44220571	10.5918
22.3454699	11.2182
22.24956446	11.834
22.15447875	12.2527
22.06020229	12.3784
21.96677306	12.0288
21.87408402	11.3891
21.7821739	11.0639
21.69103293	11.5215
21.60065148	12.4956
21.5110201	13.6113
21.42212949	14.5769
21.33397051	15.2202
21.24653416	15.642
21.15981159	15.9467
21.0737941	16.2614
20.98847313	16.5529
20.90384024	16.771
20.81988716	17.0229
20.73660571	17.1313
20.65398787	17.2177
20.57202575	17.4182
20.49071156	17.5004
20.41003766	17.4758
20.3299965	17.414
20.25058069	17.2944
20.1717829	17.1091
20.09359597	16.7482
20.01601281	16.2085
19.93906621	15.5808
19.8626695	15.2011
19.78685599	15.1489
19.71161901	15.4004
19.63695203	15.8881
19.56284859	16.4372
19.48930232	16.8374
19.41630698	17.1167
19.34385639	17.373
19.27194448	17.4792
19.20056526	17.5827
19.12971284	17.727
19.05938141	17.7915
18.98956523	17.687
18.92025868	17.6093
18.85145618	17.6416
18.78315226	17.5437
18.71534153	17.2627
18.64801865	16.8403
18.58117838	16.1357
18.51481556	15.2255
18.44892507	14.413
18.38350191	13.8906
18.31854111	13.5988
18.25407111	13.4648
18.19002023	13.4257
18.12641726	13.3984
18.06325753	13.3816
18.00053642	13.4216
17.93824937	13.414
17.8763919	13.386
17.81495958	13.3786
17.75394803	13.1809
17.69335296	12.927
17.63317011	12.674
17.57339529	12.2231
17.51402436	11.5942
17.45505324	10.8557
17.39647791	9.8767
17.3382944	8.6824
17.28049878	7.488
17.2230872	6.3728
17.16605584	5.3249
17.10940093	4.3347
17.05311876	3.4297
16.99720566	2.6394
16.94165801	2.0237
16.88647225	1.6497
16.83167317	1.458
16.77720046	1.3386
16.72307919	1.2632
16.66930597	1.2651
16.61587747	1.3379
16.56279037	1.3896
16.51004141	1.4243
16.45762737	1.4897
16.40554507	1.5605
16.35379138	1.6143
16.30236319	1.6829
16.25125744	1.7615
16.20047111	1.8081
16.15000121	1.8638
16.0998448	1.9497
16.04999896	2.0308
16.00048641	2.0847
15.95125297	2.1177
15.90232158	2.2073
15.85368947	2.3086
15.80535391	2.3652
15.75731218	2.4326
15.70956162	2.5247
15.6620996	2.6201
15.61492349	2.7063
15.56803074	2.7983
15.52141878	2.8852
15.47508511	2.948
15.42902725	3.0708
15.38324273	3.2417
15.33772913	3.3848
15.29248405	3.4978
15.24750513	3.6579
15.20279002	3.8594
15.1583364	4.1221
15.114142	4.4875
15.07020455	4.9534
15.02652181	5.5979
14.98309158	6.4685
14.93991168	7.4812
14.89700213	8.376
14.85431629	9.0029
14.81187438	9.3335
14.76967431	9.3454
14.72771402	9.1709
14.68599147	9.0539
