Name:  Vermiculite (Mg,Fe+2,Al)3(Al,Si)4O10(OH)2.4H2O 
Type:  Mineral
Class:  Silicates 
Subclass:   Phyllosilicates (Sheet Silicates); (Vermiculite Group)
Particle Size:  Fine  (0-2 Micrometers)
Sample No.:  vermicul.1
Owner:  JHU
Wavelength Range:  IR
Origin: Llano, Texas via Norma Vergo #VTx-1 (CMS) (purchased from 
Clay Mineral Society Repository)
Description: White, earthy clay.  XRD analysis indicates pure vermiculite for the 
less than 2 micrometer size range.




Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  none

25.04420302	1.7876
24.9237955	1.7534
24.80454022	1.6675
24.68642074	1.5825
24.5694209	1.7842
24.45358465	1.896
24.3387763	1.8684
24.22504094	1.8867
24.11236361	1.8686
24.00072962	1.792
23.89012454	1.7229
23.78053421	1.7686
23.67194472	1.844
23.56434244	1.8906
23.45771395	1.8428
23.35204611	1.8679
23.24732598	1.9346
23.14354087	1.9136
23.04067832	1.9314
22.93872607	1.908
22.83767211	1.9438
22.7375046	2.0305
22.63821194	1.926
22.53978272	1.9683
22.44220571	2.1243
22.3454699	2.1489
22.24956446	2.1003
22.15447875	2.1409
22.06020229	2.25
21.96677306	2.2634
21.87408402	2.2239
21.7821739	2.2185
21.69103293	2.3367
21.60065148	2.4185
21.5110201	2.4631
21.42212949	2.4363
21.33397051	2.4868
21.24653416	2.5054
21.15981159	2.5115
21.0737941	2.5522
20.98847313	2.5808
20.90384024	2.5601
20.81988716	2.5478
20.73660571	2.5503
20.65398787	2.5547
20.57202575	2.4888
20.49071156	2.4309
20.41003766	2.4175
20.3299965	2.3962
20.25058069	2.4004
20.1717829	2.4766
20.09359597	2.4512
20.01601281	2.3945
19.93906621	2.4092
19.8626695	2.4341
19.78685599	2.4656
19.71161901	2.4653
19.63695203	2.4831
19.56284859	2.4822
19.48930232	2.5005
19.41630698	2.5503
19.34385639	2.5544
19.27194448	2.5371
19.20056526	2.5456
19.12971284	2.5212
19.05938141	2.4565
18.98956523	2.4163
18.92025868	2.394
18.85145618	2.3618
18.78315226	2.3289
18.71534153	2.2666
18.64801865	2.2087
18.58117838	2.1509
18.51481556	2.0754
18.44892507	2.0115
18.38350191	1.9055
18.31854111	1.8103
18.25407111	1.7705
18.19002023	1.6848
18.12641726	1.5461
18.06325753	1.4451
18.00053642	1.3547
17.93824937	1.2808
17.8763919	1.2058
17.81495958	1.1501
17.75394803	1.0571
17.69335296	0.989
17.63317011	0.97
17.57339529	0.9045
