Name: Anhydrite CaSO4
Type:  Mineral 
Class:  Sulfates
Subclass:  
Particle Size:  Solid
Sample No.:  anhydrite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Champo, Isere, France, via the Smithsonian 
(sample no. NMNH 46393).  
Description: The sample was a 3 cm x 3 cm x 4 cm, white, granular 
mass weighing 30 g.  One surface was stained and this material was 
discarded after crushing.  Microscopic examination indicated pure 
anhydrite.


Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  4.4055
Number of X Values:  2287
Additional Information: anhyd1a.txt

25.044	0.76810
24.924	0.55080
24.805	0.78740
24.686	1.0625
24.569	1.0159
24.454	1.0081
24.339	0.98190
24.225	0.95950
24.112	1.0889
24.001	1.1206
23.890	1.0442
23.781	1.0718
23.672	1.0959
23.564	1.1782
23.458	1.2288
23.352	1.2466
23.247	1.2427
23.144	1.3193
23.041	1.3906
22.939	1.4563
22.838	1.3340
22.738	1.3359
22.638	1.3359
22.540	1.2563
22.442	1.3169
22.345	1.4556
22.250	1.4551
22.154	1.4072
22.060	1.4751
21.967	1.4685
21.874	1.4102
21.782	1.4990
21.691	1.5366
21.601	1.4893
21.511	1.4717
21.422	1.5320
21.334	1.5903
21.247	1.5908
21.160	1.5798
21.074	1.6118
20.988	1.6304
20.904	1.6731
20.820	1.6621
20.737	1.6506
20.654	1.6865
20.572	1.7048
20.491	1.6987
20.410	1.6721
20.330	1.7248
20.251	1.7234
20.172	1.6655
20.094	1.6758
20.016	1.7248
19.939	1.7021
19.863	1.7036
19.787	1.7500
19.712	1.7519
19.637	1.7720
19.563	1.7415
19.489	1.6680
19.416	1.6418
19.344	1.6623
19.272	1.7261
19.201	1.7468
19.130	1.7290
19.059	1.7305
18.990	1.7529
18.920	1.7583
18.851	1.7444
18.783	1.7681
18.715	1.8491
18.648	1.8652
18.581	1.8242
18.515	1.8296
18.449	1.8545
18.384	1.8552
18.319	1.8752
18.254	1.8765
18.190	1.8994
18.126	1.9365
18.063	1.9424
18.001	1.9680
17.938	1.9802
17.876	1.9968
17.815	2.0356
17.754	2.0539
17.693	2.0911
17.633	2.1355
17.573	2.1409
17.514	2.1479
17.455	2.1792
17.396	2.1973
17.338	2.2192
17.280	2.2507
17.223	2.3379
17.166	2.4346
17.109	2.5146
17.053	2.7019
16.997	3.0417
16.942	3.8198
16.886	5.0718
16.832	5.9346
16.777	6.1987
16.723	6.2878
16.669	6.3367
16.616	6.1252
16.563	5.3530
16.510	4.1423
16.458	3.2825
16.406	2.9587
16.354	2.8921
16.302	2.9656
16.251	3.1335
16.200	3.3562
16.150	3.5964
16.100	3.8586
16.050	4.1897
16.000	4.3044
15.951	3.9358
15.902	3.2539
15.854	2.5537
15.805	1.9941
15.757	1.6934
15.710	1.6672
15.662	1.7158
15.615	1.7668
15.568	1.8269
15.521	1.8752
15.475	1.9355
15.429	1.9783
15.383	2.0271
15.338	2.0898
15.292	2.1685
15.248	2.2461
15.203	2.3157
15.158	2.4160
15.114	2.5649
15.070	2.7256
15.027	2.9228
14.983	3.2043
14.940	3.5776
14.897	3.9753
14.854	4.2500
14.812	4.4839
14.770	4.6977
14.728	4.8848
14.686	5.0864
14.645	5.2453
14.603	5.3765
14.562	5.5090
14.521	5.6443
14.481	5.7698
14.441	5.8696
14.400	5.8811
14.361	5.5732
14.321	4.8767
14.281	4.0339
14.242	3.1287
14.203	2.1943
14.164	1.3621
14.126	0.86110
14.087	0.72680
14.049	0.76760
14.011	0.84790
13.973	0.91750
13.936	0.93800
13.899	0.96680
13.861	1.0161
13.824	1.0469
13.788	1.0745
13.751	1.1121
13.715	1.1589
13.679	1.1943
13.643	1.2107
13.607	1.2266
13.571	1.2532
13.536	1.2834
13.500	1.3032
13.465	1.2988
13.430	1.3254
13.396	1.3547
13.361	1.3562
13.327	1.3755
13.293	1.4036
13.259	1.4109
13.225	1.3950
13.191	1.4097
13.158	1.4311
13.124	1.4487
13.091	1.4675
13.058	1.4790
13.026	1.4768
12.993	1.4707
12.960	1.4756
12.928	1.4839
12.896	1.4941
12.864	1.5176
12.832	1.5410
12.800	1.5256
12.769	1.5251
12.737	1.5288
12.706	1.5403
12.675	1.5535
12.644	1.5825
12.614	1.5867
12.583	1.5732
12.552	1.5706
12.522	1.5867
12.492	1.6025
12.462	1.6116
12.432	1.6067
12.402	1.6191
12.373	1.6467
12.343	1.6526
12.314	1.6299
12.285	1.6350
12.256	1.6462
12.227	1.6399
12.198	1.6450
12.169	1.6545
12.141	1.6487
12.113	1.6523
12.084	1.6802
12.056	1.6973
12.028	1.6843
12.000	1.6787
11.973	1.6958
11.945	1.7019
11.918	1.7070
11.890	1.7126
11.863	1.7048
11.836	1.7144
11.809	1.7378
11.782	1.7327
11.755	1.7314
11.729	1.7336
11.702	1.7432
11.676	1.7615
11.650	1.7612
11.624	1.7742
11.598	1.7805
11.572	1.7864
11.546	1.7976
11.520	1.8008
11.495	1.7978
11.469	1.7969
11.444	1.8003
11.419	1.8079
11.394	1.8123
11.369	1.8071
11.344	1.8140
11.319	1.8257
11.294	1.8369
11.270	1.8323
11.245	1.8301
11.221	1.8320
11.197	1.8340
11.173	1.8332
11.149	1.8455
11.125	1.8572
11.101	1.8674
11.077	1.8696
11.054	1.8655
11.030	1.8662
11.007	1.8733
10.983	1.8970
10.960	1.8994
10.937	1.8931
10.914	1.9175
10.891	1.9182
10.868	1.9058
10.846	1.9167
10.823	1.9314
10.800	1.9377
10.778	1.9485
10.755	1.9590
10.733	1.9692
10.711	1.9673
10.689	1.9788
10.667	1.9831
10.645	1.9810
10.623	2.0022
10.602	2.0154
10.580	2.0195
10.558	2.0278
10.537	2.0325
10.516	2.0273
10.494	2.0290
10.473	2.0432
10.452	2.0535
10.431	2.0618
10.410	2.0774
10.389	2.0842
10.368	2.0920
10.348	2.1013
10.327	2.1143
10.306	2.1213
10.286	2.1296
10.266	2.1409
10.245	2.1484
10.225	2.1545
10.205	2.1597
10.185	2.1738
10.165	2.1924
10.145	2.2031
10.125	2.2195
10.106	2.2241
10.086	2.2261
10.066	2.2434
10.047	2.2532
10.027	2.2585
10.008	2.2639
9.9887	2.2793
9.9695	2.2942
9.9504	2.3086
9.9313	2.3296
9.9123	2.3393
9.8934	2.3552
9.8746	2.3684
9.8558	2.3503
9.8371	2.3396
9.8185	2.3643
9.7999	2.3950
9.7814	2.4099
9.7630	2.4324
9.7447	2.4582
9.7264	2.4724
9.7082	2.4897
9.6900	2.5198
9.6719	2.5488
9.6539	2.5608
9.6360	2.5859
9.6181	2.6143
9.6003	2.6323
9.5825	2.6540
9.5649	2.6819
9.5472	2.7034
9.5297	2.7331
9.5122	2.7685
9.4948	2.8035
9.4774	2.8418
9.4601	2.8828
9.4429	2.9197
9.4257	2.9651
9.4086	3.0298
9.3916	3.0786
9.3746	3.1167
9.3577	3.1765
9.3408	3.2436
9.3240	3.2964
9.3073	3.3569
9.2906	3.4463
9.2740	3.5579
9.2574	3.6540
9.2409	3.7612
9.2245	3.8877
9.2081	4.0337
9.1918	4.2236
9.1755	4.4558
9.1593	4.7446
9.1431	5.1838
9.1270	5.8127
9.1110	6.3982
9.0950	6.7170
9.0791	6.8747
9.0632	6.9695
9.0474	7.0471
9.0316	7.2102
9.0159	7.4555
9.0003	7.6623
8.9847	7.8393
8.9691	8.0246
8.9536	8.1838
8.9382	8.3188
8.9228	8.4595
8.9075	8.6047
8.8922	8.7444
8.8770	8.9040
8.8618	9.0830
8.8467	9.2470
8.8316	9.4048
8.8166	9.6001
8.8016	9.7888
8.7867	9.9797
8.7718	10.226
8.7570	10.477
8.7422	10.709
8.7275	10.996
8.7129	11.356
8.6982	11.680
8.6837	11.902
8.6692	12.033
8.6547	12.067
8.6403	12.041
8.6259	12.061
8.6116	12.103
8.5973	12.102
8.5830	12.112
8.5688	12.150
8.5547	12.135
8.5406	12.101
8.5266	12.106
8.5126	12.094
8.4986	12.052
8.4847	12.059
8.4708	12.074
8.4570	12.044
8.4432	12.024
8.4295	12.033
8.4158	12.022
8.4022	12.048
8.3886	12.140
8.3750	12.238
8.3615	12.323
8.3481	12.432
8.3347	12.532
8.3213	12.554
8.3079	12.484
8.2946	12.267
8.2814	11.892
8.2682	11.517
8.2550	11.215
8.2419	10.886
8.2288	10.539
8.2158	10.302
8.2028	10.180
8.1898	10.099
8.1769	10.056
8.1640	10.040
8.1512	9.9924
8.1384	9.9538
8.1256	9.9665
8.1129	9.9621
8.1002	9.9077
8.0876	9.8215
8.0750	9.6389
8.0624	9.3181
8.0499	8.9284
8.0374	8.4936
8.0250	8.0334
8.0126	7.6504
8.0002	7.3686
7.9879	7.0774
7.9756	6.7534
7.9634	6.4172
7.9512	6.0481
7.9390	5.6496
7.9268	5.2329
7.9147	4.7988
7.9027	4.3384
7.8906	3.9006
7.8786	3.5185
7.8667	3.1829
7.8548	2.8965
7.8429	2.6467
7.8310	2.3940
7.8192	2.1301
7.8075	1.8716
7.7957	1.6106
7.7840	1.3484
7.7723	1.1116
7.7607	0.89450
7.7491	0.69380
7.7375	0.52860
7.7260	0.38310
7.7145	0.27220
7.7031	0.19920
7.6916	0.16530
7.6802	0.15430
7.6689	0.15190
7.6575	0.16850
7.6462	0.19430
7.6350	0.21120
7.6238	0.22630
7.6126	0.23900
7.6014	0.25900
7.5903	0.27690
7.5792	0.28930
7.5681	0.31030
7.5571	0.32960
7.5461	0.33790
7.5351	0.34740
7.5242	0.36280
7.5133	0.37700
7.5024	0.38770
7.4916	0.39770
7.4807	0.40990
7.4700	0.42870
7.4592	0.44140
7.4485	0.45190
7.4378	0.46360
7.4272	0.48020
7.4165	0.50050
7.4059	0.51590
7.3954	0.52120
7.3848	0.52470
7.3743	0.53440
7.3639	0.54370
7.3534	0.55710
7.3430	0.56790
7.3326	0.57590
7.3223	0.58060
7.3119	0.58740
7.3016	0.59500
7.2914	0.60420
7.2811	0.61550
7.2709	0.61790
7.2607	0.62700
7.2506	0.63430
7.2404	0.63480
7.2303	0.64400
7.2203	0.65940
7.2102	0.66430
7.2002	0.67160
7.1902	0.67990
7.1803	0.68650
7.1703	0.69680
7.1604	0.70210
7.1506	0.69780
7.1407	0.70430
7.1309	0.71660
7.1211	0.72440
7.1113	0.72900
7.1016	0.73610
7.0919	0.74070
7.0822	0.74510
7.0725	0.75020
7.0629	0.75120
7.0533	0.75120
7.0437	0.76120
7.0341	0.77340
7.0246	0.77810
7.0151	0.78250
7.0056	0.78640
6.9962	0.79570
6.9867	0.80740
6.9773	0.80690
6.9679	0.80980
6.9586	0.82010
6.9493	0.82570
6.9400	0.82840
6.9307	0.83470
6.9214	0.83860
6.9122	0.84280
6.9030	0.84570
6.8938	0.85230
6.8847	0.86350
6.8755	0.87210
6.8664	0.87230
6.8573	0.87820
6.8483	0.88870
6.8393	0.89650
6.8302	0.89820
6.8213	0.90110
6.8123	0.91190
6.8034	0.91330
6.7944	0.91110
6.7855	0.92310
6.7767	0.93380
6.7678	0.93650
6.7590	0.93870
6.7502	0.94360
6.7414	0.94900
6.7327	0.95310
6.7239	0.95430
6.7152	0.95950
6.7065	0.96800
6.6979	0.98220
6.6892	0.98390
6.6806	0.97630
6.6720	0.98460
6.6634	0.99710
6.6549	1.0059
6.6464	1.0068
6.6378	1.0022
6.6294	1.0078
6.6209	1.0171
6.6124	1.0164
6.6040	1.0181
6.5956	1.0183
6.5872	1.0156
6.5789	1.0122
6.5705	1.0120
6.5622	1.0066
6.5539	1.0020
6.5456	1.0027
6.5374	1.0002
6.5292	1.0017
6.5209	1.0044
6.5128	1.0059
6.5046	1.0051
6.4964	0.99630
6.4883	0.99460
6.4802	1.0000
6.4721	1.0073
