Name:  Albite NaAlSi3O8
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework silicates) (Feldspar Group)
Particle Size:  Coarse (74-250 Micrometers)
Sample No.:  albite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Rutherford, Virginia, USA via the Smithsonian 
(sample no. NMNHC5390) and Bruce Hemingway.
Description: The sample was a large (2 cm x 2 cm x 2 cm) fragment of 
a twinned crystal.  The sample appeared very fresh.  It was 
translucent and light gray to white in color Ñ a sample of the classic 
Amelia albite.


Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: albite1a.txt

25.04420302	6.1909
24.9237955	6.303
24.80454022	6.3528
24.68642074	6.5664
24.5694209	6.5986
24.45358465	6.5803
24.3387763	6.3218
24.22504094	6.4917
24.11236361	7.0598
24.00072962	7.5876
23.89012454	7.9453
23.78053421	8.1357
23.67194472	8.2197
23.56434244	8.165
23.45771395	8.0273
23.35204611	7.7041
23.24732598	7.1069
23.14354087	6.4985
23.04067832	6.1157
22.93872607	5.9097
22.83767211	5.8139
22.7375046	5.8725
22.63821194	5.9492
22.53978272	5.9848
22.44220571	6.043
22.3454699	6.0615
22.24956446	5.9302
22.15447875	5.5705
22.06020229	4.9851
21.96677306	4.376
21.87408402	4.0015
21.7821739	3.9155
21.69103293	3.9827
21.60065148	4.207
21.5110201	4.4319
21.42212949	4.4404
21.33397051	4.2153
21.24653416	4.0093
21.15981159	3.8867
21.0737941	3.9932
20.98847313	4.2988
20.90384024	4.6975
20.81988716	4.9761
20.73660571	5.2024
20.65398787	5.3274
20.57202575	5.2366
20.49071156	4.987
20.41003766	4.6157
20.3299965	4.1308
20.25058069	3.6777
20.1717829	3.3113
20.09359597	2.9726
20.01601281	2.6465
19.93906621	2.4434
19.8626695	2.4018
19.78685599	2.4499
19.71161901	2.5432
19.63695203	2.6374
19.56284859	2.7458
19.48930232	2.8381
19.41630698	2.9097
19.34385639	3.0019
19.27194448	3.0889
19.20056526	3.2053
19.12971284	3.3567
19.05938141	3.5434
18.98956523	3.7788
18.92025868	4.0083
18.85145618	4.2595
18.78315226	4.4746
18.71534153	4.5476
18.64801865	4.5464
18.58117838	4.4624
18.51481556	4.25
18.44892507	3.9485
18.38350191	3.5954
18.31854111	3.2353
18.25407111	2.9348
18.19002023	2.739
18.12641726	2.6526
18.06325753	2.6189
18.00053642	2.6814
17.93824937	2.7705
17.8763919	2.8201
17.81495958	2.9121
17.75394803	3.0349
17.69335296	3.105
